gene,mean,max,min,nonzero_fraction
0,0.0003045865,0.6931472,0.0,0.0004394252317968098
1,0.71985066,2.7080503,0.0,0.7021575778881224
2,0.16779013,2.3025851,0.0,0.21895094549662375
3,0.05861478,1.7917595,0.0,0.07728025076533228
4,0.000111681664,0.6931472,0.0,0.00016112258499216358
5,0.0070700394,1.3862944,0.0,0.010048190300420383
6,0.74585915,3.2580965,0.0,0.7003852294532086
7,1.8902086,4.2195077,0.0,0.9869637181233613
8,6.091727e-05,0.6931472,0.0,8.788504635936195e-05
9,0.25662687,1.9459102,0.0,0.32246488260022554
10,0.07913706,2.3978953,0.0,0.10576965329349211
11,0.005849009,1.0986123,0.0,0.008378374419592506
12,0.0005135831,1.0986123,0.0,0.0007323753863280163
13,2.3274946,4.0775375,0.0,0.9976563987637503
14,0.1164712,1.9459102,0.0,0.15662580012010957
15,0.060225997,1.3862944,0.0,0.08373980167274538
16,2.0789533,3.7376697,0.0,0.9941117018939227
17,0.016939605,1.9459102,0.0,0.024065855194738615
18,0.7229249,3.5553482,0.0,0.6995649690205211
19,0.843378,2.7725887,0.0,0.7716160595274714
20,1.9714946,4.0430512,0.0,0.9931303188762433
21,0.6325422,2.4849067,0.0,0.6507887682910752
22,0.0016160308,1.0986123,0.0,0.0023143062207965316
23,1.129529,3.0910425,0.0,0.8769609350968932
24,0.4749917,2.944439,0.0,0.5017064346501443
25,1.4389951,3.218876,0.0,0.9483382402484217
26,2.509595,4.8520303,0.0,0.9977589313178362
27,0.004099467,1.0986123,0.0,0.0057857655519913285
28,0.00018275186,0.6931472,0.0,0.00026365513907808586
29,0.6548209,2.6390574,0.0,0.6552416106399496
30,0.02520685,1.7917595,0.0,0.03538837866736975
31,0.88524866,2.9957323,0.0,0.7869666476249066
32,1.5588351,3.295837,0.0,0.9646702113635365
33,0.36243677,2.3978953,0.0,0.42177498498630456
34,2.5622122,4.1271343,0.0,0.999633812306836
35,0.38938883,2.3025851,0.0,0.4513336555785033
36,0.4459068,2.3978953,0.0,0.5035520206236909
37,0.25983322,2.3025851,0.0,0.3072021795491497
38,1.2499588,3.0445225,0.0,0.9206690981529493
39,0.20372076,2.0794415,0.0,0.2637430241244452
40,1.3942716,3.1354942,0.0,0.9458921064580862
41,1.5318693,3.465736,0.0,0.9624730852045524
42,0.0387856,1.609438,0.0,0.05349269821739831
43,0.42502022,2.3025851,0.0,0.4827965021751549
44,0.0138501115,1.9459102,0.0,0.01939330022996587
45,0.12385677,1.9459102,0.0,0.16288028591935083
46,1.0845648,2.8903718,0.0,0.8560735890788183
47,0.8637771,2.9957323,0.0,0.7833926557396259
48,2.5505333,4.3694477,0.0,0.9994140996909376
49,2.652133,4.304065,0.0,0.9996924023377423
50,1.0088295,2.8903718,0.0,0.8433595523721639
51,0.0012792613,0.6931472,0.0,0.001845585973546601
52,0.8869937,3.1354942,0.0,0.7965021751548974
53,0.00042220726,1.7917595,0.0,0.000585900309062413
54,0.0014823185,0.6931472,0.0,0.0021385361280778074
55,0.4733423,2.3978953,0.0,0.5287603814211012
56,0.009533821,1.0986123,0.0,0.013651477201154224
57,0.00056856126,0.6931472,0.0,0.0008202604326873783
58,0.006631741,1.0986123,0.0,0.00944764248363141
59,0.5111866,2.3978953,0.0,0.5575427341037923
60,0.51946276,2.8332133,0.0,0.5360255452534751
61,1.0388125,2.8903718,0.0,0.8499362833413895
62,0.47393185,2.5649493,0.0,0.528731086405648
63,0.14940408,1.7917595,0.0,0.19463608267053362
64,0.0025914854,1.609438,0.0,0.0036618769316400816
65,0.05873229,1.609438,0.0,0.08079565261970675
66,2.1660304,4.304065,0.0,0.9971144409778676
67,1.0041382,2.944439,0.0,0.8435499699726091
68,0.10083666,1.609438,0.0,0.1369688447510656
69,1.6471977,3.5263605,0.0,0.967716892970661
70,0.48568287,2.5649493,0.0,0.5114763223037601
71,0.30463037,2.1972246,0.0,0.3732477918882102
72,0.3592073,2.3025851,0.0,0.41600386694203983
73,0.052950434,1.9459102,0.0,0.0717727878601456
74,0.011504523,1.0986123,0.0,0.016434503669200684
75,2.632892,4.634729,0.0,0.9994287471986641
76,0.00018869093,1.0986123,0.0,0.00026365513907808586
77,0.1098135,1.609438,0.0,0.1478226479764468
78,1.916656,3.6635616,0.0,0.9877986260637752
79,0.0041373903,1.0986123,0.0,0.005917593121530371
80,0.00071664026,1.0986123,0.0,0.0010253255408592228
81,0.38726777,2.4849067,0.0,0.4445079169779262
82,0.70129204,2.8903718,0.0,0.6734631102517906
83,0.92970204,3.0910425,0.0,0.8116037556209811
84,0.0030341798,1.0986123,0.0,0.004291719763882176
85,0.5901326,2.4849067,0.0,0.6234858138887668
86,1.2113514,3.6109178,0.0,0.8870237729050402
87,1.5700912,3.4965076,0.0,0.9679219580788329
88,0.55018955,2.3025851,0.0,0.590865814181717
89,2.6631255,4.6151204,0.0,0.9995898697836563
90,2.65162,4.1743875,0.0,0.9997949348918281
91,1.4865466,3.4011974,0.0,0.9593971085819748
92,0.40553865,2.4849067,0.0,0.4579982715940883
93,0.0018175613,1.7917595,0.0,0.0024900763135152553
94,0.0013099185,1.3862944,0.0,0.0017723484349137994
95,1.6707329,3.871201,0.0,0.9540068257386006
96,0.115618624,1.7917595,0.0,0.15303716072710227
97,2.891964,4.919981,0.0,0.9998828199381875
98,3.9799228,5.6489744,1.3862944,1.0
99,0.0005990198,0.6931472,0.0,0.0008642029558670592
100,7.107015e-05,0.6931472,0.0,0.00010253255408592229
101,0.0076487856,1.3862944,0.0,0.01038508297813127
102,0.066350535,1.9459102,0.0,0.09122467812101771
103,0.0911716,1.7917595,0.0,0.12443057813712997
104,0.40978456,2.3025851,0.0,0.45435104217017475
105,2.066956,3.7841897,0.0,0.9938187517393915
106,1.6620901,3.713572,0.0,0.9741910913858007
107,0.85847735,2.8332133,0.0,0.7527207745602086
108,1.6805668,3.912023,0.0,0.9777504357633549
109,1.7354612,3.713572,0.0,0.9796546117678077
110,1.8425875,3.583519,0.0,0.9847226494411976
111,0.42513123,2.1972246,0.0,0.4705218907002973
112,0.28087202,2.7080503,0.0,0.3276501003354279
113,1.2868627,3.4965076,0.0,0.9264988062281203
114,2.6120312,4.7004805,0.0,0.9997509923686485
115,1.5795759,3.912023,0.0,0.9644065562244584
116,1.2319412,3.1354942,0.0,0.9088046168944354
117,0.014145147,1.0986123,0.0,0.020286798201286052
118,2.3412392,4.1108737,0.0,0.9983301841191721
119,0.6069926,2.7080503,0.0,0.6293448169793909
120,0.41643864,2.5649493,0.0,0.4613818458789237
121,0.013290368,1.3862944,0.0,0.018704867366817535
122,0.024998082,1.3862944,0.0,0.034494880696049564
123,3.367912,5.056246,0.0,0.9999853524922735
124,1.8692493,4.3694477,0.0,0.9892780243441578
125,1.979242,3.6888795,0.0,0.992969196291251
126,8.588759e-05,2.3978953,0.0,7.323753863280163e-05
127,0.28213012,2.0794415,0.0,0.3502219097420574
128,0.1806538,1.9459102,0.0,0.23434547611723866
129,1.039201,3.3322046,0.0,0.8427150620321953
130,0.7094774,2.8332133,0.0,0.6946580539321234
131,0.015488812,1.3862944,0.0,0.021707606450762404
132,4.0872297,5.7004437,1.7917595,1.0
133,1.4353963,3.3322046,0.0,0.941834746817829
134,2.1620028,3.988984,0.0,0.9967921958078833
135,0.035012092,1.609438,0.0,0.048659020667633404
136,0.91435856,3.218876,0.0,0.7899547392011249
137,1.0099264,3.218876,0.0,0.8338093773344465
138,3.0458636e-05,0.6931472,0.0,4.3942523179680975e-05
139,0.0008110705,2.7080503,0.0,0.0009374404944998609
140,1.5732609,3.3322046,0.0,0.9708368121164184
141,1.1085916,2.9957323,0.0,0.8746319813683702
142,1.0389487,2.944439,0.0,0.8575676348669274
143,1.0001298,3.0910425,0.0,0.8357282008466259
144,0.51949614,2.4849067,0.0,0.5510099456577463
145,0.054130077,1.609438,0.0,0.07484876448272326
146,0.8323284,3.0445225,0.0,0.7628275548915352
147,0.8509311,2.8332133,0.0,0.7566170116154737
148,0.000895178,1.0986123,0.0,0.0012743331722107484
149,0.027785482,2.3025851,0.0,0.03623793411551025
150,0.00091548363,1.0986123,0.0,0.001303628187663869
151,0.000260792,4.634729,0.0,0.0002929501545312065
152,8.716209e-05,2.4849067,0.0,8.788504635936195e-05
153,0.00012183454,0.6931472,0.0,0.0001757700927187239
154,3.0458636e-05,0.6931472,0.0,4.3942523179680975e-05
155,0.000101528785,0.6931472,0.0,0.00014647507726560325
156,1.01528785e-05,0.6931472,0.0,1.4647507726560326e-05
157,3.0458636e-05,0.6931472,0.0,4.3942523179680975e-05
158,2.0305757e-05,0.6931472,0.0,2.9295015453120652e-05
159,4.3880013e-05,1.609438,0.0,4.3942523179680975e-05
160,5.0764393e-05,0.6931472,0.0,7.323753863280163e-05
161,1.01528785e-05,0.6931472,0.0,1.4647507726560326e-05
162,0.00012183454,0.6931472,0.0,0.0001757700927187239
163,4.0611514e-05,0.6931472,0.0,5.8590030906241304e-05
164,2.0305757e-05,0.6931472,0.0,2.9295015453120652e-05
165,0.029294796,1.3862944,0.0,0.039899811047150326
166,2.8232925,5.0875964,0.0,0.9995752222759298
167,0.47131443,2.3025851,0.0,0.5328616835845381
168,0.51640123,2.4849067,0.0,0.542924521392685
169,0.29831046,2.0794415,0.0,0.36752061636712513
170,0.07951405,1.7917595,0.0,0.10686821637298413
171,1.6126782,3.6888795,0.0,0.966852690014794
172,0.0015508999,1.0986123,0.0,0.0022117736667106092
173,7.107015e-05,0.6931472,0.0,0.00010253255408592229
174,0.00040611534,0.6931472,0.0,0.000585900309062413
175,0.71320236,2.5649493,0.0,0.7025823556121926
176,0.31563035,2.1972246,0.0,0.38199235400096676
177,0.86216843,2.8332133,0.0,0.7665333743463549
178,1.3969302,3.5263605,0.0,0.9399598658288292
179,0.8520954,2.8903718,0.0,0.7804924492097669
180,0.01314975,1.0986123,0.0,0.018602334812731613
181,0.020609472,1.3862944,0.0,0.029324310468573773
182,0.79953194,2.944439,0.0,0.739816320253109
183,0.015628839,1.609438,0.0,0.022000556605293608
184,1.765359,3.7376697,0.0,0.9828331209444713
185,0.75434655,2.5649493,0.0,0.7197345871599947
186,0.0028202515,2.5649493,0.0,0.0038815895475384863
187,0.005216479,1.3862944,0.0,0.007279811340100482
188,0.018211761,1.3862944,0.0,0.025882146152832096
189,0.013591889,1.3862944,0.0,0.01942259524541899
190,0.005247502,1.0986123,0.0,0.007484876448272326
191,1.3745222,3.9318256,0.0,0.9283883347248466
192,0.6608544,2.5649493,0.0,0.6647185481390342
193,0.08485357,1.609438,0.0,0.11612544125617026
194,1.2018342,3.3672957,0.0,0.9053038625477875
195,2.0966244,3.9512436,0.0,0.9956789852206647
196,0.0037820407,1.0986123,0.0,0.00540493035110076
197,1.1054742,3.0910425,0.0,0.863543818019364
198,0.032546278,1.3862944,0.0,0.046037116784579106
199,1.0111393,3.3322046,0.0,0.8378667369747037
200,3.3607814,5.273,0.6931472,1.0
201,0.6567392,2.6390574,0.0,0.669054210426096
202,2.4667616,4.304065,0.0,0.9990479119977735
203,0.31871155,2.8332133,0.0,0.3676085014134845
204,0.01708089,1.609438,0.0,0.023201652238871558
205,0.024250396,1.609438,0.0,0.03424587306469804
206,0.0039563645,1.0986123,0.0,0.005639290474725726
207,0.00065917353,1.0986123,0.0,0.0009081454790467402
208,1.93874,4.2341065,0.0,0.989204786805525
209,0.95437247,2.9957323,0.0,0.8107688476805671
210,0.27045217,2.8332133,0.0,0.3137056729797425
211,1.314148,3.218876,0.0,0.9078964714153887
212,0.7117998,3.1780539,0.0,0.6634002724436437
213,0.0029979218,3.1354942,0.0,0.004247777240702495
214,3.0458636e-05,0.6931472,0.0,4.3942523179680975e-05
215,0.7800134,2.6390574,0.0,0.7453091356505691
216,0.56930935,3.0445225,0.0,0.5938978482811149
217,2.7886717,4.6821313,0.0,0.9997070498454688
218,1.5570607,3.5553482,0.0,0.9639964260081147
219,0.8087367,2.7725887,0.0,0.7534970924697163
220,0.95436305,2.7725887,0.0,0.8333699521026497
221,0.589996,2.5649493,0.0,0.6207613774516266
222,2.22054,4.4308167,0.0,0.996235590514274
223,2.9226792,4.5108595,0.0,0.9999267624613672
224,0.5231909,2.5649493,0.0,0.5485638118674108
225,0.024514588,1.3862944,0.0,0.034070102971979314
226,0.21510318,2.0794415,0.0,0.2695580846918897
227,0.0004137796,1.0986123,0.0,0.0005712528013358527
228,0.9543294,2.7725887,0.0,0.8282872669215333
229,0.00018275186,1.3862944,0.0,0.0002490076313515255
230,0.05060684,2.1972246,0.0,0.06693911031038069
231,0.0022506837,1.0986123,0.0,0.003178509176663591
232,8.122303e-05,0.6931472,0.0,0.00011718006181248261
233,0.000101528785,0.6931472,0.0,0.00014647507726560325
234,0.0016507034,1.3862944,0.0,0.0023582487439762125
235,0.20002481,1.9459102,0.0,0.24978394926103323
236,0.04696444,1.3862944,0.0,0.06541576950681842
237,0.5346306,2.9957323,0.0,0.5632552621171507
238,0.9210628,2.8903718,0.0,0.8092308593692783
239,0.043946374,1.9459102,0.0,0.06023055177161606
240,0.42709115,2.6390574,0.0,0.46095706815485343
241,1.0328642,3.2580965,0.0,0.8322713890231577
242,2.3194046,3.9512436,0.0,0.9980958239955472
