gene,mean,max,min,nonzero_fraction
SAMD11,0.00024487055,1.0986123,0.0,0.0003479864240101594
NOC2L,0.72171485,3.1780539,0.0,0.7044736592354242
KLHL17,0.16725862,2.3025851,0.0,0.2179705612523896
PLEKHN1,0.06061339,1.7917595,0.0,0.0798741825708514
PERM1,0.00013653183,1.3862944,0.0,0.00018981077673281422
HES4,0.007244496,1.3862944,0.0,0.010313052202482905
ISG15,0.75515115,3.8286414,0.0,0.7048894352225531
AGRN,1.8884507,4.564348,0.0,0.9866273788487524
RNF223,8.457869e-05,0.6931472,0.0,0.000122021213613952
C1orf159,0.26024377,2.0794415,0.0,0.32634799546261856
TTLL10,0.078773916,2.6390574,0.0,0.10542632856245453
TNFRSF18,0.0058917045,1.0986123,0.0,0.008428502347778536
TNFRSF4,0.0004999061,1.0986123,0.0,0.0007185693690599396
SDF4,2.3241653,4.3820267,0.0,0.9974465931225228
B3GALT6,0.116584815,1.9459102,0.0,0.15697351235803736
C1QTNF12,0.059662502,1.609438,0.0,0.08292923221540811
UBE2J2,2.0799096,4.0943446,0.0,0.9946084700799465
SCNN1D,0.017589474,1.9459102,0.0,0.025036945311899778
ACAP3,0.7277038,3.5553482,0.0,0.7012242795099266
PUSL1,0.8440057,2.7725887,0.0,0.7744370076782978
INTS11,1.9654531,4.0430512,0.0,0.992737478137866
CPTP,0.6329913,2.8332133,0.0,0.6504273002128592
TAS1R3,0.0014877198,1.0986123,0.0,0.002133111586140198
DVL1,1.1288458,3.465736,0.0,0.8770206938939681
MXRA8,0.46500936,3.1780539,0.0,0.4897344004917003
AURKAIP1,1.4371796,3.218876,0.0,0.9488957080167937
CCNL2,2.5074735,5.159055,0.0,0.9978216953717806
ANKRD65,0.004011204,1.3862944,0.0,0.005689803997776502
TMEM88B,0.00018795257,0.6931472,0.0,0.0002711582524754489
VWA1,0.6524741,3.1780539,0.0,0.6527140681420689
ATAD3C,0.027131319,2.4849067,0.0,0.03789888508765191
ATAD3B,0.8780872,3.5553482,0.0,0.7834304230520669
ATAD3A,1.5477486,3.4011974,0.0,0.9627157402846258
TMEM240,0.3656568,2.3978953,0.0,0.42496373258373143
SSU72,2.5613735,4.3307333,0.0,0.9996610521844057
FNDC10,0.3960403,2.3978953,0.0,0.4581037903404392
MIB2,0.44717446,2.8903718,0.0,0.503934054312998
MMP23B,0.2552891,2.5649493,0.0,0.3030193471413141
CDK11B,1.2490896,3.6635616,0.0,0.9198456205682574
CDK11A,0.20293486,2.1972246,0.0,0.26329918245786876
NADK,1.384273,3.5263605,0.0,0.9438431259123345
GNB1,1.5329393,3.713572,0.0,0.962878435236111
CALML6,0.039040424,1.609438,0.0,0.053739046336426045
TMEM52,0.42982325,2.3978953,0.0,0.4871855129184311
CFAP74,0.013458093,1.9459102,0.0,0.018908768805954636
GABRD,0.123151414,2.0794415,0.0,0.1617187817763577
PRKCZ,1.0836049,4.1431346,0.0,0.8576961491008844
FAAP20,0.8652895,2.9957323,0.0,0.7836744654792948
SKI,2.5458117,4.574711,0.0,0.9993311429772272
RER1,2.6465805,4.3820267,0.0,0.9996746100970295
PEX10,1.0095044,2.944439,0.0,0.8435642848427056
PLCH2,0.0012723426,1.0986123,0.0,0.00183031820420928
PANK4,0.89089036,3.3322046,0.0,0.7984209551097513
HES5,0.00043412283,1.7917595,0.0,0.0006191446764856083
TNFRSF14,0.0015315752,1.0986123,0.0,0.002196381845051136
PRXL2B,0.47166735,2.6390574,0.0,0.5260696063234105
MMEL1,0.009349402,1.3862944,0.0,0.013386179063871326
ACTRT2,0.00048477575,1.0986123,0.0,0.0006914535438123946
PRDM16,0.006631904,1.3862944,0.0,0.009395633448274304
ARHGEF16,0.5153645,2.7080503,0.0,0.5607326695981887
MEGF6,0.51703745,3.0445225,0.0,0.5334993424412378
TPRG1L,1.042968,3.4339871,0.0,0.8520831732746427
WRAP73,0.47611746,2.5649493,0.0,0.5299878430716807
TP73,0.1514202,2.0794415,0.0,0.19685637199296796
CCDC27,0.0027512205,2.1972246,0.0,0.0039001595314385397
SMIM1,0.05891114,1.609438,0.0,0.08112602983644639
LRRC47,2.1597488,4.356709,0.0,0.9966557148861361
CEP104,1.0004103,3.0445225,0.0,0.8420729144540906
DFFB,0.10148194,1.7917595,0.0,0.137929164425845
C1orf174,1.648838,3.6109178,0.0,0.9674564903987382
AJAP1,0.48958194,2.7725887,0.0,0.5131579542013711
NPHP4,0.30727878,2.4849067,0.0,0.37640380886958646
