gene,ctrl_mean,pert_mean,delta,abs_delta
CD24,260.1981,245.56688,-14.63121,14.63121
HSPA8,147.3344,141.3897,-5.944702,5.944702
DNMT3B,92.21915,86.44776,-5.771385,5.771385
L1TD1,88.01592,83.86959,-4.146332,4.146332
OAZ1,135.86053,132.37086,-3.4896698,3.4896698
SLC16A1,87.73334,84.29588,-3.4374542,3.4374542
SCD,104.742615,101.499405,-3.2432098,3.2432098
PODXL,63.391922,60.153797,-3.2381248,3.2381248
ACTB,426.9014,423.7728,-3.128601,3.128601
SFRP1,77.13474,74.16357,-2.9711761,2.9711761
CLDN6,89.511894,86.780266,-2.7316284,2.7316284
TERF1,56.261395,53.710503,-2.5508919,2.5508919
LAPTM4B,105.0055,102.796394,-2.2091064,2.2091064
LIN28A,112.17773,110.00486,-2.1728668,2.1728668
HSPD1,78.0493,75.89404,-2.1552582,2.1552582
ERBB2,26.24628,24.111929,-2.1343517,2.1343517
ACTG1,133.63652,131.55788,-2.0786438,2.0786438
MCM5,41.37809,39.320152,-2.0579376,2.0579376
HELLS,68.92522,66.86786,-2.0573578,2.0573578
HSP90AA1,72.40623,70.3493,-2.0569305,2.0569305
LDHB,114.939255,112.92157,-2.017685,2.017685
GJA1,63.48038,61.485474,-1.9949074,1.9949074
MGST1,61.828506,59.869087,-1.9594193,1.9594193
MCM4,53.2988,51.372093,-1.9267082,1.9267082
MFGE8,42.9512,41.04032,-1.9108772,1.9108772
SEPHS1,60.012756,58.13691,-1.8758469,1.8758469
POU5F1,177.51881,175.70706,-1.8117523,1.8117523
LPCAT1,52.062973,50.279465,-1.7835083,1.7835083
HNRNPA2B1,99.7517,98.002,-1.7497025,1.7497025
IGF2BP1,61.35381,59.707836,-1.6459732,1.6459732
MEST,46.054615,44.417538,-1.6370773,1.6370773
SFRP2,47.751205,46.146896,-1.6043091,1.6043091
PHC1,46.30975,44.748325,-1.5614243,1.5614243
MCM7,48.134876,46.591133,-1.5437431,1.5437431
JARID2,37.962936,36.46974,-1.4931946,1.4931946
VCAN,47.075047,45.6244,-1.4506454,1.4506454
DHCR24,39.732292,38.286125,-1.446167,1.446167
MAD2L2,64.13765,62.722137,-1.4155121,1.4155121
CLIC4,53.15075,51.736664,-1.4140854,1.4140854
CENPV,35.325832,33.916084,-1.4097481,1.4097481
FADS2,73.1519,71.745415,-1.4064865,1.4064865
IVNS1ABP,33.59797,32.194366,-1.4036026,1.4036026
PGRMC1,47.811348,46.43584,-1.3755074,1.3755074
PRDX1,57.11937,55.82834,-1.2910309,1.2910309
NCL,46.45783,45.176502,-1.2813263,1.2813263
NOP16,31.331282,30.055277,-1.2760048,1.2760048
RAB34,28.647291,27.37465,-1.2726421,1.2726421
HMGCR,34.657665,33.398746,-1.2589188,1.2589188
MCM6,23.930376,22.677374,-1.2530022,1.2530022
SNRPN,59.586494,58.34628,-1.2402153,1.2402153
ENAH,65.11866,63.88074,-1.2379189,1.2379189
USP9X,35.453663,34.21873,-1.234932,1.234932
ENO1,57.870495,56.65002,-1.2204742,1.2204742
SERBP1,44.403473,43.20898,-1.1944923,1.1944923
HNRNPD,60.42265,59.23297,-1.1896782,1.1896782
PFN2,55.44955,54.28925,-1.1603012,1.1603012
KDM1A,42.56347,41.40986,-1.1536102,1.1536102
PMAIP1,21.691744,22.839205,1.1474609,1.1474609
CDK2AP1,34.260506,33.133717,-1.1267891,1.1267891
KRT18,43.43171,42.320694,-1.1110153,1.1110153
MYCN,18.595976,17.485321,-1.1106548,1.1106548
ZNF121,41.776825,40.672802,-1.104023,1.104023
VASH2,22.697847,21.612314,-1.0855331,1.0855331
MSH6,30.976242,29.900856,-1.075386,1.075386
SKIL,27.715528,26.644642,-1.0708866,1.0708866
PCDH1,30.687029,29.618235,-1.0687943,1.0687943
MYBL2,38.09553,37.03937,-1.05616,1.05616
SRSF3,41.76831,40.716118,-1.0521927,1.0521927
DPPA4,37.415077,36.363754,-1.0513229,1.0513229
HMGCS1,41.869972,40.81932,-1.0506516,1.0506516
HSPE1,39.137756,38.11125,-1.0265045,1.0265045
HNRNPU,44.703922,43.68224,-1.0216827,1.0216827
DCUN1D5,29.312815,28.292261,-1.0205536,1.0205536
TUBB2B,122.15007,121.13236,-1.0177078,1.0177078
NREP,46.40156,45.384014,-1.0175476,1.0175476
G3BP2,32.153397,31.14175,-1.0116463,1.0116463
FABP5,33.159916,32.153793,-1.0061226,1.0061226
SLC38A1,36.869236,35.865166,-1.0040703,1.0040703
CTSC,39.290443,38.312172,-0.9782715,0.9782715
PPM1G,37.397186,36.42752,-0.9696655,0.9696655
MCM3,29.849695,28.880533,-0.969162,0.969162
SLC39A10,26.889853,25.93055,-0.9593029,0.9593029
DDX1,38.10352,37.1539,-0.9496193,0.9496193
HMGN3,34.630814,33.68553,-0.945282,0.945282
HSP90B1,29.71021,28.76573,-0.9444809,0.9444809
