gene,mean,max,min,nonzero_fraction
SAMD11,0.00035702504,2.0,0.0,0.0003479864240101594
NOC2L,1.3947251,23.0,0.0,0.7044736592354242
KLHL17,0.2601176,9.0,0.0,0.2179705612523896
PLEKHN1,0.09337334,5.0,0.0,0.0798741825708514
PERM1,0.00020336869,3.0,0.0,0.00018981077673281422
HES4,0.010552575,3.0,0.0,0.010313052202482905
ISG15,1.5323515,45.0,0.0,0.7048894352225531
AGRN,6.6405344,95.0,0.0,0.9866273788487524
RNF223,0.000122021214,1.0,0.0,0.000122021213613952
C1orf159,0.41606072,7.0,0.0,0.32634799546261856
TTLL10,0.119987525,13.0,0.0,0.10542632856245453
TNFRSF18,0.008550524,2.0,0.0,0.008428502347778536
TNFRSF4,0.0007230887,2.0,0.0,0.0007185693690599396
SDF4,10.494525,79.0,0.0,0.9974465931225228
B3GALT6,0.17673191,6.0,0.0,0.15697351235803736
C1QTNF12,0.08837047,4.0,0.0,0.08292923221540811
UBE2J2,8.034021,59.0,0.0,0.9946084700799465
SCNN1D,0.025642533,6.0,0.0,0.025036945311899778
ACAP3,1.4323528,34.0,0.0,0.7012242795099266
PUSL1,1.7100956,15.0,0.0,0.7744370076782978
INTS11,7.058195,56.0,0.0,0.992737478137866
CPTP,1.1720951,16.0,0.0,0.6504273002128592
TAS1R3,0.0021557081,2.0,0.0,0.002133111586140198
DVL1,2.6457317,31.0,0.0,0.8770206938939681
MXRA8,0.86423105,23.0,0.0,0.4897344004917003
AURKAIP1,3.885291,24.0,0.0,0.9488957080167937
CCNL2,13.101223,173.0,0.0,0.9978216953717806
ANKRD65,0.0058570183,3.0,0.0,0.005689803997776502
TMEM88B,0.00027115826,1.0,0.0,0.0002711582524754489
VWA1,1.2437758,23.0,0.0,0.6527140681420689
ATAD3C,0.040122382,11.0,0.0,0.03789888508765191
ATAD3B,1.8284563,34.0,0.0,0.7834304230520669
ATAD3A,4.4363794,29.0,0.0,0.9627157402846258
TMEM240,0.61913115,10.0,0.0,0.42496373258373143
SSU72,13.19489,75.0,0.0,0.9996610521844057
FNDC10,0.6721742,10.0,0.0,0.4581037903404392
MIB2,0.77479404,17.0,0.0,0.503934054312998
MMP23B,0.42791033,12.0,0.0,0.3030193471413141
CDK11B,3.024246,38.0,0.0,0.9198456205682574
CDK11A,0.31608012,8.0,0.0,0.26329918245786876
