target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
ACAT2,non-targeting,NOC2L,0.93116844,1.015982,-0.0834794268012046,0.9165205955505372,0.0024425905973831,32273615.0,0.0157141636818957
ACAT2,non-targeting,PLEKHN1,0.037945125,0.056064565,-0.3231888115406036,0.6768112182617188,0.0007657298029601,32958195.5,0.0055747744372715
ACAT2,non-targeting,ISG15,0.6866661,1.0392883,-0.3392920196056366,0.6607080101966858,1.9160726854337512e-44,27165952.0,1.343256849656542e-42
ACAT2,non-targeting,AGRN,5.0938325,5.5631676,-0.0843647196888923,0.9156352877616882,5.77852783055081e-13,30277903.0,1.1700289291065997e-11
ACAT2,non-targeting,SDF4,8.665785,9.255539,-0.0637190416455268,0.9362809658050536,5.672304510759117e-10,30754476.0,9.171733392862558e-09
ACAT2,non-targeting,UBE2J2,6.509136,6.9614334,-0.064971849322319,0.9350281357765198,7.635525914217887e-11,30608456.0,1.3240965713510395e-09
ACAT2,non-targeting,MXRA8,0.32441685,0.5648588,-0.4256673455238342,0.5743326544761658,2.41489332814476e-43,27591504.5,1.64243027107927e-41
ACAT2,non-targeting,AURKAIP1,2.842698,3.1471806,-0.0967476963996887,0.9032523036003112,1.4453232471111486e-09,30825188.0,2.25796632746648e-08
ACAT2,non-targeting,ATAD3B,1.2531099,1.3789184,-0.0912370681762695,0.9087629318237304,4.99216486123e-05,31778427.5,0.0004567894902275
ACAT2,non-targeting,FNDC10,0.40353158,0.4536232,-0.1104256212711334,0.889574408531189,0.001466795545713,32311933.0,0.0099968574587198
ACAT2,non-targeting,MMP23B,0.19333313,0.2732023,-0.2923444211483001,0.7076556086540222,1.7059555537461258e-11,31112998.0,3.112379052646817e-10
ACAT2,non-targeting,NADK,1.5495622,2.9543545,-0.4754988849163055,0.5245010852813721,6.955021640267083e-225,18530797.5,5.5071587411399495e-222
ACAT2,non-targeting,TMEM52,0.60277843,0.50913835,0.183918759226799,1.1839187145233154,1.8803375569204525e-07,35989757.5,2.3721800504108798e-06
ACAT2,non-targeting,GABRD,0.090094276,0.1263557,-0.2869789004325866,0.7130210995674133,1.4833812763580672e-06,32217794.0,1.683656994e-05
ACAT2,non-targeting,SKI,12.348589,11.850527,0.0420286916196346,1.0420286655426023,5.007689017691229e-06,35851952.5,5.31197176617e-05
ACAT2,non-targeting,RER1,12.588254,13.224993,-0.0481466241180896,0.9518533945083618,7.80086055761e-10,30778320.5,1.24710762981834e-08
ACAT2,non-targeting,PANK4,1.284998,1.3860621,-0.0729145407676696,0.9270854592323304,0.0009083632715731,32125771.0,0.006507591215296
ACAT2,non-targeting,MMEL1,0.0029383441,0.008254937,-0.6440500617027283,0.3559499084949493,0.0012516307909884,33399240.0,0.0086821790174583
ACAT2,non-targeting,TPRG1L,1.8811657,1.7674154,0.0643597096204757,1.0643596649169922,0.0028036462588638,35103324.0,0.0177465017015727
ACAT2,non-targeting,TP73,0.083419956,0.15367001,-0.4571487605571747,0.5428512096405029,3.3325229202260467e-19,30763789.5,9.66506486969633e-18
ACAT2,non-targeting,LRRC47,7.182952,7.6639924,-0.0627663061022758,0.9372336864471436,1.52165464969155e-09,30828934.0,2.371614269683908e-08
ACAT2,non-targeting,C1orf174,4.404405,4.152028,0.0607840381562709,1.0607839822769165,0.0010568431856691,35241239.5,0.0074605550062727
ACAT2,non-targeting,AJAP1,0.44406605,0.6084492,-0.2701674401760101,0.7298325300216675,2.6895142111888055e-17,29910801.5,7.067793159635699e-16
ACAT2,non-targeting,KCNAB2,0.25371262,0.40658087,-0.3759848475456238,0.6240151524543762,3.099426872438545e-27,29122479.0,1.2599333999930054e-25
ACAT2,non-targeting,ICMT,12.278299,12.993877,-0.0550704039633274,0.9449295997619628,1.5077537742317966e-09,30828233.0,2.3508944351146307e-08
ACAT2,non-targeting,GPR153,0.090939574,0.10992598,-0.1727198958396911,0.8272801041603088,0.0042940646653258,32857556.0,0.0257547014891827
ACAT2,non-targeting,ACOT7,6.102024,5.747794,0.0616288483142852,1.061628818511963,8.764217936057469e-07,36019155.5,1.02342608205e-05
ACAT2,non-targeting,TNFRSF25,0.36016768,0.45788848,-0.2134161591529846,0.7865838408470154,7.312581451011422e-10,31029419.0,1.1719836240961483e-08
ACAT2,non-targeting,PLEKHG5,0.8468672,0.9499248,-0.1084902957081794,0.8915097117424011,6.31931855181e-05,31830376.5,0.0005681416181844
ACAT2,non-targeting,DNAJC11,12.932406,13.441751,-0.0378926917910575,0.9621073007583618,2.16192733947e-05,31678807.0,0.0002096114596876
ACAT2,non-targeting,CAMTA1,14.800506,13.160379,0.1246260628104209,1.1246260404586792,1.425811151323429e-52,40916836.0,1.2248336529582322e-50
ACAT2,non-targeting,PER3,0.677284,0.48537782,0.3953748643398285,1.3953748941421509,2.4997631706404513e-22,37932358.5,8.371644503305633e-21
ACAT2,non-targeting,ENO1,50.882996,52.814465,-0.0365708321332931,0.9634291529655457,3.115749401971499e-09,30884187.5,4.7204895830544995e-08
ACAT2,non-targeting,SPSB1,0.39111403,0.4744606,-0.1756659597158432,0.8243340253829956,4.4618632367989006e-07,31506530.5,5.392292104988131e-06
ACAT2,non-targeting,SLC25A33,6.5028496,6.8220825,-0.0467940606176853,0.953205943107605,8.2481375824e-05,31825807.0,0.000727693980822
ACAT2,non-targeting,PIK3CD,1.5715005,1.3100411,0.1995811313390731,1.1995811462402344,1.1265075288850171e-13,37181935.5,2.3908971813555843e-12
ACAT2,non-targeting,CLSTN1,4.1023507,4.2903357,-0.0438159070909023,0.9561840891838074,0.0007161554272223,32088061.0,0.0052480200997794
ACAT2,non-targeting,CTNNBIP1,6.1124954,4.621771,0.3225440084934234,1.322543978691101,1.967406707582196e-98,43662488.5,3.877621359711421e-96
ACAT2,non-targeting,LZIC,5.6316676,5.2642174,0.0698014944791793,1.0698014497756958,3.159659336113372e-08,36310318.5,4.327557254451526e-07
ACAT2,non-targeting,RBP7,0.26617453,0.30677378,-0.1323426514863968,0.8676573634147644,0.0011306760194122,32404068.5,0.0079242137264246
ACAT2,non-targeting,KIF1B,13.252011,12.696689,0.0437375977635383,1.0437376499176023,1.7483193688140318e-07,36164427.5,2.215057872146716e-06
ACAT2,non-targeting,PGD,4.172796,3.794015,0.09983641654253,1.0998364686965942,2.4993954806233828e-11,36850637.0,4.5019496851529997e-10
ACAT2,non-targeting,DFFA,8.538498,9.365449,-0.0882980674505233,0.9117019176483154,6.480634648983361e-15,29999144.5,1.486047278941648e-13
ACAT2,non-targeting,CASZ1,0.4446578,0.49418545,-0.1002207696437835,0.8997792601585388,0.0042923237245771,32444787.5,0.0257459679326167
ACAT2,non-targeting,SRM,28.905123,28.309406,0.0210430584847927,1.021043062210083,0.0006921874772768,35297008.5,0.0050887445977173
ACAT2,non-targeting,FBXO44,1.0912302,0.98522806,0.1075914278626442,1.1075913906097412,2.48682518372e-05,35659745.5,0.0002387986155001
ACAT2,non-targeting,MAD2L2,61.383766,59.006184,0.0402937866747379,1.04029381275177,1.230153498021589e-15,37479609.0,2.939621364555951e-14
ACAT2,non-targeting,DRAXIN,3.5001698,3.1535943,0.109898567199707,1.109898567199707,3.776640519040297e-13,37129762.5,7.740514727658166e-12
ACAT2,non-targeting,AGTRAP,8.064129,7.6985474,0.0474870763719081,1.0474870204925537,1.07841071584e-05,35774455.0,0.00010918576351
ACAT2,non-targeting,MTHFR,1.9667429,1.4433466,0.362626850605011,1.3626269102096558,1.3546401584977682e-43,40219019.0,9.280748035483003e-42
ACAT2,non-targeting,CLCN6,2.3739252,1.7107935,0.3876164555549621,1.387616515159607,2.4065317736528506e-50,40741344.0,1.9687825550969924e-48
ACAT2,non-targeting,PLOD1,1.6293985,1.963839,-0.1702993810176849,0.8297005891799927,4.603202426437291e-19,29469648.0,1.3246906812922252e-17
ACAT2,non-targeting,MFN2,1.669831,1.7854333,-0.0647474527359008,0.9352525472640992,0.0003440506448314,31997267.5,0.0027032835461321
ACAT2,non-targeting,TNFRSF8,0.3753386,0.66973406,-0.439570665359497,0.5604293346405029,1.2684479521719193e-57,26439326.5,1.2292409670502927e-55
ACAT2,non-targeting,TNFRSF1B,0.03567791,0.053369027,-0.3314865827560425,0.6685134172439575,7.39175950648e-05,32834313.0,0.0006571637555635
ACAT2,non-targeting,PDPN,17.285845,16.106108,0.07324780523777,1.0732477903366089,1.2629066624895674e-12,37051927.0,2.497905312089638e-11
ACAT2,non-targeting,KAZN,0.5390525,0.6197624,-0.1302272081375122,0.8697727918624878,5.56062227091e-05,31878312.0,0.0005047666219946
ACAT2,non-targeting,TMEM51,0.27806693,0.32876396,-0.1542049497365951,0.8457950353622437,0.0001287125784963,32123819.5,0.0010967340482661
ACAT2,non-targeting,EFHD2,3.6286001,4.0223007,-0.0978794544935226,0.9021205306053162,2.564919071171089e-12,30375461.0,4.964005224445867e-11
ACAT2,non-targeting,CASP9,1.1461234,1.0012472,0.1446957886219024,1.14469575881958,1.0665474801281752e-07,36175349.5,1.383993285058308e-06
ACAT2,non-targeting,DNAJC16,0.3118856,0.34784308,-0.103372722864151,0.8966273069381714,0.0045430162165206,32517077.0,0.0270412290352902
ACAT2,non-targeting,PLEKHM2,1.1517615,1.3039159,-0.1166902929544448,0.8833097219467163,3.984897909459641e-07,31302006.5,4.845990372832853e-06
ACAT2,non-targeting,ZBTB17,0.98978513,1.0825709,-0.0857087299227714,0.914291262626648,0.0007424585658457,32109876.0,0.005422674864197
ACAT2,non-targeting,HSPB7,0.0007609062,0.004841861,-0.8428483605384827,0.1571516096591949,0.0027314316632347,33486708.0,0.0173440474612328
ACAT2,non-targeting,EPHA2,2.5980814,2.8412273,-0.0855777859687805,0.9144222140312196,5.431766803863068e-06,31537210.5,5.73278003271e-05
ACAT2,non-targeting,ARHGEF19,0.81340593,0.90885997,-0.1050261184573173,0.894973874092102,5.01508474195e-05,31803580.0,0.0004586766653799
ACAT2,non-targeting,NECAP2,1.80237,1.9297462,-0.0660067126154899,0.9339932799339294,0.001994980316983,32228415.5,0.0131379986400715
ACAT2,non-targeting,ATP13A2,0.974022,0.89687073,0.0860226973891258,1.0860227346420288,0.0024777468524354,35098298.5,0.0159139122884666
ACAT2,non-targeting,SDHB,9.704632,10.817163,-0.1028487458825111,0.8971512317657471,6.84172952134967e-32,28124506.5,3.2878126095331456e-30
ACAT2,non-targeting,RCC2,5.736886,5.965367,-0.0383012183010578,0.9616987705230712,0.0038873879352712,32323024.5,0.0236121661861531
ACAT2,non-targeting,ARHGEF10L,1.6686783,1.5547523,0.073275938630104,1.0732759237289429,0.000601446866911,35310257.0,0.0044792637733425
ACAT2,non-targeting,ACTL8,0.21822752,0.29986015,-0.2722356617450714,0.7277643084526062,7.229073727463869e-10,31277618.0,1.1594563811509856e-08
ACAT2,non-targeting,IGSF21,2.3395104,2.7695215,-0.1552654653787613,0.8447345495223999,5.718384923656097e-19,29477875.5,1.6378792747484117e-17
ACAT2,non-targeting,ALDH4A1,1.211462,1.1295187,0.0725470706820488,1.0725470781326294,0.0028783580341707,35090395.0,0.0181577487786165
ACAT2,non-targeting,IFFO2,0.7930354,0.737412,0.075430579483509,1.0754306316375732,0.0090875250343221,34884971.0,0.04893060652216
ACAT2,non-targeting,MRTO4,1.0702363,1.2100747,-0.1155617460608482,0.8844382762908936,4.494349678396136e-07,31318004.0,5.42985915037769e-06
ACAT2,non-targeting,CAPZB,8.545642,8.108241,0.0539452172815799,1.0539451837539673,1.25463110882e-05,35758850.0,0.000125892500865
ACAT2,non-targeting,NBL1,0.5574984,0.6557915,-0.1498847156763076,0.8501152992248535,1.1684426783373412e-06,31497860.0,1.34371527346e-05
ACAT2,non-targeting,HTR6,0.014862222,0.024383705,-0.3904854953289032,0.6095144748687744,0.000159038141081,33126815.0,0.0013345857992819
ACAT2,non-targeting,TMCO4,0.17773654,0.22572225,-0.2125874459743499,0.7874125242233276,2.826065270698498e-06,31955862.0,3.095931901e-05
ACAT2,non-targeting,UBXN10,0.16067201,0.21030818,-0.2360163629055023,0.7639836668968201,1.96930005802028e-06,31973652.0,2.20004239174e-05
ACAT2,non-targeting,CAMK2N1,0.59262747,0.6517026,-0.090647354722023,0.9093526601791382,0.0046978445653837,32412342.5,0.0278281337206404
ACAT2,non-targeting,MUL1,1.312504,1.472496,-0.1086535900831222,0.8913463950157166,1.1882794368010005e-07,31190894.0,1.5345780155258631e-06
ACAT2,non-targeting,FAM43B,0.030442294,0.042339683,-0.2809985280036926,0.7190014719963074,0.0007058172794383,33028040.0,0.0051786285253815
ACAT2,non-targeting,CDA,0.27167106,0.50638056,-0.4635041654109955,0.5364958047866821,1.707618109500715e-47,27410990.5,1.2961265919300141e-45
ACAT2,non-targeting,PINK1,2.086659,1.7681043,0.1801673322916031,1.180167317390442,8.930136302485342e-13,37067497.5,1.7855663842179563e-11
ACAT2,non-targeting,KIF17,0.5325077,0.81917375,-0.3499453365802765,0.6500546336174011,3.142151139445143e-38,27752741.0,1.846281852491654e-36
ACAT2,non-targeting,SH2D5,0.34831655,0.30661082,0.1360217034816742,1.1360217332839966,0.001203220672331,34996349.0,0.0083794732252113
ACAT2,non-targeting,HP1BP3,1.0950009,1.1974828,-0.0855811536312103,0.914418876171112,9.47225612713e-05,31855194.5,0.0008264169800637
ACAT2,non-targeting,ECE1,3.9157984,4.747136,-0.1751240491867065,0.8248759508132935,1.1676441072109015e-40,27367564.5,7.368588292625864e-39
ACAT2,non-targeting,ALPL,17.212261,21.229164,-0.1892162561416626,0.8107837438583374,1.5196513352548267e-151,21272483.5,5.900206759070996e-149
ACAT2,non-targeting,WNT4,0.0059044287,0.017381605,-0.660305917263031,0.3396941125392914,1.54562431595e-05,33140972.5,0.0001530639624933
ACAT2,non-targeting,EPHA8,0.14762938,0.2285431,-0.3540413975715637,0.6459586024284363,6.400856115145294e-16,30691269.5,1.5558253895831537e-14
ACAT2,non-targeting,LUZP1,5.8021784,6.0195975,-0.0361185520887374,0.9638814330101012,0.0033007913621141,32298832.5,0.02047166239564
ACAT2,non-targeting,HNRNPR,1.6207318,1.7330818,-0.0648267045617103,0.935173273086548,0.0017363773446444,32209565.0,0.0116158247623967
ACAT2,non-targeting,ZNF436,0.2430827,0.20598085,0.1801228076219558,1.1801228523254397,0.0006491315846994,34898724.0,0.0048015624528284
ACAT2,non-targeting,ASAP3,1.7104197,1.4862468,0.1508314907550811,1.1508314609527588,3.3851617217693345e-12,36977385.5,6.49951050579712e-11
ACAT2,non-targeting,ID3,6.776258,5.9239454,0.1438758373260498,1.1438758373260498,7.014120795898882e-17,37643170.0,1.8012684625233432e-15
ACAT2,non-targeting,ELOA,2.5350194,2.6912146,-0.0580389127135276,0.941961109638214,5.88747889225e-05,31788169.5,0.0005320241492692
ACAT2,non-targeting,PITHD1,5.8894744,6.4864335,-0.0920319482684135,0.907968044281006,4.615116892609838e-16,29844285.0,1.131100900344122e-14
ACAT2,non-targeting,GALE,1.2715645,1.3682234,-0.070645585656166,0.9293544292449952,0.0028878336725844,32287136.5,0.0182103235948359
