gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ACAT2,1.7601122,0.12707502,-1.6330371,True,0.3223385,0.0925064
SP1,1.8028007,0.6498582,-1.1529424,False,0.22577086,0.46872997
PLCB4,1.0252194,0.28795978,-0.7372596,False,0.3425933,0.19948198
MVD,1.8713977,2.594795,0.72339725,True,0.34796846,0.47266138
HMGCS1,3.5301554,4.247758,0.7176025,True,0.36374408,0.5352035
EXD2,1.2053251,0.54252297,-0.66280216,False,0.29614726,0.32754564
NQO1,2.009532,1.4094768,-0.6000552,True,0.24418247,0.3827706
ASS1,1.6960539,1.1226885,-0.57336533,True,0.34041834,0.39361337
HMGCR,3.3971014,3.9698868,0.5727854,True,0.26202345,0.33062825
HVCN1,0.591258,0.0523636,-0.5388944,False,0.27980593,0.038897205
DHCR7,2.2212503,2.7601316,0.5388813,True,0.27521834,0.32433134
LSS,1.536261,2.0401933,0.50393236,True,0.30171183,0.3131896
SLC41A3,0.9643766,1.4598826,0.495506,False,0.31436598,0.3052569
ADI1,2.3717785,1.8962106,-0.47556794,True,0.17436641,0.27319598
CRABP2,2.2048934,1.745016,-0.45987737,True,0.37365532,0.4794753
PACSIN3,1.8271953,1.3685721,-0.45862317,False,0.2441111,0.35079643
SVBP,1.7867451,2.2412055,0.45446038,False,0.21889709,0.17830408
SC5D,2.5574994,3.0071847,0.44968534,True,0.2014049,0.26142734
MSMO1,2.504345,2.947292,0.44294715,True,0.36301106,0.3530711
NADK,1.3714765,0.93337774,-0.4380988,False,0.26428053,0.31940007
TPM2,2.4431982,2.0138104,-0.4293878,True,0.211165,0.3052179
CENPI,1.4667261,1.8911716,0.4244455,True,0.324934,0.36160633
PLXND1,1.5982894,1.176155,-0.4221344,True,0.2975896,0.39001948
RCN1,3.3493829,2.9303002,-0.41908264,True,0.09346149,0.16887993
CYB5B,3.1782959,3.5958362,0.4175403,True,0.09055499,0.1773916
PCSK9,0.37149176,0.78751194,0.41602018,True,0.24954328,0.4939731
ABCA1,0.90441024,0.49121723,-0.41319302,True,0.40568152,0.3261683
FGFBP3,1.5303756,1.9388331,0.40845752,True,0.39057454,0.46701747
INSIG1,0.85269517,1.2559339,0.4032387,True,0.41963935,0.53684765
GRPR,0.8029942,1.205612,0.40261775,True,0.6066761,0.83674675
GNG10,1.836933,1.4384819,-0.3984511,False,0.20209353,0.30370593
NSDHL,1.9035813,2.3012962,0.39771497,True,0.25716972,0.29940292
IDI1,1.1688491,1.5563822,0.38753307,True,0.37462935,0.4307613
S100A4,0.6748618,0.2875977,-0.3872641,True,0.3450312,0.1917267
TM7SF2,1.1138376,1.4985013,0.3846637,True,0.32208908,0.34921828
HES6,0.5632351,0.9464046,0.38316947,True,0.28999573,0.43352985
COL1A1,2.260025,1.8775941,-0.3824309,True,0.40600464,0.46045175
PEG10,1.4632176,1.8430153,0.3797977,True,0.36439523,0.3213273
PCYT2,1.2168454,1.5950675,0.3782221,True,0.3310134,0.32434198
FDFT1,1.5083088,1.8864675,0.3781587,True,0.3391564,0.32871026
S100A11,1.5742178,1.2034459,-0.37077188,True,0.29990643,0.36779004
DDR1,1.939464,1.5706826,-0.36878133,False,0.20132962,0.27087677
DHCR24,3.6134932,3.9749303,0.36143708,True,0.08693754,0.1289731
STARD4,1.1796104,1.539198,0.35958767,True,0.3958909,0.50022835
SCD,4.571026,4.9247603,0.3537345,False,0.08660226,0.14033893
ACSS2,0.8820951,1.2327077,0.35061264,True,0.5769565,0.8361558
VRK2,1.0627666,0.71227866,-0.3504879,False,0.30112335,0.31092796
