gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ACVR1B,1.3064927,0.09216009,-1.2143326,True,0.3328906,0.071654566
NARF,1.0857807,0.116690055,-0.9690907,False,0.30421102,0.09273889
PKDCC,2.017514,2.364482,0.34696794,True,0.58726704,0.6040994
ITGB5,2.7919524,2.480368,-0.31158447,True,0.17067133,0.22178654
TMEM63A,1.2596389,0.95130634,-0.30833256,True,0.43629962,0.38413936
DACT1,0.9510262,0.6610307,-0.2899955,True,0.5183046,0.40391588
TTC39C,1.9046897,1.6299592,-0.27473044,True,0.34991878,0.3672816
CHGA,1.5551376,1.8056967,0.2505591,True,0.55296373,0.5664882
IQSEC2,1.9034958,1.6591145,-0.24438131,True,0.3713815,0.42373094
MT1X,1.2593601,1.0188576,-0.24050248,True,0.58770955,0.5549729
SKIL,3.2403889,3.0147667,-0.22562218,True,0.1171775,0.15687685
LEFTY1,0.40002847,0.19455564,-0.20547283,True,0.4464706,0.19514126
SCGB3A2,2.1600077,1.9551414,-0.20486629,True,1.0063828,1.0607446
ID3,1.931087,2.1300702,0.19898319,True,0.3423298,0.3052771
VAT1L,1.7592366,1.957288,0.19805145,True,0.2837038,0.22898254
RASGRF2,0.75367785,0.5643447,-0.18933314,True,0.38033068,0.32388985
MYSM1,2.1659586,1.977789,-0.1881696,True,0.21082062,0.244852
SERPINB9,1.3378824,1.1503901,-0.18749225,True,0.5634636,0.55560243
ID1,2.082082,1.895669,-0.18641305,True,0.44992384,0.52890545
ETS1,1.0753208,0.8921457,-0.18317515,True,0.3374279,0.34277713
FZD5,1.1713068,0.98893696,-0.18236989,True,0.38521338,0.3403565
CAV1,0.51446736,0.33757842,-0.17688894,True,0.30516323,0.2296838
BST2,1.1939828,1.3703127,0.17632985,True,0.5915028,0.620019
DGKK,0.9637905,1.1394947,0.17570418,True,0.4367179,0.46871424
BAMBI,1.3751374,1.200927,-0.17421043,True,0.37343463,0.4032546
PHLDA1,1.0242558,1.1970083,0.1727525,True,0.4561791,0.47831142
NANOG,2.2042422,2.033632,-0.17061019,True,0.2297275,0.271203
EDIL3,1.4273261,1.2594707,-0.16785538,True,0.36399788,0.4006663
SLC6A15,1.7863109,1.6252055,-0.1611054,True,0.29976016,0.33519185
IRX2,0.45888945,0.6195851,0.16069564,True,0.29465783,0.3809954
SLC39A8,1.5447878,1.3855482,-0.15923953,True,0.35716635,0.35548767
SALL1,1.7900298,1.9487692,0.15873945,True,0.30072147,0.2784977
SFRP1,4.2489777,4.407462,0.15848446,True,0.12169684,0.10449914
STOX2,0.6511007,0.49317715,-0.15792355,True,0.30187514,0.2723451
S100A10,3.133715,2.9792829,-0.15443206,True,0.22135624,0.2517157
CCDC141,0.8916808,0.7380169,-0.15366387,True,0.44828832,0.40509683
LEFTY2,0.27116945,0.117789514,-0.15337995,True,0.24489297,0.09725385
ADM,1.0165217,1.1694742,0.15295255,True,0.4694616,0.47186685
NODAL,0.39589173,0.24381733,-0.1520744,True,0.29222062,0.17995253
NPR1,1.1440488,1.295332,0.15128314,True,0.33606455,0.32247838
PPP1R1B,0.60710275,0.7579799,0.15087718,True,0.2975516,0.3385692
METTL7A,1.1035215,0.9560634,-0.14745808,True,0.36541176,0.36140332
CUZD1,0.5141857,0.66013443,0.14594871,True,0.36897147,0.4567714
SPART,1.7157133,1.5711542,-0.14455903,True,0.31890935,0.35950303
ATP1A2,1.028914,1.1719192,0.14300525,True,0.41873628,0.42501256
GAL,2.7219493,2.5794637,-0.14248562,True,0.35849097,0.358171
