gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
AKT2,1.9838557,0.1910899,-1.7927659,False,0.1795739,0.1626619
ZNF483,2.3759708,1.5489556,-0.8270153,True,0.1790779,0.3430546
DHCR7,2.2212503,1.4181577,-0.8030926,True,0.27521834,0.47331837
CNFN,0.9539904,0.18037187,-0.7736185,False,0.30631608,0.1272687
IGSF21,1.3237398,0.6289606,-0.69477916,True,0.34861705,0.3212336
JPH4,1.3973159,0.780955,-0.61636084,True,0.34740102,0.43784314
GJA1,4.070931,3.496703,-0.57422805,True,0.10267221,0.15687118
FAM111B,1.7732221,1.2503811,-0.522841,True,0.3151348,0.43120408
JAZF1,1.1662948,0.6813765,-0.4849183,True,0.3763501,0.34123632
SH3BGRL3,2.2246099,1.7934349,-0.431175,True,0.16962212,0.2758856
PER1,0.8935092,0.48139057,-0.41211864,False,0.3046668,0.25071773
SCRN2,0.7215235,0.32261366,-0.39890987,False,0.29448733,0.18943323
MUC3A,1.0630484,0.66740596,-0.3956424,True,0.61409867,0.52293086
CAPG,1.0828618,0.7488477,-0.33401406,False,0.3175583,0.33685333
TRIM14,1.1966144,0.862867,-0.3337474,False,0.3207373,0.34664533
ARMCX2,2.4285595,2.0999007,-0.32865882,True,0.1969397,0.45916843
BST2,1.1939828,0.88571995,-0.30826288,True,0.5915028,0.52130574
CEP68,1.7721272,1.4650476,-0.30707955,False,0.2420327,0.3047119
HEBP2,2.3627238,2.0595384,-0.30318546,False,0.14845626,0.22090444
FXYD5,2.6599867,2.375825,-0.2841618,False,0.12727645,0.17869356
EPHB3,0.13883664,0.42005634,0.28121972,True,0.11021578,0.26455402
ZNF626,1.9048305,1.6306074,-0.2742231,False,0.21968512,0.37717447
PCED1B,0.54429716,0.2756919,-0.26860526,True,0.28176206,0.16766945
SLC2A1,2.6270552,2.3657653,-0.26128983,True,0.28948045,0.25697252
WDPCP,0.9033776,0.64384705,-0.25953054,False,0.3145082,0.29315478
KIF1A,3.2239323,2.9655082,-0.25842404,True,0.09698961,0.11191928
ABCA3,0.5297074,0.27250808,-0.2571993,True,0.2824396,0.18182491
RFLNB,1.6136794,1.3658113,-0.24786806,True,0.32008567,0.36055344
SALL3,2.0745156,1.8314624,-0.2430532,True,0.3285634,0.46040156
LMO3,1.0553634,1.2894913,0.23412788,True,0.47546923,0.4851325
CCND3,0.98349845,0.7536452,-0.22985327,False,0.312778,0.3071003
SHISA2,1.6919217,1.9211752,0.22925353,True,0.5537069,0.58409905
WFIKKN1,0.2740894,0.045936666,-0.22815272,False,0.15971677,0.033151962
ENO3,0.3779005,0.15048264,-0.22741787,False,0.2061591,0.10112938
HDGFL2,2.0508287,1.8244755,-0.22635317,False,0.17788784,0.24709147
FHDC1,1.5516248,1.3274847,-0.22414005,False,0.28329006,0.28950232
CENPU,2.7417192,2.518234,-0.22348523,False,0.101153165,0.13096572
KIF1C,1.9999088,1.7882781,-0.2116307,False,0.18420361,0.20697406
