gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ANTXR1,1.433129,0.11716928,-1.3159597,False,0.27383578,0.093090385
MDFIC,0.8970564,0.60109484,-0.29596156,False,0.315675,0.26328504
SLC24A3,0.26124555,0.08957153,-0.17167401,False,0.1543324,0.062148314
STAT1,1.2654159,1.0993484,-0.16606748,False,0.27146044,0.29377335
MLEC,3.2294924,3.114973,-0.11451936,False,0.07067954,0.075012565
ADAMTS16,1.1040889,1.0016794,-0.10240948,True,0.375157,0.39523476
CTHRC1,0.11284235,0.017523557,-0.095318794,False,0.07926957,0.01064247
RNF144A,0.88688344,0.82046366,-0.06641978,False,0.31797123,0.31225473
PEG3,0.97456473,1.0354841,0.060919344,True,1.0025717,1.0067943
DGKK,0.9637905,1.0197691,0.055978596,True,0.4367179,0.44443887
TUBA1B,2.5374744,2.5933256,0.05585122,True,0.506894,0.4609024
NTS,1.4767022,1.5311229,0.05442071,True,0.7286999,0.7280668
TSC1,1.1465892,1.1965176,0.049928427,False,0.2898748,0.28053382
EFCAB10,0.49446684,0.54366875,0.049201906,False,0.25968823,0.27944562
ZNF354C,0.98067445,1.0291824,0.04850799,False,0.3333775,0.30571896
MGMT,0.9403865,0.98814857,0.047762096,False,0.3362521,0.3531447
SLITRK4,0.66702193,0.71456444,0.047542512,True,0.3169744,0.31785566
CENPT,1.0793601,1.1254572,0.04609704,False,0.2957053,0.28259668
BNC2,0.7560571,0.70996505,-0.046092033,False,0.31733847,0.31121
NOC4L,1.2765815,1.231289,-0.045292497,False,0.2690168,0.29368448
HMOX1,1.7928151,1.8379624,0.0451473,True,0.41226184,0.41299346
TCEAL7,0.6916126,0.7364724,0.044859827,True,0.35131544,0.35826135
LRRC1,0.86046004,0.81587356,-0.04458648,False,0.29912937,0.30827472
MLLT3,0.6089532,0.65336025,0.04440707,True,0.30577636,0.30862135
CHIC1,0.75931096,0.803401,0.044090033,False,0.2982015,0.29089913
HPS5,1.1785156,1.2223452,0.04382968,False,0.29400554,0.27029288
HIST1H3G,0.72253007,0.7663472,0.043817163,True,0.49177366,0.5154768
MOB3B,1.1355461,1.1793138,0.04376769,False,0.32258672,0.30851144
TMEM141,1.4465061,1.4899697,0.043463588,False,0.26332775,0.23733166
RNASEH2A,1.0585843,1.015284,-0.04330039,False,0.31462288,0.34316495
NELFE,0.94536614,0.98864466,0.043278515,False,0.28833446,0.26909196
POLR3G,2.6291654,2.672336,0.04317069,True,0.22044568,0.14196354
EFNB1,0.55589575,0.5131146,-0.042781174,True,0.30427697,0.28302222
AKAP7,1.5629597,1.5205927,-0.04236698,True,0.41213223,0.42484704
DIAPH3,1.1144642,1.0721927,-0.042271495,False,0.2919492,0.30141452
ATF7IP2,0.87700206,0.8348781,-0.042123973,True,0.35566664,0.35923257
MED18,0.9674505,1.0095497,0.042099237,False,0.3307872,0.31867272
TRIM44,1.5682877,1.5262249,-0.04206288,False,0.26980573,0.28233942
ZNF613,0.9798453,1.0217482,0.0419029,False,0.31008148,0.30350766
WTIP,1.2946142,1.3365029,0.041888714,True,0.35613766,0.35807136
SELENOM,0.9697448,1.0112166,0.04147184,False,0.32803613,0.3407299
ONECUT1,0.3141357,0.3548736,0.040737897,True,0.27016422,0.31140444
WHRN,0.57269585,0.61342764,0.040731788,False,0.27216163,0.28212777
NRARP,0.8794487,0.83881176,-0.040636957,False,0.3227603,0.3093165
KLK13,0.69218075,0.65156054,-0.040620208,True,0.33000767,0.3261928
WASF2,0.79442537,0.8349633,0.040537953,False,0.29669166,0.29147723
WDYHV1,1.3810225,1.3405306,-0.04049182,False,0.27737212,0.2868505
CCN1,0.98059136,0.9401025,-0.04048884,True,0.5011432,0.5025569
SAP30,1.0529655,1.093435,0.040469527,False,0.31832552,0.31012684
P4HA1,1.122607,1.1628189,0.040211916,True,0.42841977,0.40176404
ARHGAP44,0.9886061,1.0287418,0.04013574,False,0.30873972,0.29849917
UNG,1.5748928,1.5348619,-0.040030837,True,0.2864749,0.30835918
SPTY2D1,1.1629518,1.1229221,-0.040029764,False,0.2975757,0.3080959
FZD7,1.6563491,1.6164223,-0.039926767,True,0.35724905,0.3726468
AP1G2,0.89146745,0.85155517,-0.039912283,False,0.30865884,0.3152421
MAK16,1.860958,1.8211111,-0.039846897,False,0.2075199,0.20289998
ZNF320,0.66585153,0.7055808,0.039729238,False,0.2724824,0.28249967
