gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
VAT1,2.7638285,0.42993903,-2.3338895,False,0.09939058,0.3457684
C1QBP,1.8404617,0.5745346,-1.2659271,False,0.21495615,0.36452952
PLAAT3,1.6658874,2.4375558,0.77166843,True,0.36285684,0.27144465
SYT4,0.58140266,1.218044,0.6366414,True,0.34853083,0.53664446
DENND11,1.8196193,1.1897999,-0.6298194,False,0.21802239,0.38852736
ARID1A,1.541068,0.98971826,-0.5513497,False,0.26101416,0.30858994
RAB17,1.5537531,1.0465395,-0.5072136,True,0.5508224,0.57188535
C9orf135,1.0159495,1.5182515,0.50230205,True,0.37919602,0.36409953
CHGA,1.5551376,1.0731875,-0.48195016,True,0.55296373,0.42406157
ITGB5,2.7919524,2.3199012,-0.47205114,True,0.17067133,0.2839332
STXBP6,1.1174883,1.5835375,0.4660492,True,0.3900172,0.39231658
SHISA2,1.6919217,2.1540976,0.46217585,True,0.5537069,0.5233632
LMO3,1.0553634,1.5111252,0.4557618,True,0.47546923,0.4773626
FZD2,0.7157441,0.29166535,-0.42407873,True,0.36336026,0.1904192
COL18A1,1.5242213,1.1015921,-0.42262924,True,0.28880292,0.33263534
ST6GAL2,0.88659793,1.3029764,0.41637844,True,0.33847812,0.38170463
MAGED1,1.9324231,1.5222168,-0.41020632,False,0.20389774,0.28055388
TEK,1.5910075,1.1835797,-0.4074278,True,0.4462709,0.5871402
HTR1D,0.536856,0.9328962,0.3960402,True,0.32416457,0.48828125
SALL3,2.0745156,2.4697344,0.39521885,True,0.3285634,0.24109088
TRHDE,0.19853027,0.5822715,0.38374126,False,0.12813857,0.30867955
KCNG3,1.6000588,1.9832518,0.38319302,True,0.33263826,0.28574407
PLAAT5,0.27086484,0.64316165,0.3722968,True,0.18065967,0.33756718
CCDC141,0.8916808,0.51958144,-0.37209934,True,0.44828832,0.36129916
GAL,2.7219493,2.3552053,-0.36674404,True,0.35849097,0.33682504
KNDC1,0.8674455,1.2317269,0.36428136,True,0.3387168,0.35337842
FEZF1,0.05734643,0.41734383,0.3599974,True,0.04303214,0.28135872
TTYH1,1.2124448,1.5722578,0.35981297,False,0.3165686,0.29308435
PCDH18,1.5278986,1.1683232,-0.3595754,True,0.4877093,0.50374675
TPM1,3.4666436,3.1108463,-0.3557973,True,0.1359563,0.17014033
ADAMTS16,1.1040889,1.4583344,0.35424554,True,0.375157,0.33110696
LRRC8A,3.0568018,2.7035277,-0.3532741,True,0.14700773,0.1732972
PAPLN,0.74573195,1.0976977,0.35196579,True,0.34333396,0.37707868
JAM2,0.6524012,1.0016361,0.34923494,True,0.31359708,0.32001823
CHD7,2.3055537,1.9596198,-0.3459339,True,0.2723786,0.38275912
IGDCC3,1.6520493,1.3067082,-0.3453411,True,0.28605288,0.3407321
DDX25,0.7469427,1.091603,0.34466034,False,0.31952947,0.34871128
SPP1,0.7460402,1.084706,0.33866572,True,0.35517648,0.44287023
VSNL1,2.1774752,2.5137403,0.3362651,True,0.21121545,0.16363043
PPP1R1A,0.81672055,1.1483729,0.33165234,True,0.3124396,0.33435008
WIF1,0.34661645,0.67398953,0.3273731,False,0.19882046,0.3131609
MAGI2,1.1124562,1.436708,0.32425177,True,0.39109144,0.40320507
TAGLN,2.3409328,2.0170977,-0.32383513,True,0.6389723,0.8099012
MDFI,1.2076058,0.8901172,-0.3174886,True,0.35286814,0.36496425
TMEM54,0.34228045,0.65923417,0.31695372,False,0.20234844,0.30960587
CHST9,0.94160825,1.2578547,0.31624645,True,0.35677353,0.3734707
TRBC2,1.4730004,1.158062,-0.31493843,True,0.35159406,0.37341
TNNT2,0.4746938,0.16364262,-0.3110512,True,0.27036434,0.11235345
LGR4,1.9462959,2.2555852,0.30928934,False,0.20045827,0.17776942
TRIM22,0.6868747,0.37830392,-0.30857077,True,0.41427281,0.27510875
RAB25,1.1473161,1.4548501,0.30753398,True,0.3448181,0.30216146
NTS,1.4767022,1.1692712,-0.30743098,True,0.7286999,0.63583755
SFRP1,4.2489777,3.9434621,-0.30551553,True,0.12169684,0.19054712
IQSEC2,1.9034958,2.2073956,0.30389977,True,0.3713815,0.3449066
LGALS1,0.5924107,0.89626396,0.30385327,True,0.3181264,0.38083914
DAB1,0.85233855,1.1543512,0.30201268,True,0.32540932,0.3236216
KCNN2,1.320123,1.6202475,0.30012453,True,0.352814,0.32875556
VAMP8,1.6574954,1.9555001,0.29800475,True,0.2691691,0.22660288
IGFBP2,3.052772,2.7564363,-0.2963357,True,0.26564616,0.28499794
NEFL,0.6202127,0.91560096,0.29538828,True,0.35230622,0.44872147
CEMIP2,1.6653469,1.9559796,0.29063272,True,0.2867359,0.2614191
MYO10,2.161845,2.4495993,0.2877543,False,0.18223418,0.14885853
TYRO3,1.2779318,0.99067223,-0.28725958,False,0.28758505,0.3222122
DNMT3B,4.406935,4.6935124,0.28657722,True,0.087100714,0.0702238
DACT1,0.9510262,1.2373898,0.2863636,True,0.5183046,0.6245807
FST,0.77896905,1.0644385,0.2854694,True,0.37842038,0.41198605
FRAT2,1.6338485,1.9191053,0.28525674,True,0.30995584,0.28140372
SDC2,1.8838689,1.6006129,-0.28325605,True,0.23987752,0.28704756
ATP1A2,1.028914,0.74707747,-0.2818365,True,0.41873628,0.36398178
LRAT,1.3468386,1.6276643,0.28082573,True,0.5342008,0.5676062
L1CAM,1.6603423,1.9410356,0.2806933,True,0.34027112,0.26919872
PDZD4,2.1980815,2.4772882,0.27920675,True,0.20350996,0.18041098
IDO1,1.2041372,1.4826312,0.278494,True,0.43108737,0.45385805
DTNA,1.0392054,1.316587,0.27738154,True,0.44757935,0.47944573
DPYSL3,3.9156046,4.19109,0.27548552,False,0.052549794,0.046741392
SYNPO2,0.26303938,0.5367043,0.27366492,True,0.17075357,0.3003612
APELA,1.5670142,1.8406236,0.2736094,True,0.4344417,0.4293014
SEMA3F,1.863664,1.5901848,-0.27347922,True,0.24727961,0.31019318
HMOX1,1.7928151,2.064593,0.271778,True,0.41226184,0.42300856
