gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ATM,1.9468994,0.23712772,-1.7097716,False,0.19907163,0.233296
HIST1H2BH,3.0131607,2.0572758,-0.95588493,True,1.2786521,1.1884376
HIST1H1A,1.5684879,0.7671495,-0.8013384,True,1.4661734,0.7569791
HIST1H1C,3.3517175,2.5926218,-0.75909567,True,1.5421159,1.591936
HIST1H1D,1.6205581,0.93900114,-0.681557,True,1.2314817,0.9234802
H1F0,0.903924,1.5441229,0.64019895,True,0.8330141,1.0706265
HIST1H1B,4.1244035,3.5196302,-0.6047733,True,1.3478125,1.9034371
HIST1H4C,1.7816434,1.2955608,-0.48608255,True,0.7703857,0.73879135
BST2,1.1939828,1.6549028,0.46091998,True,0.5915028,0.79327905
HIST1H3E,1.0670047,0.62916154,-0.43784314,True,1.0355052,0.6970668
NPAT,0.6309648,0.19777423,-0.43319058,False,0.26566085,0.13587482
ADAMTS1,0.52104175,0.8644123,0.34337056,True,0.33755106,0.49351293
PPP1R17,0.5791453,0.90463585,0.32549053,True,0.36212915,0.46644223
HIST1H3G,0.72253007,0.41244695,-0.31008312,True,0.49177366,0.31784207
CCN2,1.3984216,1.7027512,0.3043295,True,0.8199761,0.77933025
SCGB3A2,2.1600077,2.4405642,0.28055644,True,1.0063828,1.0031531
GPR143,1.1005427,1.3787401,0.2781974,True,0.37836063,0.3609816
CAV1,0.51446736,0.78957826,0.2751109,True,0.30516323,0.4071851
NMU,1.7737356,2.0467114,0.2729758,True,0.3437436,0.32873932
CXCL5,0.65057814,0.91809165,0.2675135,True,0.36417714,0.5034718
NODAL,0.39589173,0.6513724,0.25548065,True,0.29222062,0.4638461
CALB1,0.8725808,1.1139762,0.24139541,True,0.37383825,0.422028
APELA,1.5670142,1.8026587,0.23564446,True,0.4344417,0.4356715
SLC39A8,1.5447878,1.7793204,0.2345326,True,0.35716635,0.35713887
CD44,0.4805275,0.70408034,0.22355285,True,0.2666013,0.33135775
PEG3,0.97456473,1.194392,0.21982723,True,1.0025717,1.087639
DACT1,0.9510262,1.1708155,0.21978927,True,0.5183046,0.5821109
NETO1,1.0102036,1.2288271,0.21862352,True,0.38053605,0.4220199
SEMG1,0.26762557,0.48561037,0.2179848,True,0.182794,0.31347683
SLC6A15,1.7863109,2.0020235,0.21571255,True,0.29976016,0.23675698
RGS5,1.525954,1.7414612,0.21550715,True,0.48766956,0.4536219
PLEKHO1,1.3486669,1.1361339,-0.212533,False,0.31317365,0.31059295
HTR7,0.7363093,0.52422863,-0.21208066,True,0.39800823,0.31506553
SERPINB9,1.3378824,1.5489919,0.21110952,True,0.5634636,0.60851985
HIST3H2A,1.126817,0.9157257,-0.21109128,True,0.58922714,0.5036444
NTS,1.4767022,1.686419,0.2097168,True,0.7286999,0.7328928
SMARCA2,0.60665643,0.8141966,0.20754015,True,0.29930666,0.35775894
LEFTY2,0.27116945,0.47844353,0.20727408,True,0.24489297,0.5316447
PAQR3,1.5666169,1.7736279,0.20701098,False,0.26633295,0.25559244
ERBB2,3.173677,2.9685695,-0.20510745,True,0.1566171,0.17173886
RNF187,2.3075025,2.104358,-0.20314455,True,0.18414505,0.23801479
LPAR3,1.3020777,1.5045205,0.20244288,True,0.33262214,0.3063561
ODC1,2.3060384,2.5052955,0.19925714,True,0.22573909,0.1831561
MT-ND4,1.8822018,2.0779738,0.19577205,True,0.9863533,1.1686579
LRRN4,0.1163386,0.31177452,0.19543591,False,0.082329154,0.22122157
SCRN1,1.6150525,1.8097671,0.19471467,True,0.31670198,0.3177204
PSMB8,0.8193926,1.0123769,0.19298428,True,0.3394984,0.3118766
CCN1,0.98059136,1.172539,0.19194764,True,0.5011432,0.49983624
ATP6V1D,1.8289254,2.0199313,0.19100595,False,0.23536623,0.21978314
MUC3A,1.0630484,1.253817,0.1907686,True,0.61409867,0.595359
CHCHD2,2.9833074,2.7933366,-0.18997073,True,0.3211824,0.3928891
DPPA2,0.9645738,1.1545002,0.18992645,True,0.42964724,0.45072728
TRIML2,1.2181535,1.4079497,0.18979621,True,0.40173906,0.42350638
CRYBB1,0.3652321,0.554937,0.1897049,True,0.22053923,0.289998
TACR3,0.49855387,0.6881736,0.18961972,True,0.2798174,0.3096672
AIF1,1.0458375,1.2333667,0.1875292,True,0.38020986,0.39814
GNA14,0.3345889,0.52083075,0.18624187,True,0.25330648,0.4022163
PIPOX,1.3608539,1.5445856,0.18373168,True,0.35072494,0.3227947
RIMS4,1.6565819,1.8384825,0.18190062,False,0.26107934,0.23253164
LRIF1,1.4927613,1.6745937,0.18183243,True,0.3942007,0.39986598
TOMM40L,1.1931424,1.3745292,0.18138683,False,0.3228098,0.24840382
SIX4,1.8679167,2.048662,0.18074524,True,0.26283816,0.22119285
VIM,2.7251427,2.9036055,0.17846274,True,0.5895071,0.5711391
FGD5,0.6781506,0.8561311,0.17798048,False,0.30346906,0.35240296
LEFTY1,0.40002847,0.577525,0.17749655,True,0.4464706,0.64826083
FERMT1,0.7755719,0.9518256,0.17625374,False,0.31227005,0.32266763
RASGRF2,0.75367785,0.9284408,0.17476296,True,0.38033068,0.4189037
H1FX,2.8645203,2.6907246,-0.1737957,True,0.21788451,0.2740986
CRABP2,2.2048934,2.378626,0.17373276,True,0.37365532,0.35904384
HIST1H3H,0.80666834,0.6341467,-0.17252165,True,0.4625127,0.423437
PCDHB16,0.67530996,0.8475695,0.17225957,True,0.40022647,0.4178189
LRRC34,0.59426475,0.7664055,0.17214078,True,0.29648945,0.3514589
CD99,0.8775342,0.7058201,-0.17171413,False,0.31350508,0.30020437
IRS2,1.0931245,1.2623374,0.16921294,True,0.34854993,0.31970942
NPTX2,1.078339,1.2459683,0.16762936,True,0.40481034,0.42109707
MT-ATP6,1.7147563,1.8813405,0.16658425,True,0.97399217,1.1548107
DPH6,1.9355612,1.769375,-0.16618621,True,0.28368425,0.3405246
TSHZ3,0.991738,1.1572387,0.1655007,True,0.39489174,0.3866288
SEPTIN6,0.7531247,0.91851765,0.16539294,True,0.32920858,0.30967268
CHRNA9,0.20916745,0.374437,0.16526955,True,0.14469525,0.22522058
CCDC172,0.2274794,0.39252925,0.16504985,False,0.14364105,0.23667145
SFRP1,4.2489777,4.084367,-0.16461086,True,0.12169684,0.15656383
PIEZO2,0.8669901,1.0310065,0.16401637,True,0.37746185,0.373678
ZIM3,2.5895684,2.753367,0.16379857,True,0.29940525,0.25853792
CCDC169,1.0565683,1.2198259,0.1632576,True,0.37135482,0.34436274
FGFBP3,1.5303756,1.3695498,-0.16082585,True,0.39057454,0.39454502
RSPO4,0.5996845,0.760218,0.16053355,False,0.28067803,0.3091636
ST5,1.3015997,1.4608148,0.1592151,False,0.3261342,0.3561843
TUBA4A,1.6588391,1.8171765,0.15833735,True,0.27253002,0.27613178
GRAMD1B,0.9062804,1.0636244,0.15734398,False,0.32165292,0.2986097
SHISAL2B,0.62392765,0.7805256,0.15659797,False,0.2922066,0.31738827
NEFM,1.2480268,1.4031534,0.15512657,True,0.4028053,0.47767588
CCDC80,0.35170606,0.5067152,0.15500912,True,0.22674982,0.2941046
MPP1,0.76172626,0.916454,0.15472776,True,0.33493322,0.3964294
GRIA4,0.6739651,0.82738376,0.15341866,True,0.3025259,0.28433102
MT-ND6,0.8967327,1.0501286,0.15339589,True,0.68610394,0.8125947
TMEM64,1.3649961,1.518136,0.15313995,True,0.3572356,0.32320434
NGFR,0.43601242,0.5891394,0.15312698,True,0.25325462,0.34428674
NLGN4X,2.216452,2.0637684,-0.1526835,True,0.23145483,0.3573181
ZIC2,1.9019088,1.7496419,-0.15226686,True,0.40680227,0.4457117
TRIM22,0.6868747,0.83855754,0.15168285,True,0.41427281,0.5235415
ZNF423,2.1085908,1.9570388,-0.15155208,False,0.21661459,0.22366376
KAT8,1.6869664,1.5355365,-0.15142989,False,0.25314283,0.29354104
ALPK3,0.7825444,0.9339287,0.15138435,True,0.34882918,0.39221287
PLK2,0.31356177,0.464737,0.15117523,True,0.21140723,0.29780757
NEFL,0.6202127,0.7709545,0.15074182,True,0.35230622,0.43979788
SLFN5,0.28000492,0.42968997,0.14968506,True,0.18807602,0.2574021
SYNGR3,1.0781854,1.2277228,0.14953732,True,0.3543841,0.28155628
LMCD1,0.89934635,1.0487542,0.14940786,True,0.37876225,0.36937198
MT-ND3,1.7554234,1.902509,0.14708555,True,0.78610706,0.844987
SHF,1.088605,1.2356392,0.14703417,False,0.32880276,0.26302242
FABP5,3.421829,3.5684116,0.1465826,True,0.09440392,0.091520876
S100A16,1.7017455,1.8480319,0.14628637,True,0.3093001,0.28586844
ATCAY,1.1623644,1.3082409,0.14587653,True,0.36761397,0.34596834
C9orf135,1.0159495,1.1613393,0.1453898,True,0.37919602,0.3593866
MGST2,0.59177995,0.736761,0.14498103,False,0.2828746,0.28035736
MT-CO2,1.645371,1.7894181,0.14404714,True,0.917779,1.0669228
RRM2,2.7643306,2.9078155,0.14348483,True,0.16847533,0.15660465
GRIN2D,0.3390333,0.48195633,0.14292303,True,0.20501903,0.2982055
PCOLCE,1.3033357,1.4460349,0.14269924,False,0.30327117,0.2888785
PLCB1,0.9086415,1.0512018,0.1425603,True,0.37433246,0.34932342
LYPD1,0.20228441,0.3444714,0.14218698,True,0.13823254,0.21477999
CACNG8,0.5332423,0.67497313,0.14173084,True,0.27113855,0.28731963
PPP1R14A,1.132892,1.2742965,0.14140451,False,0.3126488,0.29508814
LYRM1,1.1922066,1.3334086,0.14120197,False,0.32452354,0.32510588
MAMDC2,0.997529,1.1374578,0.13992888,True,0.3517686,0.33283412
GSTO2,0.5834271,0.72327065,0.13984358,True,0.29537812,0.28855264
STOM,0.9758953,1.115601,0.13970566,False,0.33041394,0.3098465
