gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ATP1B1,1.5513593,0.12290692,-1.4284524,False,0.26500797,0.09430092
COL1A1,2.260025,1.347445,-0.91258,True,0.40600464,0.41383198
P3H2,1.3254241,1.0681702,-0.2572539,True,0.46865007,0.4406756
SOCS3,1.0352961,1.1691006,0.13380456,True,0.37681472,0.36281934
IGDCC3,1.6520493,1.7827607,0.13071144,True,0.28605288,0.25832534
MT-ND4,1.8822018,1.7708205,-0.11138129,True,0.9863533,0.9315815
MT-CO2,1.645371,1.5370253,-0.10834563,True,0.917779,0.8854071
MT-ND3,1.7554234,1.6531659,-0.10225749,True,0.78610706,0.74986625
IRF2BP1,0.8474194,0.7545997,-0.09281969,False,0.2933449,0.28987482
MT-ATP6,1.7147563,1.6284182,-0.08633804,True,0.97399217,0.9252967
TAC3,0.37256747,0.2906464,-0.08192107,False,0.20764476,0.1707919
ABR,1.1012903,1.1822164,0.08092606,False,0.29945096,0.3102739
IGDCC4,0.7147406,0.7926677,0.07792711,True,0.32819542,0.3424259
MT-CO3,1.2058606,1.1336325,-0.072228074,True,0.78025454,0.719718
ATP1A1,2.243526,2.1844664,-0.05905962,False,0.14061521,0.15353307
ATP1A3,1.2437924,1.1900733,-0.053719163,False,0.3171183,0.3323666
TPM4,3.054454,3.0020485,-0.052405596,False,0.08067441,0.08250748
DSC2,1.2235597,1.2757401,0.05218041,False,0.30052474,0.29805684
TIRAP,0.08407848,0.033131033,-0.05094745,False,0.054499913,0.022951925
CRABP2,2.2048934,2.2533698,0.048476458,True,0.37365532,0.36202106
RAP2C,1.6659895,1.6187735,-0.047216058,False,0.22880052,0.24343278
THOP1,2.1367903,2.1830266,0.046236277,False,0.19567671,0.15157613
NFIB,0.5159143,0.5603332,0.04441887,True,0.2848534,0.30181137
PKDCC,2.017514,2.0613024,0.043788433,True,0.58726704,0.5729781
GINS4,0.92357457,0.96714,0.043565452,False,0.3034505,0.29734817
EGR1,0.81692857,0.7736149,-0.043313682,True,0.5892243,0.5862753
DCLK1,1.713339,1.7562163,0.042877316,True,0.28653774,0.28761563
GLCE,0.93229353,0.9747281,0.042434573,False,0.33794034,0.32815188
MEX3B,0.74400705,0.7863673,0.042360246,True,0.3606949,0.36633363
HIST1H1B,4.1244035,4.082093,-0.042310715,True,1.3478125,1.3326832
TMEM63A,1.2596389,1.2179803,-0.04165864,True,0.43629962,0.42876935
FOXP4,1.0239264,1.0647976,0.040871263,True,0.34288076,0.3363584
LRIF1,1.4927613,1.4520397,-0.040721536,True,0.3942007,0.41870737
ZNF521,0.66268843,0.7029266,0.040238142,True,0.30377787,0.29935375
SELENOP,1.0004246,1.0404105,0.039985895,True,0.44973302,0.45308116
LMO3,1.0553634,1.0154226,-0.039940834,True,0.47546923,0.4703617
PEG3,0.97456473,0.9348561,-0.039708614,True,1.0025717,0.96362203
HIST1H1C,3.3517175,3.3124802,-0.03923726,True,1.5421159,1.5243621
STXBP1,1.8097312,1.7706133,-0.039117932,True,0.27919278,0.2908014
LEFTY1,0.40002847,0.3610471,-0.038981378,True,0.4464706,0.39064065
AIF1,1.0458375,1.0071241,-0.038713455,True,0.38020986,0.38498807
H2AFY2,1.102345,1.0637457,-0.038599253,True,0.47343355,0.49306265
POLR3G,2.6291654,2.667519,0.03835368,True,0.22044568,0.14706242
GNG12,1.2833613,1.2453567,-0.038004637,True,0.34909102,0.3368905
RASGRF2,0.75367785,0.71581537,-0.03786248,True,0.38033068,0.36079395
MFSD5,0.44128564,0.47909153,0.037805885,False,0.21749496,0.23124978
RHOT2,1.447459,1.4849029,0.037443876,False,0.2711719,0.2531987
FYTTD1,0.7800885,0.742701,-0.03738749,False,0.2974749,0.29351336
PET117,0.7566341,0.7938335,0.037199378,False,0.28362444,0.2871662
TESC,0.97775966,1.0149492,0.037189543,True,0.35794467,0.3579167
MICAL3,1.4372656,1.4742622,0.036996603,False,0.30142865,0.2820771
METTL15,0.8795537,0.9163331,0.036779404,False,0.29924816,0.29729182
YEATS4,1.6150347,1.5782946,-0.036740065,False,0.26103172,0.27763724
NTS,1.4767022,1.4400284,-0.036673784,True,0.7286999,0.71483356
CCNE2,0.39201075,0.42865965,0.0366489,True,0.25895554,0.2741088
SLC15A4,1.4985199,1.46205,-0.036469936,False,0.2614331,0.26497054
GFER,1.2293067,1.2657367,0.03643,False,0.2773599,0.26954642
CAAP1,0.89770555,0.93397325,0.036267698,False,0.29096574,0.2861134
GSDMD,1.242641,1.2788029,0.0361619,False,0.30310738,0.28035462
SGO1,1.8879707,1.8518941,-0.036076546,False,0.24152172,0.25374523
VAV3,0.5266178,0.49054945,-0.03606838,False,0.2719143,0.26188108
RASSF4,0.57257843,0.5372499,-0.035328507,False,0.27807242,0.26508218
NGRN,0.79207367,0.82737935,0.03530568,False,0.2910699,0.29682532
ZNF334,0.59644026,0.6316923,0.035252035,False,0.26241913,0.2604132
BNIP1,0.64118356,0.67634994,0.035166383,False,0.26892957,0.26891705
RRP1,1.9180033,1.9530339,0.035030603,False,0.206179,0.19482589
CENPB,1.3509817,1.3859893,0.035007596,False,0.27996525,0.26708767
ARMCX3,0.53555703,0.50064677,-0.03491026,False,0.24846484,0.24669889
MALT1,1.169032,1.1343068,-0.03472519,False,0.30651122,0.32558152
TAGLN,2.3409328,2.306412,-0.034520864,True,0.6389723,0.6431219
TMEM106C,1.5577834,1.5233017,-0.034481645,True,0.37999824,0.39657304
C6orf132,1.4410278,1.4754109,0.034383178,False,0.27340668,0.24347033
PRKCQ,0.95412415,0.988265,0.034140825,False,0.33686844,0.32091975
RALGPS1,1.1765498,1.2105622,0.034012437,False,0.32427493,0.3234233
NUB1,1.0996797,1.0657037,-0.03397596,False,0.2870645,0.29085967
TBL1X,0.721649,0.75559765,0.03394866,False,0.2867479,0.28781456
PON2,1.2300022,1.2638305,0.033828378,False,0.30608726,0.29997227
LRRC20,1.1330118,1.1668355,0.03382373,False,0.33533764,0.33838603
ADCY3,1.4871757,1.5209161,0.0337404,False,0.2845467,0.2666909
MT-CYB,0.6396104,0.60601324,-0.03359717,True,0.489698,0.45877093
PYCR2,1.9976522,1.9640609,-0.03359127,True,0.2240991,0.22680813
CCDC32,0.663147,0.6966948,0.03354782,False,0.27912092,0.27810046
UHMK1,1.2982863,1.3318197,0.033533335,False,0.2798592,0.28788126
FOXO4,1.1443002,1.1777229,0.03342271,True,0.36615413,0.3552907
ASB1,1.3594583,1.3928741,0.033415794,False,0.2692872,0.24718423
GALNT10,0.8450588,0.8117152,-0.033343613,True,0.34769714,0.3423754
IRS2,1.0931245,1.1262563,0.033131838,True,0.34854993,0.3389582
MYCN,2.8378336,2.8709588,0.033125162,True,0.16622734,0.15580307
ZNF486,0.96474665,0.9316644,-0.033082247,False,0.3074424,0.32033357
NMU,1.7737356,1.8067316,0.03299594,True,0.3437436,0.32341316
CLTA,1.186203,1.2190733,0.032870293,False,0.29909858,0.28444684
OLFM1,1.3372159,1.3700644,0.032848477,False,0.30974376,0.30214152
PKP3,0.804897,0.7720702,-0.03282678,False,0.329147,0.33769548
B3GALT1,1.1969832,1.1641902,-0.032793045,True,0.3867189,0.39714283
FGF11,0.74802005,0.7152482,-0.032771826,True,0.36018485,0.35760432
DIAPH1,2.1383328,2.1710305,0.032697678,False,0.18466464,0.17197011
CALB1,0.8725808,0.83995765,-0.03262317,True,0.37383825,0.35921305
KLF12,0.87941456,0.9120277,0.03261316,False,0.32851362,0.33879554
FAM20C,1.3905388,1.3580102,-0.03252864,True,0.34597015,0.35492226
PI4K2A,1.0919067,1.1242826,0.03237593,False,0.28625274,0.26510602
DDHD1,1.3227715,1.2904205,-0.032351017,False,0.29117444,0.2910872
ANOS1,2.2613657,2.229024,-0.03234172,True,0.21193548,0.22451338
USP6NL,1.1795219,1.1474241,-0.032097816,False,0.2801848,0.29107824
DYNC1LI1,1.5546093,1.586704,0.032094717,False,0.24550228,0.24089988
SPIRE1,1.0501822,1.0181121,-0.03207016,False,0.33124834,0.32430524
AP3M2,0.93604296,0.96805215,0.032009184,False,0.31761223,0.30133533
ZNF83,0.8219563,0.7901448,-0.031811476,False,0.28761557,0.27717674
FZD7,1.6563491,1.6881231,0.031774044,True,0.35724905,0.35652465
HERC4,0.7771959,0.8089659,0.03177005,False,0.30685657,0.30582014
LIMA1,1.4008646,1.369116,-0.031748652,True,0.34730312,0.36404502
OTX2,0.8048261,0.8365682,0.031742096,True,0.38356015,0.38727364
C6orf141,0.47892505,0.51065695,0.031731904,True,0.26538312,0.26642045
RAB11FIP3,0.8166691,0.8483491,0.031679988,False,0.2967234,0.2827837
ST8SIA3,0.37281555,0.4044862,0.03167066,False,0.20646809,0.22250862
IFT20,1.3482575,1.3166622,-0.03159535,False,0.2906047,0.31028795
GPKOW,0.7351732,0.7665838,0.031410575,False,0.27948353,0.26919368
RNF213,1.125614,1.0943614,-0.031252623,False,0.29972515,0.29879805
LRRC1,0.86046004,0.82921666,-0.031243384,False,0.29912937,0.31270865
HIST1H1D,1.6205581,1.5893197,-0.031238437,True,1.2314817,1.2275752
CRACR2B,0.65264034,0.6214933,-0.031147063,False,0.30195716,0.3025999
SH3RF1,1.0045432,1.0356286,0.031085372,False,0.3087558,0.302227
MT2A,0.32321855,0.35422912,0.031010568,True,0.22788322,0.2514617
IGFBP6,0.71219707,0.74316144,0.030964375,True,0.3147573,0.32515398
HERC2,1.9866493,1.9557114,-0.03093791,False,0.20849746,0.21887986
RAB38,0.9657575,0.9348291,-0.030928373,True,0.33257672,0.32934994
PPME1,1.5517796,1.5208924,-0.030887246,False,0.25941786,0.27629334
BTF3,0.7015282,0.6706541,-0.030874074,True,0.3295485,0.31385335
PKNOX1,1.2351575,1.2042915,-0.030866027,True,0.44735566,0.47460374
NFATC2IP,1.4478902,1.4787484,0.030858278,False,0.26515582,0.25014913
HIST1H3H,0.80666834,0.77586585,-0.030802488,True,0.4625127,0.45011124
ACSS2,0.8820951,0.8513101,-0.030785024,True,0.5769565,0.55272925
MCM3AP,0.9489714,0.9797235,0.030752122,False,0.2922538,0.28643885
AKAP5,0.43169957,0.4009948,-0.030704767,False,0.23281963,0.22842298
UBE2D1,0.97238845,0.9417217,-0.030666769,False,0.2960245,0.3032239
HMGXB4,1.8635178,1.8329057,-0.030612111,False,0.22591987,0.24362484
DOK4,1.3987869,1.3681847,-0.030602217,False,0.28262448,0.28747362
ACO1,1.25486,1.2242649,-0.030595183,False,0.2938199,0.29737905
UQCRC2,1.6585578,1.6891272,0.030569434,False,0.21915258,0.20560813
SHISAL1,0.40210408,0.4326237,0.030519634,False,0.21319933,0.22699359
ZCCHC24,0.8510493,0.82057214,-0.030477166,False,0.3236568,0.31327978
EPS8L1,0.77361894,0.7431564,-0.030462563,False,0.3271284,0.33023766
MLX,1.7403595,1.7099068,-0.030452728,False,0.2411621,0.25052392
PRKAB1,1.1637232,1.1941657,0.030442476,False,0.30174744,0.31115153
ADCY6,0.5831271,0.6134826,0.030355513,False,0.27223963,0.27646828
DDB2,0.83584666,0.8661353,0.030288637,True,0.3656719,0.36643443
TMEM94,1.3876188,1.4178884,0.030269623,False,0.276814,0.2614678
CALM3,1.6594716,1.6897265,0.03025484,False,0.24887817,0.21620062
MT-ND6,0.8967327,0.8665383,-0.030194402,True,0.68610394,0.6135367
TRIM45,0.8561463,0.88631094,0.030164659,False,0.31576407,0.31164458
ORAI1,0.7955618,0.82568526,0.030123472,False,0.2916847,0.29805943
CYP2R1,0.77927864,0.8093782,0.03009957,True,0.33478215,0.32727796
TMEM251,1.4543201,1.4844048,0.03008473,False,0.2684948,0.25506553
C11orf24,1.8312745,1.8012427,-0.0300318,False,0.21741375,0.22439782
KIF26A,0.772725,0.80273753,0.030012548,False,0.29762736,0.29113263
ZNF670,1.4167751,1.3867719,-0.03000319,False,0.2819596,0.29055256
TTC26,0.9046913,0.8747188,-0.029972494,False,0.31804976,0.31627604
NFKBIZ,0.73465973,0.76460564,0.02994591,True,0.37397403,0.37277693
CYTH1,0.7250269,0.695103,-0.029923916,False,0.2941947,0.28398064
KCND2,0.8415011,0.8713987,0.02989757,False,0.3202714,0.30340105
BNIP3L,2.0316443,2.001773,-0.029871225,True,0.26489764,0.2714319
PIM1,1.5815667,1.6114126,0.029845953,True,0.35547683,0.34530985
YEATS2,1.2083112,1.2381374,0.029826164,False,0.28399584,0.27500632
CORO1A,0.69147754,0.6617071,-0.029770434,False,0.2985439,0.28519258
ASL,0.7418821,0.71213144,-0.029750645,False,0.27948153,0.27848193
BID,0.8909074,0.9204465,0.029539108,False,0.3066343,0.31284314
IRF2BPL,1.0261445,1.0556731,0.029528618,False,0.3215078,0.3361261
PFKFB4,0.5093624,0.47992605,-0.02943635,True,0.35301405,0.3236962
NFATC3,0.87498575,0.9044008,0.029415071,False,0.29140925,0.2866479
EIF2D,1.5379733,1.508624,-0.029349327,False,0.23988102,0.24136873
PELI2,1.2597406,1.2890575,0.029316902,False,0.29925656,0.290548
H2AFZ,1.7307625,1.7600517,0.029289246,True,0.27886808,0.2680817
KHDRBS3,1.5300759,1.5008029,-0.029273033,False,0.2797919,0.28717893
LARP7,1.3742118,1.3450564,-0.029155374,True,0.34203744,0.3753758
PDE3B,0.8710822,0.90018684,0.02910465,False,0.30836654,0.3068733
ELMO2,1.139993,1.1109313,-0.029061675,False,0.2917507,0.31106833
PDHX,1.7374959,1.7665542,0.029058337,False,0.21063808,0.19639096
LAD1,1.0111103,0.98207664,-0.02903366,False,0.31775904,0.3237008
CLSTN1,1.6621705,1.691165,0.028994441,False,0.23183268,0.20406164
PRPF40B,0.51645154,0.5453922,0.028940678,False,0.25739366,0.26847404
XPC,1.5628258,1.5917443,0.028918505,False,0.25584552,0.24849519
DCTN2,2.2220159,2.2509108,0.028894901,False,0.18006516,0.14736335
ZC3H10,0.5791844,0.60799056,0.02880615,False,0.2827011,0.2837539
TMEM35B,1.1075172,1.1362906,0.028773308,False,0.3159608,0.30978855
CBY1,0.7667556,0.7955241,0.02876854,False,0.2845236,0.28309995
PDK2,1.0488417,1.0200886,-0.028753161,False,0.31756854,0.31938282
EPHB4,1.7908016,1.8195443,0.028742671,False,0.21880607,0.21110487
FST,0.77896905,0.80766356,0.02869451,True,0.37842038,0.37936518
RABL3,1.1326195,1.103978,-0.028641462,False,0.29950717,0.32155794
CAVIN1,0.63114053,0.6597427,0.028602183,False,0.27275386,0.27401683
LAMTOR2,2.1797364,2.1511364,-0.028599977,False,0.1588564,0.16388187
TANGO6,1.0360581,1.0646346,0.028576493,False,0.30805606,0.30141404
FKBP4,1.6972494,1.7258146,0.028565168,False,0.2529114,0.24473506
DENND1B,0.24786614,0.21930245,-0.028563693,False,0.15422244,0.13363542
BCL2L1,1.6034871,1.6319902,0.02850306,False,0.2593753,0.24323449
TRAPPC9,0.9784137,1.0068785,0.028464794,False,0.31888968,0.3190514
BX255925.3,0.67375124,0.70219797,0.028446734,False,0.278869,0.27773565
COL16A1,0.43899846,0.46743688,0.02843842,False,0.23666717,0.24442837
PRPF31,2.0800204,2.0516083,-0.028412104,False,0.1659647,0.17560337
BLM,1.4088519,1.4372272,0.028375387,False,0.2658709,0.25553897
ST7L,0.6949784,0.6666079,-0.0283705,False,0.2890356,0.2876082
STK39,1.8423345,1.8139993,-0.028335214,False,0.2245441,0.23358709
AKAP11,1.1565601,1.1848583,0.028298259,False,0.29045728,0.2799692
GALNT13,0.5424166,0.514155,-0.028261602,False,0.25295794,0.24754159
PGM1,1.8431282,1.8148702,-0.028257966,True,0.38100007,0.39881974
AP5Z1,0.7141102,0.68585694,-0.028253257,False,0.2895802,0.28873047
CRB2,0.5930767,0.6213155,0.028238773,True,0.28957886,0.29226524
FPGT,0.2970363,0.3252688,0.028232515,False,0.17305182,0.18647635
CWF19L1,1.3897521,1.4179672,0.02821505,False,0.26663306,0.25643897
