gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ATP6V0B,1.9464434,0.3103436,-1.6360998,False,0.20376863,0.25419432
LEFTY1,0.40002847,0.735182,0.33515352,True,0.4464706,0.98111874
ATP6V0A1,0.9896945,0.66352737,-0.3261671,False,0.30368966,0.2905171
DTNA,1.0392054,1.3613608,0.32215536,True,0.44757935,0.62153053
SELENOP,1.0004246,1.306637,0.30621243,True,0.44973302,0.45007482
MMP24,1.0542948,1.34962,0.29532516,True,0.3902179,0.42638597
RGS5,1.525954,1.2326204,-0.29333365,True,0.48766956,0.57821006
LEFTY2,0.27116945,0.5586497,0.28748026,True,0.24489297,0.52275866
TMEM63A,1.2596389,1.5334723,0.2738334,True,0.43629962,0.5121804
B4GALT2,1.417858,1.1553783,-0.26247966,False,0.2590247,0.26650473
TMEM64,1.3649961,1.624563,0.2595669,True,0.3572356,0.5652984
PMAIP1,2.977533,3.2223287,0.24479556,True,0.21363744,0.31534228
RASGRF2,0.75367785,0.99746794,0.24379009,True,0.38033068,0.5043306
EGR1,0.81692857,1.052193,0.23526448,True,0.5892243,0.61817765
FOXP4,1.0239264,0.7903519,-0.23357445,True,0.34288076,0.41867945
PKDCC,2.017514,1.7880322,-0.22948182,True,0.58726704,0.6770363
COL1A1,2.260025,2.0307598,-0.22926521,True,0.40600464,0.5775602
JUND,1.9687197,2.1975944,0.22887468,True,0.23403603,0.22937383
PLAAT3,1.6658874,1.8930092,0.22712183,True,0.36285684,0.5329934
DACT1,0.9510262,1.1756576,0.22463143,True,0.5183046,0.6361856
CASP3,2.3332827,2.5572813,0.22399855,True,0.18378086,0.25015295
JUN,0.6033395,0.826487,0.22314751,True,0.41915378,0.6682517
SERPINB9,1.3378824,1.5570567,0.21917427,True,0.5634636,0.7684433
KLHL4,0.7873935,1.0003464,0.21295291,True,0.36787513,0.38249978
RIPOR2,1.1181024,0.9067677,-0.2113347,True,0.4393332,0.43048948
PINK1,1.0154759,1.2142806,0.19880474,True,0.34776244,0.37019345
CER1,0.05522831,0.25342733,0.19819902,True,0.04498124,0.2723282
ESYT2,2.054398,2.2511442,0.19674611,True,0.20245779,0.36209843
MOV10,1.6590405,1.4643277,-0.19471276,True,0.2772971,0.30462813
GPC4,2.8069289,3.0007951,0.19386625,True,0.19444703,0.18963757
NODAL,0.39589173,0.58380353,0.18791181,True,0.29222062,0.45684522
MT-ND4,1.8822018,1.6948301,-0.18737173,True,0.9863533,1.1095375
C9orf135,1.0159495,1.2024138,0.18646431,True,0.37919602,0.46754375
LAMB1,1.1267743,0.94034404,-0.18643028,True,0.34430408,0.36651197
GNA14,0.3345889,0.5204346,0.18584573,True,0.25330648,0.4401779
OGFRL1,0.7944332,0.9774214,0.18298823,False,0.31545717,0.3460108
BTBD17,1.1946275,1.0144079,-0.18021965,True,0.37292463,0.40284225
IFITM2,1.2751677,1.101214,-0.17395365,False,0.3039205,0.31434637
SQSTM1,2.2455187,2.417419,0.17190027,True,0.21219827,0.2807919
SMIM14,1.0882034,1.2588089,0.17060542,True,0.34809172,0.36491102
WDR60,0.7422743,0.91277003,0.17049575,True,0.31741196,0.4318691
GOLGB1,1.3573635,1.5255978,0.16823435,False,0.28667864,0.26137325
GPC3,1.794429,1.6281697,-0.16625929,True,0.31798097,0.3853098
ERVMER34-1,1.778471,1.6122642,-0.16620684,True,0.3746463,0.38888648
IGDCC3,1.6520493,1.4871917,-0.16485763,True,0.28605288,0.330893
GAL,2.7219493,2.5584464,-0.16350293,True,0.35849097,0.39226073
GPC6,0.686896,0.84999526,0.16309923,True,0.3368339,0.42468372
MXD4,1.2854006,1.4475483,0.16214764,True,0.33491,0.30311617
MRS2,1.0986707,1.2599812,0.16131043,False,0.3119078,0.31821132
SHISA2,1.6919217,1.8509936,0.15907192,True,0.5537069,0.5425657
TCEAL7,0.6916126,0.8505703,0.15895772,True,0.35131544,0.48120502
H1F0,0.903924,1.0608327,0.15690875,True,0.8330141,0.8855127
BBS10,0.8704934,0.71375585,-0.15673757,False,0.30616495,0.3146548
MFAP4,0.39001578,0.5464393,0.15642351,False,0.22164004,0.26253855
NIPA1,0.7316366,0.8874876,0.155851,False,0.30059183,0.2900968
CAV1,0.51446736,0.66888994,0.15442258,True,0.30516323,0.38742036
CRABP2,2.2048934,2.051246,-0.15364742,True,0.37365532,0.41287646
PEG3,0.97456473,1.126618,0.1520533,True,1.0025717,1.0358108
DHRS3,0.8341274,0.68256646,-0.15156096,True,0.3343939,0.31784052
FOXO3,1.194357,1.3459092,0.1515522,False,0.3155866,0.35759443
LHFPL6,0.73020524,0.579502,-0.15070325,True,0.36257234,0.31672108
PCK2,2.0146055,2.164987,0.15038157,True,0.285465,0.24554624
HDAC5,1.7731031,1.922963,0.1498599,False,0.22181554,0.21640658
HRK,0.31129366,0.4609356,0.14964193,True,0.19280374,0.28491348
STOX2,0.6511007,0.8004537,0.14935303,True,0.30187514,0.33186936
ID1,2.082082,2.2301912,0.1481092,True,0.44992384,0.34142655
PYCR2,1.9976522,2.1455293,0.1478771,True,0.2240991,0.27612442
MT-CO2,1.645371,1.49828,-0.14709091,True,0.917779,1.0276372
FAT1,2.2605605,2.1138916,-0.14666891,False,0.15875466,0.20590338
COL6A1,2.216633,2.363013,0.14637995,True,0.22963761,0.2545582
MT-ND3,1.7554234,1.6098305,-0.14559293,True,0.78610706,0.9431975
MAMDC2,0.997529,0.8522098,-0.14531916,True,0.3517686,0.37523764
MDN1,1.5548425,1.6990993,0.14425683,False,0.24200326,0.1941711
PLEKHA6,1.0878862,0.94429404,-0.14359218,True,0.41469467,0.44875976
TNMD,0.15363425,0.29669306,0.1430588,False,0.10676954,0.1925684
SLC7A11,2.2569587,2.3993065,0.14234781,True,0.3321765,0.32347542
TUNAR,1.4096617,1.2677104,-0.1419512,True,0.31986284,0.3562804
RRAGD,1.3463784,1.2061404,-0.14023805,True,0.3349723,0.34398723
LPAR6,0.17733541,0.3160821,0.13874668,True,0.13023464,0.22396794
MMP2,1.5867742,1.7252188,0.13844454,True,0.3137001,0.37311205
IFT20,1.3482575,1.4861966,0.1379391,False,0.2906047,0.28114042
IGFBP2,3.052772,2.916258,-0.13651395,True,0.26564616,0.25435406
SAMD4A,0.5071728,0.64347583,0.13630301,True,0.2911182,0.37322974
IRX2,0.45888945,0.32391578,-0.13497368,True,0.29465783,0.22459882
SLC9A7,1.0146234,1.1495016,0.13487816,False,0.32006013,0.31343693
LIMD2,2.078196,2.2130618,0.13486576,False,0.1975306,0.13945618
NTS,1.4767022,1.6115524,0.13485014,True,0.7286999,0.7802363
MAP1B,2.2581487,2.392845,0.13469625,True,0.20767254,0.23593628
PPARGC1B,0.6287334,0.49422008,-0.13451332,False,0.27384257,0.28127757
ATXN3,1.4977376,1.3633283,-0.13440931,False,0.25701135,0.32488567
ACSS2,0.8820951,1.0161713,0.13407624,True,0.5769565,0.58530015
ADCY2,1.7650582,1.6312556,-0.13380253,True,0.41020232,0.40368378
