gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SERPINB9,1.3378824,2.4191654,1.081283,True,0.5634636,1.53685
DTNA,1.0392054,2.05803,1.0188245,True,0.44757935,0.5369692
LEFTY1,0.40002847,1.4120722,1.0120437,True,0.4464706,1.849714
ATP6V0C,1.1942476,0.1893816,-1.004866,False,0.30605292,0.16614653
PLAAT3,1.6658874,2.5656147,0.89972734,True,0.36285684,0.36605722
TMEM64,1.3649961,2.2269173,0.8619212,True,0.3572356,0.67805076
LEFTY2,0.27116945,1.1165344,0.8453649,True,0.24489297,0.8132561
CER1,0.05522831,0.88516736,0.82993907,True,0.04498124,0.6516113
RGS5,1.525954,0.70068216,-0.82527184,True,0.48766956,0.48852915
TMEM63A,1.2596389,2.0763998,0.8167609,True,0.43629962,0.3766723
JUN,0.6033395,1.3805258,0.77718633,True,0.41915378,0.64987606
RASGRF2,0.75367785,1.5294912,0.77581334,True,0.38033068,0.53156054
NODAL,0.39589173,1.1685451,0.7726534,True,0.29222062,0.7477106
GNA14,0.3345889,1.1021184,0.7675295,True,0.25330648,0.7286226
MMP24,1.0542948,1.7685704,0.7142756,True,0.3902179,0.4453376
CASP3,2.3332827,3.0267289,0.69344616,True,0.18378086,0.2288115
C9orf135,1.0159495,1.6984395,0.68249,True,0.37919602,0.29628342
DACT1,0.9510262,1.6009828,0.6499566,True,0.5183046,0.7908776
SQSTM1,2.2455187,2.8567252,0.61120653,True,0.21219827,0.33049732
ESYT2,2.054398,2.6555343,0.6011362,True,0.20245779,0.45901185
LPAR6,0.17733541,0.7676241,0.59028864,True,0.13023464,0.3340981
WIPI1,0.6680701,1.244056,0.5759859,True,0.3098647,0.27582607
KLHL4,0.7873935,1.358845,0.5714515,True,0.36787513,0.33784056
CAV1,0.51446736,1.0709201,0.55645275,True,0.30516323,0.3359959
BRI3,1.9457042,2.4958293,0.5501251,False,0.19502924,0.30481666
CDK6,0.54318875,1.0875716,0.54438287,False,0.2675631,0.4092437
HSD17B14,0.3635277,0.9027879,0.53926027,False,0.20773329,0.35895836
HRK,0.31129366,0.84959036,0.5382967,True,0.19280374,0.39187977
NMRK2,1.9979984,2.526631,0.52863276,True,0.23621987,0.21676803
SFRP1,4.2489777,3.7239528,-0.5250249,True,0.12169684,0.32330716
MAP1B,2.2581487,2.7717285,0.51357985,True,0.20767254,0.20182204
EMP3,0.8505958,1.3633181,0.5127223,True,0.398057,0.3320775
RHOB,0.45923594,0.9712714,0.5120355,True,0.29124495,0.4269
JUND,1.9687197,2.4793367,0.510617,True,0.23403603,0.26661932
CACNG7,1.0390486,0.531084,-0.50796455,False,0.30893832,0.25919822
FZD2,0.7157441,0.20984875,-0.5058953,True,0.36336026,0.14736153
MCOLN3,0.32701516,0.8278308,0.50081563,True,0.21135063,0.406012
SLC39A8,1.5447878,2.0455463,0.5007585,True,0.35716635,0.23257954
TESC,0.97775966,0.47785243,-0.49990723,True,0.35794467,0.27217898
OGFRL1,0.7944332,1.2885258,0.49409264,False,0.31545717,0.30272582
CRABP1,2.7936456,3.2844255,0.49077988,True,0.2094519,0.31578133
ANXA3,0.64711624,1.1376898,0.49057359,True,0.37550318,0.7368515
RRAGC,1.0892907,1.5776329,0.48834217,False,0.301064,0.12787025
