gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DEDD,1.8937092,0.32788748,-1.5658216,False,0.19387369,0.30388206
CHGA,1.5551376,2.5469952,0.9918575,True,0.55296373,0.43451306
BIRC2,0.83299047,0.04528996,-0.78770053,False,0.27612612,0.03408969
POLR3B,0.97866017,0.3787732,-0.59988695,False,0.30917346,0.22041276
RUSC1,1.7071179,1.1721464,-0.5349715,False,0.22861207,0.3259459
DBNDD2,1.6180362,1.1751361,-0.44290006,False,0.27060008,0.3566286
P3H2,1.3254241,1.7401294,0.41470528,True,0.46865007,0.4196657
PRICKLE1,0.4917276,0.863031,0.37130344,True,0.2937208,0.41211396
GPX7,0.61329377,0.25403872,-0.35925505,False,0.2739732,0.1662366
ASS1,1.6960539,2.054638,0.35858405,True,0.34041834,0.39007393
PIK3CD,0.8349563,1.192593,0.3576367,True,0.33845142,0.40370628
STC2,2.132497,2.4802985,0.34780145,True,0.37043837,0.39424938
PALLD,0.84461284,1.1904076,0.3457948,True,0.34409449,0.33540475
RND1,0.3551171,0.68954784,0.33443072,False,0.20332813,0.33132604
PCK2,2.0146055,2.3444889,0.32988334,True,0.285465,0.33290368
SLC7A11,2.2569587,2.5375395,0.28058076,True,0.3321765,0.43157494
CUZD1,0.5141857,0.7918338,0.2776481,True,0.36897147,0.5315029
CXCL5,0.65057814,0.92568576,0.27510762,True,0.36417714,0.49160054
SEMG1,0.26762557,0.5372915,0.26966596,True,0.182794,0.34481856
PSAT1,3.8175943,4.085741,0.26814675,True,0.09711025,0.15691821
NFKB2,0.6419678,0.90572786,0.2637601,True,0.29645884,0.38372645
GAL,2.7219493,2.4610288,-0.26092052,True,0.35849097,0.32948443
DPPA2,0.9645738,0.70442337,-0.26015043,True,0.42964724,0.3816095
DACT1,0.9510262,0.6919809,-0.2590453,True,0.5183046,0.4231479
INHBE,0.40389985,0.6595001,0.25560027,True,0.249757,0.41526127
TTC39C,1.9046897,1.6497235,-0.25496614,True,0.34991878,0.3622874
IFRD1,2.5512347,2.8034706,0.2522359,True,0.24225035,0.25932387
MT1X,1.2593601,1.0083499,-0.25101018,True,0.58770955,0.57705927
CHAC1,0.70487297,0.95278984,0.24791688,True,0.38694882,0.5027322
COL1A1,2.260025,2.0127034,-0.2473216,True,0.40600464,0.46565902
ZIC2,1.9019088,2.1475651,0.24565637,True,0.40680227,0.3006667
DDIT4,0.8543927,1.0948898,0.24049705,True,0.7079657,0.8436454
IQSEC2,1.9034958,1.6632371,-0.2402587,True,0.3713815,0.43019965
CCDC141,0.8916808,0.65280265,-0.23887813,True,0.44828832,0.3957822
TUBB2A,3.9533803,3.7147868,-0.23859358,True,0.1378518,0.13672045
WFDC2,2.037881,1.8014945,-0.23638642,True,0.29843947,0.34498468
GSN,1.4108883,1.642436,0.23154771,False,0.29333594,0.2855485
SHMT2,1.9814478,2.2104743,0.22902644,True,0.205803,0.20584227
VANGL1,0.75634223,0.98416734,0.2278251,False,0.29934624,0.33130893
MLPH,0.5840078,0.35880214,-0.22520566,False,0.27636632,0.21107797
SLC7A5,2.7678742,2.9923024,0.22442818,True,0.20752229,0.23022819
RAB17,1.5537531,1.3305281,-0.223225,True,0.5508224,0.57447344
RDX,1.5144018,1.7325205,0.21811867,False,0.25584766,0.23444943
TEK,1.5910075,1.3812168,-0.2097907,True,0.4462709,0.5056132
FGF13,1.6198746,1.4114351,-0.20843947,True,0.42301762,0.4898552
PHGDH,3.219117,3.4270093,0.20789242,True,0.0838759,0.10209858
MEF2B,0.32470265,0.5299635,0.20526084,True,0.20306997,0.37165746
DNMT3B,4.406935,4.207105,-0.19983006,True,0.087100714,0.09117235
RIPOR2,1.1181024,0.9188204,-0.19928205,True,0.4393332,0.42173022
CAPN2,1.0743307,1.2715926,0.19726193,True,0.3748314,0.3737115
RIC8B,1.1375257,0.9427626,-0.19476306,False,0.29835942,0.31369665
PKDCC,2.017514,2.212219,0.19470501,True,0.58726704,0.50300723
ARHGEF40,1.4412044,1.6346498,0.19344532,False,0.3064177,0.32209936
SESN2,1.1401006,1.3326666,0.19256604,True,0.3993862,0.45277956
ID2,0.48878717,0.6800033,0.19121611,True,0.3184093,0.43375623
PDE4B,0.62653655,0.43564445,-0.1908921,True,0.36656713,0.2980225
LRAT,1.3468386,1.5363792,0.18954062,True,0.5342008,0.5389871
ATCAY,1.1623644,0.9737563,-0.18860805,True,0.36761397,0.39273122
SCGB3A2,2.1600077,1.9715017,-0.188506,True,1.0063828,1.0687824
SPATS2L,3.1276162,2.9400804,-0.18753576,True,0.17706592,0.21061616
ATP1A3,1.2437924,1.0577824,-0.18601,False,0.3171183,0.36302704
RASGRP2,1.3544939,1.1689874,-0.18550646,True,0.34762353,0.376064
DNASE2,1.327689,1.5129899,0.18530083,True,0.30267313,0.32401383
TMEM123,1.5075011,1.6916156,0.18411446,False,0.26990208,0.25066668
CHD7,2.3055537,2.4881957,0.18264198,True,0.2723786,0.24691606
KIF1A,3.2239323,3.405548,0.18161583,True,0.09698961,0.09945225
WWC3,1.4296751,1.6111027,0.1814276,False,0.29689923,0.30657595
B2M,1.6160522,1.7971624,0.18111026,True,0.2681194,0.26201183
OSTM1,0.7958628,0.9762551,0.18039232,False,0.2916329,0.31893817
SEMA6A,2.7475765,2.5680554,-0.17952108,True,0.17924707,0.21690299
NFKBIA,0.8778395,1.0571133,0.17927378,False,0.31615174,0.34792277
ITGAV,1.5367179,1.7158582,0.17914033,False,0.26141873,0.2539255
NRP2,1.0989628,1.2775176,0.17855477,True,0.39400205,0.40251783
LMO3,1.0553634,0.8796312,-0.1757322,True,0.47546923,0.4722011
SQSTM1,2.2455187,2.4166968,0.1711781,True,0.21219827,0.20647538
ANXA4,0.48132035,0.6519568,0.17063645,False,0.24626064,0.3088486
GARS,1.5556651,1.7240608,0.16839564,False,0.26123875,0.28403854
ALDH2,0.9392132,1.1074971,0.16828388,False,0.30306822,0.33022973
TMEM64,1.3649961,1.5315862,0.1665901,True,0.3572356,0.40573236
KLHL5,1.4537766,1.6199808,0.16620421,False,0.26214302,0.2539789
PPP1R17,0.5791453,0.41296825,-0.16617706,True,0.36212915,0.28558394
FOXO4,1.1443002,0.9794306,-0.1648696,True,0.36615413,0.3780045
NR5A2,0.5828152,0.41892877,-0.1638864,True,0.28941792,0.25200406
