gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
BRD9,1.9946815,0.29549298,-1.6991885,False,0.2105047,0.2963092
TRIP13,1.7270734,0.27014995,-1.4569235,False,0.22604899,0.28933135
SCGB3A2,2.1600077,1.2652736,-0.89473414,True,1.0063828,1.2286059
MT1X,1.2593601,0.6237514,-0.6356087,True,0.58770955,0.46393952
KDR,2.138896,1.5478452,-0.59105074,True,0.31552842,0.33717123
TRIML2,1.2181535,0.629814,-0.58833945,True,0.40173906,0.33071056
IQSEC2,1.9034958,1.3332021,-0.57029366,True,0.3713815,0.4154452
SPATS2L,3.1276162,2.5691543,-0.5584619,True,0.17706592,0.40814447
ADGRG1,0.26248333,0.7955637,0.53308034,True,0.17797382,0.49262157
LOXL1,1.073288,1.5879828,0.5146948,True,0.37352282,0.23855819
EDIL3,1.4273261,0.9139838,-0.51334226,True,0.36399788,0.4290845
C9orf135,1.0159495,0.50704324,-0.50890625,True,0.37919602,0.31641313
GAL,2.7219493,2.2176144,-0.5043349,True,0.35849097,0.45640537
SEPHS1,4.0216975,3.5331438,-0.48855376,False,0.06776626,0.16485243
FGF13,1.6198746,1.1389409,-0.48093367,True,0.42301762,0.37114316
USP3,0.49491745,0.94876164,0.4538442,True,0.2896442,0.42219105
SORBS2,1.0052477,0.5612395,-0.44400823,True,0.43276674,0.31488544
GRPR,0.8029942,0.35972312,-0.44327107,True,0.6066761,0.27290672
TERF1,3.9567983,3.5182023,-0.438596,False,0.06587256,0.11545553
LMO3,1.0553634,0.61978793,-0.4355755,True,0.47546923,0.4548705
H1F0,0.903924,1.3373733,0.43344927,True,0.8330141,1.0386757
ITPR2,1.4748362,1.0470482,-0.42778802,True,0.3709125,0.47770923
MMP24,1.0542948,0.6265497,-0.4277451,True,0.3902179,0.41638142
TRIM22,0.6868747,1.1029432,0.4160685,True,0.41427281,0.60896635
MUC3A,1.0630484,1.4699749,0.4069265,True,0.61409867,0.8186657
CSRP1,0.89926517,1.3048465,0.40558136,True,0.4090476,0.5834624
ATP1A2,1.028914,1.4332604,0.40434647,True,0.41873628,0.5206436
S100A10,3.133715,2.7376454,-0.39606953,True,0.22135624,0.3152399
ADCY2,1.7650582,1.3774782,-0.38757992,True,0.41020232,0.4578466
KCNG3,1.6000588,1.2138661,-0.38619268,True,0.33263826,0.28016856
TMEM63A,1.2596389,1.6411512,0.38151228,True,0.43629962,0.48649698
AASS,3.9314687,3.5521023,-0.3793664,True,0.25482205,0.22596708
LGALS3BP,0.8557771,1.2333983,0.37762123,True,0.35664523,0.380579
BEND4,0.85342634,0.47811192,-0.3753144,False,0.32730582,0.27702388
ZDHHC22,1.2077652,0.8395527,-0.36821252,True,0.33642527,0.3613596
STC1,1.3884113,1.0263098,-0.36210144,True,0.51668775,0.551893
PDLIM1,2.4891915,2.1307666,-0.3584249,True,0.14672922,0.22078888
HSPA2,1.1836619,0.82995725,-0.3537047,True,0.39147896,0.3273212
FZD2,0.7157441,1.0667266,0.3509825,True,0.36336026,0.4871447
TMEM123,1.5075011,1.8573376,0.34983647,False,0.26990208,0.21576133
IGDCC4,0.7147406,1.0625536,0.34781307,True,0.32819542,0.45231006
DNMT3B,4.406935,4.0626163,-0.34431887,True,0.087100714,0.085228674
PRTFDC1,1.0201368,1.3614452,0.34130836,False,0.32971197,0.31459692
NQO1,2.009532,1.6708052,-0.33872676,True,0.24418247,0.3109471
CHD7,2.3055537,2.6410851,0.33553147,True,0.2723786,0.16236043
P2RY1,0.7862649,0.45082706,-0.33543783,True,0.40756574,0.26800302
H2AFY2,1.102345,1.4345976,0.33225262,True,0.47343355,0.5695943
SYT4,0.58140266,0.25106823,-0.33033442,True,0.34853083,0.21334177
CNMD,2.6173897,2.288481,-0.32890868,True,0.16489005,0.41339812
C13orf42,0.8197307,1.1464627,0.32673198,True,0.4382594,0.38983884
PLAAT3,1.6658874,1.3411735,-0.32471383,True,0.36285684,0.30211404
CARMIL2,1.2063643,0.88181067,-0.3245536,True,0.33780468,0.38155532
VSNL1,2.1774752,1.8531345,-0.3243407,True,0.21121545,0.34813204
VLDLR,1.3306402,1.0110531,-0.3195871,True,0.42473996,0.39059928
NPDC1,1.305256,0.9857816,-0.3194744,True,0.32610822,0.36892682
CPXM1,0.81289595,1.1319941,0.31909817,False,0.32383472,0.4276374
NEFM,1.2480268,0.9347671,-0.31325972,True,0.4028053,0.47841707
DUSP6,2.2662961,2.5790095,0.31271338,True,0.42365897,0.42075402
SESN1,1.3295916,1.6407135,0.31112182,True,0.42911422,0.48099717
IDO1,1.2041372,0.894424,-0.30971318,True,0.43108737,0.4572834
PGM2L1,1.618141,1.3108528,-0.3072883,True,0.2785538,0.37842682
SPART,1.7157133,1.4087076,-0.30700564,True,0.31890935,0.37186033
TYRO3,1.2779318,1.5840862,0.30615437,False,0.28758505,0.3009543
ERRFI1,1.6567633,1.3512532,-0.30551016,True,0.39002523,0.47835752
BRCA2,1.2825447,1.5877689,0.30522418,False,0.2878654,0.28978327
LTBP1,0.81533235,1.1198782,0.30454582,False,0.3102994,0.2745532
FN1,0.7990986,0.49543762,-0.303661,True,0.3614243,0.30277035
MGAT4C,0.36692482,0.6687219,0.3017971,True,0.23634776,0.3269061
COL26A1,1.4676361,1.7688314,0.30119526,False,0.30470583,0.3334879
ADM,1.0165217,1.3173666,0.3008449,True,0.4694616,0.54868203
MRGBP,1.6100714,1.3104947,-0.29957676,False,0.2640517,0.39324287
RFC4,1.0139006,1.3133862,0.29948556,False,0.30417988,0.2764969
RFLNB,1.6136794,1.3149086,-0.2987708,True,0.32008567,0.39269468
TYMS,2.7641926,3.062743,0.29855037,True,0.13533644,0.14412372
TMEM144,0.42126784,0.7196984,0.2984306,True,0.25333115,0.32775766
LAMB1,1.1267743,1.4239236,0.2971493,True,0.34430408,0.30911317
ZNF532,2.9515648,2.6558025,-0.2957623,False,0.11774456,0.24996968
CADM2,0.4776455,0.7730725,0.295427,True,0.28923467,0.43789646
PROM1,2.3386636,2.6292129,0.29054928,True,0.22140999,0.21807355
MT-ND4,1.8822018,1.5939642,-0.28823757,True,0.9863533,0.79128575
SERPINF1,1.6192932,1.9073615,0.2880683,True,0.29321593,0.23646975
ERBB2,3.173677,2.8860064,-0.2876706,True,0.1566171,0.23362415
MB21D2,1.4214597,1.1353008,-0.28615892,False,0.32164162,0.45812428
HAPLN3,1.6817214,1.3957618,-0.2859596,True,0.28374058,0.44016427
AP1S1,1.4771401,1.7628284,0.28568828,False,0.2784553,0.25476608
TP53I11,0.34607026,0.62911737,0.2830471,False,0.190642,0.31994817
PLXND1,1.5982894,1.8809572,0.28266788,True,0.2975896,0.24968529
TSPAN18,0.32778952,0.6095193,0.2817298,False,0.1905809,0.26488057
TTC39C,1.9046897,1.6233542,-0.28133547,True,0.34991878,0.5323045
DPPA4,3.5551229,3.2747746,-0.2803483,False,0.059783284,0.10031016
MPG,1.165937,0.88650614,-0.2794308,False,0.28596202,0.3265467
H2AFY,1.0640961,1.340543,0.27644694,False,0.29776284,0.22449477
ANKRD13B,1.5606394,1.2842096,-0.27642977,False,0.27900177,0.35008845
BICRAL,0.87304217,1.1494308,0.2763886,False,0.32364908,0.38971022
KLF6,0.86449987,0.5893645,-0.27513534,True,0.38496384,0.37390044
OPN3,0.9301242,1.205216,0.27509183,True,0.42169705,0.44408852
SH3PXD2A,1.163406,1.4378521,0.27444613,True,0.35269663,0.35824233
JAZF1,1.1662948,0.8937871,-0.27250773,True,0.3763501,0.35132957
FIGNL1,0.67838603,0.9507695,0.27238345,False,0.28539845,0.31607756
DCLK1,1.713339,1.4411514,-0.2721876,True,0.28653774,0.36263958
GALE,0.8597597,1.1314869,0.2717272,False,0.32331824,0.28941873
IMMP2L,1.4893702,1.7610435,0.27167332,True,0.3280414,0.2606054
AUTS2,1.9910005,2.2617993,0.2707988,True,0.22192383,0.20031174
CCDC141,0.8916808,0.6210331,-0.2706477,True,0.44828832,0.37911648
RPP25,1.2558049,0.9852332,-0.2705717,False,0.31804785,0.4683747
MT-CO2,1.645371,1.3757311,-0.26963985,True,0.917779,0.81044054
ACOXL,1.4610541,1.7305511,0.26949704,True,0.3608723,0.50520736
LIN7A,0.8565189,0.58809406,-0.26842487,True,0.36641464,0.3465925
PHLDA3,0.48402876,0.7520572,0.26802844,True,0.32843012,0.4305895
BLOC1S1,1.8641253,2.1300235,0.26589823,False,0.19545424,0.2688716
GDF3,0.6978482,0.43202937,-0.26581883,True,0.3538861,0.24408656
KIAA1586,1.4504979,1.7155981,0.26510024,False,0.2563722,0.2105257
TBL2,1.1782382,1.4429144,0.2646762,True,0.34968928,0.3050591
ZSCAN10,2.624691,2.3603108,-0.26438022,False,0.1372056,0.32749426
LRP4,0.766062,1.028869,0.262807,False,0.3107522,0.42226937
CBR1,1.6964686,1.4344684,-0.2620002,True,0.29841512,0.4267034
NANOG,2.2042422,1.9433979,-0.26084435,True,0.2297275,0.44259727
PAPSS2,0.6736998,0.9331721,0.2594723,False,0.28617874,0.21693031
TBC1D8B,0.67120296,0.41187266,-0.2593303,False,0.28998643,0.2547354
GJA1,4.070931,3.8117917,-0.2591393,True,0.10267221,0.08015407
MFGE8,3.6756303,3.416768,-0.25886226,True,0.10762995,0.16159293
JPH4,1.3973159,1.1389383,-0.25837755,True,0.34740102,0.3720642
PEG3,0.97456473,0.7162642,-0.25830054,True,1.0025717,0.77722543
TRIM5,1.4242911,1.6794745,0.25518334,True,0.34775296,0.33984765
CDC42EP3,1.017546,1.272209,0.254663,True,0.3280289,0.3669314
RBPJ,2.1078296,1.854065,-0.25376463,False,0.17478053,0.26613536
CTDSP1,0.68136364,0.9341608,0.2527972,False,0.28285578,0.3857364
CCHCR1,1.4575734,1.708462,0.2508886,False,0.2823406,0.22693855
