target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
C1QBP,non-targeting,NOC2L,1.1579007,1.015982,0.1396861970424652,1.1396862268447876,0.0010996392788725,14527347.5,0.0077295674778453
C1QBP,non-targeting,PERM1,0.0011646106,7.30202e-05,14.949155807495115,15.949156761169434,0.0066630377254663,13588880.0,0.0375964262100445
C1QBP,non-targeting,MXRA8,0.452921,0.5648588,-0.1981695145368576,0.8018304705619812,4.65256177096e-05,12442190.0,0.0004278580398041
C1QBP,non-targeting,CCNL2,11.924509,11.209003,0.0638331174850463,1.0638331174850464,0.0001387209325823,14701682.0,0.0011754762354739
C1QBP,non-targeting,GABRD,0.08988368,0.1263557,-0.2886455953121185,0.7113543748855591,0.0007524065506382,12924290.5,0.005487720535536
C1QBP,non-targeting,SKI,12.601109,11.850527,0.0633374154567718,1.0633374452590942,1.48377426814e-05,14856097.0,0.0001473451415304
C1QBP,non-targeting,RER1,12.600002,13.224993,-0.0472582839429378,0.9527417421340942,0.0066009777330089,12765948.0,0.0372951702022974
C1QBP,non-targeting,LRRC47,8.20416,7.6639924,0.0704811960458755,1.0704811811447144,1.2287862032389804e-06,15010277.5,1.40907745589e-05
C1QBP,non-targeting,NOL9,1.3338972,1.4840493,-0.1011772900819778,0.8988227248191833,0.0049561883640322,12740869.0,0.0291486751819038
C1QBP,non-targeting,DNAJC11,12.761627,13.441751,-0.0505978241562843,0.949402153491974,0.000266310158123,12490211.0,0.0021415046443484
C1QBP,non-targeting,PER3,0.4091465,0.48537782,-0.1570556610822677,0.842944324016571,0.0013409220203627,12697289.5,0.0092320086294425
C1QBP,non-targeting,ERRFI1,3.5612736,4.261261,-0.1642676740884781,0.8357323408126831,5.18837838164436e-08,11956827.5,6.952532139743313e-07
C1QBP,non-targeting,SLC25A33,7.1872683,6.8220825,0.0535299517214298,1.053529977798462,0.002894487907746,14455010.0,0.0182482534946821
C1QBP,non-targeting,PIK3CD,1.0068711,1.3100411,-0.2314202040433883,0.7685797810554504,1.2336597959957779e-09,11782931.0,1.937113375642272e-08
C1QBP,non-targeting,CLSTN1,4.5926585,4.2903357,0.0704660192131996,1.0704660415649414,0.0012640822930296,14527753.0,0.0087570020912852
C1QBP,non-targeting,LZIC,4.8462486,5.2642174,-0.0793980807065963,0.9206019043922424,0.004097400396995,12720206.5,0.0247186597040353
C1QBP,non-targeting,RBP7,0.2313891,0.30677378,-0.245733767747879,0.7542662620544434,7.06202768718e-05,12588077.5,0.0006298103910835
C1QBP,non-targeting,PGD,3.5070539,3.794015,-0.0756352022290229,0.9243648052215576,0.0014653158876512,12628016.0,0.0099875259174902
C1QBP,non-targeting,CENPS,2.133786,2.3629293,-0.0969742834568023,0.9030256867408752,0.0049204880438161,12737821.0,0.0289650938774909
C1QBP,non-targeting,DFFA,10.091298,9.365449,0.0775028690695762,1.0775028467178345,5.715332588345539e-07,15054663.5,6.824578187563007e-06
C1QBP,non-targeting,CASZ1,0.42300016,0.49418545,-0.1440457105636596,0.8559542894363403,0.0039389893896583,12784092.0,0.0238870759257472
C1QBP,non-targeting,SRM,27.32645,28.309406,-0.0347218848764896,0.9652780890464784,0.0042436319306707,12723498.5,0.0254857549598164
C1QBP,non-targeting,MAD2L2,54.37513,59.006184,-0.0784842148423194,0.9215157628059388,4.425603226792294e-19,10924326.5,1.2747316606723704e-17
C1QBP,non-targeting,TNFRSF8,0.559725,0.66973406,-0.1642578393220901,0.835742175579071,0.0003516676102735,12555287.5,0.0027575792140111
C1QBP,non-targeting,DHRS3,1.1334009,1.3081391,-0.133577674627304,0.8664223551750183,0.0008604162754127,12590116.0,0.0061936269115313
C1QBP,non-targeting,AADACL3,0.0101844575,0.023495253,-0.5665313005447388,0.4334687292575836,0.0043794256900884,13309769.0,0.0262000407471982
C1QBP,non-targeting,PDPN,14.725848,16.106108,-0.0856978967785835,0.9143021106719972,1.7126722450237676e-08,11899200.0,2.407301110940661e-07
C1QBP,non-targeting,EFHD2,4.440751,4.0223007,0.1040325909852981,1.1040326356887815,2.16892846924e-05,14831066.0,0.0002102075943389
C1QBP,non-targeting,CELA2A,0.0011971429,3.435096e-05,33.850345611572266,34.850345611572266,0.000541364342868,13589591.0,0.0040764662868115
C1QBP,non-targeting,CASP9,1.1330372,1.0012472,0.1316258758306503,1.1316258907318115,0.0013585393202947,14509383.5,0.0093413248396726
C1QBP,non-targeting,AGMAT,1.5264794,1.3047867,0.1699072271585464,1.1699072122573853,1.78333097535e-05,14836059.5,0.0001750192196126
C1QBP,non-targeting,EPHA2,3.5475185,2.8412273,0.2485866546630859,1.248586654663086,1.8627999417875357e-12,15660417.0,3.63970709087017e-11
C1QBP,non-targeting,FBXO42,2.5565457,2.2714782,0.1254986971616745,1.125498652458191,0.0001214172496324,14710964.5,0.0010390444637377
C1QBP,non-targeting,NECAP2,2.1135087,1.9297462,0.0952262803912162,1.0952262878417969,0.0015189818167964,14510847.5,0.0103157176520056
C1QBP,non-targeting,RCC2,5.4740963,5.965367,-0.0823537856340408,0.9176462292671204,0.0006890718093511,12564995.5,0.005068312238342
C1QBP,non-targeting,ACTL8,0.2281175,0.29986015,-0.2392537146806717,0.7607463002204895,2.98866304596e-05,12546293.5,0.0002832568865668
C1QBP,non-targeting,EMC1,3.9949899,3.692432,0.0819400176405906,1.0819400548934937,0.0016504230761475,14504850.5,0.0111027121657789
C1QBP,non-targeting,CAPZB,8.567314,8.108241,0.056618083268404,1.056618094444275,9.22021324124e-05,14731283.5,0.0008062038402844
C1QBP,non-targeting,MICOS10,18.313498,17.626926,0.0389501340687274,1.0389500856399536,0.0001878105256535,14679270.5,0.0015560683190886
C1QBP,non-targeting,NBL1,0.56712687,0.6557915,-0.1352024972438812,0.8647975325584412,0.0026807606643198,12723285.5,0.0170582424252354
C1QBP,non-targeting,CDA,0.42579243,0.50638056,-0.1591453850269317,0.8408545851707458,0.001852844818039,12723276.0,0.0123096326560398
C1QBP,non-targeting,PINK1,1.5239768,1.7681043,-0.1380730271339416,0.8619269728660583,4.11352396933e-05,12357942.5,0.000381482278278
C1QBP,non-targeting,KIF17,0.66918933,0.81917375,-0.1830923110246658,0.8169077038764954,2.7051700925e-05,12363094.0,0.0002583383379707
C1QBP,non-targeting,ECE1,5.071109,4.747136,0.0682459250092506,1.0682458877563477,0.0086946900706074,14349751.5,0.0471463265082873
C1QBP,non-targeting,HTR1D,0.49564764,0.7132708,-0.3051059246063232,0.6948940753936768,4.0300740063987206e-10,11810901.0,6.595794155489171e-09
C1QBP,non-targeting,PNRC2,8.712829,10.572218,-0.175875037908554,0.8241249322891235,1.9783827751134666e-17,11052073.0,5.238599966908534e-16
C1QBP,non-targeting,NIPAL3,0.28693384,0.34891602,-0.1776421219110489,0.8223578929901123,0.0040057706027487,12829263.5,0.0242327207473811
C1QBP,non-targeting,CLIC4,47.133488,49.063583,-0.0393386594951152,0.9606613516807556,2.78608358721e-05,12328798.5,0.0002655744504064
C1QBP,non-targeting,RSRP1,4.8133326,3.9885495,0.2067877352237701,1.2067877054214478,1.052763937342042e-14,15864925.0,2.38192616532901e-13
C1QBP,non-targeting,TMEM50A,10.762747,10.158783,0.0594523809850215,1.0594524145126345,1.2829026341731592e-06,15007740.5,1.46781359034e-05
C1QBP,non-targeting,LDLRAP1,1.5000026,1.6784871,-0.1063364967703819,0.8936635255813599,0.0027481433041998,12685384.5,0.0174397506545845
C1QBP,non-targeting,MTFR1L,1.3857573,1.1977704,0.1569474190473556,1.156947374343872,8.30455287398e-05,14730015.5,0.0007322781699262
C1QBP,non-targeting,STMN1,10.104593,9.260651,0.0911321118474006,1.0911321640014648,2.022117113047857e-07,15113000.5,2.5421168666523528e-06
C1QBP,non-targeting,CEP85,4.633563,4.3169103,0.0733517184853553,1.0733517408370972,0.0001417031759064,14700114.5,0.0011989486570935
C1QBP,non-targeting,CD52,0.16831361,0.20960595,-0.1969998478889465,0.8030001521110535,0.0019933303604176,12875257.5,0.0131287933200232
C1QBP,non-targeting,LIN28A,99.09337,102.95852,-0.037540853023529,0.962459146976471,2.003586512476715e-06,12161887.0,2.23674582053e-05
C1QBP,non-targeting,NUDC,29.621244,31.220898,-0.051236618310213,0.948763370513916,8.598886680147264e-08,11983632.5,1.1268237383276257e-06
C1QBP,non-targeting,KDF1,0.86487603,0.77398425,0.1174336299300193,1.1174336671829224,0.0081748471679452,14335141.5,0.0447290666279316
C1QBP,non-targeting,SLC9A1,2.7143984,2.4077017,0.1273815035820007,1.127381443977356,6.947226783745861e-06,14904374.0,7.22481748505e-05
C1QBP,non-targeting,IFI6,0.38101977,0.49075162,-0.2235995680093765,0.7764004468917847,1.37422499832e-05,12388309.0,0.0001371065279295
C1QBP,non-targeting,SMPDL3B,2.7631068,3.1721818,-0.128956988453865,0.8710430264472961,2.899211130961934e-07,12050225.0,3.582182235015594e-06
C1QBP,non-targeting,PTAFR,0.0579591,0.08162513,-0.2899355888366699,0.7100644111633301,0.0039765933099453,13107736.5,0.0240787725790587
C1QBP,non-targeting,DNAJC8,12.108877,11.338055,0.0679854303598404,1.0679854154586792,8.89377784127658e-08,15157694.0,1.1635275207690342e-06
C1QBP,non-targeting,RCC1,8.199583,9.3067,-0.1189591065049171,0.8810408711433411,1.041363852723192e-09,11761536.0,1.6467994802095087e-08
C1QBP,non-targeting,TRNAU1AP,3.3920467,2.9117708,0.1649428755044937,1.1649428606033323,1.1185878841008303e-10,15484340.0,1.916367872192958e-09
C1QBP,non-targeting,TAF12,4.0103965,3.6487448,0.0991167277097702,1.0991166830062866,1.47826767965e-05,14856307.0,0.0001468198178868
C1QBP,non-targeting,RAB42,0.33083388,0.38652688,-0.1440857052803039,0.855914294719696,0.0061617717529894,12851512.0,0.0351582684496262
C1QBP,non-targeting,YTHDF2,20.88268,22.055183,-0.053162220865488,0.9468377828598022,1.7266351078572288e-06,12152996.0,1.94340502698e-05
C1QBP,non-targeting,PUM1,10.8064785,12.133604,-0.1093760356307029,0.8906239867210388,5.427799210969146e-12,11526945.5,1.0266916449972676e-10
C1QBP,non-targeting,PEF1,3.4793074,4.226198,-0.1767287701368332,0.8232712149620056,4.0654817989084647e-11,11613641.0,7.202735024425775e-10
C1QBP,non-targeting,KHDRBS1,14.0907,15.602629,-0.0969021692872047,0.9030978083610536,1.4359933369442432e-14,11289916.5,3.223986034018616e-13
C1QBP,non-targeting,TMEM39B,1.888121,2.0821302,-0.0931782200932502,0.9068217873573304,0.0034754692938869,12705465.5,0.0214156882782454
C1QBP,non-targeting,LCK,2.923596,3.3734257,-0.1333451122045517,0.8666548728942871,6.250283755303522e-07,12093679.5,7.42705584032912e-06
C1QBP,non-targeting,MARCKSL1,62.118042,55.83767,0.1124755516648292,1.1124755144119265,5.6333694906612315e-30,16944916.0,2.5371914072362797e-28
C1QBP,non-targeting,FAM229A,0.0121255135,0.0058710827,1.0652942657470703,2.0652942657470703,0.0081311122032369,13699969.0,0.044535143482134
C1QBP,non-targeting,BSDC1,2.5062575,2.338229,0.071861483156681,1.0718615055084229,0.0047423772872248,14408849.5,0.0280539365316912
C1QBP,non-targeting,KIAA1522,10.920101,11.641652,-0.0619801171123981,0.938019871711731,4.72070368559e-05,12364756.5,0.0004337567852598
C1QBP,non-targeting,RNF19B,1.8206172,1.4285033,0.2744928300380707,1.274492859840393,3.6352327969897665e-11,15525860.5,6.46602698592264e-10
C1QBP,non-targeting,PHC2,0.54665595,0.39883712,0.3706245720386505,1.370624542236328,2.0142056839547572e-08,15046664.0,2.8108087963802104e-07
