gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
C1QBP,1.8404617,0.18246703,-1.6579947,False,0.21495615,0.14438175
TANGO6,1.0360581,0.33072653,-0.70533156,False,0.30805606,0.26115796
SCGB3A2,2.1600077,1.7543805,-0.40562725,True,1.0063828,1.0347506
OPN3,0.9301242,1.3334653,0.4033411,True,0.42169705,0.57538235
DPPA4,3.5551229,3.190545,-0.36457777,False,0.059783284,0.39494923
MT-ND4,1.8822018,2.2430918,0.36089003,True,0.9863533,1.0844698
MT-ATP6,1.7147563,2.0606813,0.3459251,True,0.97399217,1.1196668
H1F0,0.903924,1.2418902,0.3379662,True,0.8330141,1.2525337
H2AFY2,1.102345,1.4302398,0.3278948,True,0.47343355,0.49237117
MT-ND3,1.7554234,2.049849,0.2944256,True,0.78610706,0.92430866
AKAP7,1.5629597,1.2806475,-0.28231215,True,0.41213223,0.494041
POLR2A,1.5230211,1.8048241,0.281803,False,0.26769033,0.40848023
RMND5B,1.9532028,1.6811632,-0.27203965,False,0.20672037,0.39813116
MT1X,1.2593601,0.9982853,-0.26107478,True,0.58770955,0.5125088
CHD7,2.3055537,2.5658197,0.26026607,True,0.2723786,0.19276147
DNMT3B,4.406935,4.146866,-0.26006937,True,0.087100714,0.14212935
CCDC141,0.8916808,0.6329782,-0.25870258,True,0.44828832,0.4016785
PHYH,0.7808058,1.0315515,0.25074565,False,0.30016178,0.449888
HNRNPDL,2.8667784,2.6179936,-0.24878478,False,0.10303572,0.26666632
INTS3,2.2111483,1.9705077,-0.24064052,False,0.1554425,0.33330476
FLVCR1,2.5166728,2.7569168,0.24024391,True,0.17036496,0.26032126
SEPHS1,4.0216975,3.7814724,-0.24022508,False,0.06776626,0.16348657
EIF4A2,3.2214396,2.983133,-0.23830652,True,0.11395458,0.26063988
FZD2,0.7157441,0.9510341,0.23529005,True,0.36336026,0.43549374
HIST1H1A,1.5684879,1.3343294,-0.23415852,True,1.4661734,1.3754504
MT-CO2,1.645371,1.8776889,0.23231792,True,0.917779,0.9872161
TAGLN,2.3409328,2.5704305,0.22949767,True,0.6389723,0.7434983
DUSP6,2.2662961,2.4947653,0.22846913,True,0.42365897,0.39846686
EFNB2,1.1549579,1.3798385,0.22488058,True,0.41472465,0.44119138
AMOTL1,1.576115,1.7996398,0.22352481,True,0.32757238,0.3169123
RIPOR2,1.1181024,0.8963691,-0.22173333,True,0.4393332,0.4546654
LARP7,1.3742118,1.5887673,0.2145555,True,0.34203744,0.4364951
PLAAT3,1.6658874,1.4524446,-0.2134428,True,0.36285684,0.37329063
ANXA3,0.64711624,0.8577542,0.21063793,True,0.37550318,0.48693728
HES1,0.91062826,1.1210338,0.21040553,True,0.49244022,0.60058755
NRP2,1.0989628,1.3086205,0.20965767,True,0.39400205,0.46427348
ANP32E,2.6381044,2.4288437,-0.2092607,False,0.114112005,0.22942685
CEBPZOS,2.2127926,2.0039475,-0.20884514,True,0.32092294,0.45701253
TSPAN2,1.2806014,1.4881184,0.20751703,True,0.34775546,0.40017
IER3,0.52010494,0.72655976,0.20645481,True,0.30785796,0.42402127
HIST1H1B,4.1244035,3.9200816,-0.20432186,True,1.3478125,1.3142945
TNFRSF10B,1.6190304,1.8220108,0.2029804,True,0.33569923,0.4082234
ARMCX2,2.4285595,2.2272446,-0.20131493,True,0.1969397,0.31593245
SESN1,1.3295916,1.5307856,0.20119393,True,0.42911422,0.568711
OARD1,2.2709072,2.0700386,-0.2008686,False,0.16093963,0.2889476
MT-CO3,1.2058606,1.406349,0.20048833,True,0.78025454,0.8169324
ZNF90,2.61995,2.4211042,-0.19884586,True,0.1612946,0.22401944
LOXL1,1.073288,1.2708907,0.19760275,True,0.37352282,0.4599264
DERA,1.5142007,1.7095224,0.19532168,True,0.30567244,0.30512783
TTN,0.53751266,0.34363914,-0.19387352,True,0.3516583,0.27358186
IQSEC2,1.9034958,1.7097678,-0.19372797,True,0.3713815,0.4368337
GADD45A,0.71394557,0.90759766,0.1936521,True,0.34338844,0.46953812
EDIL3,1.4273261,1.2341244,-0.19320166,True,0.36399788,0.39513758
COX20,1.7023284,1.5093468,-0.1929816,False,0.25975162,0.327996
TRIML2,1.2181535,1.026825,-0.19132853,True,0.40173906,0.46139553
KPNB1,2.320769,2.1302078,-0.1905613,False,0.13904288,0.2643277
TUBA4A,1.6588391,1.8492041,0.19036496,True,0.27253002,0.34999096
ZNF587B,2.0042105,1.816729,-0.18748152,False,0.18230094,0.28640088
MMP2,1.5867742,1.7717708,0.1849966,True,0.3137001,0.3196183
FGF13,1.6198746,1.4351693,-0.18470526,True,0.42301762,0.47382742
SLC7A11,2.2569587,2.0727348,-0.18422389,True,0.3321765,0.59153765
ARRDC3,1.1225206,1.3065442,0.18402362,True,0.4457074,0.59972924
