gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CALM3,1.6594716,0.12884825,-1.5306234,False,0.24887817,0.09074591
SMARCA1,1.1215684,0.5695684,-0.55200005,False,0.29281354,0.27977282
TRDN,1.0043794,1.1231072,0.1187278,True,0.69005215,0.6668785
OSBPL11,1.5380197,1.4310492,-0.10697043,False,0.2650432,0.25992972
SESN1,1.3295916,1.4328398,0.10324812,True,0.42911422,0.37085834
PIPOX,1.3608539,1.4609172,0.100063324,True,0.35072494,0.26903602
TMEM126A,1.810252,1.7124376,-0.09781432,False,0.2177189,0.2455123
FEZ1,1.0951558,1.1884739,0.093318105,True,0.36360902,0.33080116
MT-ND4,1.8822018,1.973169,0.09096718,True,0.9863533,0.95775586
PNRC1,1.5150425,1.60599,0.09094751,True,0.40612546,0.37144935
MT-ATP6,1.7147563,1.8057014,0.090945125,True,0.97399217,0.9457266
RRAGD,1.3463784,1.4353193,0.08894086,True,0.3349723,0.29955807
ANXA3,0.64711624,0.7339447,0.08682847,True,0.37550318,0.4064018
LIN7A,0.8565189,0.9424419,0.08592296,True,0.36641464,0.34789178
OTULIN,1.4431778,1.5283018,0.085124016,False,0.2753239,0.23850113
HJURP,1.8688328,1.9538646,0.08503175,True,0.4728739,0.41454357
OCRL,1.0960608,1.0119452,-0.084115505,False,0.29750362,0.28704435
BAG2,1.6299034,1.7132556,0.08335221,True,0.36802182,0.32117552
PI4K2B,1.3335596,1.2505916,-0.082968,False,0.27963856,0.28479856
FAM83D,1.8226819,1.905225,0.082543135,True,0.4921371,0.44866943
KIF23,2.3050752,2.3868704,0.081795216,True,0.44283018,0.39977807
EMP3,0.8505958,0.93177766,0.081181884,True,0.398057,0.41091466
SPART,1.7157133,1.7958016,0.08008838,True,0.31890935,0.29008177
CHST9,0.94160825,1.019733,0.0781247,True,0.35677353,0.32114297
METTL7A,1.1035215,1.1815692,0.07804775,True,0.36541176,0.3253373
CENPE,1.9319985,2.009559,0.077560425,True,0.44608003,0.39934647
PLAAT3,1.6658874,1.7434156,0.07752824,True,0.36285684,0.30278
MT-ND3,1.7554234,1.8326902,0.07726681,True,0.78610706,0.7954942
SLC43A2,1.0212051,0.9441142,-0.07709086,True,0.34650713,0.35176465
RNF213,1.125614,1.2011763,0.07556224,False,0.29972515,0.28571546
OPN3,0.9301242,0.8547186,-0.0754056,True,0.42169705,0.38258305
TMEM102,0.6329388,0.7070618,0.074123025,False,0.29516387,0.2890991
FMC1,0.7007044,0.6267831,-0.07392132,False,0.284773,0.26997936
INCENP,2.0067081,2.080386,0.07367778,True,0.36697957,0.3276923
EEF1A2,0.775216,0.8486668,0.073450804,True,0.3544652,0.33260378
POLR3B,0.97866017,0.9055689,-0.07309127,False,0.30917346,0.30060095
TMEM126B,2.5414946,2.4685338,-0.07296085,False,0.124269,0.107635744
