gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CAMSAP2,1.468617,0.14484613,-1.3237709,False,0.27428457,0.10988777
ADAMTS1,0.52104175,0.22211939,-0.29892236,True,0.33755106,0.17416646
TMEM106A,0.2865808,0.16225222,-0.12432858,False,0.16646835,0.102918185
RGS5,1.525954,1.6222323,0.09627831,True,0.48766956,0.4849241
CACNA1H,0.9535186,0.86641705,-0.08710158,False,0.32525548,0.3281723
DUSP6,2.2662961,2.193009,-0.07328725,True,0.42365897,0.4487528
BST2,1.1939828,1.1223147,-0.07166815,True,0.5915028,0.5848849
CCN2,1.3984216,1.4604883,0.062066674,True,0.8199761,0.8240888
CUZD1,0.5141857,0.45397717,-0.06020856,True,0.36897147,0.33112824
KLHL4,0.7873935,0.7306823,-0.056711197,True,0.36787513,0.36289635
TPM1,3.4666436,3.522981,0.056337357,True,0.1359563,0.1252151
DBN1,1.6602563,1.6059557,-0.054300547,False,0.26367208,0.26139742
NMU,1.7737356,1.8274521,0.05371642,True,0.3437436,0.34259805
HUNK,0.8023043,0.85536945,0.05306512,False,0.326024,0.32713416
HOMER3,0.604683,0.5518577,-0.052825272,False,0.2673601,0.26283494
DENND6A,1.2277561,1.1755096,-0.05224657,False,0.31761828,0.31682584
TAP1,0.6942486,0.7455255,0.051276863,True,0.3381539,0.3488768
HABP4,0.7691681,0.71838254,-0.05078554,False,0.309462,0.2894332
CCDC169,1.0565683,1.1071904,0.050622106,True,0.37135482,0.3592069
STXBP6,1.1174883,1.1680384,0.050550103,True,0.3900172,0.3894971
GAL,2.7219493,2.7720778,0.05012846,True,0.35849097,0.37255564
AGK,1.0821086,1.0328104,-0.049298167,False,0.303265,0.31125128
PDLIM7,1.0587308,1.0095453,-0.049185514,False,0.31141394,0.31700784
FZD7,1.6563491,1.7054152,0.049066186,True,0.35724905,0.3558747
AMOTL2,1.0679373,1.1169968,0.04905951,True,0.48965907,0.46635965
CCN1,0.98059136,1.0295302,0.04893881,True,0.5011432,0.5036324
COBL,1.1189342,1.1674322,0.048498034,True,0.3521923,0.33185107
TRMT112,1.3847378,1.3367481,-0.047989726,False,0.3035696,0.33188853
PEG3,0.97456473,0.9267269,-0.047837853,True,1.0025717,0.9800304
WIPF1,0.41892472,0.37109768,-0.047827035,True,0.2575495,0.23008786
MAMDC2,0.997529,1.0443938,0.046864808,True,0.3517686,0.33531836
FOXO4,1.1443002,1.1907955,0.04649532,True,0.36615413,0.37654352
ZNF577,0.53415877,0.4880521,-0.046106666,False,0.24844353,0.23801528
B3GNT7,0.8905921,0.84584314,-0.044748962,True,0.3308464,0.33027267
FGF13,1.6198746,1.664595,0.04472041,True,0.42301762,0.3865799
FRAT2,1.6338485,1.6784056,0.044557095,True,0.30995584,0.30291572
