gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CASP2,1.1361108,0.07263782,-1.063473,False,0.29876938,0.055865306
HNRNPF,1.9832851,1.6466155,-0.33666956,False,0.21296428,0.25129363
GSTK1,1.1932805,1.0239259,-0.16935456,False,0.30570027,0.32936758
AKR1A1,2.903987,2.7889855,-0.11500144,False,0.08226656,0.090183236
DAG1,1.3142085,1.1992439,-0.114964604,False,0.30225432,0.30363727
C1orf94,0.6376349,0.52961284,-0.108022034,True,0.30281267,0.28349409
WDTC1,1.1787552,1.074819,-0.103936195,False,0.30542833,0.3070239
TSTA3,1.9133973,1.8171955,-0.09620178,False,0.19780587,0.21969679
SFXN2,1.3055495,1.2143073,-0.091242194,False,0.30120552,0.31192067
KDR,2.138896,2.0542114,-0.08468461,True,0.31552842,0.36915094
TBC1D5,1.1444453,1.2289095,0.08446419,False,0.3194644,0.3021322
CRABP2,2.2048934,2.289044,0.08415055,True,0.37365532,0.34795502
KBTBD2,1.3589154,1.2751062,-0.08380926,False,0.28606227,0.29030555
TTYH1,1.2124448,1.2952558,0.082811,False,0.3165686,0.2943836
LAMTOR2,2.1797364,2.0984406,-0.08129573,False,0.1588564,0.1653723
RBM3,2.324421,2.2439408,-0.0804801,False,0.1532649,0.16447629
PLTP,1.7964249,1.717992,-0.07843292,True,0.26172176,0.2657515
PRKAG1,1.2700764,1.1918858,-0.078190565,False,0.2994977,0.31487894
SSBP2,1.0280663,1.1047881,0.07672179,False,0.33733633,0.3137742
FGFBP3,1.5303756,1.4541026,-0.076272964,True,0.39057454,0.3952737
KLK13,0.69218075,0.61646414,-0.075716615,True,0.33000767,0.32308653
PLAAT3,1.6658874,1.5903733,-0.07551408,True,0.36285684,0.36570224
MT-ND4,1.8822018,1.8078827,-0.074319124,True,0.9863533,0.96821934
B3GNT10,0.6141779,0.5402453,-0.07393259,False,0.27572653,0.2567509
ABCB6,1.9179952,1.844084,-0.07391119,True,0.23644073,0.26663136
SLC43A1,1.1609708,1.0870786,-0.073892236,False,0.30905944,0.31282458
HAPLN3,1.6817214,1.7547762,0.07305479,True,0.28374058,0.25074065
PHPT1,2.4665084,2.5383992,0.07189083,False,0.12964691,0.10882335
PIK3CD,0.8349563,0.76333666,-0.07161963,True,0.33845142,0.3344226
AP1G2,0.89146745,0.8217399,-0.06972754,False,0.30865884,0.3095698
MSRB2,0.99772286,1.0661803,0.068457484,False,0.31413367,0.3141636
SCGB3A2,2.1600077,2.0918794,-0.06812835,True,1.0063828,1.0475334
TMEM132A,0.75793254,0.82568467,0.06775212,False,0.2940503,0.29487294
CSF2RA,0.771133,0.7039461,-0.06718689,True,0.35196143,0.3489629
ARRB2,2.1304696,2.0636282,-0.066841364,False,0.17244706,0.17928082
PRIM1,2.322655,2.2558498,-0.066805124,False,0.14360692,0.16043164
CXCL12,2.1549044,2.088394,-0.06651044,True,0.21823983,0.22980969
STOX2,0.6511007,0.7172588,0.066158116,True,0.30187514,0.30981776
MT1X,1.2593601,1.1932564,-0.0661037,True,0.58770955,0.5689951
HAUS4,1.602699,1.5373838,-0.06531525,False,0.23936845,0.24230362
ZIC2,1.9019088,1.966911,0.0650022,True,0.40680227,0.39684063
FDXR,1.2778784,1.2129755,-0.0649029,True,0.37710968,0.3722212
RCBTB2,0.70884824,0.7734885,0.06464028,False,0.295946,0.30562904
GPC6,0.686896,0.75113606,0.06424004,True,0.3368339,0.36079955
QPRT,1.7562511,1.8196027,0.06335163,False,0.20703644,0.19808249
IRF2BP1,0.8474194,0.91020143,0.06278205,False,0.2933449,0.29381254
KCND2,0.8415011,0.90333056,0.061829448,False,0.3202714,0.31899634
MAN2B1,1.5973053,1.5363317,-0.060973644,False,0.23820737,0.24987029
UTRN,1.5240933,1.5850562,0.060962915,True,0.31129065,0.30907834
PACS1,1.2523549,1.3132156,0.060860753,False,0.29182333,0.26902875
ITGB5,2.7919524,2.8521929,0.060240507,True,0.17067133,0.1595251
FMC1,0.7007044,0.7608606,0.060156226,False,0.284773,0.29757646
AVEN,1.4445827,1.5046751,0.06009245,False,0.3008583,0.27292126
EDNRB,1.2057792,1.1461812,-0.05959797,True,0.57471013,0.5825416
NBEA,0.91881305,0.9783593,0.059546232,False,0.3348171,0.33666924
SLC22A17,0.90903693,0.967797,0.058760047,False,0.30814868,0.30505297
COL6A2,2.213915,2.1551828,-0.05873227,True,0.24217908,0.2618326
AKAP7,1.5629597,1.5047921,-0.058167577,True,0.41213223,0.42696238
NES,3.282194,3.3401022,0.057908297,True,0.11634338,0.109788164
PRKAB1,1.1637232,1.2215431,0.057819843,False,0.30174744,0.29995364
ATF6B,1.1545224,1.0971451,-0.05737734,False,0.30074474,0.31814957
FAT3,0.67802066,0.7351483,0.057127655,False,0.3032666,0.31002474
PHGDH,3.219117,3.276153,0.05703616,True,0.0838759,0.07935497
APEH,2.037526,1.9805641,-0.056961775,False,0.16448636,0.16593227
MFGE8,3.6756303,3.7324862,0.056855917,True,0.10762995,0.10529183
HSD17B8,0.42114967,0.36430994,-0.056839734,True,0.24140768,0.21734087
POLR3G,2.6291654,2.6858213,0.056655884,True,0.22044568,0.13587171
SLC50A1,1.6969337,1.6405171,-0.05641663,False,0.23256505,0.2588025
ETHE1,1.1582302,1.1020147,-0.056215525,False,0.3198412,0.32663554
LGALS8,0.6972846,0.7534835,0.056198895,True,0.31261024,0.30801493
THNSL1,0.7315488,0.7875803,0.056031525,False,0.31694427,0.32751262
CTH,1.3418531,1.2858274,-0.056025743,True,0.32998702,0.3256643
HIST3H2A,1.126817,1.0709803,-0.055836678,True,0.58922714,0.590786
MOB3B,1.1355461,1.1913409,0.055794835,False,0.32258672,0.3148952
ZBTB7B,0.8916235,0.9472377,0.055614173,False,0.3237516,0.3304498
TRIB2,2.1827836,2.1273422,-0.05544138,True,0.24852416,0.2490117
NSMCE1,1.2370889,1.181659,-0.055429935,True,0.3372959,0.3336395
CCDC115,0.7320733,0.7866853,0.05461198,False,0.28803402,0.26934153
QTRT1,1.7246175,1.6702361,-0.05438137,False,0.22814946,0.23157145
SLC41A3,0.9643766,1.0187372,0.05436057,False,0.31436598,0.31380853
ECI1,2.0331352,1.9788347,-0.054300427,False,0.1772292,0.18114576
PRR36,0.8684502,0.9225747,0.054124475,False,0.3126133,0.30675492
TUBA1A,0.5836415,0.63747954,0.053838015,False,0.27232304,0.27740768
HIST1H1A,1.5684879,1.514662,-0.053825855,True,1.4661734,1.4852443
MXRA7,1.2964681,1.3501569,0.053688765,True,0.3204221,0.30216995
CADM2,0.4776455,0.53108704,0.053441554,True,0.28923467,0.3089105
SLC38A5,2.151649,2.0983665,-0.0532825,True,0.20800957,0.1873466
TMEM220,0.53415805,0.48133627,-0.052821785,False,0.2580141,0.24336675
PRICKLE1,0.4917276,0.54428446,0.052556872,True,0.2937208,0.3082103
SCLY,1.7171345,1.7696168,0.052482367,False,0.23308505,0.2368749
PDE4B,0.62653655,0.67898154,0.052444994,True,0.36656713,0.38582602
XYLT1,0.90400296,0.95640016,0.05239719,False,0.3252478,0.32057637
OSGEP,0.80762124,0.7552398,-0.052381456,False,0.28336444,0.28567362
PHC2,0.3345986,0.38693282,0.05233422,True,0.20299976,0.21783799
HOMEZ,0.71271443,0.76494473,0.0522303,True,0.321893,0.33247098
RGS5,1.525954,1.5781337,0.052179694,True,0.48766956,0.49557778
DPPA2,0.9645738,0.9124505,-0.05212331,True,0.42964724,0.42866576
MYH14,0.7563174,0.704488,-0.051829398,False,0.30027223,0.29309312
KMT5C,1.0947167,1.146415,0.051698327,False,0.31874892,0.30537713
IDH3G,1.0943878,1.1457559,0.051368117,False,0.29752213,0.28284484
DHRS13,0.8319995,0.78066844,-0.051331043,False,0.29981595,0.30990013
MGAT4C,0.36692482,0.4181492,0.05122438,True,0.23634776,0.2590988
TMEM135,1.7301047,1.6789027,-0.05120194,True,0.2649641,0.2723376
ATN1,2.155914,2.2068684,0.050954342,False,0.1808079,0.16540194
RNF157,1.0251125,1.0760251,0.05091262,True,0.374465,0.36354935
MT-CO2,1.645371,1.594498,-0.050872922,True,0.917779,0.8829804
IFT20,1.3482575,1.2975166,-0.050740957,False,0.2906047,0.2902345
AAR2,0.706163,0.756854,0.05069101,False,0.27504015,0.26957494
LEFTY2,0.27116945,0.32166415,0.0504947,True,0.24489297,0.2857327
AGA,0.5935574,0.543117,-0.05044043,False,0.27268142,0.26193047
TRIM56,0.62802637,0.57783306,-0.05019331,False,0.27701735,0.26676226
FZD2,0.7157441,0.76580304,0.05005896,True,0.36336026,0.36749625
RPUSD3,1.1229,1.0729686,-0.049931407,False,0.29063633,0.29070148
AKT1,1.3145778,1.364424,0.049846172,False,0.30405977,0.28725022
COPS7A,1.8337026,1.7839285,-0.04977405,False,0.24436778,0.24112019
CA14,0.9995163,1.0492834,0.049767077,False,0.3047949,0.29255632
SCAMP4,0.9619184,0.9122752,-0.04964322,False,0.3105011,0.32225195
FOXO1,1.9450868,1.9946477,0.049560905,False,0.20770423,0.20359993
METTL15,0.8795537,0.8301623,-0.04939139,False,0.29924816,0.30377874
ALDH4A1,0.7537167,0.70438004,-0.04933667,False,0.27756602,0.27531332
ABCB8,0.9999593,0.95067257,-0.049286723,False,0.30083966,0.30167595
UROS,1.8765203,1.9256562,0.049135923,False,0.21274239,0.20956075
TET3,0.7716617,0.82073456,0.04907286,False,0.28411293,0.27915552
EGR1,0.81692857,0.7678819,-0.049046695,True,0.5892243,0.54697543
HMMR,2.4663396,2.4173758,-0.048963785,True,0.27379674,0.27705514
MPG,1.165937,1.2148145,0.048877597,False,0.28596202,0.2794558
CBX5,2.3612874,2.4100506,0.048763275,False,0.13454613,0.12642612
MT-ND3,1.7554234,1.7067193,-0.048704147,True,0.78610706,0.7710022
CPXM1,0.81289595,0.8615704,0.048674464,False,0.32383472,0.31314117
ATRX,1.5698147,1.6184419,0.048627257,False,0.2625405,0.22233963
S100A11,1.5742178,1.6226796,0.048461795,True,0.29990643,0.27633047
AMDHD2,0.971788,0.92340153,-0.048386455,False,0.30076444,0.3026044
AGBL5,1.919445,1.9677519,0.048306823,False,0.2122014,0.21737212
CRACR2B,0.65264034,0.7008258,0.048185468,False,0.30195716,0.30447018
FLOT2,2.2819605,2.233878,-0.04808259,False,0.1456956,0.15096718
WDR24,1.2358451,1.1877654,-0.04807973,False,0.30955216,0.31955633
NEK8,0.7862884,0.7383183,-0.047970057,False,0.30116466,0.30311418
OPN3,0.9301242,0.9777914,0.047667205,True,0.42169705,0.42558113
TAGLN2,0.46922052,0.51677346,0.047552943,False,0.23548152,0.250742
GNA14,0.3345889,0.382081,0.047492117,True,0.25330648,0.28440136
ZBTB7A,1.1782937,1.2257162,0.04742253,False,0.30407467,0.27982146
SUMF2,1.9987173,1.9513235,-0.0473938,False,0.21222115,0.22625385
COQ2,1.326105,1.2787117,-0.047393322,False,0.27684793,0.2852376
TRAPPC8,1.9699949,1.9226557,-0.0473392,False,0.17515998,0.18376146
TMEM41B,2.2968519,2.2495239,-0.047327995,False,0.16062422,0.17138883
DMC1,0.76313406,0.81042343,0.04728937,False,0.312786,0.31343618
CSNK1E,1.6777172,1.7250032,0.047286034,False,0.26562992,0.2532388
SELENOP,1.0004246,1.047709,0.047284365,True,0.44973302,0.45124957
CHURC1,2.8097136,2.7624454,-0.047268152,False,0.090498924,0.090540215
RABL3,1.1326195,1.1798432,0.047223687,False,0.29950717,0.2823033
HRAS,0.8549188,0.90199536,0.047076583,False,0.2971284,0.29541758
APRT,1.9651934,1.9181756,-0.047017813,False,0.19502741,0.18169494
CCDC61,0.4865466,0.43955594,-0.046990663,False,0.23677535,0.21869445
