gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
MTPAP,1.9565738,0.9934049,-0.9631689,False,0.17557582,0.9276908
SLC31A1,2.1781118,1.2375592,-0.9405526,False,0.14837621,0.89383274
CNOT11,2.4692352,1.7264738,-0.7427614,False,0.1186683,0.7165961
KDELR1,2.4304466,1.7064818,-0.7239648,False,0.11572694,0.84232795
NLK,2.3329012,1.6916955,-0.6412058,False,0.14184386,0.7036725
MT-CO2,1.645371,2.222489,0.57711816,True,0.917779,1.1811829
RAB34,3.2840571,2.7790914,-0.5049658,False,0.07467947,0.43352905
MT-ND6,0.8967327,1.3739429,0.47721016,True,0.68610394,0.9611864
MT-ATP6,1.7147563,2.184247,0.46949077,True,0.97399217,1.0670261
MT-ND4,1.8822018,2.3282318,0.44603002,True,0.9863533,1.0451583
DDIT4,0.8543927,1.2415578,0.38716513,True,0.7079657,0.9594098
STC2,2.132497,2.4966435,0.36414647,True,0.37043837,0.44647184
CAST,1.0826957,0.72693974,-0.35575598,False,0.31157944,0.3101613
MEF2B,0.32470265,0.674052,0.34934935,True,0.20306997,0.49311495
UBL5,1.5821344,1.2440848,-0.33804953,False,0.24031354,0.39737207
PCK2,2.0146055,2.351679,0.33707356,True,0.285465,0.38821307
SLC7A11,2.2569587,2.5734968,0.3165381,True,0.3321765,0.4307919
INHBE,0.40389985,0.71327484,0.309375,True,0.249757,0.46612772
MT-ND3,1.7554234,2.047502,0.2920786,True,0.78610706,0.7391758
PSAT1,3.8175943,4.097402,0.2798078,True,0.09711025,0.1910779
SESN2,1.1401006,1.4165775,0.27647686,True,0.3993862,0.5132555
ASS1,1.6960539,1.9641646,0.26811075,True,0.34041834,0.41836026
MT-CO3,1.2058606,1.4723022,0.26644158,True,0.78025454,0.81231403
RAB15,1.9752302,1.7127589,-0.26247132,True,0.25589168,0.36034915
IFRD1,2.5512347,2.8024817,0.25124693,True,0.24225035,0.31008118
CTH,1.3418531,1.5918207,0.24996758,True,0.32998702,0.4004992
ST6GALNAC4,0.4497345,0.20981187,-0.23992264,False,0.22220373,0.15000838
ARSB,1.2633911,1.0249444,-0.23844671,False,0.30545294,0.36270657
GPT2,1.7932483,2.0170665,0.22381818,True,0.22261675,0.24674773
MTHFD2,2.8751297,3.0839045,0.2087748,True,0.11284972,0.16504341
SHMT2,1.9814478,2.186109,0.20466125,True,0.205803,0.24238355
CHEK2,1.6815634,1.4786671,-0.20289624,False,0.24557224,0.34615976
TSEN15,0.96855,1.1708174,0.20226735,False,0.29410607,0.33379802
SLCO4C1,0.40423104,0.21504563,-0.18918541,True,0.24083199,0.1594199
PAQR8,0.43030965,0.24271479,-0.18759486,False,0.22536446,0.16379471
TTC1,1.7811638,1.5941614,-0.18700242,False,0.20383567,0.32461518
CTPS2,1.1613085,0.97568727,-0.18562126,False,0.28872395,0.3464686
HAX1,2.1175966,2.2985039,0.18090725,False,0.16262452,0.19659145
UQCC2,2.041879,1.8621638,-0.17971516,False,0.16502199,0.24121669
PYCR1,2.0088482,2.187545,0.17869687,False,0.2181221,0.24726345
CIAO2A,1.5779755,1.3993704,-0.17860508,False,0.23689683,0.29775903
SLC7A5,2.7678742,2.9462488,0.17837453,True,0.20752229,0.21371332
TRIB3,0.47223082,0.64918995,0.17695913,True,0.25069413,0.37423038
AMDHD2,0.971788,0.7948887,-0.17689931,False,0.30076444,0.32383254
PHGDH,3.219117,3.395739,0.17662215,True,0.0838759,0.115541406
NHSL1,1.0050527,1.1807415,0.17568886,False,0.31409183,0.34607515
TSC22D3,0.37244877,0.54768026,0.17523149,True,0.21085794,0.311733
JDP2,0.87636673,1.0497246,0.17335784,True,0.35009328,0.40256506
ATF5,0.9149669,1.0871083,0.17214137,True,0.44021747,0.6674252
HSPA1B,1.9541006,1.7834502,-0.17065036,True,0.42119756,0.43646592
SLC43A1,1.1609708,1.3302051,0.16923428,False,0.30905944,0.3320269
TAC1,0.20844011,0.37600756,0.16756745,True,0.14300334,0.2869269
VEGFA,1.5524551,1.7179753,0.16552019,True,0.3067676,0.39648587
EIF1,2.1920645,2.3554323,0.16336775,False,0.18027039,0.19442518
LDLR,1.7909238,1.6275665,-0.16335738,True,0.40857795,0.49708468
EIF4EBP1,2.8433921,3.00414,0.16074777,True,0.11213006,0.14197992
VLDLR,1.3306402,1.4905775,0.15993726,True,0.42473996,0.43275934
HMGCS1,3.5301554,3.3710902,-0.15906525,True,0.36374408,0.43944314
TEK,1.5910075,1.4322131,-0.1587944,True,0.4462709,0.50877285
GARS,1.5556651,1.7137777,0.15811253,False,0.26123875,0.2857518
SH3KBP1,0.8895596,1.0454184,0.15585876,False,0.32380962,0.3650545
MT-ND1,0.04093159,0.19466335,0.15373176,False,0.029821366,0.15878817
CALCA,0.107528865,0.2599212,0.15239233,True,0.07801358,0.2011595
TXNL4A,3.41832,3.2667193,-0.1516006,False,0.06866208,0.11474947
DPYSL3,3.9156046,3.7659013,-0.14970326,False,0.052549794,0.082439266
FHL2,1.550863,1.699829,0.14896595,True,0.32070586,0.3400212
BST2,1.1939828,1.0457739,-0.14820898,True,0.5915028,0.5969987
LPL,0.38234574,0.23446448,-0.14788125,True,0.23791164,0.16424434
HMOX1,1.7928151,1.9404527,0.1476376,True,0.41226184,0.48276943
HSPH1,2.5290644,2.3818283,-0.14723611,False,0.15517777,0.19663058
SLC1A5,3.0711186,3.2173126,0.14619398,True,0.1239001,0.1414386
MT-CYB,0.6396104,0.78379107,0.14418066,True,0.489698,0.53024405
CHAC1,0.70487297,0.84563315,0.14076018,True,0.38694882,0.5207206
HSCB,0.92148614,0.78170896,-0.13977718,False,0.29833055,0.31544793
RIMS3,1.0215168,1.1611657,0.13964891,False,0.3186593,0.35545877
ATF3,0.60296935,0.74230355,0.1393342,True,0.30893683,0.3659992
ALDH2,0.9392132,1.0767244,0.1375112,False,0.30306822,0.34830385
HMGCR,3.3971014,3.2616203,-0.13548112,True,0.26202345,0.30937797
PEX5L,0.24525662,0.38067886,0.13542224,True,0.16455638,0.2690469
MAL2,3.0723975,3.2063239,0.13392639,False,0.096674755,0.12565559
CEBPG,2.2168837,2.3507292,0.13384557,False,0.15180534,0.16638692
GYPC,0.8675986,0.9962814,0.12868279,False,0.31878453,0.36201248
DUSP16,2.1148643,1.9878511,-0.1270132,True,0.23813695,0.28656584
SLC6A9,0.8139847,0.94032884,0.12634414,False,0.31451872,0.35015902
HEXIM1,1.8267198,1.7010515,-0.12566829,True,0.2798919,0.3380012
EPS15,0.839539,0.9648638,0.12532479,False,0.28988963,0.33026403
FBLL1,0.7856516,0.910975,0.12532336,True,0.330642,0.37257972
DDIT3,0.14468314,0.26969635,0.12501322,True,0.101755336,0.20697248
MYO18A,1.5970854,1.4722673,-0.12481809,False,0.2454376,0.30330393
WARS,2.3117876,2.435898,0.12411046,True,0.15940808,0.1883961
G0S2,0.04369306,0.16757151,0.12387846,True,0.031034445,0.1453576
EIF1B,3.0873091,3.2104607,0.12315154,False,0.08742178,0.102486074
SDF2L1,1.7957741,1.6727903,-0.12298381,True,0.30096847,0.36665565
ELOVL6,2.2672312,2.1446974,-0.1225338,True,0.17385457,0.22254388
RASGRP2,1.3544939,1.2322463,-0.12224758,True,0.34762353,0.3964202
ARPC1B,1.3386047,1.216427,-0.12217772,False,0.28815642,0.33023506
PSPH,2.7757096,2.8978512,0.1221416,False,0.11217915,0.13264577
SNHG32,1.8507925,1.9725801,0.12178755,False,0.20800832,0.23213848
MT-ND2,0.030106869,0.15166216,0.12155528,False,0.022101248,0.122508764
SH2B3,1.1251506,1.2462704,0.12111986,False,0.30983877,0.34653208
SMOX,0.8144796,0.934741,0.12026143,True,0.3304221,0.36937067
GJC1,2.8362377,2.7176561,-0.11858153,True,0.12947764,0.16194957
PIPOX,1.3608539,1.2430222,-0.11783171,True,0.35072494,0.3689619
EPRS,2.3421187,2.4596548,0.11753607,False,0.14394546,0.15398273
SLC34A2,0.35625184,0.47327495,0.11702311,True,0.22300075,0.31439772
PMAIP1,2.977533,3.0945468,0.11701369,True,0.21363744,0.22430936
HSP90AA1,4.199489,4.0828104,-0.116678715,False,0.051301233,0.08031724
EFS,0.97828144,0.86185026,-0.11643118,True,0.3438097,0.35135496
RRM2,2.7643306,2.6479003,-0.11643028,True,0.16847533,0.21005778
MT1X,1.2593601,1.1429591,-0.11640096,True,0.58770955,0.5905374
PLAAT3,1.6658874,1.7821656,0.11627829,True,0.36285684,0.36481655
RSL24D1,2.12131,2.2372265,0.11591649,False,0.173417,0.17791824
PRKCB,0.87092805,0.7551371,-0.11579096,True,0.3349577,0.34558335
FUT1,0.69886553,0.8144742,0.11560869,False,0.29132956,0.33884677
SLC7A1,2.8072317,2.9224596,0.11522794,False,0.10905044,0.12680209
MSMO1,2.504345,2.3891206,-0.11522436,True,0.36301106,0.40973905
TIMM44,2.685111,2.7996488,0.114537716,False,0.1196562,0.13394584
MAP1B,2.2581487,2.3726294,0.114480734,True,0.20767254,0.20050064
CD55,1.1032617,1.2175142,0.11425245,False,0.31646472,0.3309483
SNX10,0.6248413,0.5121838,-0.11265749,False,0.28466356,0.2687567
SARS,0.72292125,0.8355576,0.11263633,False,0.2770579,0.32164067
NFE2L1,2.7962868,2.9088576,0.11257076,True,0.11511034,0.119222365
DACT1,0.9510262,1.0621905,0.11116433,True,0.5183046,0.58308154
HRK,0.31129366,0.42240605,0.111112386,True,0.19280374,0.2713088
TUBE1,0.65516025,0.76554143,0.110381186,False,0.2855704,0.32626933
SLC3A2,2.9775004,3.0873008,0.10980034,True,0.15079467,0.1752199
CALCOCO2,0.89304763,1.002408,0.1093604,False,0.31795242,0.33862713
SLC30A1,1.4016619,1.2924262,-0.109235644,True,0.45045567,0.47060063
LRATD2,1.9109303,2.0195658,0.108635545,True,0.23838219,0.25876036
PTPRU,1.1534938,1.0449682,-0.108525515,False,0.3134728,0.32920477
TES,1.1183901,1.2262115,0.107821465,True,0.3216687,0.33132824
PDPN,2.834985,2.7277298,-0.10725522,True,0.1602829,0.19688717
RGMB,1.0518202,1.1589698,0.1071496,True,0.33273268,0.37260094
RNF168,2.1256864,2.0189784,-0.10670805,False,0.19566245,0.23380777
DHCR7,2.2212503,2.1149569,-0.10629344,True,0.27521834,0.3323396
NARS,3.2868588,3.3926284,0.105769634,False,0.060273733,0.07799302
GRB10,1.5261185,1.6315247,0.105406165,False,0.268858,0.27128407
