gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CDCA2,2.2137737,0.25563928,-1.9581344,True,0.2910712,0.21236546
KCTD9,1.0242406,0.15086251,-0.8733781,False,0.30283526,0.120867364
TAGLN,2.3409328,2.599575,0.2586422,True,0.6389723,0.5559516
H2AFY2,1.102345,0.8585333,-0.24381167,True,0.47343355,0.43316516
ZNF850,1.7697045,2.0071688,0.23746431,True,0.39880446,0.34411958
SERPINB9,1.3378824,1.5586237,0.22074127,True,0.5634636,0.5725453
GAL,2.7219493,2.9395247,0.21757531,True,0.35849097,0.35258704
SCGB3A2,2.1600077,2.3634107,0.203403,True,1.0063828,0.8726181
HTR7,0.7363093,0.5340202,-0.2022891,True,0.39800823,0.33866915
MT1X,1.2593601,1.458886,0.19952595,True,0.58770955,0.59425247
TTC39C,1.9046897,2.0949516,0.19026196,True,0.34991878,0.3229647
BST2,1.1939828,1.0065178,-0.18746507,True,0.5915028,0.5115733
DACT1,0.9510262,1.1369724,0.18594623,True,0.5183046,0.54580456
MYL9,1.8118736,1.9942638,0.18239021,True,0.4087449,0.3839904
CHCHD2,2.9833074,3.1624753,0.17916799,True,0.3211824,0.26664576
RGS5,1.525954,1.6996629,0.17370892,True,0.48766956,0.4776841
STC1,1.3884113,1.5555295,0.16711819,True,0.51668775,0.5057953
VIM,2.7251427,2.880803,0.15566039,True,0.5895071,0.53239304
TEK,1.5910075,1.7464652,0.15545774,True,0.4462709,0.3791887
IQSEC2,1.9034958,2.0588062,0.15531039,True,0.3713815,0.3553457
TUBB2A,3.9533803,4.106349,0.15296865,True,0.1378518,0.13090764
CAV1,0.51446736,0.66162425,0.1471569,True,0.30516323,0.36583558
SFRP1,4.2489777,4.105673,-0.14330482,True,0.12169684,0.1486198
CCN2,1.3984216,1.5387411,0.14031947,True,0.8199761,0.84424347
PLAAT3,1.6658874,1.8023834,0.13649607,True,0.36285684,0.34546953
SLC16A10,0.8762519,1.007303,0.13105112,False,0.33361018,0.33584034
ACSS2,0.8820951,0.75151867,-0.13057643,True,0.5769565,0.5100982
APELA,1.5670142,1.6946269,0.12761271,True,0.4344417,0.4108652
CCDC169,1.0565683,1.1832145,0.12664628,True,0.37135482,0.3669854
PPP1R17,0.5791453,0.7043208,0.12517548,True,0.36212915,0.42631525
SPART,1.7157133,1.8388166,0.12310338,True,0.31890935,0.2779374
EDIL3,1.4273261,1.5476947,0.1203686,True,0.36399788,0.33772856
AASS,3.9314687,4.051469,0.120000124,True,0.25482205,0.21401343
CAPN2,1.0743307,0.955026,-0.11930472,True,0.3748314,0.36036614
SHISA2,1.6919217,1.5734509,-0.11847079,True,0.5537069,0.53161573
RNF187,2.3075025,2.1896627,-0.11783981,True,0.18414505,0.20826857
PDE4B,0.62653655,0.74405694,0.11752039,True,0.36656713,0.38906094
CCN1,0.98059136,1.0976901,0.11709875,True,0.5011432,0.4946724
RASGRF2,0.75367785,0.8701129,0.11643505,True,0.38033068,0.4132618
ADAMTS16,1.1040889,1.2204475,0.11635864,True,0.375157,0.37255502
GRPR,0.8029942,0.91869944,0.11570525,True,0.6066761,0.656798
TFPI2,0.67664933,0.79215777,0.11550844,True,0.33158126,0.349389
NODAL,0.39589173,0.5112256,0.115333855,True,0.29222062,0.3562203
S100A10,3.133715,3.2485516,0.11483669,True,0.22135624,0.19851688
FZD7,1.6563491,1.7710671,0.11471808,True,0.35724905,0.3587764
FGF13,1.6198746,1.7341549,0.11428034,True,0.42301762,0.4001106
TPM1,3.4666436,3.5807033,0.11405969,True,0.1359563,0.13674742
FGFBP3,1.5303756,1.4200736,-0.11030197,True,0.39057454,0.4190232
COL1A1,2.260025,2.3700094,0.1099844,True,0.40600464,0.38191313
ACTA1,0.18933524,0.29702958,0.10769434,True,0.14166501,0.22039866
CCDC141,0.8916808,0.99841505,0.106734276,True,0.44828832,0.47348672
DSP,1.9097581,1.8042673,-0.1054908,True,0.26178643,0.30569842
DUSP6,2.2662961,2.1612055,-0.10509062,True,0.42365897,0.4555447
LHFPL6,0.73020524,0.8352918,0.105086565,True,0.36257234,0.37793887
FRAT2,1.6338485,1.738845,0.10499644,True,0.30995584,0.27248618
DERA,1.5142007,1.4093078,-0.10489285,True,0.30567244,0.30856737
MOV10,1.6590405,1.7625324,0.1034919,True,0.2772971,0.25524142
RIPOR2,1.1181024,1.2204146,0.10231221,True,0.4393332,0.43260205
