target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
CENPO,non-targeting,TMEM52,0.57065475,0.50913835,0.1208245381712913,1.1208245754241943,0.001126257590415,23944378.5,0.0078965126748767
CENPO,non-targeting,TPRG1L,1.6383519,1.7674154,-0.0730238556861877,0.9269761443138124,0.008631874341755,21758473.0,0.04686239983753
CENPO,non-targeting,SRM,27.575434,28.309406,-0.0259268078953027,0.9740731716156006,0.0010857623710624,21509001.0,0.0076410352531274
CENPO,non-targeting,EXOSC10,5.67303,5.4547,0.0400260165333747,1.040026068687439,0.0030673522481112,23916527.0,0.0191986044078001
CENPO,non-targeting,MAD2L2,57.488575,59.006184,-0.0257194843143224,0.9742805361747742,9.21029693307e-05,21260371.0,0.0008054146739267
CENPO,non-targeting,TNFRSF8,0.57323915,0.66973406,-0.1440794467926025,0.8559205532073975,0.000101985877833,21331988.0,0.0008842112520045
CENPO,non-targeting,DHRS3,1.1845006,1.3081391,-0.0945148020982742,0.905485212802887,0.0007640120117253,21480118.0,0.0055638366181953
CENPO,non-targeting,PRAMEF15,0.0005185441,0.0,,20.0,1.5430568417975557e-08,22791072.0,2.1781497228132577e-07
CENPO,non-targeting,PDPN,14.851217,16.106108,-0.0779139474034309,0.9220860600471495,1.054521185124816e-10,20275277.0,1.8102680428272574e-09
CENPO,non-targeting,EPHA2,3.0275805,2.8412273,0.0655889809131622,1.0655889511108398,0.0036415178124422,23895726.5,0.0223015591652776
CENPO,non-targeting,NECAP2,2.1078718,1.9297462,0.0923052057623863,1.0923051834106443,0.0005912085452281,24098352.5,0.0044098562225029
CENPO,non-targeting,UBR4,15.75506,15.390035,0.0237183030694723,1.0237183570861816,0.0085516732571984,23788412.5,0.0464879438618561
CENPO,non-targeting,CAPZB,8.525728,8.108241,0.0514892376959323,1.051489233970642,7.335136046360116e-06,24505175.5,7.60140961319e-05
CENPO,non-targeting,TMCO4,0.1933605,0.22572225,-0.1433698236942291,0.8566301465034485,0.0080973091784625,21970163.5,0.0443741967587909
CENPO,non-targeting,EIF4G3,6.5196257,6.2257824,0.0471978075802326,1.0471978187561035,0.0013750352482949,24008887.5,0.0094419435203849
CENPO,non-targeting,LUZP1,5.675502,6.0195975,-0.0571625754237175,0.942837417125702,0.0001607206728377,21313180.5,0.0013476416118721
CENPO,non-targeting,CLIC4,47.75988,49.063583,-0.0265717096626758,0.9734283089637756,0.0001445778926856,21303009.0,0.0012216898377087
CENPO,non-targeting,CNKSR1,0.4863655,0.42883357,0.1341590881347656,1.1341590881347656,0.0032019228161339,23808711.0,0.0199307183487235
CENPO,non-targeting,CEP85,4.055497,4.3169103,-0.060555599629879,0.9394444227218628,0.0078644610934259,21744600.0,0.0432892935495007
CENPO,non-targeting,IFI6,0.42595696,0.49075162,-0.1320314705371856,0.8679684996604919,0.0014007760525277,21638886.0,0.0095969499537832
CENPO,non-targeting,SESN2,2.3202033,2.136075,0.0861993506550788,1.086199402809143,0.0019859331041639,23965777.0,0.0130869056324162
CENPO,non-targeting,PHACTR4,4.1222506,3.9139388,0.0532230585813522,1.0532230138778689,0.0007514289919585,24074679.0,0.0054814014368483
