gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PTRHD1,1.5959802,0.13417527,-1.4618049,False,0.24241704,0.102613926
CENPO,1.3976389,0.10593246,-1.2917064,False,0.26719627,0.090898074
TMBIM4,1.2670512,0.11174076,-1.1553105,False,0.28727323,0.09616062
GAL,2.7219493,2.5144877,-0.2074616,True,0.35849097,0.3661157
ADCY3,1.4871757,1.6453211,0.15814543,False,0.2845467,0.27164468
TEK,1.5910075,1.4440936,-0.14691389,True,0.4462709,0.49081787
BAX,3.2382326,3.384985,0.14675236,True,0.12913452,0.12725389
FDXR,1.2778784,1.4210892,0.14321077,True,0.37710968,0.41021508
MT1X,1.2593601,1.1213821,-0.13797796,True,0.58770955,0.5815549
TNFRSF10B,1.6190304,1.7539175,0.1348871,True,0.33569923,0.32832187
PHLDA3,0.48402876,0.6132366,0.12920785,True,0.32843012,0.38256538
SESN1,1.3295916,1.448045,0.11845338,True,0.42911422,0.42096415
RGS5,1.525954,1.409394,-0.11655998,True,0.48766956,0.48389837
H2AFY2,1.102345,1.2154052,0.113060236,True,0.47343355,0.5041082
COL1A1,2.260025,2.1485293,-0.11149573,True,0.40600464,0.4369142
TM7SF3,1.8696523,1.9806275,0.110975266,True,0.2239849,0.21839993
PHLDA1,1.0242558,1.1343987,0.110142946,True,0.4561791,0.47548527
CCDC169,1.0565683,0.9467553,-0.109812975,True,0.37135482,0.39743972
MLLT11,1.5502051,1.4406519,-0.10955322,False,0.26560542,0.30908275
DDB2,0.83584666,0.9435738,0.10772711,True,0.3656719,0.40370864
GRPR,0.8029942,0.69736946,-0.105624735,True,0.6066761,0.60482615
FGF13,1.6198746,1.5143847,-0.10548985,True,0.42301762,0.447862
CCDC141,0.8916808,0.789519,-0.102161765,True,0.44828832,0.44909948
CAPN2,1.0743307,1.1750274,0.10069668,True,0.3748314,0.38564008
COL14A1,0.7640289,0.6637839,-0.100245,True,0.33475843,0.33183318
IDO1,1.2041372,1.1055193,-0.09861791,True,0.43108737,0.4589608
HTR7,0.7363093,0.83446234,0.098153055,True,0.39800823,0.41108268
TTN,0.53751266,0.44014078,-0.097371876,True,0.3516583,0.31987998
AKAP7,1.5629597,1.4655957,-0.09736395,True,0.41213223,0.41408607
DPPA2,0.9645738,0.8678524,-0.09672141,True,0.42964724,0.414454
ACTC1,1.040941,0.94433206,-0.09660894,True,0.41227695,0.40515414
S100A10,3.133715,3.0378618,-0.09585309,True,0.22135624,0.25567245
TTC39C,1.9046897,1.80899,-0.09569967,True,0.34991878,0.34384432
USP3,0.49491745,0.5877531,0.092835665,True,0.2896442,0.32792714
CHD7,2.3055537,2.397711,0.092157364,True,0.2723786,0.25281823
ZIC2,1.9019088,1.9920152,0.09010649,True,0.40680227,0.4009719
CRABP2,2.2048934,2.1147919,-0.09010148,True,0.37365532,0.41423514
EDNRB,1.2057792,1.1164491,-0.08933008,True,0.57471013,0.56772417
SPATS2L,3.1276162,3.0387285,-0.08888769,True,0.17706592,0.20201416
PRKAR2B,1.819029,1.7303332,-0.088695765,False,0.22907914,0.25843596
TUNAR,1.4096617,1.3210517,-0.088609934,True,0.31986284,0.3307736
SLC39A8,1.5447878,1.4563161,-0.08847165,True,0.35716635,0.35377645
GAP43,0.7817635,0.6937374,-0.08802611,False,0.32131848,0.31659567
ZNF850,1.7697045,1.6824396,-0.087264895,True,0.39880446,0.43967965
CDH2,1.6087554,1.695529,0.086773634,True,0.33867648,0.3201714
PLAAT3,1.6658874,1.5793934,-0.08649397,True,0.36285684,0.3957219
TFPI2,0.67664933,0.5907229,-0.08592641,True,0.33158126,0.32740128
SCGB3A2,2.1600077,2.0741692,-0.08583856,True,1.0063828,1.1059741
ASCC3,1.939024,2.02424,0.085216045,True,0.20493516,0.20338345
LMCD1,0.89934635,0.81537277,-0.08397359,True,0.37876225,0.39732245
SPART,1.7157133,1.631897,-0.08381629,True,0.31890935,0.33987346
DUSP6,2.2662961,2.3500946,0.08379841,True,0.42365897,0.3726356
FZD2,0.7157441,0.7994312,0.08368713,True,0.36336026,0.37722605
UCP2,1.7872043,1.7037755,-0.08342874,True,0.28364074,0.30354428
HS6ST1,1.7398139,1.6590337,-0.08078027,False,0.2502532,0.2850773
BBC3,0.86217064,0.9422035,0.080032885,True,0.41324192,0.4677329
HSPA2,1.1836619,1.1041608,-0.07950115,True,0.39147896,0.4104395
CABP1,0.47070107,0.3924921,-0.07820898,False,0.24816567,0.22810115
CCNG1,3.3750894,3.452946,0.07785654,True,0.09383069,0.09011462
SERPINB9,1.3378824,1.261028,-0.07685435,True,0.5634636,0.5454017
PDPN,2.834985,2.7588408,-0.07614422,True,0.1602829,0.16134454
AIF1,1.0458375,0.97054046,-0.07529706,True,0.38020986,0.38520566
NSG1,2.2689183,2.1941428,-0.07477546,True,0.23481227,0.25670487
CCN2,1.3984216,1.3237422,-0.074679494,True,0.8199761,0.8728488
CCNE1,1.5663189,1.4920967,-0.07422221,True,0.32774282,0.32836077
RFLNB,1.6136794,1.5395083,-0.07417107,True,0.32008567,0.3449751
PRDM5,0.67857736,0.7524658,0.07388842,False,0.29628643,0.30378985
CRISPLD1,1.5301385,1.4563549,-0.073783636,True,0.30780947,0.36027554
PKP3,0.804897,0.73126745,-0.07362956,False,0.329147,0.35235777
FOSL1,0.18665719,0.26028454,0.07362735,True,0.15412702,0.22080557
PCOLCE,1.3033357,1.2298534,-0.073482275,False,0.30327117,0.32784453
CCDC136,1.165766,1.0935028,-0.07226324,False,0.31515306,0.34346572
C16orf58,1.5415974,1.6138602,0.07226288,False,0.2911282,0.2842236
PPP1R17,0.5791453,0.506894,-0.07225132,True,0.36212915,0.32938743
RAB3C,0.55291384,0.6250813,0.072167456,False,0.27896374,0.29621348
TRIAP1,2.3200333,2.391744,0.07171059,True,0.1575913,0.14926116
RASGRP2,1.3544939,1.2842661,-0.07022774,True,0.34762353,0.35835123
LGALSL,1.2963917,1.2266129,-0.0697788,False,0.296385,0.31124124
PGM1,1.8431282,1.773448,-0.069680214,True,0.38100007,0.42267096
INVS,0.7552861,0.8245654,0.06927931,False,0.3215139,0.33676356
IKBIP,0.55091214,0.61939,0.06847787,False,0.26367143,0.30241883
RRM2,2.7643306,2.6962287,-0.06810188,True,0.16847533,0.1916564
UHRF1,2.392236,2.3243344,-0.06790161,True,0.2816612,0.3052064
TRIM14,1.1966144,1.128935,-0.067679405,False,0.3207373,0.366788
TPD52,1.0772084,1.0096763,-0.06753206,False,0.3085968,0.31570515
TAGLN,2.3409328,2.2737057,-0.067227125,True,0.6389723,0.6077657
SYT2,0.748557,0.6814328,-0.06712419,False,0.3084234,0.3134141
TNFRSF10A,0.33940533,0.40651497,0.067109644,False,0.19158335,0.21840589
MATK,1.154767,1.0878747,-0.066892385,True,0.33695495,0.37313446
DACT1,0.9510262,0.8848651,-0.066161096,True,0.5183046,0.5219585
EPB41L1,1.0252529,0.95934355,-0.065909386,False,0.2910226,0.3170393
PHF3,1.5976452,1.6635447,0.06589949,False,0.24865627,0.22857763
TUBB2A,3.9533803,3.8878193,-0.065561056,True,0.1378518,0.13899696
TMEM132A,0.75793254,0.8234586,0.06552607,False,0.2940503,0.31906766
ERVMER34-1,1.778471,1.7129575,-0.06551349,True,0.3746463,0.42787087
UBE2L6,1.8911967,1.8258207,-0.06537604,False,0.20755343,0.22317876
RPTOR,1.4475261,1.512655,0.06512892,False,0.32264182,0.3210888
LCK,1.4720908,1.4070213,-0.065069556,False,0.29680485,0.31258938
CDC25A,2.302025,2.2369637,-0.06506133,True,0.27523708,0.3213211
PIM1,1.5815667,1.5165749,-0.06499183,True,0.35547683,0.35614786
RRM2B,1.15014,1.2145733,0.06443322,True,0.33941558,0.3423853
CXCL5,0.65057814,0.58630633,-0.06427181,True,0.36417714,0.33866784
DERA,1.5142007,1.578442,0.06424129,True,0.30567244,0.27879852
PRICKLE1,0.4917276,0.55571663,0.06398904,True,0.2937208,0.3487258
CNMD,2.6173897,2.5536497,-0.063740015,True,0.16489005,0.17091651
EMD,2.9051232,2.8413973,-0.06372595,True,0.13371706,0.16338773
TPM1,3.4666436,3.4029684,-0.063675165,True,0.1359563,0.14955333
MYBL2,3.57181,3.5082147,-0.063595295,False,0.07292239,0.08724148
FOXO1,1.9450868,2.0085235,0.06343663,False,0.20770423,0.17480937
THOP1,2.1367903,2.2002063,0.063416004,False,0.19567671,0.14600158
PFKP,2.3347797,2.2714872,-0.0632925,False,0.1609153,0.18452029
SPIB,0.7880941,0.72488755,-0.06320655,True,0.35440066,0.35819435
CSRP1,0.89926517,0.8360982,-0.063166976,True,0.4090476,0.41301703
KCNK12,0.4969194,0.43386632,-0.06305307,True,0.27406767,0.2620042
ATCAY,1.1623644,1.0993948,-0.062969565,True,0.36761397,0.37524286
EGR1,0.81692857,0.7540781,-0.062850475,True,0.5892243,0.5667121
NPTX2,1.078339,1.0156416,-0.06269741,True,0.40481034,0.40379307
TYMS,2.7641926,2.826855,0.06266236,True,0.13533644,0.14241228
NOTCH1,1.2914398,1.3539646,0.062524796,False,0.30878872,0.29970202
ALPK3,0.7825444,0.7200358,-0.06250858,True,0.34882918,0.354986
LAD1,1.0111103,0.94863474,-0.062475562,False,0.31775904,0.31245163
FGD5,0.6781506,0.6156757,-0.062474906,False,0.30346906,0.31219065
HIST3H2A,1.126817,1.0645195,-0.062297463,True,0.58922714,0.5642963
PLEKHA4,0.36844465,0.30644575,-0.061998904,False,0.19979154,0.1801457
ZNF90,2.61995,2.5580742,-0.06187582,True,0.1612946,0.17234515
GDF3,0.6978482,0.63605785,-0.061790347,True,0.3538861,0.33085573
CPS1,0.62011623,0.55835384,-0.061762393,True,0.31480277,0.31210923
GPR143,1.1005427,1.038837,-0.06170571,True,0.37836063,0.39634034
SOCS2,1.2737695,1.3354104,0.06164086,True,0.4973071,0.48366365
ATP11C,1.3675157,1.3061357,-0.06138003,False,0.26972064,0.31653455
NMNAT2,0.8814711,0.8201139,-0.0613572,False,0.30954275,0.32249686
ATP6V1D,1.8289254,1.7675703,-0.061355114,False,0.23536623,0.2523956
POLR3G,2.6291654,2.69032,0.061154604,True,0.22044568,0.13978836
ADCY1,1.51401,1.4528958,-0.061114192,False,0.2909579,0.30098274
DNPH1,1.3159413,1.3768069,0.06086552,False,0.29655746,0.27396145
FABP5,3.421829,3.3610785,-0.060750484,True,0.09440392,0.103999384
ARHGEF5,0.7298634,0.6692203,-0.060643077,False,0.31288746,0.31097716
ZMAT5,0.77643573,0.83700985,0.060574114,False,0.31057292,0.32490522
SPIDR,0.95250994,1.0129519,0.06044191,False,0.3072536,0.30747017
PMVK,1.5766462,1.6369995,0.06035328,False,0.26637125,0.28028834
ACVR1B,1.3064927,1.3668401,0.060347438,True,0.3328906,0.327143
NR5A2,0.5828152,0.52249026,-0.060324907,True,0.28941792,0.2887411
CDH4,0.8705357,0.930736,0.060200334,True,0.35521907,0.36648893
RNF141,1.8262259,1.8862032,0.059977293,False,0.22544342,0.21187688
PIR,1.054318,1.1142286,0.059910655,True,0.3693995,0.37876242
FABP7,0.5414451,0.48188198,-0.0595631,True,0.28100306,0.26121977
TNFRSF8,0.51111275,0.4517523,-0.059360445,False,0.2515473,0.23627491
HELB,0.6885449,0.62924474,-0.059300184,False,0.2848294,0.29410517
RUNX1T1,0.94488984,0.88565207,-0.05923778,False,0.30716887,0.32775772
SLC37A4,1.7149663,1.7740554,0.059089065,False,0.24126555,0.23033525
CMBL,1.0228338,1.0818381,0.059004307,False,0.30436218,0.2787239
ARHGEF40,1.4412044,1.5002083,0.05900383,False,0.3064177,0.29940626
TK1,2.0310025,1.9720783,-0.0589242,False,0.22325276,0.2247257
NECAP2,1.072098,1.1310103,0.058912277,False,0.314684,0.31347635
CIRBP,1.8306429,1.8895428,0.05889988,False,0.22324976,0.21611825
PGK1,1.5561982,1.4977582,-0.05844009,True,0.4199521,0.42170498
MAP7D1,1.8296365,1.8879349,0.05829847,True,0.27137268,0.27406076
ZNF184,1.0296676,0.97145367,-0.05821395,True,0.3441931,0.35285813
ATP1B2,1.2254541,1.1673331,-0.058120966,True,0.3508382,0.35475072
MLPH,0.5840078,0.52613413,-0.057873666,False,0.27636632,0.26824906
OTX2,0.8048261,0.86266434,0.05783826,True,0.38356015,0.38168886
MGMT,0.9403865,0.99812996,0.05774349,False,0.3362521,0.34331235
STXBP6,1.1174883,1.0597514,-0.057736874,True,0.3900172,0.35664353
