target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
CHMP3,non-targeting,NOC2L,1.1090528,1.0196314,0.0876997262239456,1.0876997709274292,0.0022873064283373,23446406.5,0.0309749805728707
CHMP3,non-targeting,ISG15,1.2071712,1.0429815,0.1574234068393707,1.1574233770370483,1.75224365185e-05,23913927.5,0.0005190131917677
CHMP3,non-targeting,AGRN,6.1007442,5.5859537,0.0921580344438552,1.0921580791473389,9.115536408292853e-09,24491973.0,5.471742970183757e-07
CHMP3,non-targeting,SDF4,8.83737,9.294083,-0.0491401627659797,0.9508598446846008,3.52725929522e-05,20713178.0,0.0009495659329613
CHMP3,non-targeting,INTS11,6.6223702,6.111763,0.0835449993610382,1.0835449695587158,2.3145480623089246e-10,24718505.5,1.7746831622792772e-08
CHMP3,non-targeting,CCNL2,12.190777,11.25566,0.0830796882510185,1.0830796957015991,3.390032738963531e-09,24555097.5,2.2031557124536539e-07
CHMP3,non-targeting,ATAD3A,3.4850523,3.7133484,-0.0614798329770565,0.9385201930999756,0.0001330683979252,20833932.0,0.0029578025995681
CHMP3,non-targeting,TMEM240,0.5219462,0.42365447,0.2320091724395752,1.2320091724395752,2.665557734625221e-06,23913090.0,9.7085583888e-05
CHMP3,non-targeting,SSU72,12.569157,12.072451,0.0411437600851058,1.041143774986267,0.0002132685353595,23710565.5,0.0044320633555176
CHMP3,non-targeting,SKI,11.33384,11.900121,-0.0475861020386219,0.9524139165878296,6.97398308166e-05,20774078.0,0.001702807456585
CHMP3,non-targeting,TPRG1L,1.9103947,1.7741126,0.0768170431256294,1.0768170356750488,0.0028045797523667,23435575.0,0.036296923352033
CHMP3,non-targeting,CEP104,1.5449281,1.6807923,-0.0808334574103355,0.9191665649414062,0.0010933893070319,21048623.5,0.0172259312226708
CHMP3,non-targeting,AJAP1,0.47351605,0.6104939,-0.2243721932172775,0.7756277918815613,1.2375786183327812e-08,20239120.5,7.167015188807393e-07
CHMP3,non-targeting,KCNAB2,0.48883042,0.40791994,0.1983489096164703,1.198348879814148,1.81651137109e-05,23764053.5,0.0005345463149319
CHMP3,non-targeting,ICMT,12.541395,13.048252,-0.0388448126614093,0.9611551761627196,0.0003841887571791,20937138.0,0.0072806429952736
CHMP3,non-targeting,ACOT7,5.451338,5.7714295,-0.0554614290595054,0.9445385932922364,0.0005870421133652,20980415.0,0.0103342023973451
CHMP3,non-targeting,ERRFI1,3.5583,4.2781425,-0.1682605147361755,0.8317394852638245,6.805735663859987e-18,18999723.5,1.1564633534077877e-15
CHMP3,non-targeting,RERE,16.5012,17.119253,-0.0361028276383876,0.963897168636322,0.0003704334827261,20933473.0,0.0070677895395625
CHMP3,non-targeting,ENO1,55.40555,53.036606,0.0446661747992038,1.0446661710739136,8.836111312691251e-10,24638309.5,6.26006632184396e-08
CHMP3,non-targeting,SPSB1,0.54834604,0.4760289,0.1519175767898559,1.151917576789856,0.0009591075920541,23450559.0,0.0154827368431604
CHMP3,non-targeting,EXOSC10,5.7678385,5.4771614,0.0530707500874996,1.0530707836151123,9.42984361658e-05,23787822.0,0.0022080601440664
CHMP3,non-targeting,DRAXIN,3.4097314,3.1660664,0.0769614279270172,1.0769613981246948,0.0003977408956683,23648816.0,0.0075079926849906
CHMP3,non-targeting,AGTRAP,7.352212,7.730517,-0.0489365682005882,0.9510634541511536,2.62779862593e-05,20687526.5,0.000738200732704
CHMP3,non-targeting,MIIP,1.8053899,1.667966,0.0823900923132896,1.082390069961548,0.0005938702676965,23605224.0,0.0104284911032964
CHMP3,non-targeting,TNFRSF8,0.58587897,0.672035,-0.1282016783952713,0.8717983365058899,0.0004044587431378,20997989.5,0.0076125484862931
CHMP3,non-targeting,DHRS3,1.6821079,1.3128848,0.2812303900718689,1.2812304496765137,2.4909206768060392e-18,25611119.5,4.380918855705562e-16
CHMP3,non-targeting,HNRNPCL2,0.00055450696,0.0,,20.0,1.0846964573523348e-08,22313872.0,6.35492934184388e-07
CHMP3,non-targeting,PRAMEF20,0.0006261191,2.091276e-05,28.9395751953125,29.939573287963867,8.90144565083e-05,22313287.5,0.0021004769292661
CHMP3,non-targeting,PDPN,19.399946,16.17351,0.1994889676570892,1.1994889974594116,2.892898767864349e-52,28111661.5,2.1613061869003068e-49
CHMP3,non-targeting,CASP9,1.1260787,1.0048455,0.1206486225128173,1.1206486225128174,0.0004620802077366,23616683.0,0.0085075459835828
CHMP3,non-targeting,AGMAT,1.4556196,1.309553,0.1115392372012138,1.1115392446517944,0.000705227083458,23581982.0,0.0120310489421788
CHMP3,non-targeting,FBLIM1,0.9676294,1.1735523,-0.1754697263240814,0.8245302438735962,1.774881553074276e-09,20015110.0,1.21276865002203e-07
CHMP3,non-targeting,EPHA2,2.514618,2.8523211,-0.1183959320187568,0.8816040754318237,7.483268368153178e-08,20238425.0,3.811196960456604e-06
CHMP3,non-targeting,ARHGEF19,0.79592705,0.9121,-0.1273686736822128,0.872631311416626,7.29931189473e-05,20804769.5,0.0017704797297678
CHMP3,non-targeting,SZRD1,6.8435736,7.200242,-0.0495356209576129,0.950464367866516,0.0002772306629238,20904644.0,0.0055311524891454
CHMP3,non-targeting,NECAP2,2.0802748,1.9370868,0.0739192441105842,1.0739192962646484,0.0039658452854135,23394911.5,0.0472117005687666
CHMP3,non-targeting,CROCC,1.8791177,1.7239225,0.0900244861841201,1.090024471282959,0.002929543688678,23430203.5,0.0373856149280383
CHMP3,non-targeting,MFAP2,28.894758,27.977707,0.0327779315412044,1.0327779054641724,0.0008216803331313,23573921.5,0.0136343432663506
CHMP3,non-targeting,IGSF21,2.5620594,2.7802827,-0.0784896165132522,0.9215103983879088,0.0005070853692274,20965687.5,0.0091772807563894
CHMP3,non-targeting,KLHDC7A,0.87530106,1.0118194,-0.1349235922098159,0.8650764226913452,9.38063474194e-05,20828038.0,0.0021980543822496
CHMP3,non-targeting,ALDH4A1,1.297436,1.1336441,0.1444826424121856,1.1444826126098633,5.938424191573849e-06,24012405.5,0.0001997148612047
CHMP3,non-targeting,IFFO2,0.664308,0.7399583,-0.1022358611226081,0.8977641463279724,0.00382155008033,21225886.5,0.04590328557824
CHMP3,non-targeting,UBR4,16.13977,15.45456,0.0443370901048183,1.044337034225464,1.72132747007e-05,23938266.5,0.0005111958058305
CHMP3,non-targeting,AKR7A2,1.7232553,1.5557497,0.107668749988079,1.1076687574386597,0.0001063499134453,23773330.0,0.0024320850431219
CHMP3,non-targeting,CAPZB,8.737621,8.141897,0.0731677263975143,1.0731676816940308,1.2150929148042224e-07,24317924.0,5.915153446327502e-06
CHMP3,non-targeting,TMCO4,0.18610983,0.2264442,-0.1781205832958221,0.8218793869018555,0.0012143768485968,21325989.0,0.0187593416119546
CHMP3,non-targeting,CAMK2N1,0.5267665,0.6539227,-0.1944514214992523,0.8055485486984253,8.969328002418146e-08,20343999.5,4.494607823828161e-06
CHMP3,non-targeting,CDA,0.6310694,0.5080459,0.2421503812074661,1.2421504259109497,2.648617127019112e-07,24106013.0,1.20379581841e-05
CHMP3,non-targeting,PINK1,2.0581324,1.7747142,0.1596979200839996,1.1596978902816772,4.760238231311229e-08,24378043.0,2.5077245694087127e-06
CHMP3,non-targeting,DDOST,9.8044405,9.14526,0.0720789432525634,1.0720789432525637,1.9109029195357447e-08,24443593.5,1.076296722280569e-06
CHMP3,non-targeting,KIF17,0.92733896,0.8220012,0.1281479150056839,1.1281479597091677,0.0006770047249681,23557169.5,0.0116618191953359
CHMP3,non-targeting,EIF4G3,6.830748,6.2513547,0.0926828533411026,1.0926828384399414,4.544372497720471e-09,24536571.0,2.88622674885347e-07
CHMP3,non-targeting,ALPL,21.91037,21.318344,0.0277707204222679,1.027770757675171,0.0038961232021693,23398444.0,0.0465908904394631
CHMP3,non-targeting,EPHB2,0.5719403,0.4635304,0.2338787615299224,1.2338787317276,2.676182087797983e-07,24106282.5,1.21510226387e-05
CHMP3,non-targeting,KDM1A,38.555683,39.483776,-0.0235056784003973,0.976494312286377,0.0003536525462373,20928825.5,0.0068137660229864
CHMP3,non-targeting,HTR1D,1.330935,0.7156285,0.8598127365112305,1.8598127365112305,3.982483101077496e-60,28247285.0,3.6365300236101584e-57
CHMP3,non-targeting,ID3,4.389176,5.94795,-0.2620691061019897,0.7379308938980103,1.128268528262009e-40,17188930.5,5.929969474121257e-38
CHMP3,non-targeting,GALE,1.1936257,1.3732363,-0.1307936608791351,0.8692063093185425,3.534080233814071e-06,20531618.5,0.0001251393862658
CHMP3,non-targeting,PNRC2,11.129069,10.616325,0.0482976846396923,1.048297643661499,1.81613481963e-05,23933716.0,0.0005345463149319
CHMP3,non-targeting,RCAN3,1.4716974,1.2502662,0.1771072894334793,1.177107334136963,2.759281314535346e-09,24552915.5,1.8193948273814392e-07
CHMP3,non-targeting,SYF2,3.7127345,3.894014,-0.0465533584356308,0.953446626663208,0.0039677841102954,21193332.0,0.0472268181133259
CHMP3,non-targeting,RSRP1,4.2713413,4.0045214,0.0666296705603599,1.0666296482086182,0.0041029916598294,23392185.0,0.0484596872287141
CHMP3,non-targeting,TMEM50A,9.667078,10.201248,-0.0523632131516933,0.9476367831230164,1.569932743013508e-07,20289633.0,7.44996955214809e-06
CHMP3,non-targeting,MAN1C1,0.4209186,0.3654923,0.1516483277082443,1.1516482830047607,0.0026925564866598,23305424.5,0.0351287496599875
CHMP3,non-targeting,ZNF593,2.7257376,2.5245726,0.079682782292366,1.0796828269958496,0.0001733410745031,23730208.5,0.0037201438372682
CHMP3,non-targeting,LIN28A,99.295746,103.39178,-0.0396166034042835,0.960383415222168,4.328719404829595e-12,19646564.0,4.23961250483852e-10
CHMP3,non-targeting,DHDDS,3.6136992,3.4278803,0.0542081110179424,1.0542081594467163,0.0021311494273624,23469084.5,0.0293781741100247
CHMP3,non-targeting,SFN,0.10399925,0.13772048,-0.2448526918888092,0.7551472783088684,0.000326481965088,21382848.5,0.0063758845633956
CHMP3,non-targeting,NUDC,29.859217,31.35219,-0.0476194284856319,0.9523805975914,9.137710224614627e-11,19816882.5,7.530072965407132e-09
CHMP3,non-targeting,SLC9A1,2.192487,2.4170828,-0.092920184135437,0.907079815864563,1.06642532427e-05,20611713.5,0.0003368443372278
CHMP3,non-targeting,WDTC1,2.0966244,2.2688823,-0.0759219229221344,0.924078106880188,0.0005848699272787,20980692.5,0.0103024632552611
CHMP3,non-targeting,AHDC1,1.7440729,1.9788857,-0.118659071624279,0.8813409209251404,8.247957970568942e-07,20411904.0,3.37841142065e-05
CHMP3,non-targeting,RPA2,3.0041716,2.797195,0.0739943608641624,1.0739943981170654,0.0005417174756961,23617294.5,0.009670469945286
CHMP3,non-targeting,SMPDL3B,3.521634,3.184812,0.1057588383555412,1.105758786201477,1.1788012588044549e-08,24475151.0,6.857376692144318e-07
CHMP3,non-targeting,ATP5IF1,7.521655,7.1983767,0.044909905642271,1.044909954071045,0.0003405086013064,23664529.0,0.006608410811099
CHMP3,non-targeting,RCC1,9.816448,9.345453,0.0503982976078987,1.050398349761963,6.21475740333e-05,23825941.0,0.0015438693851638
CHMP3,non-targeting,EPB41,3.113187,2.8620775,0.0877368301153183,1.0877368450164795,3.585156666460344e-06,24066479.0,0.0001266503175646
CHMP3,non-targeting,NKAIN1,5.1727924,4.8697424,0.0622312277555465,1.062231183052063,0.0001700711467288,23732360.5,0.0036628797950129
CHMP3,non-targeting,SNRNP40,19.340569,18.798038,0.0288609936833381,1.0288610458374023,0.0001008294317075,23781619.0,0.0023323901295696
CHMP3,non-targeting,FABP3,1.5964482,1.3053305,0.2230221927165985,1.223022222518921,3.323067266132098e-11,24811762.5,2.913727263417475e-09
CHMP3,non-targeting,SERINC2,2.0889828,2.348765,-0.1106036975979805,0.8893963098526001,6.061327858784492e-08,20224229.0,3.140080449479187e-06
CHMP3,non-targeting,PEF1,3.9750805,4.2433147,-0.0632133781909942,0.936786651611328,0.0004822626231032,20960205.5,0.0087983214200383
CHMP3,non-targeting,SPOCD1,0.10675107,0.07887917,0.3533492982387543,1.3533493280410769,0.0010578561553695,22967806.5,0.0167978563930105
CHMP3,non-targeting,LCK,2.5348973,3.3868396,-0.2515449225902557,0.7484551072120667,5.682588449492752e-38,17369524.0,2.7618601926566926e-35
CHMP3,non-targeting,MARCKSL1,54.84256,56.072617,-0.0219368524849414,0.97806316614151,0.0001279121611551,20830180.5,0.0028558309134164
CHMP3,non-targeting,RNF19B,1.3070428,1.4337687,-0.0883865803480148,0.911613404750824,0.0022381853154054,21131265.0,0.0304441698032877
CHMP3,non-targeting,CSMD2,1.6479259,1.4912715,0.1050475090742111,1.1050474643707275,0.0009981480346791,23545443.5,0.0160100394490765
CHMP3,non-targeting,GJA4,0.109444745,0.14164904,-0.2273527085781097,0.7726472616195679,0.0011115875252356,21464999.5,0.0174286885111128
CHMP3,non-targeting,DLGAP3,0.65581536,0.73160106,-0.1035888269543647,0.8964111804962158,0.003583467057244,21217047.0,0.0437350373936627
CHMP3,non-targeting,ZMYM1,3.4489884,3.1872225,0.0821298062801361,1.0821298360824585,0.0002443167559864,23697187.0,0.0049674118033948
CHMP3,non-targeting,SFPQ,8.572993,9.83514,-0.1283303499221801,0.8716696500778198,5.989198224429524e-17,19096187.0,9.367188918484931e-15
CHMP3,non-targeting,ZMYM4,8.482673,9.129994,-0.070900559425354,0.929099440574646,4.572364367399245e-09,20053385.5,2.9006437811431e-07
CHMP3,non-targeting,MAP7D1,4.5845428,5.2769976,-0.1312213689088821,0.868778645992279,4.372468700858526e-12,19647117.5,4.277826521186263e-10
CHMP3,non-targeting,EVA1B,0.24401902,0.3447677,-0.2922219038009643,0.7077780961990356,2.3202523089309438e-09,20333334.0,1.554861443494124e-07
CHMP3,non-targeting,LSM10,2.4782016,2.6565588,-0.0671384111046791,0.9328615665435792,0.0022963295154653,21129221.0,0.0310665646001028
CHMP3,non-targeting,GRIK3,0.2210427,0.30582282,-0.2772197425365448,0.7227802276611328,2.3359217299851633e-08,20505737.5,1.2986920319228703e-06
CHMP3,non-targeting,DNALI1,2.2456653,2.4695835,-0.0906704291701316,0.90932959318161,8.9759558445e-05,20797778.0,0.0021158446110654
CHMP3,non-targeting,EPHA10,0.072348624,0.0516392,0.4010407924652099,1.40104079246521,0.0005637512710116,22891355.5,0.0100042533327108
CHMP3,non-targeting,MANEAL,0.5168974,0.4459411,0.1591158360242843,1.1591157913208008,0.0016243682348867,23379445.0,0.023680517405864
CHMP3,non-targeting,YRDC,1.7538141,1.604835,0.0928313881158828,1.0928313732147217,0.000439610046327,23635540.0,0.0081771086806516
CHMP3,non-targeting,C1orf122,2.6013243,2.4582348,0.0582082457840442,1.0582082271575928,0.0035514990895198,23409232.0,0.043397609853013
CHMP3,non-targeting,INPP5B,3.060259,2.870386,0.0661490187048912,1.0661489963531494,0.0027621816115387,23439077.0,0.0358853060089929
CHMP3,non-targeting,FHL3,2.5171902,2.3339522,0.0785097628831863,1.07850980758667,0.001161220062989,23536259.5,0.0180563635058805
CHMP3,non-targeting,POU3F1,0.21137233,0.30276287,-0.3018551766872406,0.6981448531150818,5.0860644110665705e-09,20425104.5,3.197358989988998e-07
CHMP3,non-targeting,MYCBP,7.6199474,8.204465,-0.071243830025196,0.9287561774253844,1.2254061792753292e-07,20272235.0,5.962148471823991e-06
CHMP3,non-targeting,AKIRIN1,36.084232,34.65988,0.0410950854420661,1.0410951375961304,1.0525787871983184e-08,24482652.0,6.219158324361307e-07
CHMP3,non-targeting,NDUFS5,3.2165093,2.8707597,0.1204383671283721,1.1204383373260498,1.429659665063987e-08,24462426.0,8.18500530220294e-07
CHMP3,non-targeting,MACF1,10.972471,12.332746,-0.1102977693080902,0.8897022604942322,1.9973547757598488e-24,18394999.5,5.310613874373246e-22
CHMP3,non-targeting,HEYL,0.31949958,0.24618736,0.2977903485298157,1.2977904081344604,2.54796031035e-05,23576913.5,0.0007184516907539
CHMP3,non-targeting,MFSD2A,0.44957095,0.50816053,-0.1152973771095275,0.8847026228904724,0.003018285071005,21240776.0,0.0382629323263018
CHMP3,non-targeting,PPT1,20.567776,19.775831,0.0400460809469223,1.0400460958480835,7.02715676924e-05,23814799.0,0.0017122775523978
CHMP3,non-targeting,ZMPSTE24,2.7776654,2.9662902,-0.0635894834995269,0.9364105463027954,0.0004095519986112,20943759.0,0.0076894859699865
CHMP3,non-targeting,SMAP2,0.6295516,0.7279662,-0.1351911723613739,0.8648088574409485,0.0001209142868321,20872141.5,0.0027156898210256
CHMP3,non-targeting,ZFP69,0.30723885,0.3590601,-0.1443247497081756,0.855675220489502,0.0028716974387455,21296483.0,0.0368856846352087
CHMP3,non-targeting,RIMS3,1.9219692,1.7917161,0.0726973861455917,1.072697401046753,0.0016241227263599,23497808.0,0.023680517405864
CHMP3,non-targeting,NFYC,2.6284719,2.7945943,-0.0594442039728164,0.9405558109283448,0.002443305029353,21136302.0,0.0326261685061251
CHMP3,non-targeting,SCMH1,0.7417997,0.6637292,0.1176240593194961,1.117624044418335,0.0016398411781488,23451327.0,0.0238632041792595
CHMP3,non-targeting,YBX1,53.505077,55.63247,-0.0382401123642921,0.961759865283966,9.414137292842977e-09,20099678.5,5.613707198370745e-07
CHMP3,non-targeting,TMEM269,0.028317323,0.017489005,0.6191500425338745,1.6191500425338743,0.000250280866762,22680221.5,0.0050729574787642
CHMP3,non-targeting,SLC2A1,11.066172,12.946814,-0.1452590525150299,0.8547409176826477,3.381929757872644e-22,18590389.0,7.819090795695321e-20
CHMP3,non-targeting,EBNA1BP2,24.793987,25.695509,-0.0350847952067852,0.9649152159690856,2.61111207197e-05,20686975.5,0.000733969313763
CHMP3,non-targeting,PTPRF,11.15564,12.239913,-0.0885850563645362,0.911414921283722,1.3383612269469242e-17,19029314.5,2.228137291270754e-15
CHMP3,non-targeting,ST3GAL3,1.1230857,0.9641249,0.1648757457733154,1.1648757457733154,2.5230061727844797e-06,24061125.5,9.26776749369e-05
CHMP3,non-targeting,B4GALT2,3.482314,3.154917,0.1037736013531684,1.103773593902588,1.0484075649413421e-07,24328114.0,5.16772322086681e-06
CHMP3,non-targeting,KLF18,0.010070978,0.004418961,1.279037594795227,2.2790377140045166,0.0002334441065935,22494114.0,0.0047788376893247
CHMP3,non-targeting,UROD,4.875169,4.38737,0.1111824810504913,1.111182451248169,4.691755851359256e-12,24938628.5,4.5753476695024456e-10
CHMP3,non-targeting,HPDL,3.462981,3.8335824,-0.096672348678112,0.9033276438713074,3.3953082540102817e-06,20518689.0,0.0001206983351012
CHMP3,non-targeting,PRDX1,57.081696,52.8484,0.0801026225090026,1.080102562904358,5.017819351111814e-34,26944623.5,2.0618675879113997e-31
