gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CHMP3,1.0370814,0.066158,-0.97092336,False,0.2962767,0.049581483
VIM,2.7251427,3.4818747,0.756732,True,0.5895071,0.48969927
DUSP6,2.2662961,1.6641303,-0.6021658,True,0.42365897,0.57735753
SERPINB9,1.3378824,1.8713387,0.5334563,True,0.5634636,0.7238447
AK4,3.1002982,2.667182,-0.4331162,True,0.13591754,0.23082872
PCDH7,0.45434523,0.87071604,0.4163708,True,0.27273244,0.43863052
DUSP5,1.2534505,0.8483578,-0.40509272,True,0.39468458,0.38385487
RASGRP2,1.3544939,0.9551832,-0.39931065,True,0.34762353,0.3642938
TMEM64,1.3649961,1.7585666,0.39357054,True,0.3572356,0.35805503
RAB17,1.5537531,1.1620764,-0.39167678,True,0.5508224,0.5709666
SHISA2,1.6919217,1.3145466,-0.37737513,True,0.5537069,0.53677505
ID1,2.082082,2.4554477,0.37336564,True,0.44992384,0.4294959
TNIK,1.8986627,1.5342966,-0.36436605,True,0.25794908,0.3418073
MMP24,1.0542948,1.4080813,0.35378647,True,0.3902179,0.38580328
LMO3,1.0553634,0.70914626,-0.34621716,True,0.47546923,0.4005828
HIST1H3E,1.0670047,1.4016812,0.3346765,True,1.0355052,1.4266498
FEZ1,1.0951558,1.4273112,0.33215535,True,0.36360902,0.36006647
IL17RD,1.4703574,1.1489602,-0.3213972,True,0.32091537,0.3571747
VSNL1,2.1774752,1.8603394,-0.3171358,True,0.21121545,0.27983648
KCNG3,1.6000588,1.9088613,0.3088025,True,0.33263826,0.27459288
SFRP2,3.7987847,3.4930742,-0.30571055,True,0.07606493,0.09187292
HTR1D,0.536856,0.8420279,0.3051719,True,0.32416457,0.42518923
PLXND1,1.5982894,1.2980889,-0.30020046,True,0.2975896,0.3333025
IGDCC3,1.6520493,1.3539839,-0.29806542,True,0.28605288,0.30530977
GAL,2.7219493,2.4241683,-0.297781,True,0.35849097,0.33613023
APELA,1.5670142,1.858721,0.2917068,True,0.4344417,0.4389851
GPC4,2.8069289,3.0973136,0.29038477,True,0.19444703,0.19670296
KRT18,3.6757731,3.3868663,-0.2889068,True,0.10656653,0.11777602
PDGFA,1.104627,0.8258246,-0.2788024,True,0.3449067,0.3356697
GNPTAB,1.3371286,1.6153316,0.278203,False,0.30216646,0.26682574
C1orf21,2.3650088,2.6426153,0.2776065,True,0.18786235,0.14182091
PLS3,2.6728685,2.9497173,0.2768488,False,0.12388258,0.10580332
SPRY4,2.1270444,1.8507303,-0.27631414,True,0.23128518,0.28877872
