gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CLDN7,1.6453251,0.13346359,-1.5118614,False,0.26548973,0.10081515
THOC2,1.3970091,1.0057299,-0.39127922,False,0.2656506,0.4884911
HTR7,0.7363093,0.38292077,-0.35338852,True,0.39800823,0.25832355
SHISA2,1.6919217,1.3480476,-0.3438741,True,0.5537069,0.58787954
VRK2,1.0627666,0.778442,-0.28432453,False,0.30112335,0.31814954
PCK2,2.0146055,1.7480506,-0.26655495,True,0.285465,0.43968293
SEC23IP,1.9276927,1.6653068,-0.26238585,False,0.17582436,0.28929204
MAP1B,2.2581487,2.0748205,-0.18332815,True,0.20767254,0.32833397
ZIM3,2.5895684,2.4160128,-0.17355561,True,0.29940525,0.3966723
IGFBP4,1.9565018,1.7842778,-0.17222404,True,0.226974,0.28014377
UPP1,1.0359405,0.8777751,-0.15816545,True,0.31874496,0.32647926
EDA,1.2899233,1.1357459,-0.15417743,True,0.35988408,0.35368824
FGFBP3,1.5303756,1.3799093,-0.15046632,True,0.39057454,0.45533195
YDJC,0.615844,0.46638128,-0.14946273,False,0.2688692,0.22202788
RND3,1.4510654,1.591874,0.14080858,True,0.5110513,0.5119351
EDIL3,1.4273261,1.5651044,0.13777828,True,0.36399788,0.3459338
S100A16,1.7017455,1.5649502,-0.13679528,True,0.3093001,0.34271866
TSTA3,1.9133973,2.0499988,0.13660145,False,0.19780587,0.22033037
BST2,1.1939828,1.0597297,-0.13425314,True,0.5915028,0.56398594
SCGB3A2,2.1600077,2.2932189,0.13321114,True,1.0063828,1.0129098
MAP3K13,1.6055828,1.474422,-0.13116086,False,0.2493904,0.29840317
SLC7A11,2.2569587,2.127871,-0.12908769,True,0.3321765,0.37045544
HNRNPH2,2.1337488,2.009897,-0.123851776,False,0.15118395,0.22101636
GRPR,0.8029942,0.92612475,0.12313056,True,0.6066761,0.6687058
METTL23,2.356769,2.2348588,-0.12191033,True,0.21107145,0.29984325
KIAA1143,2.0633898,1.9422399,-0.1211499,False,0.17240639,0.27578804
B9D1,1.6816497,1.5605903,-0.12105942,False,0.2698011,0.31718355
COL1A1,2.260025,2.139364,-0.12066102,True,0.40600464,0.44824523
UCP2,1.7872043,1.6688905,-0.11831379,True,0.28364074,0.3461034
TMEM251,1.4543201,1.337755,-0.11656511,False,0.2684948,0.32436496
TCN2,1.6714429,1.5558246,-0.11561823,True,0.27773854,0.31738308
PKDCC,2.017514,1.9020767,-0.11543727,True,0.58726704,0.6412449
DDX39A,1.8834952,1.9988703,0.11537504,False,0.21787116,0.25141037
SMCHD1,1.8059626,1.9198297,0.11386716,False,0.21572112,0.19667171
FST,0.77896905,0.8926706,0.11370152,True,0.37842038,0.43294728
FZD2,0.7157441,0.6020957,-0.113648355,True,0.36336026,0.32378548
DDR1,1.939464,1.8259292,-0.11353481,False,0.20132962,0.23224615
EPHX1,2.2547429,2.1439364,-0.110806465,True,0.19147474,0.20070305
ATP1A2,1.028914,0.9200875,-0.10882646,True,0.41873628,0.41007712
MARCKSL1,4.035534,3.9268408,-0.10869312,False,0.03802257,0.090686716
C6orf120,1.6834776,1.5748056,-0.10867202,False,0.24176575,0.30494177
ARHGAP42,0.6083715,0.49975353,-0.10861796,False,0.27205583,0.2459915
GLS2,0.41650555,0.3080696,-0.10843596,True,0.23923886,0.18776132
SLC39A8,1.5447878,1.6525277,0.107739925,True,0.35716635,0.3467012
SERPINB9,1.3378824,1.4445856,0.10670316,True,0.5634636,0.6189071
PIGW,1.5937122,1.4873009,-0.10641134,True,0.3086063,0.38298136
STC2,2.132497,2.0268893,-0.10560775,True,0.37043837,0.40926278
CENPI,1.4667261,1.361339,-0.10538709,True,0.324934,0.36158225
AKAP12,2.1957076,2.092145,-0.10356259,False,0.18571153,0.24662681
MT1X,1.2593601,1.362391,0.10303092,True,0.58770955,0.61215067
CHST7,0.50204986,0.4000177,-0.102032155,False,0.24387272,0.21342416
NES,3.282194,3.1811478,-0.101046085,True,0.11634338,0.17806269
SDF2L1,1.7957741,1.6957537,-0.10002041,True,0.30096847,0.32721084
HIST3H2A,1.126817,1.027366,-0.099450946,True,0.58922714,0.5947908
H1FX,2.8645203,2.7652957,-0.09922457,True,0.21788451,0.27447727
SLC2A4,0.35419238,0.25519916,-0.09899321,False,0.19770502,0.1545359
PSAT1,3.8175943,3.7191808,-0.09841347,True,0.09711025,0.11300174
PNRC2,2.4443257,2.3467798,-0.09754586,False,0.15277272,0.22155963
NLK,2.3329012,2.2354126,-0.09748864,False,0.14184386,0.1857394
MAGEF1,2.131434,2.0347846,-0.09664941,False,0.16881616,0.24021564
ZCCHC3,1.8343208,1.7377285,-0.09659231,False,0.21162449,0.2619134
CYP51A1,2.820574,2.724001,-0.096573114,True,0.19194041,0.21467428
RARG,1.1571162,1.0606469,-0.09646928,False,0.3196179,0.34032997
AGBL5,1.919445,1.8244759,-0.09496915,False,0.2122014,0.25991565
GAL,2.7219493,2.8156564,0.093707085,True,0.35849097,0.35230115
GBGT1,0.14317037,0.049554333,-0.09361604,False,0.09343653,0.033551157
IDO1,1.2041372,1.2973145,0.09317732,True,0.43108737,0.41659385
RIMS3,1.0215168,0.92844766,-0.093069136,False,0.3186593,0.33636567
SNX5,2.8873336,2.980003,0.09266949,False,0.10383803,0.15229964
PYURF,1.1021657,1.0100373,-0.092128396,False,0.28933668,0.33097857
MBD2,2.299416,2.2072887,-0.09212732,False,0.16530053,0.25430748
MMP2,1.5867742,1.4951332,-0.09164107,True,0.3137001,0.31469026
OLFML2A,0.9932931,0.90193594,-0.09135717,True,0.35974503,0.3657447
MLLT11,1.5502051,1.4590902,-0.09111488,False,0.26560542,0.3026341
PLCB3,2.6192396,2.5282168,-0.09102273,False,0.11277881,0.13362655
SDHAF3,1.6226604,1.5318841,-0.090776324,False,0.23007327,0.25723964
OGG1,1.5346117,1.4440372,-0.0905745,False,0.25433564,0.27018163
NSUN7,1.4275646,1.3370918,-0.09047282,False,0.28277564,0.27116933
KCTD17,1.3005646,1.210696,-0.089868665,False,0.2749185,0.3049651
WDR76,1.4197162,1.5092238,0.08950758,True,0.38080722,0.36645043
PDPN,2.834985,2.9244387,0.0894537,True,0.1602829,0.16296262
