target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
CREG1,non-targeting,PLEKHN1,0.07088245,0.056064565,0.2643003165721893,1.2643003463745115,0.0015501987708436,33190316.5,0.0105022084547675
CREG1,non-targeting,CTNNBIP1,4.422966,4.621771,-0.0430148653686046,0.9569851160049438,0.001062011322523,30985235.5,0.0074913008195212
CREG1,non-targeting,LZIC,5.03725,5.2642174,-0.0431151129305362,0.9568848609924316,0.0005753523277872,30906485.0,0.0043037166619567
CREG1,non-targeting,DRAXIN,3.3614733,3.1535943,0.0659181401133537,1.0659180879592896,0.0005154033191747,34120882.0,0.0038975916391828
CREG1,non-targeting,MFAP2,28.471117,27.860634,0.0219120346009731,1.0219119787216189,0.000991925734655,34037443.5,0.0070452887211182
CREG1,non-targeting,STPG1,0.6863301,0.74834186,-0.0828655734658241,0.917134404182434,0.0052745408860079,31253483.0,0.0307626586419729
CREG1,non-targeting,LCK,3.146275,3.3734257,-0.0673353150486946,0.932664692401886,0.0001145065085835,30713857.0,0.0009843465553394
CREG1,non-targeting,DLGAP3,0.6622147,0.7290664,-0.0916949138045311,0.9083051085472108,0.0044864688830505,31228846.5,0.0267480871227522
CREG1,non-targeting,FHL3,2.107533,2.3249314,-0.0935074463486671,0.9064925312995912,6.461344248017096e-07,30194485.5,7.663918126625277e-06
CREG1,non-targeting,HEYL,0.28130817,0.24540867,0.1462845802307129,1.146284580230713,0.0085508931468786,33479895.5,0.0464845054728005
CREG1,non-targeting,ATPAF1,7.27024,7.812188,-0.0693721547722816,0.9306278228759766,8.551835870970146e-13,29182432.0,1.7118189380426638e-11
CREG1,non-targeting,SLC1A7,0.00090593874,5.166028e-05,16.53646469116211,17.53646469116211,7.75662225289e-05,32542487.5,0.0006875058272688
CREG1,non-targeting,PDE4B,0.99946064,0.8744106,0.1430106163024902,1.1430106163024902,2.8264968416356176e-06,34611330.5,3.09634214631e-05
CREG1,non-targeting,ARHGAP29,0.2658536,0.22957389,0.158030703663826,1.1580307483673096,0.0019678662880741,33632632.5,0.0129820439880252
CREG1,non-targeting,OVGP1,0.036943134,0.02662084,0.38775235414505,1.3877522945404053,0.0019122829136234,32976230.5,0.0126607862451708
CREG1,non-targeting,ATP5PB,16.54397,16.897959,-0.0209486037492752,0.979051411151886,0.0044933449300436,31186167.5,0.026784436216211
CREG1,non-targeting,MOV10,4.7521772,4.273655,0.111970268189907,1.11197030544281,3.022838730426754e-13,35896969.0,6.236782408549094e-12
CREG1,non-targeting,RHOC,3.2592034,2.8953917,0.1256519854068756,1.1256519556045532,1.3616558429588823e-10,35490754.5,2.3159677931041012e-09
CREG1,non-targeting,CD58,0.5940883,0.5380537,0.1041431874036789,1.104143142700195,0.0024314405843988,33831182.5,0.0156517134224772
CREG1,non-targeting,PHGDH,23.634745,24.11919,-0.0200854819267988,0.9799145460128784,0.0092903704134658,31297770.0,0.0498441784846622
CREG1,non-targeting,REG4,0.004141554,0.00076112757,4.44133996963501,5.44133996963501,2.188503605275153e-07,32660300.0,2.73973355067566e-06
CREG1,non-targeting,PPIAL4A,0.00094527594,4.6375353e-05,19.38315200805664,20.383153915405277,6.081112882210445e-06,32543337.0,6.37642210661e-05
