gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
CREG1,1.1210766,0.07148369,-1.0495929,False,0.30852187,0.051460102
PDLIM1,2.4891915,2.0526924,-0.43649912,True,0.14672922,0.36461604
TCFL5,0.99467474,0.61805856,-0.37661618,False,0.29153532,0.29347295
SPIN2B,0.2642773,0.064189576,-0.20008773,False,0.1510192,0.04435443
PTP4A3,0.97682947,0.8202891,-0.1565404,True,0.34470144,0.32143366
HEBP1,1.3122481,1.1602689,-0.15197921,False,0.2821424,0.30794913
CCM2L,0.718478,0.57464105,-0.14383698,False,0.31191355,0.2800103
HTR7,0.7363093,0.87311524,0.13680595,True,0.39800823,0.4199993
AASS,3.9314687,4.0648346,0.13336587,True,0.25482205,0.19144638
PTPN4,1.432251,1.3210076,-0.11124337,False,0.26438475,0.29297426
ADCY2,1.7650582,1.8613924,0.09633422,True,0.41020232,0.37498775
DLG4,1.9201101,1.8241768,-0.09593332,True,0.2227987,0.23639321
GRIK5,1.480839,1.3864697,-0.09436929,False,0.25890118,0.27575326
TSPAN5,1.165423,1.0744513,-0.09097171,False,0.30704382,0.31095204
RAMP2,0.44894597,0.35935444,-0.08959153,False,0.22571735,0.19564126
RHOC,1.3565009,1.445635,0.0891341,False,0.29208064,0.25882834
MOV10,1.6590405,1.7458063,0.086765885,True,0.2772971,0.26713288
GMPPA,0.40917057,0.32304287,-0.0861277,False,0.21061184,0.17686637
PHF21B,0.70981055,0.62804055,-0.08177,False,0.29865116,0.27465692
EPHA1,3.0570302,2.978323,-0.07870722,False,0.09688857,0.103103235
UGT8,1.01279,1.09105,0.078260064,False,0.3252397,0.33066973
ZFP36L2,1.6867079,1.6094208,-0.07728708,True,0.35165137,0.35388526
TMEM106C,1.5577834,1.6348497,0.0770663,True,0.37999824,0.36054638
EDA,1.2899233,1.3647442,0.074820876,True,0.35988408,0.3324445
FSCN1,2.5313451,2.4568954,-0.07444978,False,0.13523875,0.15291984
CAPRIN2,1.4721117,1.5462068,0.07409513,True,0.3577264,0.34332305
GDPD2,1.3856034,1.3117218,-0.073881626,True,0.3390894,0.3617028
TEX15,0.79539543,0.72362655,-0.07176888,False,0.31313172,0.30696118
DPEP1,0.23833597,0.16731225,-0.07102372,False,0.15330194,0.1094805
FHL3,1.1983993,1.1309054,-0.067493916,False,0.30136362,0.31955427
MME,1.3252288,1.3911892,0.06596041,True,0.34176204,0.339571
PLAAT3,1.6658874,1.7318355,0.06594813,True,0.36285684,0.3188407
RBPJ,2.1078296,2.0429258,-0.064903736,False,0.17478053,0.20123841
