gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DAXX,1.9786993,0.53195703,-1.4467423,False,0.20372133,0.35415652
UBA3,2.3561919,1.8618022,-0.49438965,False,0.13150819,0.9086708
RNF187,2.3075025,1.8698826,-0.43761992,True,0.18414505,0.3138552
LAPTM4A,2.4792466,2.1555185,-0.32372808,False,0.13316612,0.219161
SLC39A8,1.5447878,1.8588473,0.3140595,True,0.35716635,0.6235927
NQO1,2.009532,2.312486,0.30295396,True,0.24418247,0.46622694
SREBF1,1.8790153,1.5874127,-0.2916026,False,0.21969052,0.53205353
COMMD1,1.533284,1.2464094,-0.28687453,False,0.2567479,0.5242214
HIST3H2A,1.126817,0.8426526,-0.28416437,True,0.58922714,0.5451964
TRIM22,0.6868747,0.9501807,0.26330602,True,0.41427281,0.5477508
DACT1,0.9510262,1.2011353,0.25010908,True,0.5183046,0.71363497
PHF21B,0.70981055,0.95913666,0.24932611,False,0.29865116,0.3415836
TIMP2,1.8434741,1.5951332,-0.24834096,False,0.23636843,0.3126486
NTS,1.4767022,1.723566,0.24686384,True,0.7286999,0.7198814
LRAT,1.3468386,1.5929384,0.24609983,True,0.5342008,0.58434045
SPP1,0.7460402,0.9759364,0.22989619,True,0.35517648,0.594323
ZNF268,1.5509726,1.3448161,-0.20615649,False,0.27781692,0.33008403
GAL,2.7219493,2.9279363,0.20598698,True,0.35849097,0.48460507
KLKB1,0.7210759,0.92302734,0.20195144,True,0.37482473,0.44166657
NODAL,0.39589173,0.588945,0.19305325,True,0.29222062,0.46005043
SFRP1,4.2489777,4.057127,-0.19185066,True,0.12169684,0.26669598
NAV1,1.1464255,0.9611451,-0.18528038,False,0.29464424,0.3133114
GSR,1.9521531,2.1336772,0.18152416,False,0.17574266,0.2584903
GSN,1.4108883,1.2308227,-0.18006563,False,0.29333594,0.3419422
METTL7A,1.1035215,1.2825847,0.1790632,True,0.36541176,0.39592543
CCDC141,0.8916808,1.0690262,0.17734545,True,0.44828832,0.5563261
LRIF1,1.4927613,1.316963,-0.1757983,True,0.3942007,0.41457823
COMMD5,1.1788663,1.0031643,-0.17570198,False,0.28652275,0.308009
DUSP5,1.2534505,1.4287459,0.17529535,True,0.39468458,0.4417745
LGALS3BP,0.8557771,0.6846243,-0.17115277,True,0.35664523,0.34031594
PLPP2,1.336396,1.1679145,-0.16848147,True,0.39301753,0.4131164
VAT1L,1.7592366,1.5911502,-0.16808641,True,0.2837038,0.33779207
ARRB1,0.22579402,0.39381784,0.16802382,True,0.1494736,0.31409818
HTR7,0.7363093,0.903581,0.16727173,True,0.39800823,0.46629378
FAM102B,1.0067161,1.1705909,0.16387475,True,0.35912716,0.4258071
PGM1,1.8431282,2.0058022,0.16267395,True,0.38100007,0.4213881
ZNF69,1.294725,1.1333232,-0.16140175,False,0.29718477,0.33739597
FXYD6,1.8719592,1.7111864,-0.1607728,True,0.2274005,0.33002132
OR52A1,0.16013798,0.3200391,0.15990111,True,0.1308585,0.28949836
ERBB2,3.173677,3.0153103,-0.15836668,True,0.1566171,0.1815434
ZNF84,1.7780578,1.6198694,-0.15818846,False,0.25473213,0.29390746
ADM,1.0165217,0.85888636,-0.15763533,True,0.4694616,0.4559969
PDK1,1.0046592,1.1604825,0.15582335,True,0.5207944,0.5615631
PKNOX1,1.2351575,1.0794917,-0.15566576,True,0.44735566,0.46092838
DPPA2,0.9645738,1.1198628,0.155289,True,0.42964724,0.50237095
MT1X,1.2593601,1.4136035,0.15424347,True,0.58770955,0.7531156
SOCS2,1.2737695,1.12255,-0.15121949,True,0.4973071,0.53479195
NUP62,2.48288,2.333584,-0.14929605,False,0.13586244,0.25358558
FDXR,1.2778784,1.4267609,0.14888251,True,0.37710968,0.4485592
TRIM24,3.0930774,2.945376,-0.1477015,True,0.16487719,0.22004792
PPP2R2B,1.6374153,1.4908702,-0.14654505,False,0.27833492,0.308856
ZIC2,1.9019088,1.7568558,-0.14505291,True,0.40680227,0.5211552
PLCL2,0.35326517,0.49697807,0.14371291,False,0.20409438,0.26224026
TXNRD1,2.907767,3.0513427,0.14357567,False,0.089992836,0.18228452
SESN1,1.3295916,1.4715122,0.14192057,True,0.42911422,0.45117766
ARL6IP5,1.3161718,1.1747613,-0.14141047,False,0.2670131,0.31205443
B4GALT6,1.2004873,1.3398048,0.13931751,True,0.34877592,0.36335087
PAPLN,0.74573195,0.60734326,-0.1383887,True,0.34333396,0.33276823
JUP,2.387801,2.2495666,-0.13823438,False,0.14977698,0.2336571
PKDCC,2.017514,1.8797501,-0.13776386,True,0.58726704,0.5296846
EDIL3,1.4273261,1.5644691,0.13714302,True,0.36399788,0.3949516
TMEM106C,1.5577834,1.6944343,0.13665092,True,0.37999824,0.41570684
SLC35F5,1.2478822,1.1116557,-0.13622653,False,0.2913521,0.32843515
ERC1,0.9573885,0.82146287,-0.13592565,False,0.3041305,0.29835904
UGT8,1.01279,1.1484289,0.13563895,False,0.3252397,0.30378276
PABPC4L,0.5757263,0.71081835,0.13509208,True,0.31748143,0.37581515
FAM111B,1.7732221,1.6381749,-0.1350472,True,0.3151348,0.40172598
FGFBP3,1.5303756,1.3953578,-0.13501775,True,0.39057454,0.4165623
ADAM22,1.3211644,1.1861948,-0.13496959,False,0.30428675,0.3772095
DHRS3,0.8341274,0.7004305,-0.13369691,True,0.3343939,0.34158033
FTL,3.590388,3.7235596,0.13317156,False,0.07852085,0.1368552
AP1S2,2.6388597,2.5069025,-0.1319573,True,0.11781939,0.15029474
CUZD1,0.5141857,0.38442722,-0.1297585,True,0.36897147,0.29343846
NCAPD3,1.9498261,1.8202536,-0.12957251,False,0.17909798,0.2658553
SQSTM1,2.2455187,2.3750412,0.12952256,True,0.21219827,0.23940171
OTX2,0.8048261,0.6753971,-0.12942898,True,0.38356015,0.3679383
PLEKHG3,1.4731637,1.3439925,-0.12917125,False,0.28744295,0.35745135
CCDC150,0.71857107,0.59000236,-0.12856871,False,0.30393183,0.29062253
BAIAP2L1,1.1774601,1.0490981,-0.12836194,False,0.29182023,0.28459278
TYMS,2.7641926,2.892008,0.12781549,True,0.13533644,0.13781911
SAMHD1,2.0611238,1.9339787,-0.12714517,False,0.21359256,0.24512823
ZNF7,1.1118073,0.9846712,-0.12713617,False,0.2954538,0.3130783
FECH,1.0892327,1.2159349,0.12670219,False,0.30434653,0.337905
TMSB4X,4.816714,4.942498,0.1257844,True,0.07111334,0.07368361
ARL6IP1,2.493265,2.6189127,0.12564778,True,0.1954525,0.20740628
B3GNT7,0.8905921,1.0159069,0.12531483,True,0.3308464,0.39394647
ZIM3,2.5895684,2.4642875,-0.12528086,True,0.29940525,0.38392752
ADAMTS1,0.52104175,0.6461765,0.12513477,True,0.33755106,0.4080602
CANT1,0.6087663,0.48392576,-0.12484056,False,0.2659716,0.24421209
MARCKS,2.561422,2.4366603,-0.12476182,True,0.15696877,0.25231645
TTN,0.53751266,0.6620631,0.12455046,True,0.3516583,0.44532344
BBC3,0.86217064,0.98657376,0.12440312,True,0.41324192,0.47032157
IFNAR2,1.0670491,0.9427706,-0.124278545,False,0.30273944,0.34486583
PHF19,0.9169863,0.79290205,-0.124084234,False,0.32655686,0.34103206
BAX,3.2382326,3.361593,0.123360395,True,0.12913452,0.14961946
MICAL3,1.4372656,1.3143642,-0.12290144,False,0.30142865,0.31405643
WIF1,0.34661645,0.22401875,-0.122597694,False,0.19882046,0.14843747
MRAP2,0.4792837,0.6013094,0.12202573,False,0.25475198,0.2886583
SOCS3,1.0352961,0.91336805,-0.121928036,True,0.37681472,0.36720884
HS3ST3B1,0.9031196,0.78124154,-0.12187809,True,0.37384945,0.36760038
EMP3,0.8505958,0.97236365,0.12176788,True,0.398057,0.3941198
ELAVL2,1.8705974,1.9922093,0.12161195,True,0.27386892,0.26390412
AIF1,1.0458375,1.1667223,0.120884776,True,0.38020986,0.41076106
HIST1H1D,1.6205581,1.4997486,-0.120809555,True,1.2314817,1.2747452
PCDH10,0.21725935,0.338067,0.12080765,True,0.18115546,0.2993889
ETV5,1.7087905,1.8284218,0.11963129,True,0.3046062,0.31384704
PRDX6,3.2201664,3.3397958,0.11962938,True,0.105698496,0.11721529
MME,1.3252288,1.4447681,0.11953926,True,0.34176204,0.3389918
DPEP3,0.61881423,0.73835105,0.11953682,True,0.33645475,0.3941908
GCLM,1.0499717,1.1692967,0.11932504,False,0.3095199,0.395854
LMO3,1.0553634,1.1745976,0.119234204,True,0.47546923,0.5051841
TRIM5,1.4242911,1.5433885,0.11909735,True,0.34775296,0.34213114
BAG2,1.6299034,1.7488774,0.11897397,True,0.36802182,0.36715308
BST2,1.1939828,1.3126899,0.11870706,True,0.5915028,0.656347
CBS,3.19395,3.0752487,-0.11870122,False,0.0729397,0.122770615
ZNF544,1.6751323,1.5565327,-0.118599534,False,0.25436878,0.27254054
GSTO1,1.0067747,1.1251429,0.11836827,True,0.33141363,0.39217153
LARGE2,2.0422995,1.924158,-0.11814153,False,0.20472392,0.26312548
PYCR1,2.0088482,1.8908111,-0.118037105,False,0.2181221,0.263974
ATCAY,1.1623644,1.0446175,-0.11774683,True,0.36761397,0.38401893
TMEM63A,1.2596389,1.3765765,0.11693764,True,0.43629962,0.44998968
TCEAL2,1.4303241,1.3133917,-0.11693239,True,0.31630835,0.34455922
ZNF883,0.99214935,0.8753142,-0.11683518,False,0.32462168,0.33103344
ZIC5,2.8421504,2.7259502,-0.11620021,True,0.24881114,0.30736318
ITGB5,2.7919524,2.9078548,0.115902424,True,0.17067133,0.14251268
FN1,0.7990986,0.91498315,0.11588454,True,0.3614243,0.42092523
S100A10,3.133715,3.2493799,0.11566496,True,0.22135624,0.2350076
JAK1,1.0196713,1.1353054,0.115634084,False,0.3145623,0.31819502
PCSK5,0.6932874,0.80840456,0.11511719,True,0.30233088,0.34044206
CLC,0.091878235,0.20636562,0.11448738,True,0.081315875,0.23395011
CACNG7,1.0390486,0.9248224,-0.11422616,False,0.30893832,0.3246934
CST3,0.87776077,0.99195904,0.11419827,False,0.30644011,0.3450331
EPHX1,2.2547429,2.3687844,0.11404157,True,0.19147474,0.20658624
FGF13,1.6198746,1.7332444,0.11336982,True,0.42301762,0.3835581
ZNF232,1.197394,1.0848324,-0.11256158,False,0.31206933,0.32853565
SLC25A23,1.7264873,1.6141336,-0.11235368,False,0.22810747,0.28189814
PLP1,1.8993461,1.7876737,-0.1116724,True,0.23137142,0.28437078
PHLDA3,0.48402876,0.59563,0.11160123,True,0.32843012,0.4160318
BTG3,0.9029649,1.0140728,0.111107886,False,0.33080846,0.3552089
C1S,0.48585182,0.5963804,0.11052859,False,0.25759572,0.3013105
ZNF532,2.9515648,2.8410797,-0.11048508,False,0.11774456,0.17374428
LEFTY1,0.40002847,0.5100432,0.11001474,True,0.4464706,0.5935354
CCDC80,0.35170606,0.46161553,0.109909475,True,0.22674982,0.31175065
PEG10,1.4632176,1.5730804,0.109862804,True,0.36439523,0.4052286
TBL2,1.1782382,1.0684655,-0.10977268,True,0.34968928,0.34998223
GSE1,2.1676457,2.058138,-0.1095078,False,0.2062305,0.24977508
MT-ND3,1.7554234,1.8648312,0.10940778,True,0.78610706,0.8319816
ZMYND11,0.95417833,0.84524494,-0.10893339,False,0.3117444,0.32340205
C9orf135,1.0159495,1.1241273,0.10817778,True,0.37919602,0.39899766
EPS8L2,0.89624125,1.0040208,0.10777956,True,0.37565914,0.40566704
SPTSSB,0.90169275,1.0092845,0.10759175,True,0.38103697,0.42173466
SRD5A3,1.545329,1.6522517,0.106922746,True,0.3236345,0.3027396
IDS,1.0593306,1.1659133,0.10658276,True,0.36084083,0.382093
PRKCB,0.87092805,0.76494646,-0.10598159,True,0.3349577,0.3354567
SEH1L,2.6854386,2.5798628,-0.1055758,False,0.11391728,0.14748484
CRYBB1,0.3652321,0.470787,0.10555488,True,0.22053923,0.26853108
PPFIBP2,0.43852255,0.5440309,0.10550836,False,0.24186124,0.3040085
COA7,1.2471433,1.1416852,-0.10545802,False,0.29798418,0.331073
GPC4,2.8069289,2.7015028,-0.10542607,True,0.19444703,0.23675443
SNCG,0.37053654,0.4758101,0.105273575,False,0.2048056,0.24792413
EPCAM,3.0536776,3.158882,0.105204344,True,0.13687041,0.1396728
PRKAR1B,2.0850658,1.9800961,-0.10496974,False,0.20193557,0.2348164
CABYR,0.44969955,0.55461764,0.10491809,False,0.24269827,0.30204666
SPART,1.7157133,1.8205999,0.10488665,True,0.31890935,0.36594075
DSEL,1.012653,1.1171554,0.10450244,True,0.34436905,0.3693222
HK2,2.1755934,2.0711496,-0.10444379,True,0.2682932,0.30932942
TOB1,1.5985638,1.7029868,0.104423046,True,0.37077996,0.3382998
PLK2,0.31356177,0.41777596,0.10421419,True,0.21140723,0.28453553
IDO1,1.2041372,1.3078722,0.10373497,True,0.43108737,0.4103974
STK17A,1.0407369,1.1442546,0.10351765,True,0.3449228,0.37518564
AUTS2,1.9910005,1.887817,-0.10318351,True,0.22192383,0.23616365
GNAI1,0.8475917,0.9506924,0.10310072,False,0.30594254,0.31424034
ZNF512B,1.4345638,1.3315352,-0.103028536,False,0.29281712,0.30960938
TRIM54,0.29258627,0.3951221,0.102535844,False,0.17559783,0.2683412
ZNF664,1.4699457,1.367596,-0.10234964,True,0.29164624,0.31170866
SIT1,0.20979142,0.10794468,-0.10184674,False,0.1301681,0.07126313
NRK,0.40925148,0.5109891,0.10173765,True,0.26865077,0.35395372
ACSBG1,0.4829698,0.5843844,0.10141459,True,0.27401987,0.32269928
ATP1B1,1.5513593,1.652259,0.1008997,False,0.26500797,0.24331298
BNC2,0.7560571,0.6553665,-0.1006906,False,0.31733847,0.3156704
RGMA,1.4306248,1.3299497,-0.100675106,False,0.28888482,0.34052837
CENPV,3.4915988,3.3911545,-0.10044432,True,0.08374357,0.16145918
HAPLN3,1.6817214,1.5816282,-0.100093246,True,0.28374058,0.34555447
CHST9,0.94160825,1.0416921,0.10008389,True,0.35677353,0.41414845
LIN28A,4.63931,4.539226,-0.10008383,False,0.036728293,0.052978836
