gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DHCR24,3.6134932,0.6965773,-2.916916,True,0.08693754,0.38021162
ACSS2,0.8820951,1.6667254,0.7846303,True,0.5769565,0.6380473
HMGCS1,3.5301554,4.1190357,0.5888803,True,0.36374408,0.26171058
ACAT2,1.7601122,2.2646127,0.5045005,True,0.3223385,0.22844882
MVD,1.8713977,2.3724205,0.5010228,True,0.34796846,0.30858785
HMGCR,3.3971014,3.8287222,0.43162084,True,0.26202345,0.2185443
MSMO1,2.504345,2.8947427,0.3903978,True,0.36301106,0.27850553
FGFBP3,1.5303756,1.9000144,0.3696388,True,0.39057454,0.32491845
CYP51A1,2.820574,3.1870325,0.36645842,True,0.19194041,0.14560905
INSIG1,0.85269517,1.2033812,0.350686,True,0.41963935,0.43790218
FASN,2.8032582,3.145473,0.34221482,True,0.165525,0.13507688
DHCR7,2.2212503,2.563429,0.34217882,True,0.27521834,0.23559235
LSS,1.536261,1.8507383,0.31447732,True,0.30171183,0.24733096
IDS,1.0593306,0.7476888,-0.3116418,True,0.36084083,0.33416587
SC5D,2.5574994,2.8689313,0.31143188,True,0.2014049,0.18400879
IDI1,1.1688491,1.4756398,0.3067907,True,0.37462935,0.34363055
SCD,4.571026,4.871429,0.30040312,False,0.08660226,0.07019654
ELOVL6,2.2672312,2.5664191,0.2991879,True,0.17385457,0.13934694
MVK,1.1645757,1.4594337,0.29485798,True,0.44198978,0.45441902
ACLY,2.9914157,3.2840147,0.29259896,True,0.103945665,0.09938501
TMEM97,2.4915624,2.7822697,0.29070735,True,0.17607263,0.15887226
LDLR,1.7909238,2.077818,0.28689408,True,0.40857795,0.33621073
ERG28,2.6217284,2.9079041,0.28617573,True,0.16492844,0.1573427
TM7SF2,1.1138376,1.3963807,0.28254306,True,0.32208908,0.30783522
PRUNE2,0.7189,0.9977542,0.2788542,True,0.33920965,0.38861248
FADS2,4.2200174,4.4940615,0.27404404,True,0.07180851,0.062341716
FDFT1,1.5083088,1.7794329,0.27112412,True,0.3391564,0.30184916
PLA2G3,1.2077777,1.4758806,0.26810288,True,0.37771723,0.3445488
STARD4,1.1796104,1.4434125,0.26380217,True,0.3958909,0.3885906
PEG10,1.4632176,1.7234429,0.2602253,True,0.36439523,0.33840692
NSDHL,1.9035813,2.1603384,0.25675714,True,0.25716972,0.23626839
FABP3,0.8308931,1.087526,0.25663286,True,0.3531812,0.39936963
AACS,2.4089787,2.6574955,0.2485168,True,0.16556804,0.14463381
SLC25A1,2.5149083,2.7592916,0.24438334,False,0.13782085,0.10600298
CYB5B,3.1782959,3.4210389,0.24274302,True,0.09055499,0.08732065
PNPLA3,0.95375115,1.1957964,0.24204522,True,0.33722576,0.32500106
PCSK9,0.37149176,0.59948665,0.22799489,True,0.24954328,0.35136634
ACSL4,1.589752,1.8120868,0.22233486,True,0.3059177,0.28622425
ALDOC,1.3403387,1.5616083,0.22126961,True,0.36460003,0.35179728
FABP7,0.5414451,0.7588593,0.2174142,True,0.28100306,0.32546362
SQLE,0.8747763,1.0912375,0.21646124,True,0.34441066,0.3419073
DBI,2.2247255,2.4351537,0.21042824,False,0.14477168,0.12618175
HES6,0.5632351,0.77247435,0.20923924,True,0.28999573,0.3476709
EBP,1.9508318,2.15683,0.2059983,True,0.23064974,0.21509653
PCYT2,1.2168454,1.4215755,0.20473015,True,0.3310134,0.3115661
UCP2,1.7872043,1.9901334,0.20292914,True,0.28364074,0.24589491
FDPS,0.659155,0.8560628,0.19690782,False,0.28893372,0.32992443
CENPI,1.4667261,1.6594111,0.19268501,True,0.324934,0.34397084
TUBA1A,0.5836415,0.769345,0.18570346,False,0.27232304,0.2980256
