gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DHX36,2.7448986,0.31579673,-2.429102,False,0.095874876,0.28617808
PHLDA3,0.48402876,1.7576844,1.2736557,True,0.32843012,0.5474916
RYBP,1.9923717,3.1301458,1.1377741,True,0.19456258,0.08976672
MED10,1.3978969,2.4992528,1.1013559,False,0.28918782,0.14468327
KIF18B,0.8683053,1.9041322,1.0358269,False,0.32021758,0.1946544
MEX3B,0.74400705,1.6846608,0.94065374,True,0.3606949,0.32365242
HEXIM1,1.8267198,2.7315922,0.9048724,True,0.2798919,0.14263822
SPR,0.7583506,1.6572535,0.8989029,True,0.33505544,0.3034672
ID3,1.931087,1.0411806,-0.8899064,True,0.3423298,0.37178066
DUSP7,1.5561894,2.426243,0.87005365,True,0.29362613,0.17821729
C19orf47,0.94146293,1.8048286,0.8633657,False,0.29091892,0.20524624
LDB1,2.5566175,3.4192286,0.86261106,False,0.11210536,0.056509834
KAT5,0.63525945,1.4783272,0.8430677,False,0.2741241,0.29861993
MTA3,3.0260386,3.8663745,0.84033585,True,0.13999781,0.06835145
GRIPAP1,1.4412115,2.2671173,0.8259058,False,0.27884772,0.17090741
PCDH18,1.5278986,2.345269,0.8173704,True,0.4877093,0.40812406
TERF2,1.8225375,2.6337185,0.81118095,False,0.20202139,0.11076767
ILRUN,2.1337395,2.9305334,0.79679394,False,0.1390622,0.07880562
TAF1D,2.6836004,3.4640613,0.78046083,True,0.12864071,0.07051856
MANF,3.0428514,3.8167026,0.77385116,True,0.17066789,0.102735884
IVNS1ABP,3.4481068,2.6784303,-0.76967645,True,0.09558304,0.1753991
DYNLL2,2.7776465,3.5465481,0.7689016,False,0.110120624,0.066692
SENP3,1.9674206,2.7343442,0.76692367,False,0.17011814,0.09777234
TRIP10,2.569164,3.3291123,0.75994825,False,0.13169809,0.09615781
ZBTB7B,0.8916235,1.6451544,0.75353086,False,0.3237516,0.2893965
FZD5,1.1713068,1.9199588,0.748652,True,0.38521338,0.3164359
PDZRN3,0.8858658,1.630327,0.7444612,True,0.37052912,0.3177752
ZBTB18,0.6532502,1.3973887,0.7441385,False,0.28061637,0.28870228
RYR1,0.42642382,1.1652158,0.73879206,False,0.23216559,0.34335414
DDX42,0.8775287,1.6115136,0.7339849,False,0.29735902,0.28137076
