gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ARHGAP23,2.249648,0.8146605,-1.4349875,True,0.246991,0.4425897
BCL10,1.5541974,0.257736,-1.2964615,False,0.2525605,0.24937066
DLG5,1.3751425,0.11334403,-1.2617984,False,0.27628446,0.08789323
JPH4,1.3973159,0.639062,-0.7582539,True,0.34740102,0.41057545
SCGB3A2,2.1600077,1.4478604,-0.71214736,True,1.0063828,1.0363647
SGCB,1.8225739,1.1806746,-0.64189935,False,0.22761609,0.3806194
FTH1,1.9033648,1.3449183,-0.5584465,True,0.25653067,0.30420992
RGS5,1.525954,0.9717753,-0.5541787,True,0.48766956,0.46681035
GPC1,1.4775811,0.94089055,-0.5366906,False,0.2727959,0.4232778
PKP3,0.804897,0.32096294,-0.48393407,False,0.329147,0.21781553
NOVA2,1.3086084,0.83221257,-0.47639585,False,0.3066825,0.38931942
CCN2,1.3984216,0.95409083,-0.4443308,True,0.8199761,0.7413521
SORD,0.45884922,0.053141057,-0.40570816,False,0.22709128,0.039157018
TEK,1.5910075,1.1901307,-0.40087676,True,0.4462709,0.5299583
VIM,2.7251427,2.3439047,-0.38123798,True,0.5895071,0.6279351
SYT17,0.42297345,0.04770833,-0.37526512,False,0.2324691,0.03590116
PRNP,0.57603633,0.20543906,-0.37059727,True,0.2881452,0.13299042
DRAXIN,1.4205942,1.0523235,-0.36827075,False,0.30492154,0.3505537
CCN1,0.98059136,0.6271574,-0.35343397,True,0.5011432,0.39512658
RIPOR2,1.1181024,0.76631546,-0.35178697,True,0.4393332,0.4201547
POLR2G,2.9203691,2.5693986,-0.3509705,False,0.09747842,0.21626459
AMOTL2,1.0679373,0.72237957,-0.3455577,True,0.48965907,0.45165554
G6PC3,2.2132967,1.8856741,-0.32762253,False,0.16793701,0.31558833
FGF13,1.6198746,1.2927071,-0.3271675,True,0.42301762,0.46950462
NUFIP1,1.5433562,1.2214628,-0.32189333,False,0.24597375,0.34222332
H2AFY2,1.102345,1.4151852,0.31284022,True,0.47343355,0.49909866
APELA,1.5670142,1.2545242,-0.31249,True,0.4344417,0.43252623
ISYNA1,1.6589198,1.3475845,-0.31133533,False,0.25051764,0.33080485
ERO1A,2.1218462,1.814868,-0.30697823,True,0.23829432,0.33634344
CARMIL2,1.2063643,0.90457547,-0.3017888,True,0.33780468,0.36320204
SLC7A5,2.7678742,2.4664855,-0.30138874,True,0.20752229,0.29318586
SELENOO,0.8899896,0.5896695,-0.3003201,False,0.30828008,0.31378892
FRAT2,1.6338485,1.3348117,-0.29903686,True,0.30995584,0.3718576
VSNL1,2.1774752,1.8797216,-0.29775357,True,0.21121545,0.3191769
TTC39C,1.9046897,1.6182222,-0.28646743,True,0.34991878,0.33393934
ADCY2,1.7650582,1.496306,-0.26875222,True,0.41020232,0.4179909
SOCS3,1.0352961,0.7675185,-0.26777756,True,0.37681472,0.36520055
DZIP1,0.9024369,0.6377737,-0.26466322,False,0.30703187,0.29754412
SESN1,1.3295916,1.5936319,0.26404023,True,0.42911422,0.55387366
LHFPL6,0.73020524,0.47380632,-0.25639892,True,0.36257234,0.3048178
SRM,3.3733428,3.1186178,-0.25472498,False,0.06993628,0.17966156
CRABP2,2.2048934,1.9510889,-0.25380445,True,0.37365532,0.42268232
PDLIM2,1.4173461,1.1644295,-0.25291657,False,0.2864623,0.34852138
CCDC141,0.8916808,0.6407304,-0.2509504,True,0.44828832,0.3957243
WFDC2,2.037881,1.79351,-0.24437094,True,0.29843947,0.32338718
MT1X,1.2593601,1.0157996,-0.24356043,True,0.58770955,0.5672704
PTBP2,2.210782,2.4542432,0.24346113,False,0.18469141,0.15866917
MAD2L2,4.089801,3.847115,-0.2426858,False,0.047612023,0.06569593
AP1G2,0.89146745,1.1299905,0.238523,False,0.30865884,0.31126362
TUNAR,1.4096617,1.1748741,-0.23478758,True,0.31986284,0.33543032
TUBB2A,3.9533803,3.720965,-0.23241544,True,0.1378518,0.1634424
TAGLN,2.3409328,2.1092389,-0.23169398,True,0.6389723,0.68024904
ANXA2,2.3120353,2.0866752,-0.22536016,True,0.22942683,0.298486
JDP2,0.87636673,0.6516779,-0.22468883,True,0.35009328,0.3282126
PCOLCE,1.3033357,1.0798606,-0.2234751,False,0.30327117,0.33794478
BST2,1.1939828,1.4171375,0.22315466,True,0.5915028,0.55686027
ZBTB3,2.3672287,2.1444623,-0.2227664,False,0.1628862,0.23419333
PKP2,1.0061728,0.78427,-0.22190279,False,0.31196514,0.32380185
TPM1,3.4666436,3.247068,-0.21957564,True,0.1359563,0.15045492
SORBS2,1.0052477,0.7867021,-0.21854562,True,0.43276674,0.40267354
FDXR,1.2778784,1.4943761,0.21649766,True,0.37710968,0.49720913
RAB17,1.5537531,1.3374357,-0.21631742,True,0.5508224,0.5596686
CAPN2,1.0743307,1.2900392,0.2157085,True,0.3748314,0.34983292
SLC7A3,2.1135912,1.8995838,-0.21400738,True,0.23265243,0.30634457
PHLDA3,0.48402876,0.69736266,0.2133339,True,0.32843012,0.5272536
KBTBD8,1.2658588,1.0554265,-0.21043229,True,0.35760438,0.36501983
DCLK1,1.713339,1.9229454,0.20960641,True,0.28653774,0.26161325
RASGRF2,0.75367785,0.5448566,-0.20882124,True,0.38033068,0.31540528
IQSEC2,1.9034958,1.6949495,-0.20854628,True,0.3713815,0.43632331
MOV10,1.6590405,1.450844,-0.2081964,True,0.2772971,0.28721842
COL4A1,1.7253038,1.5181257,-0.20717812,True,0.25976762,0.31611964
FAM189A2,0.6100841,0.4033486,-0.20673552,True,0.30761236,0.2357998
PTPN14,2.0034585,1.8002783,-0.2031802,False,0.20717953,0.25164208
CDKN1A,0.13551252,0.33595216,0.20043965,True,0.1684509,0.4755448
TFRC,2.9828534,2.7834525,-0.1994009,True,0.15745527,0.23810112
SDC2,1.8838689,1.6848985,-0.19897044,True,0.23987752,0.29946315
GLIPR2,0.2802226,0.08233508,-0.19788751,False,0.16309632,0.057579905
