gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DNAJA3,2.3749433,0.28185108,-2.0930922,False,0.14185227,0.27419966
DDIT4,0.8543927,2.560746,1.7063532,True,0.7079657,0.39108247
MEF2B,0.32470265,1.771353,1.4466504,True,0.20306997,0.5372354
ATF5,0.9149669,2.2797112,1.3647444,True,0.44021747,1.0579723
INHBE,0.40389985,1.7337494,1.3298495,True,0.249757,0.4169088
TRIB3,0.47223082,1.7506167,1.2783859,True,0.25069413,0.6019928
CHAC1,0.70487297,1.9730533,1.2681804,True,0.38694882,0.50827146
PCK2,2.0146055,3.2385159,1.2239103,True,0.285465,0.12130576
STC2,2.132497,3.324782,1.1922848,True,0.37043837,0.2887035
TAC1,0.20844011,1.3779043,1.1694642,True,0.14300334,0.77800655
ASS1,1.6960539,2.8555036,1.1594497,True,0.34041834,0.20455348
HMGCS1,3.5301554,2.4059649,-1.1241906,True,0.36374408,0.4070315
SESN2,1.1401006,2.2476163,1.1075157,True,0.3993862,0.43773204
SLC7A11,2.2569587,3.3356605,1.0787017,True,0.3321765,0.16076784
G0S2,0.04369306,1.0405229,0.99682987,True,0.031034445,0.5198615
CALCA,0.107528865,1.0508299,0.943301,True,0.07801358,0.52729803
H1F0,0.903924,1.8389986,0.93507457,True,0.8330141,1.1406394
PSAT1,3.8175943,4.719785,0.9021909,True,0.09711025,0.09832664
CTH,1.3418531,2.2308142,0.8889611,True,0.32998702,0.21677731
AKNA,0.9595727,1.8375238,0.87795115,False,0.30131152,0.33209178
SLC34A2,0.35625184,1.2287049,0.8724531,True,0.22300075,0.41093922
MT-ND3,1.7554234,0.88385576,-0.87156767,True,0.78610706,0.92926455
MT-ND4,1.8822018,1.0194533,-0.8627485,True,0.9863533,1.1019766
IFRD1,2.5512347,3.3894696,0.8382349,True,0.24225035,0.13582672
NHSL1,1.0050527,1.8107741,0.8057214,False,0.31409183,0.19729613
VLDLR,1.3306402,2.1328073,0.80216706,True,0.42473996,0.24161063
SHMT2,1.9814478,2.7824419,0.80099404,True,0.205803,0.12024474
VEGFA,1.5524551,2.3519073,0.7994522,True,0.3067676,0.21081172
TSC22D3,0.37244877,1.1390374,0.76658857,True,0.21085794,0.33755168
MT-ATP6,1.7147563,0.95986795,-0.7548883,True,0.97399217,1.0171037
MSMO1,2.504345,1.7830547,-0.72129023,True,0.36301106,0.26035047
SLC7A5,2.7678742,3.4884782,0.72060394,True,0.20752229,0.1787133
MT-CO2,1.645371,0.9341873,-0.71118367,True,0.917779,1.0786383
TSEN15,0.96855,1.6707118,0.7021617,False,0.29410607,0.34769595
GPT2,1.7932483,2.478371,0.6851226,True,0.22261675,0.15918978
CEBPG,2.2168837,2.8896666,0.6727829,False,0.15180534,0.17416711
ALDH2,0.9392132,1.6113846,0.6721714,False,0.30306822,0.23349631
