gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DPPA5,0.10981272,2.769439,2.6596262,True,0.078594565,0.45647332
DAZL,0.1148902,2.7440464,2.6291564,True,0.08214115,2.03548
DNMT1,2.6536753,0.43729532,-2.2163801,False,0.101893045,0.3440468
DNAJC15,0.004440382,1.918315,1.9138746,True,0.00311022,0.43496603
PKIB,0.045251798,1.8839781,1.8387263,True,0.052493967,0.5289677
MAEL,0.01053536,1.519715,1.5091796,True,0.008187404,0.5816148
CCDC152,0.08378693,1.4890436,1.4052566,True,0.066524774,0.33971772
PIWIL2,0.11353024,1.5027303,1.3892,True,0.10535531,0.44933823
PNMA5,0.069302596,1.3815775,1.3122749,True,0.049452618,1.620388
LGALS1,0.5924107,1.8703461,1.2779354,True,0.3181264,0.43440568
KHDC3L,0.010146971,1.2380266,1.2278796,True,0.007018493,0.7722665
PUS7L,0.00074238726,1.1897682,1.1890258,True,0.0005590369,0.34251234
PEG10,1.4632176,2.6228333,1.1596156,True,0.36439523,0.29426825
HIST1H2BA,0.016472232,1.1748122,1.15834,True,0.023858948,2.1712263
WDR72,0.124432094,1.2324376,1.1080055,False,0.086339444,0.36382824
PLPPR3,2.4174502,1.3160791,-1.101371,True,0.21403643,0.5129666
ZFP57,0.018657459,1.1061532,1.0874958,True,0.013354597,0.4350952
CEBPZOS,2.2127926,3.292174,1.0793815,True,0.32092294,0.15867102
ZNF560,0.0013002768,1.0428684,1.041568,True,0.00090087927,0.36828294
EXOC3,1.7234676,0.7257701,-0.9976975,False,0.2283711,0.40005788
FAM20C,1.3905388,0.41274935,-0.97778946,True,0.34597015,0.2952651
GTSF1,0.1259788,1.0970948,0.97111595,True,0.091054276,0.55902344
DMRTB1,0.015347329,0.9772318,0.9618845,True,0.010672041,0.5686255
KRBOX1,0.0016423166,0.93002236,0.92838,True,0.0011535607,0.44678524
EPPK1,1.5018363,0.57423615,-0.92760015,True,0.36317953,0.40642512
SALL3,2.0745156,1.1487169,-0.92579865,True,0.3285634,0.63392156
PCDHB2,1.393007,0.49239638,-0.9006107,False,0.29952958,0.29049072
MAGEB2,0.0014792836,0.88356817,0.8820889,True,0.0011478878,0.6193839
CBR1,1.6964686,2.5781367,0.8816681,True,0.29841512,0.24873203
NTS,1.4767022,2.3423328,0.8656306,True,0.7286999,0.7086931
H1F0,0.903924,1.768181,0.864257,True,0.8330141,1.2770325
ANGPT1,0.19390085,1.0423995,0.8484987,True,0.13224263,0.47023642
PCLAF,2.9010098,2.058726,-0.8422837,True,0.13584897,0.31507963
GNG4,2.1171973,1.2843454,-0.8328519,False,0.19509433,0.37494963
SCGB3A2,2.1600077,2.990459,0.83045125,True,1.0063828,0.20029172
UHRF1,2.392236,3.2025483,0.8103123,True,0.2816612,0.22175646
HIST1H2AA,0.00822037,0.81367,0.8054496,True,0.010348241,1.4389288
CTCFL,0.053424165,0.85051036,0.7970862,True,0.042057455,0.4979243
GPAT2,0.013659781,0.80101794,0.78735816,True,0.009725713,0.39032418
