gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DZIP3,1.4741873,0.10098876,-1.3731985,False,0.27220827,0.08192311
CIP2A,1.1719502,0.08040092,-1.0915493,False,0.2785984,0.05993549
PEG3,0.97456473,0.8201611,-0.15440363,True,1.0025717,0.935038
COL1A2,1.968163,1.845538,-0.12262499,True,0.27713346,0.30091187
YY1,1.1997261,1.0921689,-0.10755718,False,0.28963208,0.31717503
STAR,0.40926105,0.5148793,0.10561824,False,0.23262887,0.2663507
SCGB3A2,2.1600077,2.2613373,0.101329565,True,1.0063828,0.9400287
SMARCA1,1.1215684,1.0321468,-0.08942163,False,0.29281354,0.31971827
MAMDC2,0.997529,1.0859778,0.08844882,True,0.3517686,0.35951054
ZFAT,0.4486774,0.3645138,-0.08416358,False,0.23747659,0.19961937
GLCE,0.93229353,0.8491243,-0.08316922,False,0.33794034,0.33330777
SULF2,0.48579115,0.5663063,0.080515146,False,0.2485435,0.26973385
FBF1,0.8346136,0.75503266,-0.07958096,True,0.33545488,0.31180775
CORO2A,1.4832922,1.4038448,-0.07944739,True,0.35276833,0.38340318
APBA2,0.8478446,0.769109,-0.07873559,False,0.3171462,0.33736253
FGF13,1.6198746,1.5416003,-0.07827425,True,0.42301762,0.47610468
PPCS,0.9318097,0.85388243,-0.07792729,False,0.29769236,0.304312
IGSF9,0.77595156,0.6983281,-0.07762349,False,0.29631,0.2844765
HDHD3,0.49272028,0.41543955,-0.07728073,False,0.23464257,0.20367363
DPH2,1.0868907,1.163714,0.076823354,False,0.2906717,0.29125267
MXD4,1.2854006,1.2087488,-0.07665181,True,0.33491,0.37576482
PARP8,1.0678738,0.9916831,-0.07619071,False,0.30425638,0.332993
TAB1,1.0628829,1.1389467,0.07606375,False,0.30746838,0.28052676
RNF11,1.547753,1.4716964,-0.0760566,False,0.25509998,0.24346803
PCYT1A,1.235276,1.1598775,-0.075398445,False,0.29995736,0.32222667
GHITM,1.860539,1.7853514,-0.075187564,False,0.1918072,0.21442172
YIPF2,0.6951481,0.621383,-0.0737651,False,0.2733467,0.27484357
SLC43A2,1.0212051,1.0942051,0.07300007,True,0.34650713,0.32262427
TBC1D24,0.7938497,0.72100633,-0.07284337,False,0.29779875,0.30193785
MAPKAP1,2.0135367,2.0860105,0.072473764,False,0.17407264,0.13459897
BLCAP,1.2397462,1.1676544,-0.07209182,False,0.28790045,0.32813588
ARHGAP44,0.9886061,1.0603076,0.07170153,False,0.30873972,0.30612576
PIK3CA,0.6227938,0.6937988,0.07100499,False,0.26984516,0.2723848
TCAF1,1.3535175,1.2825876,-0.070929885,True,0.3327791,0.3516795
RASL10B,0.7784766,0.70766884,-0.070807755,False,0.29297322,0.29256082
