target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
EID2,non-targeting,LZIC,5.4521422,5.2642174,0.0356985367834568,1.0356985330581665,0.0058604068130768,23328816.0,0.0336668007055254
EID2,non-targeting,TMEM51,0.3711694,0.32876396,0.1289844065904617,1.128984451293945,0.0077524474469033,23156976.0,0.0427721238449839
EID2,non-targeting,ZBTB17,1.1645293,1.0825709,0.075707197189331,1.075707197189331,0.0078422243702925,23281205.0,0.043187492369397
EID2,non-targeting,FBXO42,2.1488044,2.2714782,-0.0540061332285404,0.9459938406944276,0.0062410414681415,21230885.5,0.0355499873172161
EID2,non-targeting,PADI2,0.30620566,0.3640738,-0.1589462161064148,0.8410537838935852,0.0015730642103074,21227071.5,0.0106395743780177
EID2,non-targeting,PDIK1L,0.3033225,0.35476148,-0.1449959725141525,0.8550040125846863,0.0024148712776435,21260296.5,0.0155574237881279
EID2,non-targeting,CATSPER4,0.058026537,0.039137233,0.48264279961586,1.4826427698135376,0.0018950886015166,22755130.5,0.0125595178204667
EID2,non-targeting,PIGV,0.8885883,0.96667963,-0.0807830467820167,0.9192169308662416,0.0075428616859113,21271249.0,0.0417798310775529
EID2,non-targeting,DNAJC8,11.6541815,11.338055,0.0278819277882576,1.0278819799423218,0.0082736555002198,23284943.0,0.0451922009176067
EID2,non-targeting,YARS,10.5099325,10.187038,0.0316965617239475,1.0316965579986572,0.0013535229373278,23500379.5,0.0093096646065336
EID2,non-targeting,PABPC4,10.756194,10.293795,0.0449202172458171,1.0449202060699463,0.0001324657656234,23736361.0,0.0011264491294707
EID2,non-targeting,CDKN2C,0.006592694,0.003263227,1.0202990770339966,2.020298957824707,0.0027853414007359,22408178.5,0.017644316536293
EID2,non-targeting,UBE2U,0.0008322574,2.6067337e-05,30.92721366882324,31.92721176147461,0.0019322966258681,22293618.0,0.0127775396509707
EID2,non-targeting,BCL10,3.918446,3.7482345,0.0454111285507679,1.0454111099243164,0.0055427236212837,23335747.0,0.0321042810237101
EID2,non-targeting,HENMT1,0.29648328,0.2557465,0.1592857092618942,1.1592856645584106,0.0022542953458051,23223900.5,0.0146312049247903
EID2,non-targeting,TAF13,10.479401,10.063664,0.0413106195628643,1.0413106679916382,0.0016079892641161,23481297.0,0.0108500867940957
EID2,non-targeting,GNAT2,0.022638073,0.01308469,0.7301191687583923,1.730119228363037,0.0006630058694908,22584297.0,0.0048940444149675
EID2,non-targeting,WDR77,8.420426,8.121735,0.036776840686798,1.0367769002914429,0.0034208185419731,23394424.5,0.0211280001566313
EID2,non-targeting,ATP5PB,17.29993,16.897959,0.0237881876528263,1.0237882137298584,0.0078065282935536,23292446.0,0.0430171178724753
EID2,non-targeting,CD2,0.0007337489,3.9848714e-05,17.41336441040039,18.41336441040039,0.0019322966258681,22293618.0,0.0127775396509707
EID2,non-targeting,REG4,0.0026219443,0.00076112757,2.4448158740997314,3.4448158740997314,0.0028107554938996,22345451.0,0.0177852750803915
EID2,non-targeting,FCGR1B,0.000816966,1.6995928e-05,47.068336486816406,48.06834030151367,8.82801487456e-05,22294201.0,0.000775105110729
EID2,non-targeting,SCNM1,4.0068655,3.7825356,0.0593067668378353,1.0593067407608032,0.0047066460120572,23355921.5,0.0278723556308392
EID2,non-targeting,LCE1C,0.00038227683,3.6934784e-05,9.350049018859863,10.350049018859863,0.0019345553737191,22293616.0,0.0127881105469056
EID2,non-targeting,ILF2,23.166866,22.665699,0.02211126498878,1.0221112966537476,0.0051687534278416,23344423.5,0.0302300554271816
EID2,non-targeting,LMNA,3.9194741,4.232323,-0.0739189907908439,0.9260810017585754,5.210976944412205e-06,20534419.5,5.5157463354e-05
EID2,non-targeting,OR10T2,0.00060259004,0.0,,20.0,1.0691797069596701e-08,22294784.0,1.5356420199337054e-07
EID2,non-targeting,OR10K2,0.00038258755,1.9255103e-05,18.86941146850586,19.869409561157227,8.83578076954e-05,22294200.0,0.0007755777336273
EID2,non-targeting,USF1,4.82057,4.5283003,0.0645429193973541,1.0645428895950315,8.43359804371e-05,23778359.5,0.0007428117922302
EID2,non-targeting,PBX1,10.831386,11.526971,-0.060344148427248,0.9396558403968812,9.694704017719632e-09,20083459.5,1.398177951876181e-07
EID2,non-targeting,SELE,0.00047514949,1.7594672e-05,26.005306243896484,27.005306243896484,8.83578076954e-05,22294200.0,0.0007755777336273
EID2,non-targeting,FMO2,0.0007922081,0.00012090419,5.55236291885376,6.55236291885376,0.0014990250366291,22309199.0,0.0101944829212552
EID2,non-targeting,TNR,0.0035347599,0.0013540962,1.610419988632202,2.610419988632202,0.0025979450687933,22366064.0,0.0165951267820035
EID2,non-targeting,PPFIA4,0.15729484,0.20365253,-0.2276313006877899,0.7723686695098877,0.0027972319199018,21446235.5,0.0177094136233676
EID2,non-targeting,NUAK2,0.7481835,0.67734283,0.1045861169695854,1.104586124420166,0.0088302300963707,23235405.5,0.0477571498795629
EID2,non-targeting,MAPKAPK2,3.5040252,3.300662,0.061612844467163,1.061612844467163,0.0031343848986128,23404687.0,0.0195675836355515
EID2,non-targeting,FCAMR,0.00058879354,0.0,,20.0,1.0691797069596701e-08,22294784.0,1.5356420199337054e-07
EID2,non-targeting,USH2A,0.005354897,0.001508125,2.550698518753052,3.550698518753052,0.0016762349978747,22377788.5,0.0112609906468731
EID2,non-targeting,RBM34,0.23813011,0.27938607,-0.1476665139198303,0.8523334860801697,0.0077877140138885,21430884.5,0.0429289624618757
EID2,non-targeting,FH,10.823969,10.518775,0.0290142055600881,1.029014229774475,0.0009805292728607,23535415.5,0.0069727440228607
