gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EID2,1.3225607,0.08829016,-1.2342705,False,0.2770819,0.072657414
LIPA,1.2062305,0.22119108,-0.9850395,True,0.3482982,0.15759297
TUBB2A,3.9533803,3.3627892,-0.5905912,True,0.1378518,0.23848587
LIN28B,2.3756523,2.1147032,-0.26094913,False,0.14289002,0.21004373
TUBB2B,4.722014,4.477071,-0.24494314,False,0.0536124,0.06492746
ADAMTS7,1.3927019,1.1913693,-0.20133257,False,0.30113062,0.3183964
KCNMB4,1.1554613,0.99003524,-0.16542608,False,0.31417516,0.3041861
TFIP11,1.0084183,0.8473602,-0.16105813,False,0.30038953,0.31041214
CCDC186,1.3308789,1.1737739,-0.15710497,False,0.28750566,0.29869416
PMS1,1.6326768,1.4887038,-0.143973,False,0.2501807,0.26365042
TMC6,0.3888448,0.2600802,-0.1287646,False,0.20806769,0.1504795
IGFBP2,3.052772,2.9567564,-0.09601569,True,0.26564616,0.2109798
GRPR,0.8029942,0.7105982,-0.09239602,True,0.6066761,0.5433959
DLL3,0.21254694,0.13276851,-0.07977843,False,0.1289881,0.08460727
SELENOV,0.41260532,0.33802408,-0.074581236,False,0.2158751,0.18220443
PLCD1,0.6203952,0.5489486,-0.0714466,True,0.29527605,0.28244275
SERPINE2,1.5028746,1.4322908,-0.07058382,False,0.2491868,0.24727196
KDM3A,1.2256038,1.1558908,-0.069713,True,0.39881065,0.3872661
AASS,3.9314687,3.8622253,-0.06924343,True,0.25482205,0.26460722
ANOS1,2.2613657,2.1931815,-0.06818414,True,0.21193548,0.2092929
ZHX2,1.0171258,1.0838292,0.06670332,True,0.35469362,0.32857808
INSIG2,0.67644906,0.61175394,-0.06469512,True,0.38391432,0.33601487
GPR143,1.1005427,1.1638054,0.0632627,True,0.37836063,0.36807817
EDNRB,1.2057792,1.1425506,-0.06322861,True,0.57471013,0.49845743
LMNA,1.6511865,1.5895879,-0.06159854,True,0.2810789,0.2672254
SLC16A3,0.33729532,0.27816266,-0.059132665,True,0.50083923,0.38512167
TTC7B,0.740877,0.6820566,-0.058820367,False,0.29749304,0.28647968
RAPGEF1,1.3194768,1.3774565,0.057979703,False,0.28747487,0.25147313
MAST3,0.78090405,0.7229928,-0.057911277,False,0.29483888,0.29399168
EXD2,1.2053251,1.1481799,-0.057145238,False,0.29614726,0.3157602
PBX1,2.5235538,2.466446,-0.057107925,False,0.11030254,0.115343094
GNPDA2,0.5230154,0.5797751,0.056759715,False,0.2518633,0.25403926
HACE1,1.005386,0.9492537,-0.056132317,False,0.29855007,0.2906062
UBXN6,1.0787284,1.1348327,0.056104302,False,0.30811602,0.28773138
MYO6,0.9117404,0.85572433,-0.056016088,True,0.32478786,0.31626725
SLC4A3,0.6400727,0.5841319,-0.055940807,False,0.2909424,0.28079805
PHLDA1,1.0242558,0.9690151,-0.05524063,True,0.4561791,0.42952538
RAB11FIP3,0.8166691,0.8713856,0.054716468,False,0.2967234,0.29905024
PRKCQ,0.95412415,1.0087522,0.054628074,False,0.33686844,0.29870358
IFRD1,2.5512347,2.605646,0.054411173,True,0.24225035,0.23677841
STC1,1.3884113,1.33565,-0.052761316,True,0.51668775,0.5274423
MPP7,0.76288825,0.815502,0.052613735,False,0.30191427,0.29070175
MXI1,0.73969144,0.68777907,-0.051912367,True,0.3506123,0.31380033
USF1,1.7061323,1.7575827,0.05145037,False,0.22433108,0.206282
SALL3,2.0745156,2.1259549,0.051439285,True,0.3285634,0.2977625
ADAMTS20,0.6698095,0.61846334,-0.051346183,True,0.3321223,0.3030625
C6orf132,1.4410278,1.4921677,0.05113995,False,0.27340668,0.23994787
COL5A1,0.9010253,0.85019386,-0.050831437,True,0.33891127,0.35233578
FZD2,0.7157441,0.7661238,0.050379694,True,0.36336026,0.37031192
WBP4,0.8464659,0.79611844,-0.050347447,False,0.29339638,0.2902656
PTER,0.54196906,0.4920139,-0.04995516,False,0.27077436,0.26100543
DDB2,0.83584666,0.7858975,-0.04994917,True,0.3656719,0.372097
SNAPC4,1.4998854,1.5497185,0.04983306,False,0.288177,0.25052306
SF1,0.8145586,0.86437047,0.04981184,False,0.29946077,0.29964757
ZNF354A,1.2057312,1.2552514,0.049520254,False,0.3224148,0.30782035
SOX3,0.70646137,0.75595874,0.049497366,True,0.3964079,0.41173506
EFNB2,1.1549579,1.2042426,0.049284697,True,0.41472465,0.4116603
KIF18B,0.8683053,0.9174612,0.04915589,False,0.32021758,0.2969778
DDIT4,0.8543927,0.80526197,-0.049130738,True,0.7079657,0.6171865
PARP14,0.5597415,0.5109296,-0.048811913,False,0.26203883,0.25293007
KLRG2,0.7999119,0.84848595,0.04857403,False,0.30012998,0.28776285
TCTN1,0.76602817,0.71746504,-0.048563123,False,0.30002606,0.29660758
PLBD1,0.93742293,0.88886714,-0.04855579,True,0.32884455,0.3257155
CACTIN,1.1992995,1.2478262,0.048526764,False,0.2797844,0.25731045
OS9,1.9836292,1.9351437,-0.048485518,False,0.19315864,0.19859384
MAVS,1.39215,1.3437805,-0.048369527,False,0.27138036,0.28489405
NQO2,2.2694356,2.221151,-0.04828453,True,0.19669998,0.19883654
TMSB15A,1.6361887,1.6843064,0.048117638,True,0.3158657,0.27349222
EPS8L1,0.77361894,0.7257597,-0.04785925,False,0.3271284,0.32057267
STXBP6,1.1174883,1.1653317,0.047843456,True,0.3900172,0.36454996
BX255925.3,0.67375124,0.7215494,0.047798157,False,0.278869,0.27823958
DDX28,1.0312647,1.0789124,0.047647715,False,0.30910268,0.2929551
