gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EIF4B,2.7091115,0.28546214,-2.4236493,False,0.085877754,0.24544425
SLC7A11,2.2569587,1.572214,-0.6847447,True,0.3321765,0.35425884
IFRD1,2.5512347,3.2091987,0.657964,True,0.24225035,0.14890464
STC2,2.132497,1.5025824,-0.62991464,True,0.37043837,0.42377606
COL1A1,2.260025,2.8451023,0.5850773,True,0.40600464,0.3650111
EDNRB,1.2057792,0.6660229,-0.5397563,True,0.57471013,0.39424795
ZFAND2A,0.88695693,1.4000719,0.5131149,False,0.3001875,0.27584437
PSAT1,3.8175943,3.3523088,-0.46528554,True,0.09711025,0.07274458
MAP1B,2.2581487,1.8351581,-0.42299056,True,0.20767254,0.29897156
H1F0,0.903924,1.322774,0.41885006,True,0.8330141,0.95362324
GAL,2.7219493,3.134724,0.41277456,True,0.35849097,0.32128316
LHFPL6,0.73020524,1.1329077,0.4027025,True,0.36257234,0.42877194
SERPINB9,1.3378824,1.7228307,0.38494825,True,0.5634636,0.66745466
SLC7A5,2.7678742,2.3897936,-0.3780806,True,0.20752229,0.25219437
MARCKS,2.561422,2.213093,-0.34832907,True,0.15696877,0.21713963
RNF157,1.0251125,1.3580554,0.33294284,True,0.374465,0.3429105
EIF4EBP1,2.8433921,2.5120606,-0.3313315,True,0.11213006,0.13813224
EEF1A2,0.775216,1.09797,0.32275403,True,0.3544652,0.35785517
SESN2,1.1401006,0.82059467,-0.31950593,True,0.3993862,0.34253743
SELENOP,1.0004246,0.6846576,-0.31576705,True,0.44973302,0.39664173
PCK2,2.0146055,1.6994362,-0.31516933,True,0.285465,0.25380188
MED10,1.3978969,1.7023057,0.3044088,False,0.28918782,0.23200919
CHAC1,0.70487297,0.40512285,-0.29975012,True,0.38694882,0.2442203
TMEM106C,1.5577834,1.2608359,-0.29694748,True,0.37999824,0.42999443
SHMT2,1.9814478,1.6885827,-0.29286516,True,0.205803,0.21861924
RGS5,1.525954,1.816347,0.290393,True,0.48766956,0.4318606
PGM1,1.8431282,2.1280408,0.2849126,True,0.38100007,0.29806486
PHGDH,3.219117,2.9349034,-0.28421354,True,0.0838759,0.0926319
GPC3,1.794429,2.0749037,0.28047478,True,0.31798097,0.2498003
GPX8,2.5141962,2.2339087,-0.2802875,False,0.13879578,0.18397233
MMP2,1.5867742,1.311734,-0.27504027,True,0.3137001,0.3377947
PCDHB16,0.67530996,0.40452936,-0.2707806,True,0.40022647,0.2838288
NQO1,2.009532,1.7394991,-0.27003288,True,0.24418247,0.2847045
JAKMIP2,1.282878,1.0179398,-0.26493824,True,0.41678047,0.45857146
MTHFD2,2.8751297,2.612599,-0.2625308,True,0.11284972,0.11172704
LMO3,1.0553634,0.79387754,-0.26148587,True,0.47546923,0.44803032
LGALS1,0.5924107,0.8518668,0.2594561,True,0.3181264,0.38471213
LRAT,1.3468386,1.0875835,-0.25925505,True,0.5342008,0.48961034
SCRN1,1.6150525,1.8731314,0.25807893,True,0.31670198,0.24350086
SCGB3A2,2.1600077,2.4174252,0.25741744,True,1.0063828,0.73354185
C19orf53,2.4140475,2.1569893,-0.25705814,False,0.1234203,0.13637595
SLC4A11,0.5625594,0.819019,0.2564596,False,0.27284464,0.31658426
ZNF358,2.1311493,2.3858035,0.25465417,False,0.16794111,0.14385672
ATF5,0.9149669,0.66049296,-0.25447392,True,0.44021747,0.33962515
SYNGR3,1.0781854,1.3298945,0.2517091,True,0.3543841,0.32643872
NSMF,2.4489484,2.699811,0.2508626,False,0.13989452,0.12173004
NEFM,1.2480268,0.99888456,-0.24914229,True,0.4028053,0.41921026
INHBE,0.40389985,0.15582298,-0.24807687,True,0.249757,0.10130365
TNFRSF10B,1.6190304,1.3712105,-0.2478199,True,0.33569923,0.37998757
ETHE1,1.1582302,1.404848,0.2466178,False,0.3198412,0.2846392
DDIT4,0.8543927,0.6080935,-0.2462992,True,0.7079657,0.5759351
CRABP2,2.2048934,2.4504263,0.24553299,True,0.37365532,0.28531173
OCLN,1.9487426,2.1931386,0.24439597,True,0.22371694,0.17448634
RRM2,2.7643306,2.5203059,-0.24402475,True,0.16847533,0.19744024
RAB17,1.5537531,1.7972379,0.24348474,True,0.5508224,0.4764659
PRKCB,0.87092805,1.1134262,0.24249816,True,0.3349577,0.3387968
SLC7A2,1.3348604,1.5768591,0.24199867,False,0.31370005,0.2615965
TNNI3,0.83893996,1.0808867,0.24194676,True,0.34279716,0.34837234
PSPH,2.7757096,2.5344744,-0.24123526,False,0.11217915,0.13075133
RBM15B,2.6256256,2.3850152,-0.24061036,False,0.10912362,0.13214998
HIST1H1D,1.6205581,1.3799745,-0.24058366,True,1.2314817,1.097539
PIR,1.054318,0.81567115,-0.2386468,True,0.3693995,0.3367843
COL6A2,2.213915,2.4515414,0.23762631,True,0.24217908,0.2273767
GPT2,1.7932483,1.5596194,-0.23362887,True,0.22261675,0.23980315
TMSB15A,1.6361887,1.4028387,-0.23335004,True,0.3158657,0.3566278
PMAIP1,2.977533,2.744211,-0.23332214,True,0.21363744,0.24148758
PSME1,2.0762339,2.3084068,0.23217297,False,0.21061629,0.17518826
HAGHL,1.0353317,1.2665302,0.23119843,True,0.34165308,0.30105865
JDP2,0.87636673,0.6453359,-0.23103082,True,0.35009328,0.29848123
MATK,1.154767,1.384357,0.22958994,True,0.33695495,0.31828663
VEGFA,1.5524551,1.3232348,-0.22922027,True,0.3067676,0.33103922
H2AFY,1.0640961,0.83505946,-0.22903663,False,0.29776284,0.30790195
HIST1H1C,3.3517175,3.1231282,-0.2285893,True,1.5421159,1.5476695
ZNF850,1.7697045,1.5415001,-0.22820437,True,0.39880446,0.45285362
CRACR2B,0.65264034,0.8802839,0.22764355,False,0.30195716,0.32042128
TES,1.1183901,0.89088553,-0.22750455,True,0.3216687,0.3342297
PDCD4,1.0831711,0.85722864,-0.22594249,True,0.32657444,0.3376308
SLC1A5,3.0711186,2.845733,-0.22538567,True,0.1239001,0.13524576
MMP24,1.0542948,1.2796572,0.22536242,True,0.3902179,0.42540514
SHISA2,1.6919217,1.4671836,-0.22473812,True,0.5537069,0.573348
HTR7,0.7363093,0.5118509,-0.2244584,True,0.39800823,0.32317656
SORBS2,1.0052477,1.2288787,0.22363102,True,0.43276674,0.43939412
HIST1H2BH,3.0131607,2.790972,-0.22218871,True,1.2786521,1.3681041
KIF1A,3.2239323,3.0044186,-0.21951365,True,0.09698961,0.11080154
BAG2,1.6299034,1.4105078,-0.21939564,True,0.36802182,0.36768463
CYYR1,1.5787529,1.3603178,-0.21843505,False,0.2796482,0.31927904
PLPPR3,2.4174502,2.6352599,0.21780968,True,0.21403643,0.15972596
DDAH1,1.4237391,1.641477,0.21773791,False,0.31010202,0.28012198
CPNE7,0.30383635,0.52071196,0.21687561,False,0.18258753,0.25866425
SNHG32,1.8507925,2.0666742,0.2158817,False,0.20800832,0.17009962
EFR3A,1.7837168,1.9977614,0.21404457,False,0.2376206,0.19292895
R3HDM4,2.4384012,2.6522112,0.21380997,False,0.12433771,0.10153521
S100A16,1.7017455,1.9149681,0.21322262,True,0.3093001,0.2849941
CCNF,1.6171917,1.8302299,0.2130382,True,0.3321831,0.3075865
HIST1H1B,4.1244035,3.9121344,-0.21226907,True,1.3478125,1.4293817
ADCY1,1.51401,1.7261788,0.21216881,False,0.2909579,0.2592601
PHLDB2,1.28991,1.077975,-0.21193492,True,0.31885606,0.33850187
UCHL1,3.3070664,3.0953956,-0.21167088,False,0.07083715,0.08103903
HAX1,2.1175966,1.9063791,-0.21121752,False,0.16262452,0.182061
ARHGAP22,0.6187495,0.82879984,0.21005034,False,0.2860722,0.31286073
MAP2K6,2.1483319,1.938764,-0.2095679,False,0.1896432,0.2527154
TMSB4X,4.816714,4.608346,-0.20836782,True,0.07111334,0.08393358
SERINC5,2.1259036,2.3336523,0.20774865,True,0.20388338,0.17462482
EIF5,3.15982,3.3668888,0.20706868,False,0.0949221,0.073942244
RAC3,2.8421829,3.049061,0.20687819,False,0.11613843,0.094124675
BCAT1,2.7428734,2.5379508,-0.20492268,True,0.13635567,0.15328333
TMEM63A,1.2596389,1.0570285,-0.20261037,True,0.43629962,0.40606067
BBC3,0.86217064,0.66008216,-0.20208848,True,0.41324192,0.36863318
DPH7,1.506473,1.7067004,0.2002275,False,0.25313014,0.21847364
STMN1,2.3240895,2.1241825,-0.19990706,False,0.18599024,0.21255447
FN1,0.7990986,0.9987945,0.19969589,True,0.3614243,0.4109978
ULK1,1.8158135,1.6164383,-0.19937527,False,0.22209734,0.24005859
SLC3A2,2.9775004,2.7781444,-0.19935608,True,0.15079467,0.14845046
RAB39B,1.0551984,0.85642105,-0.19877738,False,0.32795432,0.34039086
FGD5,0.6781506,0.8766833,0.1985327,False,0.30346906,0.3277353
H2AFX,2.5180233,2.319982,-0.1980412,False,0.15469405,0.1710085
RCN1,3.3493829,3.151474,-0.19790888,True,0.09346149,0.093464784
RIOK3,1.5246277,1.7213298,0.19670212,True,0.29421642,0.2508735
TAP1,0.6942486,0.8898047,0.1955561,True,0.3381539,0.3668913
CHML,2.5998213,2.4048696,-0.19495177,True,0.15773484,0.1872385
HIST1H1A,1.5684879,1.3736342,-0.19485366,True,1.4661734,1.3713808
S100A4,0.6748618,0.869617,0.1947552,True,0.3450312,0.41560167
HSPB2,0.21898416,0.4136055,0.19462135,True,0.15148959,0.2639722
RASGRF2,0.75367785,0.9479498,0.19427198,True,0.38033068,0.4113892
DCXR,1.3434032,1.5368645,0.1934613,False,0.2783916,0.23496877
FLNB,2.2600582,2.4533355,0.19327736,True,0.19386701,0.16256958
