gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EPB41L2,2.0227244,0.14206177,-1.8806627,False,0.17923827,0.11175278
RAB15,1.9752302,0.21451765,-1.7607126,True,0.25589168,0.1700994
MTHFD2,2.8751297,1.2668753,-1.6082544,True,0.11284972,1.3303461
STK39,1.8423345,0.32511985,-1.5172147,False,0.2245441,0.30660656
RASGRF2,0.75367785,2.065966,1.312288,True,0.38033068,1.2860999
USP25,2.2727437,0.98164487,-1.2910988,False,0.15048069,0.6355159
TRO,1.5252831,0.24180453,-1.2834786,False,0.26244557,0.26194
TIPRL,1.4922235,0.25431982,-1.2379037,False,0.24935503,0.26809338
NTS,1.4767022,2.705097,1.2283947,True,0.7286999,1.4573083
GRINA,2.1676874,0.9852991,-1.1823883,False,0.17389546,0.8734527
STRN,2.0573497,0.8920871,-1.1652626,False,0.19103901,0.70042264
DDX50,1.5747601,0.41420424,-1.1605558,False,0.237388,0.35900846
MAGED2,2.2897224,1.1633509,-1.1263715,False,0.14950255,0.6010367
CAPRIN2,1.4721117,0.37285745,-1.0992543,True,0.3577264,0.36376023
CASK,1.7331288,0.6616958,-1.0714331,False,0.22549924,0.4833144
CER1,0.05522831,1.0807956,1.0255673,True,0.04498124,1.5624855
GRTP1,1.312394,0.2908925,-1.0215015,False,0.2813432,0.25378382
TNNT1,2.6080759,1.6225461,-0.9855298,True,0.15905327,0.84678334
FGF13,1.6198746,0.65894425,-0.96093035,True,0.42301762,0.55616546
LDB2,1.9515072,0.99894005,-0.95256716,True,0.33574468,0.86371803
SEC24A,1.5142751,0.5759189,-0.93835616,False,0.25798675,0.43434063
PDIA6,2.156504,1.2197232,-0.9367807,False,0.1646892,0.8242919
NOTCH3,2.804312,1.9865367,-0.81777525,True,0.12378601,0.8430797
LEFTY2,0.27116945,1.0872384,0.816069,True,0.24489297,1.3156374
ANXA6,2.0094469,1.2181473,-0.7912996,False,0.21376759,0.61351496
FHL2,1.550863,0.772686,-0.778177,True,0.32070586,0.4614975
AKAP11,1.1565601,0.38194928,-0.77461076,False,0.29045728,0.30227923
CLU,2.868908,2.0962708,-0.7726371,True,0.13896124,0.36864272
FAM168A,1.3578162,0.5862938,-0.7715224,False,0.2863254,0.37698656
APELA,1.5670142,2.33087,0.7638557,True,0.4344417,1.0451211
LCK,1.4720908,0.7129698,-0.75912106,False,0.29680485,0.43358645
ANXA3,0.64711624,1.3736072,0.7264909,True,0.37550318,0.927784
MED8,1.4682648,0.75279653,-0.7154683,False,0.2624146,0.43841857
TAGLN,2.3409328,3.0398338,0.69890094,True,0.6389723,1.2113763
MYL9,1.8118736,2.4874787,0.6756052,True,0.4087449,0.71041214
CLDN10,1.670505,0.99604577,-0.6744593,False,0.2583778,0.5255039
ICA1,1.7351757,1.0687371,-0.6664386,True,0.27486834,0.6575382
DTNA,1.0392054,1.6995492,0.66034377,True,0.44757935,0.65721804
FEZ1,1.0951558,0.4411462,-0.65400964,True,0.36360902,0.29866257
CALD1,2.5241187,3.1757028,0.65158415,True,0.15518609,0.42197102
MT1X,1.2593601,0.62125313,-0.63810694,True,0.58770955,0.48196012
SCGB3A2,2.1600077,1.5280176,-0.6319901,True,1.0063828,1.1711
SLC1A1,0.41092128,1.0400351,0.62911385,True,0.25832108,0.60525435
LPAR6,0.17733541,0.80167514,0.6243397,True,0.13023464,0.6469895
DUSP14,0.9149152,0.2923425,-0.62257266,False,0.30978468,0.2283291
PHC2,0.3345986,0.9530807,0.6184821,True,0.20299976,0.57577926
TTC9,2.3038287,1.7058676,-0.59796107,True,0.18921925,0.5716528
PKDCC,2.017514,1.4219084,-0.5956056,True,0.58726704,0.62191796
SERPING1,0.8669029,0.27340934,-0.5934936,False,0.29706314,0.2014185
CDH2,1.6087554,2.2007585,0.5920031,True,0.33867648,0.49513042
COL6A1,2.216633,1.6297888,-0.5868443,True,0.22963761,0.41130817
TTYH1,1.2124448,0.6259186,-0.58652616,False,0.3165686,0.37290475
LMO3,1.0553634,1.6412817,0.5859183,True,0.47546923,0.6822089
GNG12,1.2833613,1.8691685,0.5858072,True,0.34909102,0.4199761
ABHD4,0.7323167,0.1549975,-0.57731915,False,0.28727177,0.12428045
GDPD2,1.3856034,0.80964303,-0.5759604,True,0.3390894,0.45672414
MDFIC,0.8970564,0.32394394,-0.5731125,False,0.315675,0.26632887
GPC6,0.686896,1.2551004,0.56820434,True,0.3368339,0.55920553
FRAT2,1.6338485,1.0664921,-0.56735647,True,0.30995584,0.56647736
HES1,0.91062826,1.471216,0.5605877,True,0.49244022,0.7578513
GJA1,4.070931,3.5121655,-0.5587654,True,0.10267221,0.4569646
NRP2,1.0989628,1.656931,0.55796826,True,0.39400205,0.63430744
ERBB2,3.173677,2.6224692,-0.5512078,True,0.1566171,0.41803193
FAM184A,0.85493195,0.30627328,-0.54865867,True,0.34021583,0.2611047
P3H3,1.1309073,0.58398026,-0.54692703,False,0.30171943,0.3356256
CAV1,0.51446736,1.0552388,0.5407715,True,0.30516323,0.5836704
VIM,2.7251427,3.2647388,0.5395961,True,0.5895071,1.157083
ANXA2,2.3120353,2.8492358,0.53720045,True,0.22942683,0.37239358
FGD5,0.6781506,0.1420817,-0.5360689,False,0.30346906,0.10390173
ATP1A3,1.2437924,0.70920855,-0.53458387,False,0.3171183,0.3070203
TMEM63A,1.2596389,1.7899309,0.53029203,True,0.43629962,0.565284
SHISA2,1.6919217,2.2221358,0.5302141,True,0.5537069,0.8822598
ALDH3A2,1.9898547,1.4599777,-0.52987695,False,0.20487462,0.5352389
CCND1,1.0390285,0.51052445,-0.5285041,True,0.3845656,0.31013453
MYCN,2.8378336,2.3101463,-0.5276873,True,0.16622734,0.517728
ECHDC1,1.6418368,2.1658509,0.5240141,False,0.24094424,0.38644692
JPH4,1.3973159,0.87833476,-0.5189811,True,0.34740102,0.44799107
NT5C2,1.2121284,1.7272075,0.51507914,False,0.30124375,0.4430762
TDGF1,1.7626038,1.2498114,-0.51279235,True,0.31168565,0.47761747
NBN,1.8794947,1.3676611,-0.51183355,False,0.22178027,0.43251428
