gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EPHB4,1.7908016,0.24173938,-1.5490623,False,0.21880607,0.17762408
TEDC2,1.5948399,0.17692669,-1.4179132,False,0.254375,0.17608747
GFER,1.2293067,0.13730244,-1.0920043,False,0.2773599,0.10882525
DDIT4,0.8543927,1.7884282,0.9340355,True,0.7079657,1.0395721
ZFHX2,1.0813086,0.33852905,-0.74277955,False,0.3183819,0.25747612
SESN2,1.1401006,1.8771243,0.7370237,True,0.3993862,0.51520914
CHAC1,0.70487297,1.4361682,0.7312952,True,0.38694882,0.6039151
STC2,2.132497,2.8603332,0.72783613,True,0.37043837,0.33269605
INHBE,0.40389985,1.1300402,0.7261403,True,0.249757,0.6711886
MEF2B,0.32470265,1.0089539,0.6842513,True,0.20306997,0.72007006
SLC7A11,2.2569587,2.9024832,0.6455245,True,0.3321765,0.5263816
PCK2,2.0146055,2.6139603,0.59935474,True,0.285465,0.4513049
KIRREL1,1.6561866,1.0675913,-0.5885953,False,0.26594898,0.40589622
TAC1,0.20844011,0.792044,0.58360386,True,0.14300334,0.76692325
ASS1,1.6960539,2.2690413,0.57298744,True,0.34041834,0.46060485
SYNGR3,1.0781854,0.51023114,-0.5679543,True,0.3543841,0.26348433
TRIM56,0.62802637,0.0817605,-0.54626584,False,0.27701735,0.06916186
TRIB3,0.47223082,1.0182344,0.5460036,True,0.25069413,0.7720442
HMGCS1,3.5301554,3.0020344,-0.528121,True,0.36374408,0.7023177
ATF5,0.9149669,1.4226909,0.507724,True,0.44021747,1.249121
PSAT1,3.8175943,4.314205,0.49661088,True,0.09711025,0.18618236
IFRD1,2.5512347,3.0465388,0.4953041,True,0.24225035,0.3478324
NSG1,2.2689183,1.7813333,-0.48758495,True,0.23481227,0.38919553
SIK2,0.9378377,0.46873605,-0.46910167,False,0.30735528,0.29635972
BBC3,0.86217064,1.3290318,0.4668612,True,0.41324192,0.54244244
VEGFA,1.5524551,2.0022833,0.44982827,True,0.3067676,0.3554736
SLC34A2,0.35625184,0.78408533,0.4278335,True,0.22300075,0.4903726
SLC7A5,2.7678742,3.1944704,0.42659616,True,0.20752229,0.27350852
DDIT3,0.14468314,0.56667894,0.42199582,True,0.101755336,0.45940977
