gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
DRAP1,3.268973,0.90830886,-2.3606644,False,0.07948823,0.80931777
ETV4,2.617383,0.78990644,-1.8274765,False,0.11026189,0.6348421
HDAC1,2.1463428,0.5752655,-1.5710772,False,0.15229797,0.565971
SHC1,2.9708428,1.4122785,-1.5585643,False,0.07851216,0.33302212
FUCA2,1.3604964,0.20563479,-1.1548616,False,0.30353767,0.20251028
EDNRB,1.2057792,0.21107504,-0.9947041,True,0.57471013,0.21946463
SMC3,2.2904615,1.410928,-0.8795335,False,0.14272651,0.7104163
S100A11,1.5742178,2.4205801,0.84636235,True,0.29990643,0.55910176
ENOPH1,3.0881119,2.2500339,-0.838078,False,0.07993382,1.0160917
GTF2A1,1.9966183,1.1854918,-0.8111265,False,0.19992557,0.49922696
LEFTY2,0.27116945,1.0653979,0.79422843,True,0.24489297,1.2740029
RASGRF2,0.75367785,1.5226306,0.7689527,True,0.38033068,0.9378555
LMO3,1.0553634,1.7591225,0.7037591,True,0.47546923,0.91828144
VIM,2.7251427,3.4032412,0.67809844,True,0.5895071,0.517146
ENPP1,2.1760325,1.5040734,-0.67195916,True,0.19400986,0.5102629
ANKRD40,1.4478335,0.7853058,-0.66252774,False,0.25306296,0.39408693
STC1,1.3884113,0.72737217,-0.6610391,True,0.51668775,0.6052481
CDK7,1.3224257,1.9830798,0.66065407,False,0.27892455,0.48788163
SLFN5,0.28000492,0.9265573,0.6465524,True,0.18807602,0.5596287
GPC6,0.686896,1.3152429,0.62834686,True,0.3368339,0.77177006
C11orf68,0.8403419,0.23258896,-0.607753,False,0.29866576,0.16494031
SLC1A1,0.41092128,0.9997574,0.58883613,True,0.25832108,0.4663661
LEFTY1,0.40002847,0.9842536,0.5842251,True,0.4464706,1.1981561
EEF1A2,0.775216,1.3445246,0.56930864,True,0.3544652,0.59212154
CAV1,0.51446736,1.080004,0.5655366,True,0.30516323,0.54527587
NETO2,0.93014646,1.4808817,0.55073524,True,0.34750232,0.3722288
CALB1,0.8725808,1.4179866,0.5454058,True,0.37383825,0.43821326
MT1X,1.2593601,0.7282773,-0.53108275,True,0.58770955,0.48126772
COL27A1,0.44816554,0.97224015,0.5240746,False,0.23288698,0.44235995
TMEM63A,1.2596389,1.7831856,0.5235467,True,0.43629962,0.5187061
MFGE8,3.6756303,3.1552157,-0.5204146,True,0.10762995,0.29090473
S100A10,3.133715,3.6533191,0.5196042,True,0.22135624,0.19506565
LHX4,0.12288372,0.6404857,0.51760197,True,0.09169714,0.4436177
ERVMER34-1,1.778471,1.2768862,-0.50158477,True,0.3746463,0.55508035
CUZD1,0.5141857,1.0135577,0.49937195,True,0.36897147,0.720238
CDK14,1.3375831,1.8345615,0.4969784,True,0.329206,0.33907482
TAGLN,2.3409328,2.83254,0.4916072,True,0.6389723,0.7634947
SLC39A10,3.2354264,2.7508097,-0.48461676,False,0.08402345,0.2987019
PDGFA,1.104627,0.62072784,-0.48389918,True,0.3449067,0.31920227
PGPEP1,0.99069405,1.471015,0.48032093,True,0.33399236,0.39042562
HPDL,1.5688995,1.0927587,-0.47614086,True,0.32727882,0.48917213
BST2,1.1939828,0.7204829,-0.47349995,True,0.5915028,0.44539663
SPATS2L,3.1276162,2.6586442,-0.46897197,True,0.17706592,0.22951323
TRIML2,1.2181535,0.7541241,-0.46402937,True,0.40173906,0.43733612
NODAL,0.39589173,0.85440195,0.45851022,True,0.29222062,0.59707695
AUTS2,1.9910005,2.4469295,0.45592892,True,0.22192383,0.20863318
KDR,2.138896,1.6853184,-0.45357764,True,0.31552842,0.5337051
SLC22A23,2.0097804,1.5571004,-0.45268,True,0.24951328,0.4467238
YPEL5,1.3675004,1.8183357,0.45083523,True,0.31940567,0.44468623
MMP24,1.0542948,0.61301017,-0.44128466,True,0.3902179,0.39229637
SOCS1,1.8222368,1.3820733,-0.4401635,True,0.4042865,0.5628519
KCNG3,1.6000588,1.1640781,-0.43598068,True,0.33263826,0.4807061
CGNL1,1.6380025,1.2033751,-0.4346274,False,0.2665917,0.37602907
CAMKV,1.933794,1.4992363,-0.43455768,False,0.21949667,0.4430906
DPPA2,0.9645738,0.5312794,-0.43329442,True,0.42964724,0.33270723
L1CAM,1.6603423,1.2271665,-0.4331758,True,0.34027112,0.4201927
NID1,1.2429777,1.6749092,0.4319315,True,0.34657726,0.38361934
PRIM1,2.322655,1.8962673,-0.42638767,False,0.14360692,0.30534306
IDO1,1.2041372,0.7805479,-0.4235893,True,0.43108737,0.4536974
NQO1,2.009532,2.4316704,0.42213845,True,0.24418247,0.22938783
THBS2,0.89915407,1.3199929,0.42083883,True,0.3751289,0.44319728
HDDC3,1.0530919,0.635202,-0.4178899,False,0.32406655,0.3169456
SERGEF,0.5812174,0.16715343,-0.414064,False,0.2627824,0.10564736
FBN2,0.5828359,0.9951093,0.4122734,True,0.29740146,0.55518657
OLFML3,1.0210904,0.61323744,-0.40785295,True,0.34903526,0.3213147
DGKK,0.9637905,0.5583156,-0.4054749,True,0.4367179,0.3369742
DNMT3B,4.406935,4.003191,-0.40374422,True,0.087100714,0.2617335
ATF5,0.9149669,1.3178513,0.40288442,True,0.44021747,0.59822065
TTC3,1.6795834,2.0785694,0.39898598,True,0.2731726,0.31776074
TMEM106C,1.5577834,1.9551617,0.39737833,True,0.37999824,0.6987753
MBNL1,0.51241755,0.9084521,0.39603454,False,0.24493505,0.3591378
PKDCC,2.017514,1.6219133,-0.39560068,True,0.58726704,0.6598129
MMP2,1.5867742,1.9798558,0.39308155,True,0.3137001,0.43049744
AP1S1,1.4771401,1.869503,0.39236295,False,0.2784553,0.25442362
AASS,3.9314687,4.32034,0.38887143,True,0.25482205,0.18025003
LANCL1,1.8536733,1.4686364,-0.38503695,False,0.2227539,0.36816868
MXD4,1.2854006,1.6685432,0.3831426,True,0.33491,0.3005696
PDCD4,1.0831711,1.4660778,0.38290668,True,0.32657444,0.39358413
ITGB5,2.7919524,3.1747081,0.38275576,True,0.17067133,0.19526385
MYO6,0.9117404,1.2929243,0.38118386,True,0.32478786,0.45209622
ATP1B2,1.2254541,0.8473082,-0.37814587,True,0.3508382,0.32906964
RBM3,2.324421,2.699343,0.37492204,False,0.1532649,0.15735835
SLC25A24,1.3796668,1.7539777,0.37431085,False,0.29625198,0.26566926
NRP2,1.0989628,1.4713382,0.37237537,True,0.39400205,0.5269163
PNRC1,1.5150425,1.8862941,0.37125158,True,0.40612546,0.51218605
ASS1,1.6960539,2.067191,0.37113702,True,0.34041834,0.35209262
GGCT,2.4888442,2.1187418,-0.3701024,False,0.110388465,0.22044052
PODXL,4.0734234,3.7034535,-0.36996984,False,0.06454045,0.36728516
COL6A2,2.213915,2.5786386,0.36472344,True,0.24217908,0.28087482
TNFRSF10B,1.6190304,1.983634,0.36460364,True,0.33569923,0.34730086
IGLON5,1.3376213,1.700149,0.36252773,False,0.2867757,0.24324232
SERPINB6,1.3203832,1.6800274,0.35964417,True,0.34365404,0.28085035
RIPOR2,1.1181024,0.75928926,-0.35881317,True,0.4393332,0.37682918
VRTN,2.611391,2.2546773,-0.35671377,False,0.12854144,0.46005306
PLEKHA6,1.0878862,0.73202074,-0.35586548,True,0.41469467,0.4282992
IGSF21,1.3237398,0.96819407,-0.3555457,True,0.34861705,0.39757925
PMEL,1.6445423,1.2898911,-0.3546512,True,0.34611374,0.46901536
RASGRP2,1.3544939,0.99985373,-0.35464013,True,0.34762353,0.3580466
LMO7,0.4096521,0.763927,0.35427487,True,0.22836775,0.49373624
CD24,5.489318,5.137256,-0.35206175,True,0.047505796,0.13549326
ADA,0.52611184,0.8763008,0.35018897,False,0.25067618,0.43031985
ZIC5,2.8421504,2.4941084,-0.348042,True,0.24881114,0.48109284
RABGGTB,3.042798,3.3904433,0.34764528,True,0.13109492,0.18469596
TCAF1,1.3535175,1.7010413,0.3475238,True,0.3327791,0.31728816
HAS2,0.35789979,0.7038312,0.3459314,True,0.24655612,0.45592734
CBR1,1.6964686,1.3509954,-0.34547317,True,0.29841512,0.38587028
HAPLN3,1.6817214,1.3382765,-0.34344494,True,0.28374058,0.38512573
BUD23,1.6141874,1.2724934,-0.341694,False,0.22762801,0.31804883
DCLK1,1.713339,1.3739004,-0.33943856,True,0.28653774,0.41459066
PTN,1.3494028,1.6872548,0.337852,True,0.30755064,0.3145277
ADCY2,1.7650582,1.4275019,-0.33755624,True,0.41020232,0.49934503
BASP1,2.5099888,2.8470576,0.3370688,True,0.15961559,0.12498339
MAP2,0.18371552,0.5202019,0.3364864,True,0.11982809,0.4853514
SETD4,1.6885364,1.3525755,-0.33596087,False,0.25866657,0.35077387
IL13RA1,0.47434455,0.8101825,0.33583796,False,0.24544103,0.36123747
MCCC2,2.1448693,1.8092167,-0.3356526,False,0.16488868,0.24564658
SLC7A5,2.7678742,2.433627,-0.33424735,True,0.20752229,0.55720764
