gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
EWSR1,2.3882453,0.45451784,-1.9337275,False,0.12993695,0.43552858
SERPINB9,1.3378824,2.1792989,0.8414165,True,0.5634636,0.6828463
VIM,2.7251427,3.3844218,0.6592791,True,0.5895071,0.5344099
UCP2,1.7872043,1.1962167,-0.59098756,True,0.28364074,0.34871033
GRPR,0.8029942,1.3619779,0.55898374,True,0.6066761,0.802115
SOCS2,1.2737695,0.73471856,-0.53905094,True,0.4973071,0.45025828
TAGLN,2.3409328,2.8382394,0.4973066,True,0.6389723,0.5551421
TRIM22,0.6868747,1.139724,0.45284933,True,0.41427281,0.4896043
MT1X,1.2593601,1.7056407,0.4462806,True,0.58770955,0.53967166
RASGRF2,0.75367785,1.1860251,0.4323473,True,0.38033068,0.45874113
EFR3A,1.7837168,2.202862,0.41914523,False,0.2376206,0.16738144
CALB1,0.8725808,1.2613254,0.38874453,True,0.37383825,0.3864121
STYXL1,0.88703406,0.502616,-0.38441807,False,0.29409835,0.2217522
FAM189A2,0.6100841,0.99409884,0.38401473,True,0.30761236,0.3494034
ACTC1,1.040941,1.4247639,0.38382292,True,0.41227695,0.55006254
TPM1,3.4666436,3.8491442,0.38250065,True,0.1359563,0.12521788
DPPA2,0.9645738,1.340623,0.37604922,True,0.42964724,0.39147332
LAMB1,1.1267743,0.7540308,-0.3727435,True,0.34430408,0.29115862
RAB17,1.5537531,1.9263097,0.37255657,True,0.5508224,0.4081506
SORBS2,1.0052477,1.3703033,0.36505556,True,0.43276674,0.40044197
B9D1,1.6816497,1.3252932,-0.3563565,False,0.2698011,0.30600178
ZMAT4,1.2856385,1.6357813,0.35014284,True,0.37251619,0.29665437
LHPP,0.94047344,0.5942247,-0.34624875,False,0.31491002,0.27145532
CSRP1,0.89926517,1.2429886,0.34372342,True,0.4090476,0.41794
EDIL3,1.4273261,1.7659602,0.33863413,True,0.36399788,0.2979455
KRCC1,1.0394728,0.7009042,-0.33856863,True,0.3897053,0.33723786
CAV1,0.51446736,0.8517851,0.33731776,True,0.30516323,0.4146118
PIP4K2A,1.576863,1.9134376,0.33657455,False,0.2678263,0.20615047
TCAF1,1.3535175,1.025237,-0.32828057,True,0.3327791,0.32445285
TMEM106C,1.5577834,1.8858081,0.32802474,True,0.37999824,0.33901432
CCDC141,0.8916808,1.219226,0.32754523,True,0.44828832,0.44999593
RGS5,1.525954,1.8518851,0.32593107,True,0.48766956,0.46090624
PPP4R3B,1.9589814,1.6403556,-0.3186258,False,0.18617724,0.24280024
GAL,2.7219493,3.0396554,0.3177061,True,0.35849097,0.32266465
LMCD1,0.89934635,1.2143115,0.31496513,True,0.37876225,0.36714378
HSPA2,1.1836619,1.4971251,0.3134632,True,0.39147896,0.37856296
RAB15,1.9752302,2.2872233,0.31199312,True,0.25589168,0.18567364
ETS1,1.0753208,1.3838996,0.30857873,True,0.3374279,0.27068338
ACOT13,2.5975814,2.2915888,-0.3059926,True,0.14721777,0.19849806
NTS,1.4767022,1.7821063,0.30540407,True,0.7286999,0.7076654
TEK,1.5910075,1.8929576,0.3019501,True,0.4462709,0.2825398
C9orf135,1.0159495,1.3163968,0.30044734,True,0.37919602,0.35591242
MYL9,1.8118736,2.1094546,0.29758108,True,0.4087449,0.3756677
C16orf58,1.5415974,1.2454975,-0.2960999,False,0.2911282,0.28755215
RBM3,2.324421,2.6192684,0.2948475,False,0.1532649,0.10533545
TTC39C,1.9046897,2.1978211,0.29313147,True,0.34991878,0.29407182
LEFTY1,0.40002847,0.69120693,0.29117846,True,0.4464706,0.7568171
PCDHB16,0.67530996,0.96599495,0.290685,True,0.40022647,0.35602447
