gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ACSS2,0.8820951,3.9914105,3.1093154,True,0.5769565,0.18193167
FABP3,0.8308931,3.1170986,2.2862055,True,0.3531812,0.3554346
PRUNE2,0.7189,2.7424104,2.0235105,True,0.33920965,0.21789531
MVD,1.8713977,3.7849987,1.9136009,True,0.34796846,0.14164028
FABP7,0.5414451,2.427722,1.886277,True,0.28100306,0.5202045
HMGCS1,3.5301554,5.2143226,1.6841671,True,0.36374408,0.1359122
SLCO4C1,0.40423104,1.9839302,1.5796992,True,0.24083199,0.45221373
HES6,0.5632351,2.1218119,1.5585768,True,0.28999573,0.380876
PCSK9,0.37149176,1.9260333,1.5545415,True,0.24954328,0.35071164
ERG28,2.6217284,4.146679,1.5249505,True,0.16492844,0.13437423
ACSL1,0.34156486,1.8656385,1.5240736,True,0.21038046,0.42287895
STARD4,1.1796104,2.5287688,1.3491584,True,0.3958909,0.37000722
ACAT2,1.7601122,3.088258,1.3281459,True,0.3223385,0.15152936
MVK,1.1645757,2.4864922,1.3219165,True,0.44198978,0.292215
ACLY,2.9914157,4.3109417,1.319526,True,0.103945665,0.101452224
TMEM97,2.4915624,3.8057594,1.3141971,True,0.17607263,0.14779343
HMGCR,3.3971014,4.7101226,1.3130212,True,0.26202345,0.12702541
CENPI,1.4667261,2.7679825,1.3012564,True,0.324934,0.24253397
INSIG1,0.85269517,2.1503804,1.2976851,True,0.41963935,0.3606094
PEG10,1.4632176,2.7459667,1.282749,True,0.36439523,0.18914145
CDHR1,0.3035238,1.5736055,1.2700818,True,0.18648264,0.33470556
NEU1,0.94207823,2.2083592,1.266281,False,0.31223214,0.26639944
SC5D,2.5574994,3.8087263,1.2512269,True,0.2014049,0.09188122
MSMO1,2.504345,3.7553196,1.2509747,True,0.36301106,0.120126374
TM7SF2,1.1138376,2.363032,1.2491945,True,0.32208908,0.21379827
CYB5B,3.1782959,4.4242215,1.2459257,True,0.09055499,0.112296276
DHCR7,2.2212503,3.462869,1.2416186,True,0.27521834,0.11871564
LSS,1.536261,2.7437959,1.2075349,True,0.30171183,0.131308
