gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ITGB5,2.7919524,1.755654,-1.0362984,True,0.17067133,0.24995449
ZNF664,1.4699457,2.2153978,0.74545217,True,0.29164624,0.16358073
FOXH1,0.76008445,0.03473333,-0.7253511,False,0.29991943,0.02721154
MYSM1,2.1659586,1.6959733,-0.46998537,True,0.21082062,0.25804093
TTC39C,1.9046897,1.4540935,-0.4505962,True,0.34991878,0.31193036
ALDH3A2,1.9898547,2.4220364,0.43218172,False,0.20487462,0.12632354
FZD5,1.1713068,0.75443447,-0.41687238,True,0.38521338,0.29740933
PPP1R16A,0.41619304,0.046435244,-0.3697578,False,0.2144231,0.03177748
ARHGAP21,0.68021524,0.9941224,0.31390715,False,0.28977343,0.31181997
RAB25,1.1473161,1.4432038,0.2958877,True,0.3448181,0.29951426
SEMA3A,1.5644501,1.2698841,-0.29456604,True,0.3202596,0.33842063
AUTS2,1.9910005,2.265364,0.2743634,True,0.22192383,0.18932678
ETS2,1.4273686,1.1647749,-0.26259375,True,0.3230002,0.32633647
POGLUT2,0.8865353,1.1415097,0.25497437,False,0.29723376,0.31267402
TOMM7,2.7090468,2.4542754,-0.25477147,False,0.11932662,0.1356666
CAV1,0.51446736,0.26246646,-0.2520009,True,0.30516323,0.1749847
SHISAL2B,0.62392765,0.37811407,-0.24581358,False,0.2922066,0.21973138
NTS,1.4767022,1.2333708,-0.24333143,True,0.7286999,0.65055066
ECHDC1,1.6418368,1.398758,-0.24307871,False,0.24094424,0.27575973
EGR1,0.81692857,1.0564314,0.23950285,True,0.5892243,0.6566669
KLHL15,0.8643474,1.0946053,0.23025793,True,0.33410916,0.3177362
GPC6,0.686896,0.45745623,-0.2294398,True,0.3368339,0.25667602
ITM2A,1.1207896,0.9056775,-0.21511215,True,0.35689592,0.3230605
COL1A1,2.260025,2.4743655,0.21434045,True,0.40600464,0.38142708
CALD1,2.5241187,2.3132823,-0.21083641,True,0.15518609,0.17859294
CHD7,2.3055537,2.1028013,-0.20275235,True,0.2723786,0.3463404
NODAL,0.39589173,0.1935419,-0.20234983,True,0.29222062,0.13213015
LEFTY2,0.27116945,0.06899777,-0.20217168,True,0.24489297,0.046939462
LEFTY1,0.40002847,0.20069414,-0.19933432,True,0.4464706,0.13337918
PPP1R17,0.5791453,0.7729333,0.19378799,True,0.36212915,0.42690432
GAL,2.7219493,2.91153,0.18958068,True,0.35849097,0.37995344
GNA14,0.3345889,0.14563774,-0.18895115,True,0.25330648,0.101841345
DUSP6,2.2662961,2.0791693,-0.18712687,True,0.42365897,0.48049918
PPP1R16B,0.23881638,0.41959324,0.18077686,False,0.14448372,0.22150455
SLC7A5,2.7678742,2.5877209,-0.18015337,True,0.20752229,0.24868104
KDR,2.138896,2.3172417,0.17834568,True,0.31552842,0.28378293
TOX,0.5615614,0.7372059,0.17564452,False,0.27602518,0.3109628
ADAMTS1,0.52104175,0.3480455,-0.17299625,True,0.33755106,0.23722234
TUBB3,1.5669075,1.7371571,0.17024958,True,0.34727174,0.30995235
SCGB3A2,2.1600077,2.3275137,0.16750598,True,1.0063828,0.88370574
GALNT17,1.2305079,1.0649601,-0.16554773,True,0.36026514,0.35267833
IER3,0.52010494,0.3555842,-0.16452074,True,0.30785796,0.20815663
CCDC169,1.0565683,1.2210522,0.1644839,True,0.37135482,0.37355372
KSR1,1.2925985,1.4554256,0.16282713,False,0.32508487,0.31485185
IDO1,1.2041372,1.3658457,0.16170847,True,0.43108737,0.44049644
GFPT2,1.4466965,1.2875695,-0.159127,False,0.28708264,0.30986997
