gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
GSK3B,2.179944,0.35676584,-1.8231782,False,0.15506248,0.25982395
QPRT,1.7562511,0.53003436,-1.2262168,False,0.20703644,0.38636917
GRIK5,1.480839,0.31382304,-1.167016,False,0.25890118,0.24293816
TNNT1,2.6080759,1.5703872,-1.0376886,True,0.15905327,0.61781275
STMN3,1.6276441,0.69595796,-0.9316861,False,0.26238313,0.4281621
PLD3,3.1075647,2.2697797,-0.837785,False,0.086251885,0.2550821
KDELR1,2.4304466,1.6221341,-0.80831254,False,0.11572694,0.74565035
LDB2,1.9515072,1.1528767,-0.7986305,True,0.33574468,0.69615865
SHISA2,1.6919217,1.0026172,-0.6893045,True,0.5537069,0.55094653
MAGED2,2.2897224,1.607818,-0.68190444,False,0.14950255,0.2845081
DDIT4,0.8543927,1.5140058,0.6596131,True,0.7079657,1.1573384
BIN1,1.6506925,0.99681103,-0.65388143,False,0.2638554,0.46370727
STC2,2.132497,2.7755826,0.6430855,True,0.37043837,0.48305956
MEF2B,0.32470265,0.9245455,0.5998429,True,0.20306997,0.7130337
CHAC1,0.70487297,1.2942718,0.58939886,True,0.38694882,0.69048643
INHBE,0.40389985,0.97469664,0.5707968,True,0.249757,0.6180918
FZD7,1.6563491,1.0858371,-0.57051194,True,0.35724905,0.3909645
TNNI3,0.83893996,0.27409372,-0.5648463,True,0.34279716,0.2062088
AARS,0.9076221,0.35066277,-0.55695933,False,0.3064885,0.25564706
APELA,1.5670142,2.1022434,0.5352292,True,0.4344417,0.5569922
RIPOR2,1.1181024,0.59403,-0.5240724,True,0.4393332,0.32447645
SLC7A11,2.2569587,2.7761378,0.5191791,True,0.3321765,0.43575963
SESN2,1.1401006,1.6588825,0.5187819,True,0.3993862,0.59722507
SYT4,0.58140266,0.07485676,-0.5065459,True,0.34853083,0.06609984
ATF5,0.9149669,1.416569,0.5016021,True,0.44021747,1.0924838
IFITM3,1.4483403,0.95524204,-0.49309826,False,0.28981033,0.38897577
SLC12A7,1.9191669,1.4283559,-0.490811,True,0.23414764,0.29359603
