gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
HAT1,2.4177818,0.2266595,-2.1911223,False,0.119896404,0.17597373
HIST3H2A,1.126817,0.82618684,-0.30063015,True,0.58922714,0.4988329
EPS8L2,0.89624125,1.1795638,0.2833225,True,0.37565914,0.42192867
BBC3,0.86217064,1.1315929,0.26942223,True,0.41324192,0.46438974
HIST1H3G,0.72253007,0.45587867,-0.2666514,True,0.49177366,0.3625174
PHLDA3,0.48402876,0.7261516,0.24212283,True,0.32843012,0.49955633
HIST1H3H,0.80666834,0.56949776,-0.23717058,True,0.4625127,0.37872297
COL1A1,2.260025,2.4879901,0.22796512,True,0.40600464,0.39118373
H2AFJ,2.0699096,1.8428535,-0.22705603,True,0.22787869,0.24359328
TEK,1.5910075,1.3770705,-0.21393692,True,0.4462709,0.5229674
SESN1,1.3295916,1.5338212,0.2042296,True,0.42911422,0.5381628
H1FX,2.8645203,2.661276,-0.20324421,True,0.21788451,0.2527965
HIST4H4,0.47665936,0.2773186,-0.19934076,True,0.35396287,0.2279708
EEF1A2,0.775216,0.97368836,0.19847238,True,0.3544652,0.3765682
FDXR,1.2778784,1.4758484,0.19797003,True,0.37710968,0.43386042
DDB2,0.83584666,1.0285347,0.19268799,True,0.3656719,0.40449134
FOSL1,0.18665719,0.37919405,0.19253686,True,0.15412702,0.32589507
HIST1H2BG,0.4067686,0.22533861,-0.18142998,True,0.3005141,0.1747712
BAX,3.2382326,3.4191697,0.18093705,True,0.12913452,0.16339448
ATP1B2,1.2254541,1.4058877,0.18043363,True,0.3508382,0.33837458
HIST1H2AG,0.7061559,0.5313097,-0.17484617,True,0.42458564,0.35243756
ODC1,2.3060384,2.1316187,-0.17441964,True,0.22573909,0.23396617
PLAAT3,1.6658874,1.8362719,0.17038453,True,0.36285684,0.32437158
TMSB15A,1.6361887,1.4719485,-0.16424024,True,0.3158657,0.36179024
ZMAT3,0.61741245,0.78098524,0.16357279,True,0.34243125,0.44643405
ASS1,1.6960539,1.8584405,0.16238666,True,0.34041834,0.29026684
CDKN1A,0.13551252,0.29490578,0.15939327,True,0.1684509,0.40544662
PEG3,0.97456473,0.8161858,-0.15837896,True,1.0025717,0.8877781
H1F0,0.903924,0.7455799,-0.15834409,True,0.8330141,0.7509474
HTR7,0.7363093,0.89181757,0.15550828,True,0.39800823,0.42797866
SLC6A15,1.7863109,1.6316651,-0.1546458,True,0.29976016,0.35668638
TNFRSF10B,1.6190304,1.773673,0.1546427,True,0.33569923,0.36426562
CADPS2,1.3590494,1.5112005,0.15215111,True,0.32116383,0.28996146
LRIF1,1.4927613,1.3406674,-0.15209389,True,0.3942007,0.4215486
PTAR1,1.9582242,1.8062993,-0.15192485,False,0.19871949,0.26633698
SLC25A12,0.79285526,0.6473169,-0.14553839,False,0.30569753,0.2758921
MYL9,1.8118736,1.9560063,0.14413273,True,0.4087449,0.37556934
RIMS4,1.6565819,1.5125465,-0.14403534,False,0.26107934,0.28582972
PACSIN3,1.8271953,1.9708359,0.14364064,False,0.2441111,0.23229876
BLOC1S2,2.034544,2.1758878,0.14134383,False,0.21189629,0.20210187
EMP3,0.8505958,0.98908865,0.13849288,True,0.398057,0.4172953
MMP24,1.0542948,1.1907073,0.1364125,True,0.3902179,0.38997656
TM7SF3,1.8696523,2.0053856,0.13573337,True,0.2239849,0.23598841
PAPLN,0.74573195,0.88069725,0.1349653,True,0.34333396,0.35471958
PLK1,2.8255942,2.6912775,-0.13431668,True,0.47531453,0.5636348
CALB1,0.8725808,0.73845595,-0.13412488,True,0.37383825,0.3488708
PLXND1,1.5982894,1.7313935,0.13310409,True,0.2975896,0.29147014
NME4,3.317404,3.4497542,0.1323502,False,0.086582236,0.07299388
SRD5A3,1.545329,1.4133512,-0.1319778,True,0.3236345,0.35780185
RRM2,2.7643306,2.6349008,-0.12942982,True,0.16847533,0.19821812
TMEM59L,0.6454841,0.7744606,0.12897652,True,0.3119143,0.33756626
CD151,1.1997706,1.3273237,0.1275531,False,0.3059987,0.3080417
TESC,0.97775966,1.1051702,0.12741059,True,0.35794467,0.3738227
S100A4,0.6748618,0.80197155,0.12710977,True,0.3450312,0.3817603
