gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TOMM70,2.5508535,0.8569012,-1.6939523,False,0.11604754,1.0526834
C1orf21,2.3650088,0.92975014,-1.4352586,True,0.18786235,0.6358263
LNP1,0.70161414,0.17415234,-0.52746177,True,0.34974724,0.15185156
TUBB3,1.5669075,1.0426064,-0.5243012,True,0.34727174,0.5653338
EEF1A2,0.775216,0.26209706,-0.5131189,True,0.3544652,0.19484664
MAMDC2,0.997529,0.5266039,-0.4709251,True,0.3517686,0.3650863
MT-ND3,1.7554234,2.206486,0.45106256,True,0.78610706,1.1926968
PLOD2,0.5806796,0.13342421,-0.44725537,True,0.32925913,0.124024905
MT-ATP6,1.7147563,2.1165085,0.40175223,True,0.97399217,1.3499107
MT-ND4,1.8822018,2.2801812,0.39797938,True,0.9863533,1.3948131
ERMARD,0.516589,0.13409308,-0.3824959,False,0.24976724,0.1005582
C22orf39,0.41707134,0.0915704,-0.32550094,False,0.21133338,0.07202994
MT-CO2,1.645371,1.9629768,0.31760585,True,0.917779,1.1363677
MT-CO3,1.2058606,1.5161424,0.31028175,True,0.78025454,1.1105813
MT-ND6,0.8967327,1.1866062,0.28987348,True,0.68610394,0.9079989
H1F0,0.903924,1.1771001,0.27317607,True,0.8330141,1.2436868
VIM,2.7251427,2.9826458,0.25750303,True,0.5895071,0.6113535
AKAP7,1.5629597,1.3182207,-0.24473894,True,0.41213223,0.46951044
PHF10,1.9546223,1.7199705,-0.2346518,True,0.2256846,0.28432393
SERPINB9,1.3378824,1.5623655,0.22448313,True,0.5634636,0.8278877
HIRA,2.1799507,1.9563688,-0.22358191,False,0.16522095,0.54567957
MT-CYB,0.6396104,0.8617118,0.22210139,True,0.489698,0.7039131
PCDH18,1.5278986,1.7326938,0.20479524,True,0.4877093,0.6242264
CNRIP1,0.28262433,0.08202552,-0.2005988,True,0.18521176,0.06362361
FAM53C,1.7163336,1.5193558,-0.19697785,False,0.24806415,0.46132264
ISYNA1,1.6589198,1.4629226,-0.19599724,False,0.25051764,0.28181574
TMEM64,1.3649961,1.5563939,0.19139779,True,0.3572356,0.43171474
LEFTY2,0.27116945,0.44971147,0.17854202,True,0.24489297,0.5952384
CCN2,1.3984216,1.5753402,0.1769185,True,0.8199761,0.86191946
CHAC1,0.70487297,0.87465763,0.16978467,True,0.38694882,0.5351978
APELA,1.5670142,1.7362126,0.1691984,True,0.4344417,0.5762058
BST2,1.1939828,1.3603915,0.16640866,True,0.5915028,0.71536404
DUSP6,2.2662961,2.0998907,-0.16640544,True,0.42365897,0.5054067
HMGCS1,3.5301554,3.3668387,-0.16331673,True,0.36374408,0.46041876
LMO3,1.0553634,0.8937067,-0.16165674,True,0.47546923,0.473215
PCDH1,3.3544536,3.1952085,-0.15924501,True,0.09235907,0.3041486
STC2,2.132497,2.2899551,0.15745807,True,0.37043837,0.41651437
DDIT4,0.8543927,1.0109107,0.15651804,True,0.7079657,0.8530667
GAL,2.7219493,2.5667,-0.15524936,True,0.35849097,0.36240768
MTMR1,1.1808218,1.0256147,-0.15520704,False,0.28969336,0.4008771
COX20,1.7023284,1.5477804,-0.15454805,False,0.25975162,0.35801718
VSNL1,2.1774752,2.0249243,-0.15255094,True,0.21121545,0.29180354
LEFTY1,0.40002847,0.55252254,0.15249407,True,0.4464706,0.8118745
HPDL,1.5688995,1.4177936,-0.15110588,True,0.32727882,0.3906131
NMU,1.7737356,1.9231467,0.14941108,True,0.3437436,0.4049639
SDF2L1,1.7957741,1.6466951,-0.14907897,True,0.30096847,0.35330638
HSPA2,1.1836619,1.0353789,-0.148283,True,0.39147896,0.4072382
CDC14B,1.8898087,1.7420207,-0.14778793,True,0.23548909,0.32271942
TCTE3,0.1959672,0.05026763,-0.14569956,False,0.13792944,0.038515836
TUBB2A,3.9533803,3.8089607,-0.14441967,True,0.1378518,0.21600251
CXCL5,0.65057814,0.7948335,0.14425534,True,0.36417714,0.626057
RASGRP2,1.3544939,1.2118188,-0.14267504,True,0.34762353,0.36879444
CCN1,0.98059136,1.1174825,0.13689119,True,0.5011432,0.5538039
PHF19,0.9169863,0.78010386,-0.13688242,False,0.32655686,0.36897793
CAPN2,1.0743307,1.2096306,0.13529992,True,0.3748314,0.36898425
INHBE,0.40389985,0.53648204,0.13258219,True,0.249757,0.38198352
CTH,1.3418531,1.4731848,0.13133168,True,0.32998702,0.33729544
DNMT3B,4.406935,4.27678,-0.13015509,True,0.087100714,0.12854598
SLC7A11,2.2569587,2.3868487,0.12988997,True,0.3321765,0.44324654
TLCD1,1.1705962,1.0429842,-0.127612,False,0.326402,0.37707648
HAPLN3,1.6817214,1.8083298,0.12660837,True,0.28374058,0.30520886
PLXND1,1.5982894,1.4727268,-0.12556255,True,0.2975896,0.34893575
MGAT4C,0.36692482,0.49239644,0.12547162,True,0.23634776,0.31031314
AK4,3.1002982,2.9755006,-0.12479758,True,0.13591754,0.17673191
ZNF250,0.45782575,0.3360099,-0.12181586,False,0.23854634,0.20530428
KLF15,0.61699224,0.7381175,0.12112528,True,0.29440027,0.331555
EMP3,0.8505958,0.72967273,-0.12092304,True,0.398057,0.39938715
HTR1A,0.14471671,0.024047162,-0.120669544,False,0.101849034,0.017253604
SPATA33,1.2910876,1.1704997,-0.120587945,False,0.29847482,0.36993778
SHISA2,1.6919217,1.5718673,-0.120054364,True,0.5537069,0.6212136
ATF5,0.9149669,1.0342332,0.11926633,True,0.44021747,0.5943048
SYNGAP1,1.8310168,1.7124584,-0.11855841,True,0.2583025,0.348708
KLF11,0.46417093,0.3480237,-0.11614722,True,0.26809174,0.21742962
DUSP5,1.2534505,1.1374546,-0.115995884,True,0.39468458,0.38548562
VASH2,3.0354705,2.9197187,-0.11575174,True,0.14533351,0.19210772
