target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
HMGB2,non-targeting,TTLL10,0.05911302,0.07927139,-0.25429567694664,0.7457042932510376,0.0020258948856483,27663529.5,0.0133183694031424
HMGB2,non-targeting,MXRA8,0.47626388,0.5648588,-0.156844362616539,0.8431556224822998,6.461497009863863e-06,26557588.5,6.74801389789e-05
HMGB2,non-targeting,MMP23B,0.23565924,0.2732023,-0.1374185234308242,0.8625814914703369,0.0017865621864,27287442.0,0.0119136360606778
HMGB2,non-targeting,LRRC47,7.918725,7.6639924,0.033237587660551,1.0332375764846802,0.0011978363426173,29787065.0,0.0083461549519642
HMGB2,non-targeting,DNAJC11,13.090955,13.441751,-0.0260974746197462,0.9739025235176086,0.0026677807904792,27082772.5,0.0169880051275673
HMGB2,non-targeting,GPR157,0.08607614,0.066319026,0.297910213470459,1.297910213470459,0.0062461932571797,28981430.5,0.0355759702480734
HMGB2,non-targeting,CTNNBIP1,5.0248933,4.621771,0.0872225016355514,1.087222456932068,1.6553312210258012e-10,31151943.5,2.797394236927949e-09
HMGB2,non-targeting,CENPS,2.5669992,2.3629293,0.0863630771636962,1.0863630771636963,1.31091247307e-05,30271069.5,0.0001311928346797
HMGB2,non-targeting,SRM,27.618824,28.309406,-0.024394093081355,0.9756059050559998,0.0002766525967169,26808748.0,0.0022172561666134
HMGB2,non-targeting,MTOR,6.3829684,6.1495924,0.0379498377442359,1.037949800491333,0.0017945360720734,29736336.0,0.0119612215578629
HMGB2,non-targeting,AGTRAP,7.95268,7.6985474,0.0330104790627956,1.033010482788086,0.0014028562612266,29767428.5,0.0096092597851781
HMGB2,non-targeting,MFN2,1.6964128,1.7854333,-0.0498593188822269,0.950140655040741,0.0087828640936835,27250245.5,0.0475479138079045
HMGB2,non-targeting,TNFRSF8,0.5891554,0.66973406,-0.1203144490718841,0.8796855211257935,0.0002630864359468,26868477.0,0.0021177478088744
HMGB2,non-targeting,PRAMEF6,0.00048784018,0.0,,20.0,4.046930883665232e-07,28402944.0,4.917128449855563e-06
HMGB2,non-targeting,PRAMEF20,0.00078396563,2.085231e-05,36.59610366821289,37.59610366821289,0.0005746480856108,28402201.0,0.0042994323493639
HMGB2,non-targeting,CASP9,1.093241,1.0012472,0.0918792188167572,1.0918792486190796,0.0006570813544201,29840584.0,0.0048548047545016
HMGB2,non-targeting,SDHB,10.386827,10.817163,-0.039782702922821,0.960217297077179,0.0009089436266755,26946904.0,0.0065109749486112
HMGB2,non-targeting,UBR4,15.741855,15.390035,0.0228602476418018,1.0228602886199951,0.0033885492109577,29653087.0,0.0209529297524277
HMGB2,non-targeting,AKR7A2,1.6531034,1.5499127,0.0665783733129501,1.066578388214111,0.0022959319752623,29701585.0,0.0148745655615952
HMGB2,non-targeting,CAPZB,8.459654,8.108241,0.0433401986956596,1.0433402061462402,0.0001190596399579,30050718.0,0.001020495072979
HMGB2,non-targeting,MUL1,1.362779,1.472496,-0.0745109021663665,0.925489068031311,0.0003496601439056,26840219.0,0.0027433845694381
HMGB2,non-targeting,HSPG2,1.1496756,1.0572222,0.087449312210083,1.087449312210083,0.0008356900488644,29814303.5,0.0060319682019546
HMGB2,non-targeting,KDM1A,38.223423,39.318386,-0.0278486274182796,0.9721513986587524,6.789761981693131e-06,26434515.0,7.07068618387e-05
HMGB2,non-targeting,LUZP1,5.7655735,6.0195975,-0.0421995036303997,0.9578005075454712,0.0005546400618507,26888173.5,0.0041661949278877
HMGB2,non-targeting,ID3,5.3992004,5.9239454,-0.0885803177952766,0.911419689655304,6.704642533939593e-06,26433360.0,6.98764414044e-05
HMGB2,non-targeting,ELOA,2.4381022,2.6912146,-0.0940513312816619,0.9059486389160156,4.6676095977355964e-06,26400664.0,4.97067018595e-05
HMGB2,non-targeting,GALE,1.2623448,1.3682234,-0.0773839950561523,0.9226160049438475,0.0040765940279198,27146625.0,0.0246103844438674
HMGB2,non-targeting,HMGCL,1.8410982,1.63519,0.1259230971336364,1.1259230375289917,3.5729611206408142e-06,30385538.0,3.86705399947e-05
HMGB2,non-targeting,STPG1,0.83419067,0.74834186,0.1147187054157257,1.114718675613403,0.0012343662400669,29737247.0,0.0085742491978268
HMGB2,non-targeting,CLIC4,50.362167,49.063583,0.0264673698693513,1.0264673233032229,1.64146494838e-05,30250297.0,0.0001618871189345
HMGB2,non-targeting,LDLRAP1,1.7649528,1.6784871,0.0515140779316425,1.0515140295028689,0.0070369567679945,29548738.0,0.0393834770386639
HMGB2,non-targeting,SELENON,17.168303,16.383259,0.0479174330830574,1.0479174852371216,7.399796175782399e-09,30888267.5,1.0802447707561225e-07
HMGB2,non-targeting,PAQR7,0.5623331,0.62332165,-0.0978444218635559,0.902155578136444,0.0019570434857593,27105052.5,0.0129186591699429
HMGB2,non-targeting,FAM110D,0.003271778,0.009376544,-0.6510677933692932,0.3489322066307068,0.0046907285890427,28136886.5,0.0277900085505181
HMGB2,non-targeting,CD52,0.17335288,0.20960595,-0.1729581952095031,0.8270418047904968,0.0002670039228619,27185734.5,0.002146637927226
HMGB2,non-targeting,SYTL1,0.36903015,0.27740383,0.3302993774414062,1.3302993774414062,4.87730605701128e-09,30478881.5,7.247413307004872e-08
HMGB2,non-targeting,WASF2,1.3068349,1.2181679,0.0727872028946876,1.072787165641785,0.0077303833550264,29529495.5,0.0426681856105825
HMGB2,non-targeting,ATP5IF1,7.4680867,7.1686754,0.0417666137218475,1.04176664352417,0.0003043530069009,29948278.5,0.0024182033654097
HMGB2,non-targeting,SESN2,3.1011097,2.136075,0.4517794251441955,1.4517793655395508,3.0340259070744523e-50,34832245.0,2.4735542642374602e-48
HMGB2,non-targeting,YTHDF2,21.572021,22.055183,-0.0219069551676511,0.9780930280685424,0.0069055823619222,27213706.0,0.0387625647901417
HMGB2,non-targeting,OPRD1,0.22044663,0.24768156,-0.1099594458937645,0.8900405764579773,0.0090580988167323,27474028.5,0.0487988080988035
HMGB2,non-targeting,SRSF4,5.1204634,5.35346,-0.0435225963592529,0.9564774036407472,0.001617772385216,27018208.5,0.0109068729396559
HMGB2,non-targeting,SDC3,4.5804334,4.2127576,0.0872767493128776,1.0872766971588137,1.9273489701167862e-08,30817560.5,2.694453532118523e-07
HMGB2,non-targeting,FABP3,1.1716354,1.3006411,-0.0991862192749977,0.9008137583732604,0.0007694384307713,26937940.0,0.0055995197344818
HMGB2,non-targeting,LCK,2.9945939,3.3734257,-0.1122988611459732,0.887701153755188,1.6496718123862212e-09,25772420.0,2.5635514297452626e-08
HMGB2,non-targeting,HDAC1,7.152958,7.5889683,-0.0574531815946102,0.942546844482422,5.3301361081762245e-06,26412345.0,5.63472718693e-05
HMGB2,non-targeting,YARS,10.796885,10.187038,0.0598649084568023,1.05986487865448,2.610504237867698e-10,31121622.0,4.342966900651594e-09
HMGB2,non-targeting,RNF19B,1.5391197,1.4285033,0.077435202896595,1.0774352550506592,0.0003936307750077,29912335.0,0.0030532602909349
HMGB2,non-targeting,PHC2,0.45332822,0.39883712,0.1366249471902847,1.1366249322891235,0.0042751764719576,29480670.0,0.0256528571531506
HMGB2,non-targeting,C1orf94,0.9934451,0.8955208,0.1093489825725555,1.109349012374878,0.000350309927524,29898454.5,0.0027481249141471
HMGB2,non-targeting,GNL2,11.338644,11.957146,-0.0517265312373638,0.9482734799385072,1.7631544084818765e-08,25943477.0,2.475050987759957e-07
HMGB2,non-targeting,MANEAL,0.37478083,0.44449505,-0.1568391323089599,0.84316086769104,3.30703049145e-05,26768230.0,0.0003113633874158
HMGB2,non-targeting,INPP5B,3.011898,2.8590693,0.0534540005028247,1.053454041481018,0.000604415025996,29869307.5,0.0044992686388375
HMGB2,non-targeting,MYCBP,7.809787,8.170486,-0.0441466569900512,0.9558533430099488,0.0042434639986495,27145218.0,0.0254850285987501
HMGB2,non-targeting,AKIRIN1,35.166466,34.514755,0.0188820846378803,1.0188820362091064,0.0027888398985602,29679079.0,0.0176641181874128
HMGB2,non-targeting,PABPC4,9.886154,10.293795,-0.0396005995571613,0.9603993892669678,0.0004408749876194,26861556.0,0.0033819601485831
HMGB2,non-targeting,PPIE,3.1502028,2.9449167,0.0697086006402969,1.0697085857391355,1.1496277367e-05,30283982.0,0.0001159417805935
HMGB2,non-targeting,PPT1,20.330774,19.693157,0.0323775969445705,1.0323776006698608,0.0001420705034038,30031867.0,0.0012018503836153
HMGB2,non-targeting,ZMPSTE24,2.755569,2.9546242,-0.0673707351088523,0.9326292872428894,0.0001488678065181,26741076.5,0.001255104583198
HMGB2,non-targeting,RIMS3,2.067645,1.7849748,0.1583609282970428,1.1583609580993652,7.248150585513106e-11,31201539.0,1.259175221825094e-09
