gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
HMGB2,2.4007332,0.24178432,-2.158949,True,0.15672688,0.18369791
LAGE3,1.2831159,0.2146226,-1.0684932,False,0.2882405,0.16162057
PYCR1,2.0088482,1.2376362,-0.771212,False,0.2181221,0.46418715
ALDH16A1,0.91490436,0.22791459,-0.6869898,False,0.2960327,0.15799846
KCNG3,1.6000588,0.9883104,-0.6117484,True,0.33263826,0.47739738
TRIM46,0.754248,0.16016963,-0.5940784,False,0.30150208,0.11961929
CCT3,1.4834988,0.9919318,-0.49156702,False,0.27824545,0.39169306
EPS8L1,0.77361894,0.36216608,-0.41145286,False,0.3271284,0.23585291
DDIT4,0.8543927,1.2034258,0.34903306,True,0.7079657,0.9137056
SESN2,1.1401006,1.4080426,0.26794195,True,0.3993862,0.52820307
CHAC1,0.70487297,0.95759654,0.25272357,True,0.38694882,0.5827815
PYCR2,1.9976522,1.7509044,-0.24674773,True,0.2240991,0.29465115
UBL4A,0.67496896,0.44075727,-0.23421168,False,0.2746405,0.23272231
HSPA2,1.1836619,0.95226336,-0.23139858,True,0.39147896,0.39595616
PCK2,2.0146055,2.2345116,0.21990609,True,0.285465,0.41603652
MEF2B,0.32470265,0.53230613,0.20760348,True,0.20306997,0.38479304
STC2,2.132497,2.3343043,0.20180726,True,0.37043837,0.48665202
SLC7A11,2.2569587,2.4568448,0.19988608,True,0.3321765,0.399847
ASS1,1.6960539,1.894248,0.19819415,True,0.34041834,0.39050815
PSAT1,3.8175943,4.0114145,0.19382024,True,0.09711025,0.16748156
INHBE,0.40389985,0.59720343,0.19330359,True,0.249757,0.41559762
FDXR,1.2778784,1.4680957,0.19021726,True,0.37710968,0.4682505
SESN1,1.3295916,1.5133194,0.18372774,True,0.42911422,0.5535892
TEK,1.5910075,1.4105501,-0.18045735,True,0.4462709,0.5300945
PIH1D1,2.410042,2.234924,-0.17511797,False,0.13979861,0.17863819
METAP1D,0.20103951,0.0282023,-0.17283721,False,0.121415116,0.020200253
IFRD1,2.5512347,2.722795,0.17156029,True,0.24225035,0.33153543
PHLDA3,0.48402876,0.65350324,0.16947448,True,0.32843012,0.45415518
BBC3,0.86217064,1.0265028,0.16433221,True,0.41324192,0.5034696
RGS5,1.525954,1.3622807,-0.16367328,True,0.48766956,0.5038639
HMGCS1,3.5301554,3.3719838,-0.15817165,True,0.36374408,0.4017801
PMAIP1,2.977533,3.1346815,0.15714836,True,0.21363744,0.23581961
MTHFD2,2.8751297,3.0274413,0.15231156,True,0.11284972,0.13615127
SNHG32,1.8507925,2.0019777,0.15118515,False,0.20800832,0.26165676
SPART,1.7157133,1.5765705,-0.13914275,True,0.31890935,0.35284498
CTH,1.3418531,1.4807656,0.13891244,True,0.32998702,0.3775486
