gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
HMGN1,3.3874793,0.53249794,-2.8549814,False,0.07423006,0.35470778
AASS,3.9314687,2.530183,-1.4012856,True,0.25482205,0.26671144
VIM,2.7251427,3.012163,0.2870202,True,0.5895071,0.5813286
EEF1A2,0.775216,0.5186651,-0.2565509,True,0.3544652,0.2841095
OVOL2,0.8141591,0.9495348,0.13537568,True,0.33577752,0.3498376
NRN1L,0.2789355,0.1822194,-0.09671609,False,0.1719249,0.12139639
GET1,1.8763487,1.7841101,-0.092238665,False,0.20318185,0.21508832
CALCA,0.107528865,0.016400808,-0.09112806,True,0.07801358,0.010966575
OVOL1,0.13137732,0.042014003,-0.08936332,False,0.08858642,0.030579127
RGS5,1.525954,1.4560791,-0.06987488,True,0.48766956,0.50409454
SH3BGR,0.34612754,0.2773479,-0.06877965,False,0.20173825,0.17208768
HIST1H1A,1.5684879,1.6371589,0.06867099,True,1.4661734,1.457815
ALG12,1.6353736,1.5691884,-0.066185236,False,0.2501611,0.245053
CCM2L,0.718478,0.6531491,-0.065328896,False,0.31191355,0.2934252
PCDH18,1.5278986,1.4627504,-0.065148115,True,0.4877093,0.5095144
GNB4,1.6903179,1.7551246,0.0648067,True,0.2810641,0.270575
GNE,0.5858737,0.64860576,0.06273204,False,0.27860734,0.28511822
BRWD1,1.4790822,1.4176469,-0.06143534,False,0.26013875,0.25386953
H1F0,0.903924,0.96513844,0.061214447,True,0.8330141,0.8846677
PKDCC,2.017514,2.076399,0.058885098,True,0.58726704,0.5652301
CHGA,1.5551376,1.6129197,0.057782054,True,0.55296373,0.5304151
SCGB3A2,2.1600077,2.1027317,-0.05727601,True,1.0063828,1.0145702
GSTO1,1.0067747,1.0615269,0.05475223,True,0.33141363,0.32614794
EMP3,0.8505958,0.9043857,0.053789914,True,0.398057,0.41212693
MYL9,1.8118736,1.7585253,-0.053348303,True,0.4087449,0.40590513
AKT1,1.3145778,1.2619863,-0.052591562,False,0.30405977,0.31820914
SCN9A,0.45833218,0.4064439,-0.051888287,True,0.25883493,0.24247615
ETV6,1.5942233,1.6460311,0.05180788,False,0.29639,0.26381457
RIPOR2,1.1181024,1.0664412,-0.051661253,True,0.4393332,0.43776104
PLEKHO1,1.3486669,1.3996357,0.050968766,False,0.31317365,0.28297248
IQGAP2,2.1076012,2.158266,0.0506649,True,0.2217897,0.19750883
NETO2,0.93014646,0.9806663,0.050519824,True,0.34750232,0.35044178
ENC1,1.117531,1.1676998,0.050168872,True,0.4060574,0.38562852
CDH2,1.6087554,1.6586261,0.04987073,True,0.33867648,0.3367561
SYT4,0.58140266,0.53214335,-0.049259305,True,0.34853083,0.3219858
IMPA1,1.4865484,1.5352745,0.04872608,False,0.2700425,0.23826209
SOCS2,1.2737695,1.3211921,0.047422647,True,0.4973071,0.5007177
RHOC,1.3565009,1.3091861,-0.047314763,False,0.29208064,0.28412902
PRICKLE1,0.4917276,0.53898096,0.04725337,True,0.2937208,0.32840067
HTR7,0.7363093,0.7834675,0.04715818,True,0.39800823,0.39488232
