gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
HSBP1,2.5128746,0.3157457,-2.1971288,False,0.10936442,0.22238839
NDUFB10,2.486769,0.65194684,-1.8348222,False,0.13124372,0.569341
TPRKB,2.3970184,0.95886403,-1.4381545,False,0.13351098,0.71541196
TTC21B,1.4563588,0.23689765,-1.2194612,False,0.26810578,0.22844662
TMEM250,1.960569,0.7974692,-1.1630998,False,0.21341231,0.6673289
COA7,1.2471433,0.15281591,-1.0943273,False,0.29798418,0.12917417
AXL,1.3737823,0.39710346,-0.97667885,False,0.2870026,0.30668277
CTDSPL2,1.4817768,0.5114202,-0.97035664,False,0.23701112,0.41709885
PLAAT3,1.6658874,2.4835014,0.8176141,True,0.36285684,0.650912
ADCYAP1R1,0.9360648,0.120413326,-0.8156515,False,0.33278164,0.10006136
TMEM64,1.3649961,2.1782832,0.81328714,True,0.3572356,0.6136418
SERPINB9,1.3378824,2.1232634,0.78538096,True,0.5634636,1.2179081
TBC1D4,1.0131379,0.29465932,-0.7184786,False,0.29527423,0.18769899
SEPTIN6,0.7531247,0.058181033,-0.69494367,True,0.32920858,0.04556949
NPY1R,0.21013948,0.8350431,0.62490356,True,0.13955206,0.67403746
HS3ST3B1,0.9031196,0.2938177,-0.6093019,True,0.37384945,0.17523803
ESYT2,2.054398,2.6501863,0.59578824,True,0.20245779,0.590712
AGPAT2,1.6119598,1.0379214,-0.5740384,False,0.26940638,0.38891748
LEFTY1,0.40002847,0.9504755,0.55044705,True,0.4464706,1.1900067
ZNF766,0.9905563,0.4498532,-0.54070306,False,0.2944323,0.30616593
GPC1,1.4775811,0.9786914,-0.49888974,False,0.2727959,0.48521975
NPY5R,0.15709503,0.6556308,0.4985358,True,0.11052749,0.48779735
NODAL,0.39589173,0.85375947,0.45786774,True,0.29222062,0.6282959
WDR60,0.7422743,1.1974001,0.4551258,True,0.31741196,0.62376773
LEFTY2,0.27116945,0.7250783,0.45390883,True,0.24489297,0.6727037
DACT1,0.9510262,1.3831543,0.43212807,True,0.5183046,0.6143772
PFKFB3,1.4876137,1.0581795,-0.42943418,True,0.3885284,0.4618283
PLAAT5,0.27086484,0.69629204,0.4254272,True,0.18065967,0.4586877
MMP24,1.0542948,1.4714148,0.41711998,True,0.3902179,0.48582384
NMRK2,1.9979984,2.4079692,0.40997088,True,0.23621987,0.27295032
BRI3,1.9457042,2.3504567,0.4047525,False,0.19502924,0.19852312
KCNC3,0.67045873,0.2703665,-0.40009224,True,0.304417,0.17284963
NEU1,0.94207823,1.3403834,0.39830518,False,0.31223214,0.39659062
ACTG1,4.801511,4.405017,-0.3964939,False,0.05459988,0.16774848
PDGFA,1.104627,0.71176326,-0.39286375,True,0.3449067,0.39791453
CHAC1,0.70487297,1.092661,0.38778806,True,0.38694882,0.5870989
SLC44A2,2.7079885,2.323598,-0.3843906,False,0.113605164,0.21289736
NRK,0.40925148,0.030316781,-0.3789347,True,0.26865077,0.01984665
BEX2,0.5156156,0.1367651,-0.3788505,False,0.24312426,0.10934741
STX3,1.8876352,2.2662292,0.37859392,False,0.21896623,0.13560267
SFXN2,1.3055495,0.93829566,-0.36725384,False,0.30120552,0.39459345
ANXA3,0.64711624,1.0105435,0.36342722,True,0.37550318,0.5271862
PLPP1,1.5364559,1.8958422,0.35938632,True,0.27941385,0.30609632
CLU,2.868908,3.2282016,0.3592937,True,0.13896124,0.24470101
MERTK,0.39645776,0.041768387,-0.35468936,False,0.2127035,0.028420916
DUSP6,2.2662961,1.915083,-0.3512131,True,0.42365897,0.6320571
GRPR,0.8029942,1.1487793,0.34578508,True,0.6066761,0.8599256
SFRP1,4.2489777,3.9058325,-0.34314513,True,0.12169684,0.23189707
PCGF3,0.9230205,0.5828091,-0.3402114,False,0.29427996,0.3144907
BTBD17,1.1946275,0.8573277,-0.33729982,True,0.37292463,0.38491198
RASGRF2,0.75367785,1.0899707,0.33629286,True,0.38033068,0.49899513
GMPPB,1.4724127,1.1395149,-0.33289778,False,0.27196386,0.38055858
TSHZ3,0.991738,1.3234577,0.3317197,True,0.39489174,0.39698064
PRUNE2,0.7189,1.0490354,0.3301354,True,0.33920965,0.40332407
C9orf135,1.0159495,1.345815,0.32986546,True,0.37919602,0.55705315
CDK6,0.54318875,0.87253124,0.32934248,False,0.2675631,0.41593796
PMAIP1,2.977533,3.3058305,0.32829738,True,0.21363744,0.23481217
DSC2,1.2235597,0.8964361,-0.32712364,False,0.30052474,0.33244178
LMO3,1.0553634,0.73092294,-0.32444048,True,0.47546923,0.4241869
MPP1,0.76172626,1.0804902,0.31876397,True,0.33493322,0.45028797
C8orf88,0.92946535,1.2476717,0.31820637,False,0.31409064,0.4053532
MAP2K6,2.1483319,1.8306803,-0.31765163,False,0.1896432,0.28290984
PTAR1,1.9582242,2.275022,0.31679785,False,0.19871949,0.18659966
FABP3,0.8308931,1.1469003,0.3160072,True,0.3531812,0.38036487
TMEM63A,1.2596389,1.5717874,0.31214845,True,0.43629962,0.48741618
NPR1,1.1440488,0.83198875,-0.31206006,True,0.33606455,0.33322015
YPEL5,1.3675004,1.6777295,0.31022906,True,0.31940567,0.2873548
STC2,2.132497,2.4378119,0.30531478,True,0.37043837,0.39514345
INO80B,0.9747389,0.66954595,-0.30519295,False,0.30462655,0.3162714
