gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
IDE,1.6389979,0.118653834,-1.520344,False,0.23975344,0.10001421
COL6A2,2.213915,1.9816408,-0.2322743,True,0.24217908,0.270455
COL6A1,2.216633,2.0279753,-0.18865776,True,0.22963761,0.25250885
COTL1,1.8764848,1.7319376,-0.1445471,False,0.23178929,0.25453123
MT1X,1.2593601,1.1547929,-0.10456717,True,0.58770955,0.60159004
NOP10,1.9086255,1.8078107,-0.10081482,False,0.19147615,0.19918784
OLFML3,1.0210904,0.9261489,-0.0949415,True,0.34903526,0.3380816
GAL,2.7219493,2.6312864,-0.090662956,True,0.35849097,0.37104276
FLNA,3.5440738,3.456378,-0.08769584,False,0.066603415,0.06721981
KIF11,2.4049082,2.32045,-0.08445811,True,0.17814623,0.20332378
TRAPPC3,1.3782135,1.2960898,-0.08212376,False,0.26874664,0.28922075
LMO3,1.0553634,0.9737098,-0.081653595,True,0.47546923,0.4875792
HTR7,0.7363093,0.80958045,0.073271155,True,0.39800823,0.4113894
SCGB3A2,2.1600077,2.0890088,-0.07099891,True,1.0063828,1.0638561
LAGE3,1.2831159,1.2135544,-0.06956148,False,0.2882405,0.30851752
TMEM65,0.504883,0.5743225,0.06943953,False,0.2430845,0.26706687
TTC39C,1.9046897,1.8371572,-0.06753242,True,0.34991878,0.37913448
VSNL1,2.1774752,2.110487,-0.06698823,True,0.21121545,0.22959463
RASGRP2,1.3544939,1.2877518,-0.06674206,True,0.34762353,0.36116105
EMD,2.9051232,2.8396611,-0.06546211,True,0.13371706,0.13559458
DACT1,0.9510262,0.88613987,-0.06488633,True,0.5183046,0.5095816
KDR,2.138896,2.0813358,-0.057560205,True,0.31552842,0.32963037
DPPA2,0.9645738,0.9091024,-0.05547142,True,0.42964724,0.42026627
HIST3H2A,1.126817,1.0716523,-0.055164695,True,0.58922714,0.5765107
CRACR2B,0.65264034,0.5974876,-0.055152714,False,0.30195716,0.28722194
NFATC1,0.38012996,0.32714352,-0.052986443,False,0.21722458,0.19281705
SALL3,2.0745156,2.0215635,-0.05295205,True,0.3285634,0.3455111
CHST8,0.5388329,0.48638898,-0.05244392,False,0.26548967,0.25561038
HAGHL,1.0353317,0.98342144,-0.05191028,True,0.34165308,0.34324247
ZDHHC22,1.2077652,1.1564503,-0.05131495,True,0.33642527,0.35017806
SLC39A8,1.5447878,1.4949192,-0.049868584,True,0.35716635,0.36338678
WTIP,1.2946142,1.3434919,0.048877716,True,0.35613766,0.34229118
CKB,3.2759545,3.2272651,-0.048689365,True,0.1373064,0.15523008
NEFL,0.6202127,0.5715501,-0.048662603,True,0.35230622,0.32200655
TMEM158,0.62363106,0.57511425,-0.04851681,False,0.2925015,0.27594107
PTCH1,0.939191,0.8908307,-0.04836029,True,0.40242016,0.3984223
CCDC141,0.8916808,0.8434436,-0.048237205,True,0.44828832,0.4414798
APELA,1.5670142,1.5188626,-0.048151612,True,0.4344417,0.44989985
TRIML2,1.2181535,1.1704277,-0.047725797,True,0.40173906,0.39972106
INVS,0.7552861,0.8018465,0.046560407,False,0.3215139,0.34118143
CD44,0.4805275,0.4345334,-0.045994103,True,0.2666013,0.25030693
PPP1R17,0.5791453,0.53337264,-0.04577267,True,0.36212915,0.3464677
BAMBI,1.3751374,1.3297566,-0.04538083,True,0.37343463,0.38064134
RGS5,1.525954,1.4806073,-0.045346737,True,0.48766956,0.47914585
UBL4A,0.67496896,0.62991554,-0.045053422,False,0.2746405,0.27579373
