gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
IGF2R,1.3454345,0.17363226,-1.1718023,False,0.26888752,0.1292235
PDK2,1.0488417,0.09841683,-0.9504249,False,0.31756854,0.08505265
NSMCE1,1.2370889,0.8755068,-0.3615821,True,0.3372959,0.42849797
TMEM63A,1.2596389,0.9816252,-0.2780137,True,0.43629962,0.40296364
DUSP7,1.5561894,1.3331723,-0.2230171,True,0.29362613,0.31975245
GPX3,0.27712038,0.06672006,-0.21040031,False,0.15942954,0.04728579
LEFTY1,0.40002847,0.21807922,-0.18194924,True,0.4464706,0.21627206
MPV17L,0.70654917,0.5421703,-0.16437888,False,0.28890833,0.25991964
ID2,0.48878717,0.32714918,-0.16163799,True,0.3184093,0.23477848
FZD2,0.7157441,0.8189176,0.103173494,True,0.36336026,0.38871846
PLEKHA7,0.31606483,0.2168909,-0.09917393,False,0.1758196,0.12550063
ALDH2,0.9392132,0.8409509,-0.09826231,False,0.30306822,0.29523507
SLC6A8,2.0814366,1.9904052,-0.09103143,False,0.19584204,0.23204169
PLAAT3,1.6658874,1.7454456,0.07955825,True,0.36285684,0.34773242
SALL1,1.7900298,1.7105391,-0.07949066,True,0.30072147,0.31146654
DNPEP,1.524094,1.456283,-0.06781101,False,0.24830058,0.25984654
SERPINB9,1.3378824,1.405382,0.06749964,True,0.5634636,0.59839404
COL1A1,2.260025,2.1969793,-0.06304574,True,0.40600464,0.43223637
PYCR2,1.9976522,1.9386622,-0.05899,True,0.2240991,0.21899562
PPP1R17,0.5791453,0.5204431,-0.05870223,True,0.36212915,0.3275909
THOP1,2.1367903,2.1911244,0.054334164,False,0.19567671,0.14415254
VIM,2.7251427,2.7771254,0.05198264,True,0.5895071,0.56038344
EPHX1,2.2547429,2.2034204,-0.05132246,True,0.19147474,0.19292
NMRK2,1.9979984,2.047717,0.049718738,True,0.23621987,0.22728355
ZNF850,1.7697045,1.7200336,-0.049670815,True,0.39880446,0.411606
H1F0,0.903924,0.9534975,0.04957354,True,0.8330141,0.86409754
MMP24,1.0542948,1.1023331,0.048038244,True,0.3902179,0.39076474
