gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
G6PD,1.5052353,0.24322677,-1.2620085,False,0.24963664,0.17942578
CYP2S1,3.01396,1.9054041,-1.1085558,True,0.12651794,0.26385477
IKBKG,1.0509156,0.09623985,-0.95467573,False,0.30517256,0.07733678
AXL,1.3737823,0.94357204,-0.43021023,False,0.2870026,0.3083975
ACSS2,0.8820951,1.2567812,0.37468612,True,0.5769565,0.8132653
MDM4,2.7301762,2.403809,-0.32636714,True,0.14203803,0.29284304
HMGCS1,3.5301554,3.8499155,0.31976008,True,0.36374408,0.43857577
MVD,1.8713977,2.1462789,0.27488112,True,0.34796846,0.428595
DDB2,0.83584666,1.1047732,0.2689265,True,0.3656719,0.37382168
PHLDA3,0.48402876,0.74475276,0.260724,True,0.32843012,0.44178423
ACAT2,1.7601122,2.0115461,0.25143397,True,0.3223385,0.35660326
BAX,3.2382326,3.486877,0.24864435,True,0.12913452,0.13319762
BBC3,0.86217064,1.1010436,0.23887295,True,0.41324192,0.4782947
TNFRSF10B,1.6190304,1.8561132,0.23708284,True,0.33569923,0.29877293
KCNG3,1.6000588,1.3663938,-0.23366499,True,0.33263826,0.3629058
SESN1,1.3295916,1.5621824,0.2325908,True,0.42911422,0.4466568
TRIM22,0.6868747,0.8995845,0.21270978,True,0.41427281,0.52158356
HMGCR,3.3971014,3.6057868,0.2086854,True,0.26202345,0.3154084
MSMO1,2.504345,2.7122958,0.20795083,True,0.36301106,0.3789503
FDXR,1.2778784,1.4857736,0.20789516,True,0.37710968,0.4136545
CHGA,1.5551376,1.7615473,0.2064097,True,0.55296373,0.5470033
CYP51A1,2.820574,3.019054,0.19847989,True,0.19194041,0.23124279
SC5D,2.5574994,2.752777,0.19527769,True,0.2014049,0.23591357
DHCR7,2.2212503,2.4128082,0.19155788,True,0.27521834,0.31179956
FDFT1,1.5083088,1.6944623,0.18615353,True,0.3391564,0.36779514
IDI1,1.1688491,1.3517175,0.18286836,True,0.37462935,0.3954142
ERG28,2.6217284,2.8045127,0.18278432,True,0.16492844,0.2135388
TMEM97,2.4915624,2.672593,0.18103075,True,0.17607263,0.20538189
STARD4,1.1796104,1.3529818,0.17337143,True,0.3958909,0.4256444
PRUNE2,0.7189,0.8911895,0.17228949,True,0.33920965,0.38059306
INSIG1,0.85269517,1.0244327,0.17173749,True,0.41963935,0.48478374
FGFBP3,1.5303756,1.7012453,0.17086971,True,0.39057454,0.43676844
PLA2G3,1.2077777,1.377351,0.1695733,True,0.37771723,0.39326552
LSS,1.536261,1.7051523,0.16889131,True,0.30171183,0.3465966
MCM7,3.8115554,3.6511946,-0.16036081,False,0.055483002,0.07330175
SLC12A4,1.1378051,1.2957376,0.15793252,True,0.37062162,0.35859084
SCD,4.571026,4.7265162,0.1554904,False,0.08660226,0.111742616
CDKN1A,0.13551252,0.28907216,0.15355964,True,0.1684509,0.34342015
ZMAT3,0.61741245,0.77061725,0.1532048,True,0.34243125,0.43912047
NQO1,2.009532,2.1623468,0.15281487,True,0.24418247,0.25838178
TM7SF2,1.1138376,1.2665732,0.15273559,True,0.32208908,0.32696325
MVK,1.1645757,1.3166826,0.15210688,True,0.44198978,0.5258741
EBP,1.9508318,2.100972,0.15014017,True,0.23064974,0.23618063
FASN,2.8032582,2.952109,0.14885092,True,0.165525,0.21170127
PCYT2,1.2168454,1.362365,0.14551961,True,0.3310134,0.35056964
CCNG1,3.3750894,3.5177248,0.14263535,True,0.09383069,0.10136915
GAL,2.7219493,2.580454,-0.14149523,True,0.35849097,0.38012147
FABP3,0.8308931,0.972099,0.1412059,True,0.3531812,0.44088084
P3H2,1.3254241,1.4659666,0.1405425,True,0.46865007,0.44604227
TAGLN,2.3409328,2.202276,-0.13865685,True,0.6389723,0.7427657
RRM2B,1.15014,1.2878441,0.13770401,True,0.33941558,0.36299777
NSDHL,1.9035813,2.0398293,0.13624799,True,0.25716972,0.29495996
CYB5B,3.1782959,3.314236,0.13594007,True,0.09055499,0.112535395
SNCA,0.9291017,1.0635434,0.13444173,True,0.3752323,0.37462845
GADD45A,0.71394557,0.84823674,0.13429117,True,0.34338844,0.3696919
MT1X,1.2593601,1.1265589,-0.13280118,True,0.58770955,0.56824
DHCR24,3.6134932,3.7439609,0.13046765,True,0.08693754,0.09870258
TUBA1A,0.5836415,0.71397495,0.13033342,False,0.27232304,0.31371573
FABP7,0.5414451,0.6711079,0.12966281,True,0.28100306,0.32959026
RGS5,1.525954,1.3965997,-0.12935436,True,0.48766956,0.53732085
ACLY,2.9914157,3.120577,0.12916136,True,0.103945665,0.13654408
TEK,1.5910075,1.4633423,-0.12766516,True,0.4462709,0.49500072
FOSL1,0.18665719,0.31287083,0.12621364,True,0.15412702,0.257766
EMP3,0.8505958,0.97637326,0.12577748,True,0.398057,0.43174744
CENPI,1.4667261,1.5911628,0.124436736,True,0.324934,0.34729403
FADS2,4.2200174,4.3436885,0.123671055,True,0.07180851,0.080729015
TOB1,1.5985638,1.7202888,0.12172496,True,0.37077996,0.35693115
CCDC141,0.8916808,0.7700125,-0.12166828,True,0.44828832,0.45219
HES6,0.5632351,0.6822893,0.1190542,True,0.28999573,0.3424748
MDM2,2.2816887,2.4004607,0.11877203,True,0.197448,0.25140688
AEN,2.7892292,2.9079576,0.1187284,True,0.14283648,0.13306382
PCSK9,0.37149176,0.48861837,0.117126614,True,0.24954328,0.31433943
ELOVL6,2.2672312,2.383766,0.11653471,True,0.17385457,0.22394492
AACS,2.4089787,2.524864,0.11588526,True,0.16556804,0.15888512
TP53INP1,0.43075094,0.5466355,0.11588457,True,0.24165086,0.2974259
MMP2,1.5867742,1.7018329,0.11505866,True,0.3137001,0.3370186
NEFL,0.6202127,0.7351773,0.114964604,True,0.35230622,0.39804256
SESN2,1.1401006,1.2548763,0.11477566,True,0.3993862,0.42009765
PNPLA3,0.95375115,1.0671602,0.1134091,True,0.33722576,0.39046878
ARHGEF40,1.4412044,1.5545629,0.1133585,False,0.3064177,0.29109842
SELENOP,1.0004246,1.1133337,0.11290908,True,0.44973302,0.46431166
HERC5,0.8363185,0.9490124,0.112693906,True,0.3437243,0.36494398
CIC,1.0544367,1.1669542,0.112517476,False,0.30531222,0.32415742
TYMS,2.7641926,2.8763032,0.112110615,True,0.13533644,0.11792902
DDIT4,0.8543927,0.96579236,0.11139965,True,0.7079657,0.7591202
SLC6A15,1.7863109,1.6755568,-0.11075413,True,0.29976016,0.33439243
PALLD,0.84461284,0.95529497,0.11068213,True,0.34409449,0.3600298
IER5,0.634034,0.74340576,0.10937178,True,0.30159736,0.31860465
POLH,0.4251729,0.53289497,0.107722074,True,0.2642011,0.32292935
SLC16A10,0.8762519,0.768819,-0.1074329,False,0.33361018,0.32727376
FGF13,1.6198746,1.5126411,-0.107233524,True,0.42301762,0.43812636
FTH1,1.9033648,2.0104403,0.10707557,True,0.25653067,0.25857666
LDLR,1.7909238,1.8977964,0.10687256,True,0.40857795,0.44248468
SERPINB9,1.3378824,1.231267,-0.106615424,True,0.5634636,0.562083
LGALS1,0.5924107,0.69777817,0.10536748,True,0.3181264,0.35986906
IQSEC2,1.9034958,1.7982634,-0.10523236,True,0.3713815,0.42614776
SLC25A1,2.5149083,2.619248,0.1043396,False,0.13782085,0.14533776
HSD17B12,0.76387376,0.86785406,0.1039803,False,0.30921474,0.3119626
EPS8L2,0.89624125,0.99970406,0.103462815,True,0.37565914,0.4188217
MAMDC2,0.997529,0.89460474,-0.10292423,True,0.3517686,0.367621
HMOX1,1.7928151,1.8947554,0.101940274,True,0.41226184,0.46532175
TTC39C,1.9046897,1.8028857,-0.10180402,True,0.34991878,0.3691593
FKBP11,1.8519709,1.7510923,-0.1008786,False,0.22105153,0.2540037
SLC39A8,1.5447878,1.4442252,-0.10056257,True,0.35716635,0.39060178
SQLE,0.8747763,0.97526,0.100483716,True,0.34441066,0.36336058
ASCC3,1.939024,2.0391035,0.10007954,True,0.20493516,0.20700909
ACSL4,1.589752,1.6894089,0.09965694,True,0.3059177,0.3043506
RNF19B,0.8848418,0.9839171,0.09907532,True,0.32222947,0.32959425
CCN2,1.3984216,1.2995876,-0.09883404,True,0.8199761,0.811909
FTL,3.590388,3.6891713,0.098783255,False,0.07852085,0.08227522
HIST1H1C,3.3517175,3.2532516,-0.09846592,True,1.5421159,1.5507787
SPATC1L,1.7976586,1.8960687,0.09841013,False,0.2314682,0.26890817
ALDOC,1.3403387,1.4375345,0.097195745,True,0.36460003,0.34921107
WDR76,1.4197162,1.3228408,-0.09687543,True,0.38080722,0.43687156
PRICKLE1,0.4917276,0.5885588,0.0968312,True,0.2937208,0.34763595
SREBF2,2.018833,2.1154428,0.09660983,False,0.20055833,0.19069704
LAGE3,1.2831159,1.1869437,-0.09617221,False,0.2882405,0.31677148
PHC2,0.3345986,0.43037474,0.09577614,True,0.20299976,0.24770597
INPP5D,0.13704288,0.23245412,0.09541124,False,0.09685217,0.1541157
DACT1,0.9510262,0.85629255,-0.094733655,True,0.5183046,0.50324094
TIGAR,1.5448369,1.6391393,0.094302416,True,0.27814516,0.30537486
NEU1,0.94207823,1.036262,0.0941838,False,0.31223214,0.3225426
ACSL1,0.34156486,0.43571633,0.09415147,True,0.21038046,0.29358664
JUND,1.9687197,2.0626423,0.093922615,True,0.23403603,0.24931382
PHLDA1,1.0242558,1.1178169,0.09356117,True,0.4561791,0.4868997
MTA3,3.0260386,2.9326618,-0.093376875,True,0.13999781,0.15738364
HIST1H1B,4.1244035,4.0314302,-0.09297323,True,1.3478125,1.4512048
PMAIP1,2.977533,3.0702367,0.09270358,True,0.21363744,0.21008098
UFM1,2.4190683,2.5113914,0.092323065,True,0.15361544,0.15367454
BOP1,1.7661339,1.6740847,-0.09204924,False,0.22149763,0.2642453
LMO3,1.0553634,0.96452254,-0.090840876,True,0.47546923,0.47227123
RRAGD,1.3463784,1.256165,-0.09021342,True,0.3349723,0.35287264
RND1,0.3551171,0.44490117,0.089784056,False,0.20332813,0.23889486
INKA2,0.612367,0.7018741,0.0895071,True,0.32431173,0.35417435
HPDL,1.5688995,1.479865,-0.08903456,True,0.32727882,0.36175254
PHPT1,2.4665084,2.555492,0.088983536,False,0.12964691,0.12230955
SLC29A2,1.2874651,1.3763511,0.08888602,True,0.3457203,0.32637224
HIST1H1A,1.5684879,1.4800771,-0.088410735,True,1.4661734,1.414469
CAPN2,1.0743307,1.1627288,0.0883981,True,0.3748314,0.3678494
AKAP7,1.5629597,1.4747251,-0.088234544,True,0.41213223,0.42369044
ACOXL,1.4610541,1.5492411,0.08818698,True,0.3608723,0.33674884
CCDC169,1.0565683,0.96897656,-0.08759171,True,0.37135482,0.36391255
CTSB,1.0245253,0.937468,-0.08705729,False,0.32928327,0.33731687
MMP24,1.0542948,1.1398435,0.08554864,True,0.3902179,0.4152802
LMNA,1.6511865,1.7361561,0.08496964,True,0.2810789,0.2643487
TCN2,1.6714429,1.7562996,0.08485675,True,0.27773854,0.2548091
FZD7,1.6563491,1.5715373,-0.08481181,True,0.35724905,0.4230111
RIPK2,1.2308176,1.146235,-0.08458257,False,0.29835168,0.31018618
HIST3H2A,1.126817,1.0423138,-0.084503174,True,0.58922714,0.5447871
GLS2,0.41650555,0.5008487,0.084343165,True,0.23923886,0.2554888
NTPCR,1.384554,1.4685798,0.08402574,False,0.2657334,0.2717951
LMCD1,0.89934635,0.8153863,-0.08396006,True,0.37876225,0.3738339
TUBB2A,3.9533803,3.8694358,-0.08394456,True,0.1378518,0.1372587
RNF157,1.0251125,1.10885,0.08373749,True,0.374465,0.3912
PNRC1,1.5150425,1.598679,0.0836364,True,0.40612546,0.3922694
CELF2,1.6234972,1.707005,0.083507776,False,0.28086358,0.27718034
CRMP1,2.830393,2.9138594,0.08346629,False,0.11592548,0.11195569
IKBIP,0.55091214,0.63424325,0.08333111,False,0.26367143,0.29106888
PIK3R3,0.66861546,0.7518421,0.08322662,False,0.28616795,0.31579912
