gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TOP1,2.9032826,1.2980356,-1.605247,False,0.09113332,1.2609899
TSPAN33,1.7433717,0.9262062,-0.81716555,False,0.22381741,0.57042825
INSIG1,0.85269517,0.052517425,-0.80017775,True,0.41963935,0.03625958
ACSS2,0.8820951,1.6659366,0.7838415,True,0.5769565,0.8554798
ASCC3,1.939024,1.2189397,-0.7200843,True,0.20493516,0.4983495
EEF1A2,0.775216,0.18192999,-0.593286,True,0.3544652,0.14069018
UHRF1,2.392236,1.8010856,-0.5911504,True,0.2816612,0.47727713
ABCA1,0.90441024,1.4946116,0.5902014,True,0.40568152,0.42191207
C1orf54,0.9244148,0.36012176,-0.564293,False,0.32933497,0.2617244
DBT,1.8290195,1.2796786,-0.54934096,False,0.21051918,0.42050844
EDNRB,1.2057792,1.7421923,0.5364131,True,0.57471013,0.66097105
APELA,1.5670142,2.0780587,0.5110445,True,0.4344417,0.5147274
RAP1GDS1,1.4123211,0.9048429,-0.5074782,False,0.27960125,0.40638447
FABP3,0.8308931,1.3372843,0.5063912,True,0.3531812,0.55126506
RASGRF2,0.75367785,0.27349946,-0.4801784,True,0.38033068,0.19293128
LOXL1,1.073288,1.5409325,0.46764457,True,0.37352282,0.3882686
SCGB3A2,2.1600077,2.6205294,0.4605217,True,1.0063828,0.8015008
S100A10,3.133715,3.590525,0.45681,True,0.22135624,0.18690903
FABP7,0.5414451,0.9902818,0.44883674,True,0.28100306,0.41460904
ASS1,1.6960539,1.2500285,-0.44602537,True,0.34041834,0.40882
VIM,2.7251427,3.1696749,0.44453216,True,0.5895071,0.6333005
ACAT2,1.7601122,2.1850078,0.42489564,True,0.3223385,0.3078685
UCP2,1.7872043,2.1953487,0.40814447,True,0.28364074,0.26594228
ANXA3,0.64711624,1.0548569,0.40774065,True,0.37550318,0.54420555
TAGLN,2.3409328,2.7450852,0.4041524,True,0.6389723,0.65182924
SERPINB9,1.3378824,1.7253487,0.3874663,True,0.5634636,0.6464957
PCLAF,2.9010098,2.516074,-0.38493586,True,0.13584897,0.22926472
CXCL5,0.65057814,1.0270051,0.37642694,True,0.36417714,0.53682715
MYL9,1.8118736,2.1799996,0.36812603,True,0.4087449,0.43905696
PGRMC1,3.8030114,4.169362,0.36635065,False,0.063083366,0.08565277
PRKDC,3.2401152,2.8782766,-0.36183858,False,0.06544407,0.14521763
MTHFD2,2.8751297,2.5177104,-0.35741925,True,0.11284972,0.2185751
FLNA,3.5440738,3.1876209,-0.35645294,False,0.066603415,0.2077475
SC5D,2.5574994,2.9089475,0.35144806,True,0.2014049,0.22942965
CRABP2,2.2048934,1.8561031,-0.3487903,True,0.37365532,0.57093316
STC2,2.132497,1.789049,-0.34344804,True,0.37043837,0.5529695
NMU,1.7737356,2.1104321,0.3366965,True,0.3437436,0.38289735
SLC7A11,2.2569587,1.9225569,-0.33440185,True,0.3321765,0.5450808
COX20,1.7023284,2.036034,0.33370566,False,0.25975162,0.2757639
LMO3,1.0553634,0.7220416,-0.3333218,True,0.47546923,0.44689414
TRIML2,1.2181535,1.5496475,0.33149397,True,0.40173906,0.42370588
SLC25A1,2.5149083,2.8448236,0.3299153,False,0.13782085,0.12972419
ABCG1,0.28606942,0.6107765,0.32470706,False,0.17547235,0.31490356
L1CAM,1.6603423,1.3362513,-0.32409108,True,0.34027112,0.42087138
CSRP1,0.89926517,1.2231517,0.3238865,True,0.4090476,0.50168437
GSN,1.4108883,1.0898345,-0.32105386,False,0.29333594,0.34603724
GAL,2.7219493,3.0422866,0.3203373,True,0.35849097,0.36538643
GART,2.6770716,2.3613398,-0.31573176,False,0.094483845,0.16491838
SLC12A4,1.1378051,1.4513187,0.31351364,True,0.37062162,0.3796056
DHCR24,3.6134932,3.9265728,0.3130796,True,0.08693754,0.117936894
MCM4,3.9072917,3.5976562,-0.3096354,False,0.08346311,0.11965903
RAB17,1.5537531,1.8629795,0.3092264,True,0.5508224,0.4619513
CHD2,1.7621697,1.4544098,-0.30775988,True,0.27507263,0.37749514
C9orf135,1.0159495,1.321057,0.30510747,True,0.37919602,0.4118175
PEG10,1.4632176,1.7652296,0.30201197,True,0.36439523,0.31117243
KLKB1,0.7210759,1.0226561,0.3015802,True,0.37482473,0.45966217
CDH3,2.3827095,2.0812967,-0.30141282,False,0.15299307,0.24923934
ERG28,2.6217284,2.921303,0.2995746,True,0.16492844,0.19882569
SLC7A5,2.7678742,2.4691863,-0.29868793,True,0.20752229,0.38054
CYP51A1,2.820574,3.1178682,0.29729414,True,0.19194041,0.276772
ACLY,2.9914157,3.2881868,0.29677105,True,0.103945665,0.12603383
KRCC1,1.0394728,1.3356438,0.29617095,True,0.3897053,0.3726873
C1orf43,2.1709187,1.8761822,-0.2947365,False,0.14971498,0.26112106
ASMTL,2.1858873,1.8953714,-0.2905159,False,0.18091886,0.25883645
PITPNC1,1.8322271,1.5418584,-0.29036868,False,0.22169706,0.30502766
SOCS2,1.2737695,1.5634851,0.28971565,True,0.4973071,0.5097741
MYLIP,1.2739434,1.5628707,0.28892732,True,0.40364248,0.33986154
MVK,1.1645757,1.4527999,0.28822422,True,0.44198978,0.51873386
MATK,1.154767,0.8676823,-0.28708476,True,0.33695495,0.37071037
PCDH18,1.5278986,1.8136466,0.285748,True,0.4877093,0.5157785
MVD,1.8713977,2.156231,0.2848332,True,0.34796846,0.4088779
REC8,0.93819046,1.2227322,0.28454173,False,0.31875962,0.3318947
ATP1A2,1.028914,0.7519673,-0.27694666,True,0.41873628,0.35433137
PCSK9,0.37149176,0.6481032,0.27661142,True,0.24954328,0.4046639
ANKRD28,1.979755,1.7038954,-0.2758596,False,0.18808252,0.25674617
SPTSSB,0.90169275,1.1760297,0.27433693,True,0.38103697,0.42804447
DAP3,1.9287063,1.6547602,-0.27394605,False,0.18818448,0.2842239
LGALS1,0.5924107,0.865095,0.27268434,True,0.3181264,0.41482627
TMEM97,2.4915624,2.763956,0.2723937,True,0.17607263,0.19569185
TSHZ3,0.991738,1.2633452,0.27160722,True,0.39489174,0.40828055
USP46,1.4765552,1.2062532,-0.27030206,False,0.2725002,0.35689458
PCK2,2.0146055,1.7447106,-0.26989496,True,0.285465,0.3937013
DBI,2.2247255,2.4937727,0.26904726,False,0.14477168,0.13376564
PLAAT3,1.6658874,1.9347072,0.2688198,True,0.36285684,0.3050008
ZNF90,2.61995,2.3517463,-0.26820374,True,0.1612946,0.2387621
C16orf58,1.5415974,1.809389,0.26779163,False,0.2911282,0.29421282
EDIL3,1.4273261,1.6946552,0.2673291,True,0.36399788,0.3941554
PRXL2A,1.8079959,2.0747154,0.26671946,False,0.21332894,0.17505173
TUNAR,1.4096617,1.6757619,0.2661003,True,0.31986284,0.32180142
ARHGAP23,2.249648,1.9839278,-0.26572025,True,0.246991,0.3212659
PSAT1,3.8175943,3.552275,-0.26531935,True,0.09711025,0.14659938
TEK,1.5910075,1.8559314,0.26492393,True,0.4462709,0.3884829
TUBA1A,0.5836415,0.84786737,0.26422584,False,0.27232304,0.34440827
OLFML3,1.0210904,1.2845068,0.2634164,True,0.34903526,0.36433005
PRUNE2,0.7189,0.98195696,0.26305693,True,0.33920965,0.43770486
LSS,1.536261,1.7992252,0.26296425,True,0.30171183,0.32745194
PLTP,1.7964249,1.5362221,-0.26020277,True,0.26172176,0.32083118
MMP17,0.97544795,0.7155762,-0.25987178,True,0.36952886,0.36448362
DDX5,3.4335246,3.1742613,-0.25926328,False,0.05385617,0.09285983
EMP3,0.8505958,1.1098101,0.25921434,True,0.398057,0.48193777
ZNF595,1.4493521,1.191172,-0.25818014,False,0.276552,0.35173246
