gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
BCL2L12,2.0261164,0.20292118,-1.8231952,False,0.15621413,0.1667776
IRF3,1.2104,0.09549852,-1.1149014,False,0.29658598,0.07907726
CASC4,1.6976707,1.4359264,-0.26174426,False,0.23689985,0.30115962
CYB5A,2.2808769,2.0295508,-0.25132608,False,0.14670832,0.1715656
IFITM3,1.4483403,1.1984378,-0.24990249,False,0.28981033,0.3371278
EIF4EBP1,2.8433921,2.6036673,-0.23972487,True,0.11213006,0.13721338
MEX3B,0.74400705,0.9691182,0.22511113,True,0.3606949,0.4052515
FUZ,0.8061532,0.5838243,-0.2223289,False,0.29511738,0.26258153
BAX,3.2382326,3.0405252,-0.19770741,True,0.12913452,0.14601818
B2M,1.6160522,1.421561,-0.19449115,True,0.2681194,0.28471795
SYT3,0.7317123,0.55661166,-0.17510062,False,0.29889864,0.27011934
FAM49B,2.5242648,2.3669553,-0.15730953,False,0.115723856,0.1438906
TIMELESS,1.5535557,1.4023478,-0.15120792,False,0.22789834,0.25731835
EOGT,1.2606208,1.1105808,-0.15004003,True,0.35866508,0.36734813
LAGE3,1.2831159,1.1555153,-0.12760055,False,0.2882405,0.31430477
FAM3A,0.62145084,0.49644578,-0.12500507,False,0.26978368,0.25275272
SEPTIN10,1.6504657,1.5283298,-0.12213588,False,0.21128249,0.23774928
MINK1,1.9755185,1.8620194,-0.113499045,False,0.20106816,0.22473332
RASSF4,0.57257843,0.46449545,-0.10808298,False,0.27807242,0.24674273
SHISA2,1.6919217,1.7957942,0.10387254,True,0.5537069,0.5478864
SV2A,1.7187771,1.6191924,-0.0995847,False,0.21865466,0.25392026
OXCT1,1.737409,1.6486648,-0.08874416,False,0.25355458,0.3026971
DEPDC1,1.7997262,1.7119532,-0.087773085,True,0.56111425,0.6182191
EIPR1,1.3042923,1.2171274,-0.08716488,False,0.27550182,0.30154312
DDX18,2.8534558,2.7664468,-0.08700895,False,0.08118911,0.10864514
ACSS2,0.8820951,0.7970539,-0.085041225,True,0.5769565,0.520289
MDFI,1.2076058,1.1266384,-0.08096743,True,0.35286814,0.338878
CERS4,1.2118254,1.1318299,-0.07999551,False,0.29970044,0.31755513
RGS5,1.525954,1.4517128,-0.07424116,True,0.48766956,0.5105442
CCN2,1.3984216,1.4712801,0.07285845,True,0.8199761,0.7843794
GGT7,0.6301699,0.5576536,-0.07251632,False,0.27815428,0.2662316
TAGLN,2.3409328,2.26883,-0.072102785,True,0.6389723,0.5943716
KCNQ4,0.28798354,0.2180974,-0.06988613,False,0.17679815,0.14149216
ERVMER34-1,1.778471,1.8482746,0.069803596,True,0.3746463,0.359113
BNC2,0.7560571,0.68669415,-0.06936294,False,0.31733847,0.2790462
HMGN4,1.2818751,1.213687,-0.06818819,False,0.2827039,0.27512628
ZNF608,1.7600372,1.6926496,-0.06738758,True,0.28141895,0.29431307
PI4KA,1.093148,1.0261554,-0.06699264,False,0.3054814,0.30978927
SESN1,1.3295916,1.3960828,0.06649113,True,0.42911422,0.40836826
MLH3,0.3993387,0.33365166,-0.06568703,False,0.21251033,0.18966956
TRDN,1.0043794,1.0698919,0.06551254,True,0.69005215,0.7203608
UBL4A,0.67496896,0.6108537,-0.064115286,False,0.2746405,0.26049846
BTBD17,1.1946275,1.2578743,0.06324673,True,0.37292463,0.35179847
DCPS,0.42335394,0.3614165,-0.06193745,False,0.21063176,0.19251938
KRBA2,0.53387964,0.5956237,0.061744034,False,0.26459837,0.27252346
IGSF21,1.3237398,1.2624894,-0.06125033,True,0.34861705,0.3750612
TEAD1,1.5132653,1.4521047,-0.061160564,False,0.29113346,0.29344833
AP1AR,1.4975648,1.4367809,-0.060783863,False,0.27267894,0.31180784
KLHDC7A,0.69530964,0.75603116,0.060721517,True,0.33574003,0.3585137
ATP1B2,1.2254541,1.1648268,-0.06062734,True,0.3508382,0.32070786
HESX1,1.250492,1.1902719,-0.060220122,True,0.4382072,0.4405682
ATP5F1A,1.6703875,1.6101696,-0.060217857,False,0.23075111,0.2551478
AEBP1,1.3963718,1.336274,-0.060097814,False,0.28618744,0.2954302
CD109,0.2075268,0.14780676,-0.05972004,False,0.12819225,0.10089283
NAV1,1.1464255,1.2058427,0.059417248,False,0.29464424,0.30276218
PERP,1.8494062,1.7902015,-0.059204698,False,0.22232467,0.26783052
TRAPPC12,1.5269493,1.4679025,-0.059046745,False,0.2574078,0.25891012
GRAMD1B,0.9062804,0.8473171,-0.0589633,False,0.32165292,0.32354057
SAFB2,2.2703307,2.3290224,0.05869174,False,0.16454053,0.15108207
ZNF202,1.1021212,1.0435394,-0.05858183,False,0.29551288,0.3160096
SMG6,0.76605356,0.8243411,0.05828756,False,0.28506753,0.28707856
HTR7,0.7363093,0.7942035,0.05789423,True,0.39800823,0.42185196
PRNP,0.57603633,0.63383853,0.0578022,True,0.2881452,0.30443007
FAM184A,0.85493195,0.9126651,0.05773318,True,0.34021583,0.3452934
MT1X,1.2593601,1.3170455,0.057685375,True,0.58770955,0.6296405
IER3,0.52010494,0.46282443,-0.05728051,True,0.30785796,0.28917152
TRPM4,0.28727415,0.23004302,-0.05723113,False,0.16564412,0.1376298
COX17,1.5000283,1.4436147,-0.05641353,False,0.23833308,0.25005013
SARS,0.72292125,0.66651344,-0.05640781,False,0.2770579,0.26896623
ACTN4,1.0122875,0.9562175,-0.05606997,False,0.30917856,0.31257463
EDNRB,1.2057792,1.2616624,0.05588317,True,0.57471013,0.53601474
OSBPL10,2.1480882,2.0922618,-0.055826426,False,0.19583967,0.20760573
NLGN4X,2.216452,2.160652,-0.05579996,True,0.23145483,0.20983714
