target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
KAT2A,non-targeting,NOC2L,1.1181732,1.015982,0.1005836799740791,1.1005836725234983,2.68665243605e-05,42628122.0,0.0002566919642977
KAT2A,non-targeting,PLEKHN1,0.113225535,0.056064565,1.019556164741516,2.0195560455322266,4.5872228520651855e-29,43217958.5,2.0016972445375355e-27
KAT2A,non-targeting,HES4,0.016748501,0.0063906466,1.6207835674285889,2.620783567428589,4.531628313800009e-11,41061892.5,7.998812839354111e-10
KAT2A,non-targeting,ISG15,1.643996,1.0392883,0.5818479061126709,1.581847906112671,3.1689347589689844e-88,50709683.0,5.3679894230630144e-86
KAT2A,non-targeting,AGRN,5.162515,5.5631676,-0.0720187574625015,0.9279812574386596,1.897338039922095e-09,37335294.5,2.9327068275447965e-08
KAT2A,non-targeting,TNFRSF4,0.0014878653,0.00042798265,2.476461887359619,3.476461887359619,0.0066960489778813,40534446.0,0.037753237620869
KAT2A,non-targeting,SDF4,9.611244,9.255539,0.0384316109120845,1.0384316444396973,0.0006468407353206,42244891.5,0.0047868367784255
KAT2A,non-targeting,UBE2J2,7.790478,6.9614334,0.1190911084413528,1.1190911531448364,9.808677461578962e-31,46475120.5,4.5317092463036017e-29
KAT2A,non-targeting,CPTP,0.98086935,0.83918154,0.1688404679298401,1.1688405275344849,4.541156393939554e-11,43827475.0,8.01458766821597e-10
KAT2A,non-targeting,MXRA8,0.6789975,0.5648588,0.2020659446716308,1.2020659446716309,2.2859718720048533e-09,43385002.0,3.507230343607141e-08
KAT2A,non-targeting,AURKAIP1,3.4022315,3.1471806,0.0810410752892494,1.0810410976409912,3.9550532713183065e-08,43329951.0,5.367614708409771e-07
KAT2A,non-targeting,CCNL2,9.803864,11.209003,-0.1253581494092941,0.8746418356895447,1.2076811411355784e-43,33244256.5,8.283336506726578e-42
KAT2A,non-targeting,VWA1,0.6912323,0.89238536,-0.2254105061292648,0.774589478969574,8.39331033439398e-21,35688918.0,2.6219728879659593e-19
KAT2A,non-targeting,ATAD3B,1.1628395,1.3789184,-0.1567017138004303,0.8432983160018921,2.0397471558064934e-13,36655185.0,4.262275522246184e-12
KAT2A,non-targeting,TMEM240,0.339536,0.42226273,-0.1959128975868225,0.8040871024131775,4.080273211455001e-09,37711291.5,6.112127343735516e-08
KAT2A,non-targeting,SSU72,12.76566,12.022095,0.0618499182164669,1.0618499517440796,3.2290968377742444e-17,44865486.0,8.451370994058821e-16
KAT2A,non-targeting,FNDC10,0.6626928,0.4536232,0.4608882069587707,1.460888147354126,8.82575510151987e-35,46356867.0,4.6530808389039444e-33
KAT2A,non-targeting,MMP23B,0.4805651,0.2732023,0.7590082287788391,1.759008288383484,1.4601707044588799e-56,47228790.5,1.3788241471074103e-54
KAT2A,non-targeting,CDK11B,2.7020814,2.4324226,0.110860176384449,1.1108602285385132,4.550033031175776e-13,44239105.0,9.273429963212491e-12
KAT2A,non-targeting,NADK,3.1177006,2.9543545,0.0552899278700351,1.0552899837493896,4.83003576191e-05,42584905.5,0.0004430446115911
