gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
LEFTY1,0.40002847,1.6849198,1.2848914,True,0.4464706,1.7016636
NODAL,0.39589173,1.6093906,1.2134988,True,0.29222062,0.61327255
LEFTY2,0.27116945,1.2287145,0.95754504,True,0.24489297,1.0131172
STC2,2.132497,1.207361,-0.9251361,True,0.37043837,0.41531488
PCK2,2.0146055,1.1317046,-0.88290095,True,0.285465,0.34355947
NTS,1.4767022,2.3430538,0.8663516,True,0.7286999,0.5724627
SLC7A11,2.2569587,1.428812,-0.8281467,True,0.3321765,0.39255235
CRABP2,2.2048934,2.9836314,0.778738,True,0.37365532,0.18204245
ERBB2,3.173677,2.4317613,-0.7419157,True,0.1566171,0.19755742
SHMT2,1.9814478,1.2460655,-0.7353823,True,0.205803,0.31242606
TXNIP,0.36665714,1.099669,0.73301184,True,0.25791046,0.42760766
RASGRF2,0.75367785,1.4695835,0.71590567,True,0.38033068,0.40867066
PKDCC,2.017514,1.3264256,-0.69108844,True,0.58726704,0.46373606
PSAT1,3.8175943,3.127708,-0.68988633,True,0.09711025,0.093112834
PHLDA3,0.48402876,1.1618694,0.67784065,True,0.32843012,0.56669474
KIF1A,3.2239323,2.5509126,-0.67301965,True,0.09698961,0.19679792
GNA14,0.3345889,0.9951734,0.6605845,True,0.25330648,0.56605244
VEGFA,1.5524551,0.8968116,-0.65564346,True,0.3067676,0.35501093
FGFBP3,1.5303756,0.88971156,-0.64066404,True,0.39057454,0.34355688
H1F0,0.903924,1.5326464,0.6287224,True,0.8330141,0.86201996
DDB2,0.83584666,1.454469,0.6186223,True,0.3656719,0.4218044
VAMP8,1.6574954,2.265812,0.60831654,True,0.2691691,0.18231937
BMP7,0.23589908,0.8381211,0.602222,True,0.1522029,0.34716886
PLBD1,0.93742293,1.5395521,0.60212916,True,0.32884455,0.34969965
SLC39A8,1.5447878,2.1462436,0.6014558,True,0.35716635,0.23319751
CALB1,0.8725808,1.4612039,0.5886231,True,0.37383825,0.38258705
LGALS1,0.5924107,1.1799955,0.58758485,True,0.3181264,0.4684229
SESN1,1.3295916,1.9115633,0.58197165,True,0.42911422,0.48681226
SPP1,0.7460402,1.305992,0.5599518,True,0.35517648,0.4012456
ITGB5,2.7919524,3.3467667,0.55481434,True,0.17067133,0.088637814
CAV1,0.51446736,1.0674355,0.55296814,True,0.30516323,0.42403454
GDPD2,1.3856034,0.83716345,-0.54844,True,0.3390894,0.35556406
PHGDH,3.219117,2.672873,-0.5462439,True,0.0838759,0.099676594
SLC7A5,2.7678742,2.2217634,-0.54611087,True,0.20752229,0.28184026
ADM,1.0165217,0.47196352,-0.54455817,True,0.4694616,0.32118738
SERPINB9,1.3378824,1.8785003,0.54061794,True,0.5634636,0.49210757
ZMAT3,0.61741245,1.1531736,0.5357611,True,0.34243125,0.52761734
CENPV,3.4915988,2.9602609,-0.531338,True,0.08374357,0.13079286
GSTO1,1.0067747,1.5340749,0.52730024,True,0.33141363,0.29279852
SFRP1,4.2489777,3.7303584,-0.5186193,True,0.12169684,0.17037745
MYCN,2.8378336,2.3227863,-0.5150473,True,0.16622734,0.27324888
DACT1,0.9510262,1.4633415,0.5123153,True,0.5183046,0.518746
ASS1,1.6960539,1.185784,-0.5102699,True,0.34041834,0.3407044
SLC38A1,3.5382373,3.037054,-0.5011833,False,0.070304155,0.11081425
GALNT10,0.8450588,1.3442854,0.49922657,True,0.34769714,0.36286935
TMEM63A,1.2596389,1.7542152,0.49457633,True,0.43629962,0.38089037
EEF1G,4.113315,3.6207502,-0.49256492,False,0.035760675,0.05748828
FADS1,2.6000462,2.110332,-0.48971415,True,0.1364136,0.18434426
SERPINB1,1.2040457,1.6932435,0.48919785,True,0.36252132,0.32081562
EML2,0.56669486,1.0553613,0.48866642,True,0.29100224,0.3565175
SFRP2,3.7987847,3.3132195,-0.4855652,True,0.07606493,0.10100643
GNG12,1.2833613,1.7685052,0.4851439,True,0.34909102,0.28410447
SLC1A5,3.0711186,2.588551,-0.48256755,True,0.1239001,0.15184413
PGM1,1.8431282,2.3242066,0.4810784,True,0.38100007,0.23416546
RHOC,1.3565009,1.8302737,0.47377288,False,0.29208064,0.23222326
METTL7A,1.1035215,1.5771703,0.4736488,True,0.36541176,0.30950382
EPS8L2,0.89624125,1.3657534,0.46951216,True,0.37565914,0.46008292
DFFA,2.3342433,1.8654737,-0.46876955,False,0.17162877,0.22285797
SLC3A2,2.9775004,2.5112853,-0.46621513,True,0.15079467,0.17111012
TRIML2,1.2181535,1.6836481,0.46549463,True,0.40173906,0.3737138
PFDN2,2.2644913,2.7276974,0.46320605,False,0.14865686,0.09832184
ANP32A,1.4542173,0.9922331,-0.46198422,False,0.26586166,0.30454916
FLNC,0.56720054,1.0284724,0.46127188,True,0.293983,0.3708023
GPT2,1.7932483,1.3380485,-0.45519984,True,0.22261675,0.26583207
C1orf21,2.3650088,1.9127215,-0.45228732,True,0.18786235,0.24599954
IDO1,1.2041372,0.7527179,-0.4514193,True,0.43108737,0.36435738
SCGB3A2,2.1600077,2.607181,0.44717336,True,1.0063828,0.7299035
RAB25,1.1473161,1.5932642,0.44594812,True,0.3448181,0.30207047
GPC6,0.686896,1.1328259,0.44592983,True,0.3368339,0.40875116
LPAR6,0.17733541,0.6201018,0.4427664,True,0.13023464,0.34980285
MMP2,1.5867742,2.0294578,0.44268358,True,0.3137001,0.24635133
FXYD6,1.8719592,1.4297751,-0.4421841,True,0.2274005,0.31957433
