target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
KDM1A,non-targeting,HES4,0.039817203,0.0063906466,5.230543613433838,6.230543613433838,8.890515231055674e-14,6982001.5,1.8975388428460224e-12
KDM1A,non-targeting,ISG15,1.4383605,1.0392883,0.3839860260486603,1.383985996246338,1.5935490595213057e-08,7876360.5,2.2463251985143625e-07
KDM1A,non-targeting,C1orf159,0.20252538,0.2792699,-0.2748041450977325,0.7251958847045898,0.0005314658024482,6119256.0,0.0040086641994676
KDM1A,non-targeting,SDF4,7.6713495,9.255539,-0.1711612343788147,0.8288387656211853,1.6351374619417938e-11,5319932.0,2.987095616035934e-10
KDM1A,non-targeting,B3GALT6,0.07382914,0.11652838,-0.3664278388023376,0.6335721611976624,0.0008205341638335,6277535.0,0.0059333910659162
KDM1A,non-targeting,C1QTNF12,0.029910713,0.059324697,-0.4958134591579437,0.5041865110397339,0.0029003304801735,6420313.0,0.0182810186724099
KDM1A,non-targeting,UBE2J2,4.877144,6.9614334,-0.2994052171707153,0.7005947828292847,1.3868146031298398e-35,4132774.0,7.512316396061372e-34
KDM1A,non-targeting,ACAP3,0.6360626,1.0247834,-0.3793199360370636,0.6206800937652588,1.186389737201396e-11,5328617.0,2.1903325281937338e-10
KDM1A,non-targeting,PUSL1,0.84816664,1.2820821,-0.3384459018707275,0.6615540981292725,7.637056430629324e-11,5375239.5,1.3243196419237651e-09
KDM1A,non-targeting,INTS11,5.312449,6.086618,-0.1271919757127761,0.872808039188385,7.1238575785e-05,5893905.0,0.0006349695743152
KDM1A,non-targeting,CPTP,0.60772073,0.83918154,-0.275817334651947,0.724182665348053,1.06349624195e-05,5824021.5,0.0001078065228172
KDM1A,non-targeting,DVL1,0.92038566,2.0167296,-0.5436246991157532,0.4563753306865692,7.310671387008767e-41,3941124.0,4.628584288915088e-39
