gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
KDM1A,3.6921873,0.68603164,-3.0061557,False,0.04502069,0.5468113
VIM,2.7251427,4.833805,2.1086624,True,0.5895071,0.14779627
NRK,0.40925148,2.4169927,2.0077412,True,0.26865077,0.35824248
SERPINB9,1.3378824,3.273349,1.9354666,True,0.5634636,0.41895467
SPP1,0.7460402,2.581339,1.8352987,True,0.35517648,0.35644186
NTS,1.4767022,3.2477238,1.7710216,True,0.7286999,0.29876596
APELA,1.5670142,3.2301726,1.6631584,True,0.4344417,0.2552025
SCN9A,0.45833218,2.028446,1.5701138,True,0.25883493,0.3259547
RGS5,1.525954,3.0203583,1.4944043,True,0.48766956,0.30213726
STMN2,0.029254397,1.4828178,1.4535633,True,0.022931766,0.7344486
SNX6,2.2989583,0.89908034,-1.399878,False,0.13875228,0.5481201
DPPA2,0.9645738,2.3642077,1.3996339,True,0.42964724,0.29472712
HAPLN1,0.14288291,1.5219771,1.3790941,False,0.10005028,0.4369256
TESC,0.97775966,2.3050475,1.3272879,True,0.35794467,0.23032007
DUSP6,2.2662961,1.0090878,-1.2572083,True,0.42365897,0.7428598
DPEP3,0.61881423,1.8710583,1.2522441,True,0.33645475,0.49013025
NEFL,0.6202127,1.8691148,1.2489021,True,0.35230622,0.43879482
LRAT,1.3468386,2.5941951,1.2473565,True,0.5342008,0.47421262
HTR1D,0.536856,1.7643247,1.2274687,True,0.32416457,0.4458579
LIX1L,0.22270232,1.4297565,1.2070541,True,0.15863591,0.4902744
MAP2,0.18371552,1.3551859,1.1714704,True,0.11982809,0.43514183
CAV1,0.51446736,1.6830411,1.1685737,True,0.30516323,0.40810588
CCDC172,0.2274794,1.3959724,1.168493,False,0.14364105,0.45304003
LGALS1,0.5924107,1.7470949,1.1546842,True,0.3181264,0.41641653
DTNA,1.0392054,2.1906288,1.1514233,True,0.44757935,0.33278134
SERPINB6,1.3203832,2.4650235,1.1446403,True,0.34365404,0.19055872
LMO7,0.4096521,1.5387981,1.129146,True,0.22836775,0.41974002
SNCA,0.9291017,2.0576785,1.1285768,True,0.3752323,0.21905813
KCND2,0.8415011,1.9534383,1.1119372,False,0.3202714,0.26404977
FEZ1,1.0951558,2.2051897,1.1100339,True,0.36360902,0.24686036
MET,0.46568218,1.5703958,1.1047137,False,0.23448458,0.32581103
EDIL3,1.4273261,2.511928,1.084602,True,0.36399788,0.23093157
P3H2,1.3254241,2.3898606,1.0644366,True,0.46865007,0.26553842
COL14A1,0.7640289,1.8267925,1.0627636,True,0.33475843,0.35031042
SFRP1,4.2489777,3.1880198,-1.0609579,True,0.12169684,0.33085424
CHGA,1.5551376,0.4969431,-1.0581945,True,0.55296373,0.38111827
LEFTY1,0.40002847,1.4559517,1.0559232,True,0.4464706,1.7531818
B2M,1.6160522,2.6705852,1.054533,True,0.2681194,0.1975904
EMP3,0.8505958,1.8929514,1.0423555,True,0.398057,0.40737963
IDO1,1.2041372,2.2461004,1.0419632,True,0.43108737,0.32842115
HERC5,0.8363185,1.8657312,1.0294127,True,0.3437243,0.3920107
RASGRF2,0.75367785,1.7821487,1.0284709,True,0.38033068,0.38840485
GAP43,0.7817635,1.7969863,1.0152228,False,0.32131848,0.28023848
OLFML2A,0.9932931,2.007672,1.014379,True,0.35974503,0.28859457
SEMA3A,1.5644501,2.5751052,1.010655,True,0.3202596,0.20993699
CDH2,1.6087554,2.6087415,0.9999862,True,0.33867648,0.19814366
RBP7,0.26672083,1.2587112,0.9919904,True,0.17193285,0.43212363
FST,0.77896905,1.7704105,0.9914415,True,0.37842038,0.4511346
MACC1,0.9851231,1.9748516,0.9897285,True,0.3449435,0.28414825
CADM2,0.4776455,1.4500898,0.9724443,True,0.28923467,0.51204693
PMAIP1,2.977533,3.9452064,0.9676733,True,0.21363744,0.28415483
C3,0.20096448,1.1633096,0.9623451,False,0.13187093,0.44069624
CAPN6,0.57471156,1.5317253,0.9570137,True,0.33502746,0.553429
CTCFL,0.053424165,1.0029802,0.94955605,True,0.042057455,0.6245429
PALLD,0.84461284,1.7824783,0.9378655,True,0.34409449,0.35840568
SPART,1.7157133,2.6526415,0.9369283,True,0.31890935,0.18670774
COCH,0.64445984,1.5712756,0.92681575,True,0.3147069,0.33591586
COL5A2,0.43141592,1.3546346,0.9232187,True,0.24522719,0.42525083
SCGB3A2,2.1600077,3.0809093,0.92090154,True,1.0063828,0.63371557
DDAH1,1.4237391,2.341276,0.91753685,False,0.31010202,0.23252988
GPR160,1.4708787,2.3798478,0.90896904,True,0.3379481,0.20636307
MAPK10,0.2970492,1.1982305,0.90118134,True,0.19583838,0.4901922
TPD52L1,0.3382096,1.2383208,0.9001112,False,0.19659862,0.38072845
STMN3,1.6276441,0.7279718,-0.89967227,False,0.26238313,0.3825359
PGM2L1,1.618141,2.5136604,0.8955194,True,0.2785538,0.19845685
EFR3A,1.7837168,2.6668568,0.88313997,False,0.2376206,0.18724059
ATP2A3,0.61198884,1.4942397,0.88225085,True,0.28647575,0.373648
H1F0,0.903924,1.78496,0.88103604,True,0.8330141,1.0951713
CHST9,0.94160825,1.8225774,0.8809691,True,0.35677353,0.36234748
GNB4,1.6903179,2.5708513,0.88053346,True,0.2810641,0.17986025
S100A10,3.133715,4.012595,0.87888026,True,0.22135624,0.08721597
PLCB1,0.9086415,1.7871689,0.87852734,True,0.37433246,0.29053897
SMIM14,1.0882034,1.9639897,0.8757863,True,0.34809172,0.25934294
SLC39A8,1.5447878,2.416443,0.87165534,True,0.35716635,0.23155423
TSPAN7,0.6283805,1.4965478,0.86816734,False,0.28860208,0.335414
MYO6,0.9117404,1.76597,0.85422957,True,0.32478786,0.29465055
CPE,0.73822266,1.5870905,0.84886783,True,0.31794643,0.36003917
STC2,2.132497,1.2857763,-0.8467208,True,0.37043837,0.5456368
CLU,2.868908,3.7155623,0.8466544,True,0.13896124,0.11212302
OVOL2,0.8141591,1.6569601,0.84280103,True,0.33577752,0.31717604
CXCL5,0.65057814,1.4924078,0.84182966,True,0.36417714,0.6989164
CAPG,1.0828618,1.9193178,0.83645606,False,0.3175583,0.29857975
IQSEC2,1.9034958,1.0803233,-0.82317245,True,0.3713815,0.44861537
SMIM24,0.26743153,1.0886406,0.8212091,True,0.1765264,0.43450576
ELOVL4,0.8671567,1.6770997,0.809943,False,0.31117177,0.33413112
GRIA4,0.6739651,1.4812291,0.807264,True,0.3025259,0.3465492
PRSS12,0.29877573,1.1048441,0.80606836,False,0.17847204,0.43752912
CNMD,2.6173897,3.4226503,0.80526066,True,0.16489005,0.10371885
MAGI2,1.1124562,1.9162985,0.8038423,True,0.39109144,0.33412033
MATK,1.154767,1.9579395,0.80317247,True,0.33695495,0.27205318
PIPOX,1.3608539,2.156367,0.79551315,True,0.35072494,0.32800627
PIK3CD,0.8349563,1.6288373,0.79388106,True,0.33845142,0.40056232
QPCT,0.30251503,1.093521,0.79100597,True,0.1854129,0.4465636
ATRNL1,1.072897,1.8636138,0.7907169,False,0.32197177,0.31209496
FRZB,0.28909758,1.0770892,0.78799164,True,0.18367182,0.4553211
CALB2,0.28212562,1.0660274,0.7839018,False,0.17224675,0.41631338
SERPINB1,1.2040457,1.982935,0.7788893,True,0.36252132,0.33418682
RAB3IP,1.5108799,2.2892296,0.77834976,True,0.31727964,0.21136737
IAH1,0.7946477,1.5699501,0.7753024,True,0.37724927,0.41863883
ZYG11A,0.17390613,0.9490251,0.77511895,False,0.10998315,0.40078276
ARHGAP23,2.249648,1.4820493,-0.76759875,True,0.246991,0.46159858
AKR1C3,0.22258279,0.9883632,0.76578045,True,0.14684352,0.45528594
PCDH10,0.21725935,0.97762495,0.7603656,True,0.18115546,0.5499616
