gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
KDM2B,2.0589678,0.8295265,-1.2294414,False,0.19238377,0.43868953
MT-ND3,1.7554234,2.3459659,0.59054244,True,0.78610706,1.2331702
MT-ATP6,1.7147563,2.2868595,0.57210326,True,0.97399217,1.3380833
JADE3,1.4358298,0.8655877,-0.57024205,False,0.27758324,0.606074
MT-ND4,1.8822018,2.415837,0.53363526,True,0.9863533,1.3005716
MT-CO3,1.2058606,1.670303,0.46444237,True,0.78025454,1.0924728
DDIT4,0.8543927,1.2462865,0.3918938,True,0.7079657,1.0283303
MT-CO2,1.645371,2.0358672,0.39049625,True,0.917779,1.0826156
CHAC1,0.70487297,1.076761,0.37188804,True,0.38694882,0.6653638
MT-ND6,0.8967327,1.2645121,0.36777937,True,0.68610394,0.8543743
MT-CYB,0.6396104,0.9472103,0.3075999,True,0.489698,0.7044452
ZNF516,0.41618332,0.7124312,0.29624787,True,0.26902473,0.3827585
SALL3,2.0745156,1.7783475,-0.2961681,True,0.3285634,0.51118046
MEF2B,0.32470265,0.6123424,0.28763977,True,0.20306997,0.47948357
STC2,2.132497,2.415259,0.2827618,True,0.37043837,0.50577044
INHBE,0.40389985,0.6796564,0.27575654,True,0.249757,0.49867022
PCK2,2.0146055,2.285593,0.2709875,True,0.285465,0.4282984
ASS1,1.6960539,1.9603004,0.26424658,True,0.34041834,0.38424298
PLAAT3,1.6658874,1.9144627,0.24857533,True,0.36285684,0.34072903
PSAT1,3.8175943,4.0626726,0.24507833,True,0.09711025,0.1908715
IFRD1,2.5512347,2.7952442,0.2440095,True,0.24225035,0.3123283
SLC7A11,2.2569587,2.491554,0.2345953,True,0.3321765,0.4776325
SESN2,1.1401006,1.3745363,0.23443568,True,0.3993862,0.5587508
CRABP2,2.2048934,2.4372237,0.23233032,True,0.37365532,0.3377825
H1F0,0.903924,1.1352732,0.23134923,True,0.8330141,0.8876423
CTH,1.3418531,1.5661275,0.2242744,True,0.32998702,0.3973986
TCEAL9,0.51353115,0.29186904,-0.2216621,False,0.2446834,0.18649875
CD99,0.8775342,1.0960366,0.21850234,False,0.31350508,0.32114142
PTCH1,0.939191,0.7208845,-0.21830648,True,0.40242016,0.38019156
CCND1,1.0390285,0.8232335,-0.21579504,True,0.3845656,0.3734712
HMGCS1,3.5301554,3.316066,-0.2140894,True,0.36374408,0.4301469
SHMT2,1.9814478,2.1869256,0.20547783,True,0.205803,0.246786
SHISA2,1.6919217,1.4865842,-0.20533752,True,0.5537069,0.53035665
ALDH2,0.9392132,1.1290137,0.18980044,False,0.30306822,0.31133327
ORAI1,0.7955618,0.6086292,-0.18693256,False,0.2916847,0.2705601
POFUT2,1.0737146,0.8892026,-0.18451202,False,0.3094023,0.32547998
