target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
KDR,non-targeting,DVL1,1.9133115,2.0167296,-0.0512801073491573,0.9487199187278748,0.0022378439716853,37678269.5,0.0145365667584204
KDR,non-targeting,SLC2A7,0.000783529,6.4623004e-05,11.124614715576172,12.124614715576172,0.0016911589246694,39278994.0,0.0113498632838901
KDR,non-targeting,OTUD3,1.4661734,1.5594373,-0.0598061010241508,0.9401938915252686,0.0025121943268698,37698516.5,0.0161086453663501
KDR,non-targeting,MAN1C1,0.39878458,0.36429462,0.0946760028600692,1.0946760177612305,0.0049257538681594,40515830.0,0.028991372217649
KDR,non-targeting,SH3BGRL3,8.552674,8.288647,0.0318541266024112,1.0318541526794434,0.0015353425567779,40870033.5,0.0104126161621013
KDR,non-targeting,RPA2,2.9052982,2.786176,0.0427547544240951,1.0427547693252563,0.0053552705303537,40673354.0,0.0311669642660127
KDR,non-targeting,RCC1,9.0292015,9.3067,-0.0298170410096645,0.9701829552650452,0.0012667599197441,37591358.5,0.008772750353918
KDR,non-targeting,ZNF362,3.8275077,3.663826,0.0446750856935977,1.04467511177063,0.0019328472287943,40835316.0,0.0127808689443482
KDR,non-targeting,ZNF691,1.3970816,1.3264613,0.0532396212220191,1.0532395839691162,0.0088829301580012,40580723.5,0.0479944572545378
KDR,non-targeting,CDC20,5.814502,6.012033,-0.0328559763729572,0.967144012451172,0.0084760197911201,37894491.0,0.0461386463143781
KDR,non-targeting,FOXD2,0.0019577602,0.0003720557,4.262008190155029,5.262008190155029,0.0004666480607948,39320843.5,0.0035614051385625
KDR,non-targeting,ITGB3BP,6.1441073,5.889365,0.0432546027004718,1.0432546138763428,0.0004511878735305,41044581.5,0.0034545086615706
KDR,non-targeting,ASB17,0.0003926827,0.0,,20.0,1.64025373842e-05,39264016.0,0.000161776489748
KDR,non-targeting,LRRC8B,2.5482416,2.6479497,-0.0376548245549202,0.9623451828956604,0.0036664274378911,37754703.5,0.0224322540029466
KDR,non-targeting,KCNC4,1.2917295,1.1920631,0.083608292043209,1.0836082696914673,0.0011721140372499,40895042.0,0.0081845933005186
KDR,non-targeting,RBM15,4.935819,4.7724423,0.0342333763837814,1.034233331680298,0.0089173471748067,40586496.5,0.0481486148784551
KDR,non-targeting,TRIM33,4.6453843,4.751023,-0.0222348980605602,0.9777650833129884,0.0078191900955003,37880494.5,0.0430751459402707
KDR,non-targeting,HMGCS2,0.00040892363,1.9405532e-05,20.072528839111328,21.072528839111328,0.0039401758737528,39262988.5,0.0238891963416857
KDR,non-targeting,ITGA10,0.01798737,0.011257591,0.5977993011474609,1.597799301147461,0.0004033936337719,39650446.0,0.0031221562065909
KDR,non-targeting,LIX1L,0.21815574,0.25031868,-0.1284879595041275,0.8715120553970337,0.0057944914683004,38140810.5,0.0333336500810381
KDR,non-targeting,THEM5,0.0006729282,8.6777436e-05,6.754644393920898,7.754644393920898,0.0048168112320774,39277965.0,0.0284365939375395
KDR,non-targeting,S100A11,3.9815917,3.8442087,0.0357376486063003,1.0357376337051392,0.00768537630684,40612309.0,0.0424478443732439
KDR,non-targeting,TCHHL1,0.00026771988,0.0,,20.0,1.64025373842e-05,39264016.0,0.000161776489748
KDR,non-targeting,LCE5A,0.0002679796,0.0,,20.0,1.64025373842e-05,39264016.0,0.000161776489748
KDR,non-targeting,LCE4A,0.000349798,0.0,,20.0,1.64025373842e-05,39264016.0,0.000161776489748
KDR,non-targeting,OR6N1,0.00026204312,0.0,,20.0,1.64025373842e-05,39264016.0,0.000161776489748
